synopsis : the president of a company wants to test his self-appointed successor , who's psychotic , and thinks it's a great idea to spend a week with him and their wives in an isolated cabin a hundred miles from civilization with no dependable transportation or means of communication after a heavy snowfall . 	Translation	Positive	Negative	EmotionRationale
brolin's character , for some inexplicable reason , thinks its a great idea to spend some time in a cabin , practically isolated , with lebrock and larson , whom he's decided to test for the week before giving him full control of his company . 	brolin's character , for some inexplicable reason , thinks its a great idea to spend some time in a cabin , practically isolated , with lebrock and larson , whom he's decided to test for the week before giving him full control of his company .	3	-2	 brolin's[0] character[0] for[0] some[0] inexplicable[-1][--1 LastWordBoosterStrength] reason[0] thinks[0] its[0] a[0] great[2] idea[0] to[0] spend[0] some[0] time[0] in[0] a[0] cabin[0] practically[0] isolated[-1] with[0] lebrock[0] and[0] larson[0] whom[0] he's[0] decided[0] to[0] test[0] for[0] the[0] week[0] before[0] giving[0] him[0] full[0] control[0] of[0] his[0] company[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
by the time the characters arrive at the cabin , this film begins to become tedious . 	by the time the characters arrive at the cabin , this film begins to become tedious .	1	-3	 by[0] the[0] time[0] the[0] characters[0] arrive[0] at[0] the[0] cabin[0] this[0] film[0] begins[0] to[0] become[0] tedious[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
apparently , brolin's successor's test involves chopping wood for the fireplace and skiing , which don't seem like attributes necessary to run a business in the city . 	apparently , brolin's successor's test involves chopping wood for the fireplace and sking , which don't seem like attributes necessary to run a business in the city .	1	-2	 apparently[0] brolin's[0] successor's[0] test[0] involves[0] chopping[0] wood[0] for[0] the[0] fireplace[0] and[0] skiing/sking[0] which[0] don't[0] seem[0] like[1][NegatedDueToPreviousWord] attributes[0] necessary[0] to[0] run[0] a[0] business[0] in[0] the[0] city[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , then again , what do i know about business ? 	but , then again , what do i know about business ?	1	-1	 but[0] then[0] again[0] what[0] do[0] i[0] know[0] about[0] business[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i do think , though , that they should have invested in some better furniture for the cabin ; its beds and closets have a habit of just breaking at the slightest touch . 	i do think , though , that they should have invested in some better furniture for the cabin ; its beds and closets have a habit of just breaking at the slightest touch .	1	-1	 i[0] do[0] think[0] though[0] that[0] they[0] should[0] have[0] invested[0] in[0] some[0] better[0] furniture[0] for[0] the[0] cabin[0] its[0] beds[0] and[0] closets[0] have[0] a[0] habit[0] of[0] just[0] breaking[0] at[0] the[0] slightest[0] touch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
larson's character accidently kills his own wife rather than the couple he wants to kill . 	larson's character accidently kills his own wife rather than the couple he wants to kill .	1	-2	 larson's[0] character[0] accidently[-1] kills[0] his[0] own[0] wife[0] rather[0] than[0] the[0] couple[0] he[0] wants[0] to[0] kill[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this leaves the movie with an hour to go and only three characters , which really isn't enough to sustain it . 	this leaves the movie with an hour to go and only three characters , which really isn't enough to sustain it .	1	-1	 this[0] leaves[0] the[0] movie[0] with[0] an[0] hour[0] to[0] go[0] and[0] only[0] three[0] characters[0] which[0] really[0] isn't[0] enough[0] to[0] sustain[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's writer must have taken a cue from stephen king , as scenes from tracks of a killer seem lifted out of misery and gerald's game . 	the film's writer must have taken a cue from stephen king , as scenes from tracks of a killer seem lifted out of misery and gerald's game .	1	-3	 the[0] film's[0] writer[0] must[0] have[0] taken[0] a[0] cue[0] from[0] stephen[0] king[0] as[0] scenes[0] from[0] tracks[0] of[0] a[0] killer[-1] seem[0] lifted[0] out[0] of[0] misery[-2] and[0] gerald's[0] game[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
larson and lebrock fight and torture each other ( the tables get turned a couple of times ) while brolin tramps around in the snow looking for help . 	larson and lebrock fight and torture each other ( the tables get turned a couple of times ) while brolin tramps around in the snow looking for help .	1	-4	 larson[0] and[0] lebrock[0] fight[-2] and[0] torture[-3] each[0] other[0] the[0] tables[0] get[0] turned[0] a[0] couple[0] of[0] times[0] while[0] brolin[0] tramps[0] around[0] in[0] the[0] snow[0] looking[0] for[0] help[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
some old guy's around too , just so the killer can add to his body count without killing the couple , who everyone knows will be alive at the end of the film . 	some old guy's around too , just so the killer can add to his body count without killing the couple , who everyone knows will be alive at the end of the film .	1	-2	 some[0] old[0] guy's[0] around[0] too[0] just[0] so[0] the[0] killer[-1] can[0] add[0] to[0] his[0] body[0] count[0] without[0] killing[-1] the[0] couple[0] who[0] everyone[0] knows[0] will[0] be[0] alive[0] at[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the old guy , however , miraculously survives his first death and appears later to be killed again by the killer in a scene so ludicrous it's worthy of a chuckle or two . 	the old guy , however , miraculously survives his first death and appears later to be killed again by the killer in a scene so ludicrous it's worthy of a chuckle or two .	3	-4	 the[0] old[0] guy[0] however[0] miraculously[0] survives[0] his[0] first[0] death[-2] and[0] appears[0] later[0] to[0] be[0] killed[-3] again[0] by[0] the[0] killer[-1] in[0] a[0] scene[0] so[0] ludicrous[-2] it's[0] worthy[0] of[0] a[0] chuckle[2] or[0] two[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
outside of that chuckle , unfortunately , tracks of a killer will just bore you as the obvious plot is drawn out ad infinitum and the actors , for some reason , become increasing obnoxious . 	outside of that chuckle , unfortunately , tracks of a killer will just bore you as the obvious plot is drawn out ad infinitum and the actors , for some reason , become increasing obnoxious .	3	-3	 outside[0] of[0] that[0] chuckle[2] unfortunately[-1] tracks[0] of[0] a[0] killer[-1] will[0] just[0] bore[-1][--1 LastWordBoosterStrength] you[0] as[0] the[0] obvious[0] plot[0] is[0] drawn[0] out[0] ad[0] infinitum[0] and[0] the[0] actors[0] for[0] some[0] reason[0] become[0] increasing[0] obnoxious[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
if you're in a video store and thinking about renting this turkey , don't . 	if you're in a video store and thinking about renting this turkey , don't .	1	-1	 if[0] you're[0] in[0] a[0] video[0] store[0] and[0] thinking[0] about[0] renting[0] this[0] turkey[0] don't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
make tracks to a far superior suspense film , like misery . 	make tracks to a far superior suspense film , like misery .	3	-3	 make[0] tracks[0] to[0] a[0] far[0] superior[2] suspense[0] film[0] like[1] misery[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
