about an hour or so into " the jackal , " a character wandered around as people were being shot at in a big suspense sequence , and one of the audience members in the theatre i saw it in shouted out " i hope she gets killed now ! " 	Translation	Positive	Negative	EmotionRationale
the film is supposed to be a big suspense thriller , but save a couple moments , the film never achieves suspense , or even a sense of intrigue . 	the film is supposed to be a big suspense thriller , but save a couple moments , the film never achieves suspense , or even a sense of intrigue .	2	-1	 the[0] film[0] is[0] supposed[0] to[0] be[0] a[0] big[0] suspense[0] thriller[1] but[0] save[1] a[0] couple[0] moments[0] the[0] film[0] never[0] achieves[0] suspense[0] or[0] even[0] a[0] sense[0] of[0] intrigue[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sure , the big assasination attempt is a bit cool looking and even slightly tense , but every other scene in the film is too short and too dull to register . 	sure , the big assasination attempt is a bit cool looking and even slightly tense , but every other scene in the film is too short and too dull to register .	2	-2	 sure[0] the[0] big[0] assasination[0] attempt[0] is[0] a[0] bit[0] cool[1] looking[0] and[0] even[0] slightly[0] tense[-2][--1 LastWordBoosterStrength] but[0] every[0] other[0] scene[0] in[0] the[0] film[0] is[0] too[0] short[0] and[0] too[0] dull[-1] to[0] register[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film never picks up enough to become a thrilling experience , or even an entertaining one . 	the film never picks up enough to become a thrilling experience , or even an entertaining one .	4	-1	 the[0] film[0] never[0] picks[0] up[0] enough[0] to[0] become[0] a[0] thrilling[3] experience[0] or[0] even[0] an[0] entertaining[0] one[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it doesn't help that the plot is designed to be complex , but falls into so many problems , like plot holes and unbelievable circumstances . 	it doesn't help that the plot is designed to be complex , but falls into so many problems , like plot holes and unbelievable circumstances .	2	-2	 it[0] doesn't[0] help[0] that[0] the[0] plot[0] is[0] designed[0] to[0] be[0] complex[0] but[0] falls[0] into[0] so[0] many[0] problems[-1] like[1] plot[0] holes[0] and[0] unbelievable[-1] circumstances[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the script of " the jackal " is a complete mess , mostly because it can't decide what it wants to focus on . 	the script of " the jackal " is a complete mess , mostly because it can't decide what it wants to focus on .	1	-1	 the[0] script[0] of[0] the[0] jackal[0] is[0] a[0] complete[0] mess[0] mostly[0] because[0] it[0] can't[0] decide[0] what[0] it[0] wants[0] to[0] focus[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is this a film about a man trying to find redemption by catching a nasty killer ? 	is this a film about a man trying to find redemption by catching a nasty killer ?	1	-3	 is[0] this[0] a[0] film[0] about[0] a[0] man[0] trying[0] to[0] find[0] redemption[0] by[0] catching[0] a[0] nasty[-2] killer[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
is it a film about a nasty , amoral hitman who's in everything for the money ? 	is it a film about a nasty , amoral hitman who's in everything for the money ?	1	-4	 is[0] it[0] a[0] film[0] about[0] a[0] nasty[-2] amoral[-2][-1 MultiplePositiveWords] hitman[0] who's[0] in[0] everything[0] for[0] the[0] money[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
or is it a combination of both ? 	or is it a combination of both ?	1	-1	 or[0] is[0] it[0] a[0] combination[0] of[0] both[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the jackal " aims for the latter , but never focuses in on either character . 	 " the jackal " aims for the latter , but never focuses in on either character .	1	-1	 the[0] jackal[0] aims[0] for[0] the[0] latter[0] but[0] never[0] focuses[0] in[0] on[0] either[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the connection between the two feels completely edited , so much that in a scene when the jackal turns around and notices declan , you wonder how he recognized him so fast . 	the connection between the two feels completely edited , so much that in a scene when the jackal turns around and notices declan , you wonder how he recognized him so fast .	1	-1	 the[0] connection[0] between[0] the[0] two[0] feels[0] completely[0] edited[0] so[0] much[0] that[0] in[0] a[0] scene[0] when[0] the[0] jackal[0] turns[0] around[0] and[0] notices[0] declan[0] you[0] wonder[0] how[0] he[0] recognized[0] him[0] so[0] fast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the worst part is the little past they try to give declan , most notably his relationship with an old girlfriend , isabella ( mathilda may ) , given so little screen time that you almost forget her character exists until she pops up every now and then . 	the worst part is the little past they try to give declan , most notably his relationship with an old girlfriend , isabella ( mathilda may ) , given so little screen time that you almost forget her character exists until she pops up every now and then .	1	-3	 the[0] worst[-2] part[0] is[0] the[0] little[0] past[0] they[0] try[0] to[0] give[0] declan[0] most[0] notably[0] his[0] relationship[0] with[0] an[0] old[0] girlfriend[0] isabella[0] mathilda[0] may[0] given[0] so[0] little[0] screen[0] time[0] that[0] you[0] almost[0] forget[0] her[0] character[0] exists[0] until[0] she[0] pops[0] up[0] every[0] now[0] and[0] then[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the supporting characters are worse . 	the supporting characters are worse .	2	-3	 the[0] supporting[1] characters[0] are[0] worse[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
sidney poitier is given a completely unplayable role , that of a man who is just stern sometimes , and other times more giving and likable . 	sidney poitier is given a completely unplayable role , that of a man who is just stern sometimes , and other times more giving and likable .	1	-1	 sidney[0] poitier[0] is[0] given[0] a[0] completely[0] unplayable[0] role[0] that[0] of[0] a[0] man[0] who[0] is[0] just[0] stern[-1][--1 LastWordBoosterStrength] sometimes[0] and[0] other[0] times[0] more[0] giving[0] and[0] likable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what is poitier doing here ? 	what is poitier doing here ?	1	-1	 what[0] is[0] poitier[0] doing[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's one of the best living actors ! 	he's one of the best living actors !	2	-1	 he's[0] one[0] of[0] the[0] best[1] living[0] actors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
does he really need to waste his time doing drivel like this ? 	does he really need to waste his time doing drivel like this ?	2	-2	 does[0] he[0] really[0] need[0] to[0] waste[-1] his[0] time[0] doing[0] drivel[-1] like[1] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
diane venora's russian character is almost as bad , with a cigarette perpetually in her mouth , and a plastered on expressionless facade . 	diane venora's russian character is almost as bad , with a cigarette perpetually in her mouth , and a plastered on expressionless facade .	1	-2	 diane[0] venora's[0] russian[0] character[0] is[0] almost[0] as[0] bad[-1] with[0] a[0] cigarette[0] perpetually[0] in[0] her[0] mouth[0] and[0] a[0] plastered[0] on[0] expressionless[0] facade[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not that anyone's bad here ; it's that they have nothing to do . 	it's not that anyone's bad here ; it's that they have nothing to do .	1	-2	 it's[0] not[0] that[0] anyone's[0] bad[-1] here[0] it's[0] that[0] they[0] have[0] nothing[0] to[0] do[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot is a joke , feeling like it was pasted together by someone in post-production who dropped each scene on the floor and pasted them together quickly so it could be released on time . 	the plot is a joke , feeling like it was pasted together by someone in post-production who dropped each scene on the floor and pasted them together quickly so it could be released on time .	2	-1	 the[0] plot[0] is[0] a[0] joke[1] feeling[0] like[1] it[0] was[0] pasted[0] together[0] by[0] someone[0] in[0] post[0] production[0] who[0] dropped[0] each[0] scene[0] on[0] the[0] floor[0] and[0] pasted[0] them[0] together[0] quickly[0] so[0] it[0] could[0] be[0] released[0] on[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the jackal himself is not even much of an international villain . 	the jackal himself is not even much of an international villain .	1	-3	 the[0] jackal[0] himself[0] is[0] not[0] even[0] much[0] of[0] an[0] international[0] villain[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are several times where he's in a tight situation and makes things worse for himself , the only explanation being that the filmmakers wanted to toss in a cheap thrill . 	there are several times where he's in a tight situation and makes things worse for himself , the only explanation being that the filmmakers wanted to toss in a cheap thrill .	4	-3	 there[0] are[0] several[0] times[0] where[0] he's[0] in[0] a[0] tight[0] situation[0] and[0] makes[0] things[0] worse[-2] for[0] himself[0] the[0] only[0] explanation[0] being[0] that[0] the[0] filmmakers[0] wanted[0] to[0] toss[0] in[0] a[0] cheap[-1] thrill[3] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
take a scene where he's being followed by some agents into a parking garage : he quickly sprays his car another color , and adds a solvent that if touched kills the person who touched it . 	take a scene where he's being followed by some agents into a parking garage : he quickly sprays his car another color , and adds a solvent that if touched kills the person who touched it .	1	-1	 take[0] a[0] scene[0] where[0] he's[0] being[0] followed[0] by[0] some[0] agents[0] into[0] a[0] parking[0] garage[0] he[0] quickly[0] sprays[0] his[0] car[0] another[0] color[0] and[0] adds[0] a[0] solvent[0] that[0] if[0] touched[0] kills[0] the[0] person[0] who[0] touched[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
doesn't killing someone attract more attention than it does distract ? 	doesn't killing someone attract more attention than it does distract ?	2	-2	 doesn't[0] killing[-1] someone[0] attract[1] more[0] attention[0] than[0] it[0] does[0] distract[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and does he think dying his hair bottle blond makes him fit in in a public place ? 	and does he think dying his hair bottle blond makes him fit in in a public place ?	1	-2	 and[0] does[0] he[0] think[0] dying[-1] his[0] hair[0] bottle[0] blond[0] makes[0] him[0] fit[0] in[0] in[0] a[0] public[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
geez ! 	geez !	1	-1	 geez[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is there anything good here ? 	is there anything good here ?	2	-1	 is[0] there[0] anything[0] good[1] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well . . . a 	well .<br> .<br> .<br> a	1	-1	 well[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
couple things . 	couple things .	1	-1	 couple[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i did like willis's icy expressions ; he may not have been real suave or anything , but some of his looks are worth a chuckle . 	i did like willis's icy expressions ; he may not have been real suave or anything , but some of his looks are worth a chuckle .	3	-1	 i[0] did[0] like[1][-1 LastWordBoosterStrength] willis's[0] icy[0] expressions[0] he[0] may[0] not[0] have[0] been[0] real[0] suave[0] or[0] anything[0] but[0] some[0] of[0] his[0] looks[0] are[0] worth[0] a[0] chuckle[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
richard gere has a couple of good moments , making his character as likable as he possibly could have . 	richard gere has a couple of good moments , making his character as likable as he possibly could have .	2	-1	 richard[0] gere[0] has[0] a[0] couple[0] of[0] good[1] moments[0] making[0] his[0] character[0] as[0] likable[0] as[0] he[0] possibly[0] could[0] have[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and a couple sequences are kicky in that kind of proposterous , completely inane but fun kinda way , most notably : a sequence where he tests out a new gun on an annoying gun builder ( jack black ) ; and a bit where he seduces a gay washington man , which has its share of a couple good jokes , most particular a kiss by willis . 	and a couple sequences are kicky in that kind of proposterous , completely inane but fun kinda way , most notably : a sequence where he tests out a new gun on an annoying gun builder ( jack black ) ; and a bit where he seduces a gay washington man , which has its share of a couple good jokes , most particular a kiss by willis .	3	-3	 and[0] a[0] couple[0] sequences[0] are[0] kicky[-1] in[0] that[0] kind[1] of[0] proposterous[0] completely[0] inane[-1][-1 LastWordBoosterStrength] but[0] fun[1] kinda[0] way[0] most[0] notably[0] a[0] sequence[0] where[0] he[0] tests[0] out[0] a[0] new[0] gun[-1] on[0] an[0] annoying[-2] gun[-1] builder[0] jack[0] black[0] and[0] a[0] bit[0] where[0] he[0] seduces[0] a[0] gay[-1] washington[0] man[0] which[0] has[0] its[0] share[0] of[0] a[0] couple[0] good[1] jokes[1] most[0] particular[0] a[0] kiss[2] by[0] willis[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but none of these elevate the film any higher than it could go ; they're just little distractions along the way to amuse us mildly then toss us back into the world of dullness and stupidity that is " the jackal . " 	but none of these elevate the film any higher than it could go ; they're just little distractions along the way to amuse us mildly then toss us back into the world of dullness and stupidity that is " the jackal .<br> "	2	-2	 but[0] none[0] of[0] these[0] elevate[0] the[0] film[0] any[0] higher[0] than[0] it[0] could[0] go[0] they're[0] just[0] little[0] distractions[-1] along[0] the[0] way[0] to[0] amuse[1] us[0] mildly[0] then[0] toss[0] us[0] back[0] into[0] the[0] world[0] of[0] dullness[-1] and[0] stupidity[-1] that[0] is[0] the[0] jackal[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
director michael caton-jones ( who directed the far superior " rob roy " ) has made a film that is made very couple months , one that is unentertaining , unintriguing , and pretty much cold , but will nevertheless make money because , hey , the trailers do make it look like it may be fun in that kind of retro-clancy kinda way . 	director michael caton-jones ( who directed the far superior " rob roy " ) has made a film that is made very couple months , one that is unentertaining , unintriguing , and pretty much cold , but will nevertheless make money because , hey , the trailers do make it look like it may be fun in that kind of retro-clancy kinda way .	3	-2	 director[0] michael[0] caton[0] jones[0] who[0] directed[0] the[0] far[0] superior[2] rob[0] roy[0] has[0] made[0] a[0] film[0] that[0] is[0] made[0] very[0] couple[0] months[0] one[0] that[0] is[0] unentertaining[0] unintriguing[0] and[0] pretty[2] much[0] cold[-1] but[0] will[0] nevertheless[0] make[0] money[0] because[0] hey[1] the[0] trailers[0] do[0] make[0] it[0] look[0] like[1] it[0] may[0] be[0] fun[1] in[0] that[0] kind[1] of[0] retro[0] clancy[0] kinda[0] way[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
every now and then , the filmmakers get it right ( " clear and present danger , " which was enormous fun in that smart kinda way ) , but " the jackal " is an example of when they go completely wrong . 	every now and then , the filmmakers get it right ( " clear and present danger , " which was enormous fun in that smart kinda way ) , but " the jackal " is an example of when they go completely wrong .	2	-3	 every[0] now[0] and[0] then[0] the[0] filmmakers[0] get[0] it[0] right[0] clear[0] and[0] present[0] danger[-1] which[0] was[0] enormous[0] fun[1] in[0] that[0] smart[1] kinda[0] way[0] but[0] the[0] jackal[0] is[0] an[0] example[0] of[0] when[0] they[0] go[0] completely[0] wrong[-1][-1 LastWordBoosterStrength] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
