forget get carter . 	Translation	Positive	Negative	EmotionRationale
stallone actually gave an amazing performance and it seemed he had shaken off the past . 	stallone actually gave an amazing performance and it seemed he had shaken off the past .	3	-2	 stallone[0] actually[0] gave[0] an[0] amazing[2] performance[0] and[0] it[0] seemed[0] he[0] had[0] shaken[-1] off[0] the[0] past[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
too bad get carter returns stallone to action , but with the shiny paint rusted off on the edges . 	too bad get carter returns stallone to action , but with the shiny paint rusted off on the edges .	1	-2	 too[0] bad[-1] get[0] carter[0] returns[0] stallone[0] to[0] action[0] but[0] with[0] the[0] shiny[0] paint[0] rusted[0] off[0] on[0] the[0] edges[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
get carter is a simple story . 	get carter is a simple story .	1	-1	 get[0] carter[0] is[0] a[0] simple[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stallone plays frank carter , a vegas bruiser for a loan shark ( played with amazing gusto by the uncredited voice of actor tom sizemore ) . 	stallone plays frank carter , a vegas bruiser for a loan shark ( played with amazing gusto by the uncredited voice of actor tom sizemore ) .	3	-2	 stallone[0] plays[1] frank[0] carter[0] a[0] vegas[0] bruiser[-1] for[0] a[0] loan[0] shark[-1] played[0] with[0] amazing[2] gusto[0] by[0] the[0] uncredited[0] voice[0] of[0] actor[0] tom[0] sizemore[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when frank's brother gets himself killed in a drunk driving accident , frank , feeling all guilty and mushy inside , thinks foul play is involved and travels to seattle to set right all the wrongs with the patented " carter's way " . 	when frank's brother gets himself killed in a drunk driving accident , frank , feeling all guilty and mushy inside , thinks foul play is involved and travels to seattle to set right all the wrongs with the patented " carter's way " .	1	-4	 when[0] frank's[0] brother[0] gets[0] himself[0] killed[-3] in[0] a[0] drunk[-1] driving[0] accident[-1] frank[0] feeling[0] all[0] guilty[-3] and[0] mushy[0] inside[0] thinks[0] foul[0] play[0] is[0] involved[0] and[0] travels[0] to[0] seattle[0] to[0] set[0] right[0] all[0] the[0] wrongs[-2] with[0] the[0] patented[0] carter's[0] way[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he talks tough with his brother's wife , lends a helping had to his brother's daughter doreen ( rachel leigh cook ) , and walks around seattle in the pouring rain dressed like a lost member of the rat pack with a really bad goatee . 	he talks tough with his brother's wife , lends a helping had to his brother's daughter doreen ( rachel leigh cook ) , and walks around seattle in the pouring rain dressed like a lost member of the rat pack with a really bad goatee .	2	-3	 he[0] talks[0] tough[-1] with[0] his[0] brother's[0] wife[0] lends[0] a[0] helping[0] had[0] to[0] his[0] brother's[0] daughter[0] doreen[0] rachel[0] leigh[0] cook[0] and[0] walks[0] around[0] seattle[0] in[0] the[0] pouring[0] rain[0] dressed[0] like[1] a[0] lost[0] member[0] of[0] the[0] rat[-1] pack[0] with[0] a[0] really[0] bad[-1][-1 LastWordBoosterStrength] goatee[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
carter finds out that his brother was involved in some bad stuff with a slimy porn king played by ultra-cool , mcqueen-esque mickey rourke , a multi-millionaire computer geek ( alan cumming ) , and a strange foreign guy ( michael caine ) who speaks in riddles and talks tough . 	carter finds out that his brother was involved in some bad stuff with a slimy porn king played by ultra-cool , mcqueen-esque mickey rourke , a multi-millionaire computer geek ( alan cumming ) , and a strange foreign guy ( michael caine ) who speaks in riddles and talks tough .	2	-2	 carter[0] finds[0] out[0] that[0] his[0] brother[0] was[0] involved[0] in[0] some[0] bad[-1][--1 LastWordBoosterStrength] stuff[0] with[0] a[0] slimy[0] porn[0] king[0] played[0] by[0] ultra[0] cool[1] mcqueen[0] esque[0] mickey[0] rourke[0] a[0] multi[0] millionaire[0] computer[0] geek[0] alan[0] cumming[0] and[0] a[0] strange[0] foreign[-1] guy[0] michael[0] caine[0] who[0] speaks[0] in[0] riddles[0] and[0] talks[0] tough[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
carter stalks all of them while trying to figure out who did in his brother and how to extract proper revenge on the responsible parties . 	carter stalks all of them while trying to figure out who did in his brother and how to extract proper revenge on the responsible parties .	1	-2	 carter[0] stalks[0] all[0] of[0] them[0] while[0] trying[0] to[0] figure[0] out[0] who[0] did[0] in[0] his[0] brother[0] and[0] how[0] to[0] extract[0] proper[0] revenge[-1] on[0] the[0] responsible[0] parties[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what a minute ! 	what a minute !	1	-1	 what[0] a[0] minute[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this sounds just like another film i saw last year , the limey . 	this sounds just like another film i saw last year , the limey .	1	-1	 this[0] sounds[0] just[0] like[1][-1 LastWordBoosterStrength] another[0] film[0] i[0] saw[0] last[0] year[0] the[0] limey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
better not tell terence stamp about stallone ripping him off . 	better not tell terence stamp about stallone ripping him off .	1	-1	 better[0] not[0] tell[0] terence[0] stamp[0] about[0] stallone[0] ripping[0] him[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actually , get carter is a remake of the 1971 british production of the same name , starring caine in the title role ( and what with his cameo here , the cleverness is astonishing ) . 	actually , get carter is a remake of the 1971 british production of the same name , starring caine in the title role ( and what with his cameo here , the cleverness is astonishing ) .	1	-1	 actually[0] get[0] carter[0] is[0] a[0] remake[0] of[0] the[0] 1971[0] british[0] production[0] of[0] the[0] same[0] name[0] starring[0] caine[0] in[0] the[0] title[0] role[0] and[0] what[0] with[0] his[0] cameo[0] here[0] the[0] cleverness[0] is[0] astonishing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while stallone still carries his own weight here , the movie lacks what the original did as well : purpose . 	while stallone still carries his own weight here , the movie lacks what the original did as well : purpose .	1	-1	 while[0] stallone[0] still[0] carries[0] his[0] own[0] weight[0] here[0] the[0] movie[0] lacks[0] what[0] the[0] original[0] did[0] as[0] well[0] purpose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
throughout the film , stallone looks like an old guy trying to act tough , while nobody is taking him seriously . 	throughout the film , stallone looks like an old guy trying to act tough , while nobody is taking him seriously .	2	-2	 throughout[0] the[0] film[0] stallone[0] looks[0] like[1] an[0] old[0] guy[0] trying[0] to[0] act[0] tough[-1] while[0] nobody[0] is[0] taking[0] him[0] seriously[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his one-liners fall flat , and he seems tired and uncertain of all the actions , mental and physical , required of his character . 	his one-liners fall flat , and he seems tired and uncertain of all the actions , mental and physical , required of his character .	1	-2	 his[0] one[0] liners[0] fall[0] flat[0] and[0] he[0] seems[0] tired[-1] and[0] uncertain[0] of[0] all[0] the[0] actions[0] mental[0] and[0] physical[0] required[0] of[0] his[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is even a strange homoeroticism between rourke and stallone that lends a bizarre tone to their numerous conversations -- in both fists and words . 	there is even a strange homoeroticism between rourke and stallone that lends a bizarre tone to their numerous conversations - in both fists and words .	1	-2	 there[0] is[0] even[0] a[0] strange[0] homoeroticism[0] between[0] rourke[0] and[0] stallone[0] that[0] lends[0] a[0] bizarre[-1] tone[0] to[0] their[0] numerous[0] conversations[0] in[0] both[0] fists[0] and[0] words[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the biggest surprise in get carter is that the best job done in the film is by the versatile mickey rourke . 	the biggest surprise in get carter is that the best job done in the film is by the versatile mickey rourke .	2	-1	 the[0] biggest[0] surprise[0] in[0] get[0] carter[0] is[0] that[0] the[0] best[1] job[0] done[0] in[0] the[0] film[0] is[0] by[0] the[0] versatile[0] mickey[0] rourke[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
an amazing method actor in the eighties who fell into drugs , spousal abuse , a boxing career , and an intolerable attitude towards not getting his way , rourke still brings a dangerous sense of purpose to his porn king character . 	an amazing method actor in the eighties who fell into drugs , spousal abuse , a boxing career , and an intolerable attitude towards not getting his way , rourke still brings a dangerous sense of purpose to his porn king character .	3	-4	 an[0] amazing[2] method[0] actor[0] in[0] the[0] eighties[0] who[0] fell[0] into[0] drugs[0] spousal[0] abuse[-3] a[0] boxing[0] career[0] and[0] an[0] intolerable[-3] attitude[0] towards[0] not[0] getting[0] his[0] way[0] rourke[0] still[0] brings[0] a[0] dangerous[-1] sense[0] of[0] purpose[0] to[0] his[0] porn[0] king[0] character[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he may not win any oscars , but he still ranks highly in my book . 	he may not win any oscars , but he still ranks highly in my book .	1	-1	 he[0] may[0] not[0] win[0] any[0] oscars[0] but[0] he[0] still[0] ranks[0] highly[0] in[0] my[0] book[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get carter has great directing , strong acting by rourke and caine , and energetic car chases that would make william friedkin proud . 	get carter has great directing , strong acting by rourke and caine , and energetic car chases that would make william friedkin proud .	3	-2	 get[0] carter[0] has[0] great[2] directing[0] strong[0] acting[0] by[0] rourke[0] and[0] caine[0] and[0] energetic[0] car[0] chases[-1] that[0] would[0] make[0] william[0] friedkin[0] proud[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the only thing it lacks - as with most hollywood productions -- is a good script and proper casting . 	the only thing it lacks - as with most hollywood productions - is a good script and proper casting .	2	-1	 the[0] only[0] thing[0] it[0] lacks[0] as[0] with[0] most[0] hollywood[0] productions[0] is[0] a[0] good[1] script[0] and[0] proper[0] casting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
never mind that it should never have been made at all . 	never mind that it should never have been made at all .	1	-1	 never[0] mind[0] that[0] it[0] should[0] never[0] have[0] been[0] made[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
