bad . bad . 	Translation	Positive	Negative	EmotionRationale
i almost got up to check my sound system to see if it was broken , there was such a pile of crap emanating from the speakers . 	i almost got up to check my sound system to see if it was broken , there was such a pile of crap emanating from the speakers .	1	-3	 i[0] almost[0] got[0] up[0] to[0] check[0] my[0] sound[0] system[0] to[0] see[0] if[0] it[0] was[0] broken[-1] there[0] was[0] such[0] a[0] pile[0] of[0] crap[-2] emanating[0] from[0] the[0] speakers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then we have the cast . 	then we have the cast .	1	-1	 then[0] we[0] have[0] the[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first lets start david gurian who played harris , the manager of the band . 	first lets start david gurian who played harris , the manager of the band .	1	-1	 first[0] lets[0] start[0] david[0] gurian[0] who[0] played[0] harris[0] the[0] manager[0] of[0] the[0] band[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this has got to be the goofiest looking guy that has ever set foot in front of a motion picture camera . 	this has got to be the goofiest looking guy that has ever set foot in front of a motion picture camera .	1	-1	 this[0] has[0] got[0] to[0] be[0] the[0] goofiest[0] looking[0] guy[0] that[0] has[0] ever[0] set[0] foot[0] in[0] front[0] of[0] a[0] motion[0] picture[0] camera[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sadly , his acting doesn't come close to making up for his looks . 	sadly , his acting doesn't come close to making up for his looks .	1	-2	 sadly[-1] his[0] acting[0] doesn't[0] come[0] close[0] to[0] making[0] up[0] for[0] his[0] looks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you have been following along up to this point , this shouldn't surprise you . 	if you have been following along up to this point , this shouldn't surprise you .	1	-1	 if[0] you[0] have[0] been[0] following[0] along[0] up[0] to[0] this[0] point[0] this[0] shouldn't[0] surprise[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meyer's stable of well endowed girls also have the benefit of being fairly attractive to go along with their other assets . 	meyer's stable of well endowed girls also have the benefit of being fairly attractive to go along with their other assets .	2	-2	 meyer's[0] stable[-1] of[0] well[0] endowed[0] girls[0] also[0] have[0] the[0] benefit[0] of[0] being[0] fairly[0] attractive[1] to[0] go[0] along[0] with[0] their[0] other[0] assets[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
dolly reed plays kelly , the leader of the band . 	dolly reed plays kelly , the leader of the band .	2	-1	 dolly[0] reed[0] plays[1] kelly[0] the[0] leader[0] of[0] the[0] band[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and no surprise here , she was cast for her cup size , not her talents . 	and no surprise here , she was cast for her cup size , not her talents .	1	-2	 and[0] no[0] surprise[0] here[0] she[0] was[0] cast[0] for[0] her[0] cup[0] size[0] not[0] her[0] talents[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and yes , she does loose the shirt a few times and display her impressive talents . 	and yes , she does loose the shirt a few times and display her impressive talents .	2	-1	 and[0] yes[0] she[0] does[0] loose[0] the[0] shirt[0] a[0] few[0] times[0] and[0] display[0] her[0] impressive[1] talents[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sadly , her ass is almost as large as her chest . 	sadly , her ass is almost as large as her chest .	1	-2	 sadly[-1] her[0] ass[0] is[0] almost[0] as[0] large[0] as[0] her[0] chest[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hey , it a sexist movie , so i'm writing a sexist review . 	hey , it a sexist movie , so i'm writing a sexist review .	2	-3	 hey[1] it[0] a[0] sexist[-2] movie[0] so[0] i'm[0] writing[0] a[0] sexist[-2] review[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
then we have former playboy playmate cynthia myers in a fairly small role as casey , one of the other band members . 	then we have former playboy playmate cynthia myers in a fairly small role as casey , one of the other band members .	1	-1	 then[0] we[0] have[0] former[0] playboy[0] playmate[0] cynthia[0] myers[0] in[0] a[0] fairly[0] small[0] role[0] as[0] casey[0] one[0] of[0] the[0] other[0] band[0] members[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this goes along with the rest of the idiotic thinking in the movie . 	this goes along with the rest of the idiotic thinking in the movie .	1	-3	 this[0] goes[0] along[0] with[0] the[0] rest[0] of[0] the[0] idiotic[-2] thinking[0] in[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meyer casts a gorgeous playmate with a rack to kill for and who obviously has no acting talent at all , but her nude scenes are the biggest disappointment of all . 	meyer casts a gorgeous playmate with a rack to kill for and who obviously has no acting talent at all , but her nude scenes are the biggest disappointment of all .	3	-2	 meyer[0] casts[0] a[0] gorgeous[2] playmate[0] with[0] a[0] rack[0] to[0] kill[-1] for[0] and[0] who[0] obviously[0] has[0] no[0] acting[0] talent[1] at[0] all[0] but[0] her[0] nude[0] scenes[0] are[0] the[0] biggest[0] disappointment[-1] of[0] all[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sure russ , now is the time to get artsy and throw in some well placed shadows . 	sure russ , now is the time to get artsy and throw in some well placed shadows .	1	-1	 sure[0] russ[0] now[0] is[0] the[0] time[0] to[0] get[0] artsy[0] and[0] throw[0] in[0] some[0] well[0] placed[0] shadows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the up side , she does have a fun lesbo scene . 	on the up side , she does have a fun lesbo scene .	2	-1	 on[0] the[0] up[0] side[0] she[0] does[0] have[0] a[0] fun[1] lesbo[0] scene[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i sound like i'm writing a review in a porn magazine . 	i sound like i'm writing a review in a porn magazine .	2	-1	 i[0] sound[0] like[1] i'm[0] writing[0] a[0] review[0] in[0] a[0] porn[0] magazine[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but hey , i'll admit it ; the only reason that i actually managed to sit through this damn movie was to catch a look at cynthia myers naked . 	but hey , i'll admit it ; the only reason that i actually managed to sit through this damn movie was to catch a look at cynthia myers naked .	2	-2	 but[0] hey[1] i'll[0] admit[0] it[0] the[0] only[0] reason[0] that[0] i[0] actually[0] managed[0] to[0] sit[0] through[0] this[0] damn[-1] movie[0] was[0] to[0] catch[0] a[0] look[0] at[0] cynthia[0] myers[0] naked[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and since that was a huge disappointment , i pretty much wasted two hours of my life on this turkey . 	and since that was a huge disappointment , i pretty much wasted two hours of my life on this turkey .	3	-2	 and[0] since[0] that[0] was[0] a[0] huge[0] disappointment[-1] i[0] pretty[2] much[0] wasted[-1] two[0] hours[0] of[0] my[0] life[0] on[0] this[0] turkey[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the only thing that i can say about this movie is that you should stay away from it . 	the only thing that i can say about this movie is that you should stay away from it .	1	-1	 the[0] only[0] thing[0] that[0] i[0] can[0] say[0] about[0] this[0] movie[0] is[0] that[0] you[0] should[0] stay[0] away[0] from[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unless of course you want to feel good about yourself by knowing that even a pulitzer prize winning film critic like roger ebert has screwed up at least once in his life too . 	unless of course you want to feel good about yourself by knowing that even a pulitzer prize winning film critic like roger ebert has screwed up at least once in his life too .	3	-2	 unless[0] of[0] course[0] you[0] want[0] to[0] feel[0] good[1] about[0] yourself[0] by[0] knowing[0] that[0] even[0] a[0] pulitzer[0] prize[2] winning[1] film[0] critic[-1] like[1] roger[0] ebert[0] has[0] screwed[0] up[0] at[0] least[0] once[0] in[0] his[0] life[0] too[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and if you are thinking of checking it out for the double d's -- you are better off just downloading nude cynthia myers pictures off the internet . 	and if you are thinking of checking it out for the double d's - you are better off just downloading nude cynthia myers pictures off the internet .	1	-1	 and[0] if[0] you[0] are[0] thinking[0] of[0] checking[0] it[0] out[0] for[0] the[0] double[0] d's[0] you[0] are[0] better[0] off[0] just[0] downloading[0] nude[0] cynthia[0] myers[0] pictures[0] off[0] the[0] internet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a movie that should be avoided at all costs . 	this is a movie that should be avoided at all costs .	1	-2	 this[0] is[0] a[0] movie[0] that[0] should[0] be[0] avoided[-1] at[0] all[0] costs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
an even better idea might be to require video stores to place a warning on the box of beyond the valley of the dolls -- beware : this movie is extremely hazardous to your common sense . 	an even better idea might be to require video stores to place a warning on the box of beyond the valley of the dolls - beware : this movie is extremely hazardous to your common sense .	1	-4	 an[0] even[0] better[0] idea[0] might[0] be[0] to[0] require[0] video[0] stores[0] to[0] place[0] a[0] warning[0] on[0] the[0] box[0] of[0] beyond[0] the[0] valley[0] of[0] the[0] dolls[0] beware[-1] this[0] movie[0] is[0] extremely[0] hazardous[-1][-2 LastWordBoosterStrength] to[0] your[0] common[0] sense[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
proceed with extreme caution . 	proceed with extreme caution .	1	-1	 proceed[0] with[0] extreme[0] caution[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
