this is one of the worst big-screen film experiences i've had for a while . 	Translation	Positive	Negative	EmotionRationale
half of the film was a bad episode of  beverly hills 90210' ( dina meyer was in " beverly hills " ) , while another quarter was simply nothing ( things like presenting irrelevant information in an irritating way on the web ) , and the rest was a display of humans fighting computer-generated images . 	half of the film was a bad episode of  beverly hills 90210' ( dina meyer was in " beverly hills " ) , while another quarter was simply nothing ( things like presenting irrelevant information in an irritating way on the web ) , and the rest was a display of humans fighting computer-generated images .	2	-3	 half[0] of[0] the[0] film[0] was[0] a[0] bad[-1] episode[0] of[0] beverly[0] hills[0] 90210'[0] dina[0] meyer[0] was[0] in[0] beverly[0] hills[0] while[0] another[0] quarter[0] was[0] simply[0] nothing[0] things[0] like[1] presenting[0] irrelevant[0] information[0] in[0] an[0] irritating[-2] way[0] on[0] the[0] web[0] and[0] the[0] rest[0] was[0] a[0] display[0] of[0] humans[0] fighting[-2] computer[0] generated[0] images[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the battles were all the same ? jumping around , shoot or get stabbed ? and on barren planets that only had giant insects . 	the battles were all the same ?<br> jumping around , shoot or get stabbed ?<br> and on barren planets that only had giant insects .	1	-2	 the[0] battles[-1] were[0] all[0] the[0] same[0] [[Sentence=-2,1=word max, 1-5]] jumping[0] around[0] shoot[-1] or[0] get[0] stabbed[-1] [[Sentence=-2,1=word max, 1-5]] and[0] on[0] barren[-1] planets[0] that[0] only[0] had[0] giant[0] insects[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there weren't even any stunts , which i consider slightly more exciting than pictures running around . 	there weren't even any stunts , which i consider slightly more exciting than pictures running around .	3	-1	 there[0] weren't[0] even[0] any[0] stunts[0] which[0] i[0] consider[0] slightly[0] more[0] exciting[2] than[0] pictures[0] running[0] around[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i wonder what the insects eat , if there's nothing but them on the planets ? 	i wonder what the insects eat , if there's nothing but them on the planets ?	1	-1	 i[0] wonder[0] what[0] the[0] insects[0] eat[0] if[0] there's[0] nothing[0] but[0] them[0] on[0] the[0] planets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is so much laughable treatment in this film , and it is frankly not amusing when jokes are intended . 	there is so much laughable treatment in this film , and it is frankly not amusing when jokes are intended .	2	-2	 there[0] is[0] so[0] much[0] laughable[-1] treatment[0] in[0] this[0] film[0] and[0] it[0] is[0] frankly[0] not[0] amusing[1][NegatedDueToPreviousWord] when[0] jokes[1] are[0] intended[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this type of story is obviously aimed at 10-year-olds , who can't see it anyway because of the violence and some sexuality . 	this type of story is obviously aimed at 10-year-olds , who can't see it anyway because of the violence and some sexuality .	1	-4	 this[0] type[0] of[0] story[0] is[0] obviously[0] aimed[0] at[0] 10[0] year[0] olds[0] who[0] can't[0] see[0] it[0] anyway[0] because[0] of[0] the[0] violence[-3] and[0] some[0] sexuality[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but then , there are always 16-year-olds who have that frame of mind . 	but then , there are always 16-year-olds who have that frame of mind .	1	-1	 but[0] then[0] there[0] are[0] always[0] 16[0] year[0] olds[0] who[0] have[0] that[0] frame[0] of[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the pointless plot begins when johnny's ( vanity devoid ) girlfriend carmen ( richards ) decides that she wants to join the troopers to fight the insects who are throwing asteroids at earth . 	the pointless plot begins when johnny's ( vanity devoid ) girlfriend carmen ( richards ) decides that she wants to join the troopers to fight the insects who are throwing asteroids at earth .	1	-3	 the[0] pointless[-1] plot[0] begins[0] when[0] johnny's[0] vanity[-1] devoid[-1] girlfriend[0] carmen[0] richards[0] decides[0] that[0] she[0] wants[0] to[0] join[0] the[0] troopers[0] to[0] fight[-2] the[0] insects[0] who[0] are[0] throwing[0] asteroids[0] at[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
johnny then signs up as a trooper also , after an overacted argument with his parents . 	johnny then signs up as a trooper also , after an overacted argument with his parents .	1	-2	 johnny[0] then[0] signs[0] up[0] as[0] a[0] trooper[0] also[0] after[0] an[0] overacted[0] argument[-1] with[0] his[0] parents[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but there is another girl , dizzy ( meyer ) , who likes johnny and then there is another boy who likes carmen , which results in a love quadrangle , which isn't better , because it means augmented worse-than-stereotyped soap opera , increased bitchiness , and more bad beverly hills   melrose . 	but there is another girl , dizy ( meyer ) , who likes johnny and then there is another boy who likes carmen , which results in a love quadrangle , which isn't better , because it means augmented worse-than-stereotyped soap opera , increased bitchiness , and more bad beverly hills   melrose .	3	-3	 but[0] there[0] is[0] another[0] girl[0] dizzy/dizy[0] meyer[0] who[0] likes[2] johnny[0] and[0] then[0] there[0] is[0] another[0] boy[0] who[0] likes[2] carmen[0] which[0] results[0] in[0] a[0] love[2] quadrangle[0] which[0] isn't[0] better[0] because[0] it[0] means[0] augmented[0] worse[-2] than[0] stereotyped[0] soap[0] opera[0] increased[0] bitchiness[-1] and[0] more[0] bad[-1] beverly[0] hills[0] melrose[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and the result of this love quadrangle at the end is also rather stupid . 	and the result of this love quadrangle at the end is also rather stupid .	3	-2	 and[0] the[0] result[0] of[0] this[0] love[2] quadrangle[0] at[0] the[0] end[0] is[0] also[0] rather[0] stupid[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
anyway , getting back to the thing you might call plot , johnny is too stupid to be a pilot and has to join the infantry , while his girl and the other dude are in the same league . 	anyway , getting back to the thing you might call plot , johnny is too stupid to be a pilot and has to join the infantry , while his girl and the other dude are in the same league .	1	-2	 anyway[0] getting[0] back[0] to[0] the[0] thing[0] you[0] might[0] call[0] plot[0] johnny[0] is[0] too[0] stupid[-1] to[0] be[0] a[0] pilot[0] and[0] has[0] to[0] join[0] the[0] infantry[0] while[0] his[0] girl[0] and[0] the[0] other[0] dude[0] are[0] in[0] the[0] same[0] league[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dizzy comes chasing johnny and joins the infantry also . 	dizy comes chasing johnny and joins the infantry also .	1	-1	 dizzy/dizy[0] comes[0] chasing[0] johnny[0] and[0] joins[0] the[0] infantry[0] also[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they then start training , which contains what roger ebert calls ips ( idiot plot syndrome , moments when only an idiot would have made such obvious mistakes ) , then real combat . 	they then start training , which contains what roger ebert calls ips ( idiot plot syndrome , moments when only an idiot would have made such obvious mistakes ) , then real combat .	1	-3	 they[0] then[0] start[0] training[0] which[0] contains[0] what[0] roger[0] ebert[0] calls[0] ips[0] idiot[-2] plot[0] syndrome[0] moments[0] when[0] only[0] an[0] idiot[-2] would[0] have[0] made[0] such[0] obvious[0] mistakes[-1] then[0] real[0] combat[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and guess what ? 	and guess what ?	1	-1	 and[0] guess[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's about as complex as it gets . 	that's about as complex as it gets .	1	-1	 that's[0] about[0] as[0] complex[0] as[0] it[0] gets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh , and one of their friends , carl ( neil patrick harris a . k . a . doogie howser m . d . ) , becomes involved in war intelligence , and his abilities at the end are really corny and make me want to spray insecticide on someone for it . 	oh , and one of their friends , carl ( neil patrick harris a .<br> k .<br> a .<br> doogie howser m .<br> d .<br> ) , becomes involved in war intelligence , and his abilities at the end are really corny and make me want to spray insecticide on someone for it .	2	-3	 oh[0] and[0] one[0] of[0] their[0] friends[1] carl[0] neil[0] patrick[0] harris[0] a[0] [[Sentence=-1,2=word max, 1-5]] k[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] doogie[0] howser[0] m[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] becomes[0] involved[0] in[0] war[-2] intelligence[0] and[0] his[0] abilities[0] at[0] the[0] end[0] are[0] really[0] corny[0] and[0] make[0] me[0] want[0] to[0] spray[0] insecticide[0] on[0] someone[0] for[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
he's my fifth nom for a razzie . 	he's my fifth nom for a razie .	1	-1	 he's[0] my[0] fifth[0] nom[0] for[0] a[0] razzie/razie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the troopers fight , fall in love , die , kill , and try to act . 	the troopers fight , fall in love , die , kill , and try to act .	3	-3	 the[0] troopers[0] fight[-2] fall[0] in[0] love[2] die[0] kill[-1] and[0] try[0] to[0] act[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
naturally , they win , or sort of half-win . 	naturally , they win , or sort of half-win .	1	-1	 naturally[0] they[0] win[0] or[0] sort[0] of[0] half[0] win[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , in between ( and at the end ) there are soldiers chatting and smiling while carrying grievous wounds caused by bug legs . 	of course , in between ( and at the end ) there are soldiers chatting and smiling while carrying grievous wounds caused by bug legs .	3	-4	 of[0] course[0] in[0] between[0] and[0] at[0] the[0] end[0] there[0] are[0] soldiers[0] chatting[0] and[0] smiling[2] while[0] carrying[0] grievous[-3] wounds[-1] caused[0] by[0] bug[-1] legs[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the bugs also suffer from ips : why would you release hold of your captive before killing it ? 	the bugs also suffer from ips : why would you release hold of your captive before killing it ?	1	-4	 the[0] bugs[0] also[0] suffer[-3] from[0] ips[0] why[0] would[0] you[0] release[0] hold[0] of[0] your[0] captive[-1] before[0] killing[-1] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
isn't it also amazing that earthlings haven't invented better hand-held weapons by then ? 	isn't it also amazing that earthlings haven't invented better hand-held weapons by then ?	3	-2	 isn't[0] it[0] also[0] amazing[2] that[0] earthlings[0] haven't[0] invented[0] better[0] hand[0] held[0] weapons[-1] by[0] then[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the only question that remains is why i gave it one star instead of zero . 	the only question that remains is why i gave it one star instead of zero .	1	-1	 the[0] only[0] question[0] that[0] remains[0] is[0] why[0] i[0] gave[0] it[0] one[0] star[0] instead[0] of[0] zero[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , maybe a-quarter ( of a star ) for the originality of the co-sex shower scene and the ( very ) brief moments of suspense , another quarter for copying  zulu' and letting the good guys ( the bugs ) win , and half a star for the sucking-out of the brain of one of those people who call themselves actors ( but there should have been more , the troopers deserved to die ) . 	well , maybe a-quarter ( of a star ) for the originality of the co-sex shower scene and the ( very ) brief moments of suspense , another quarter for copying  zulu' and letting the good guys ( the bugs ) win , and half a star for the sucking-out of the brain of one of those people who call themselves actors ( but there should have been more , the troopers deserved to die ) .	2	-1	 well[0] maybe[0] a[0] quarter[0] of[0] a[0] star[0] for[0] the[0] originality[0] of[0] the[0] co[0] sex[0] shower[0] scene[0] and[0] the[0] very[0] brief[0] moments[0] of[0] suspense[0] another[0] quarter[0] for[0] copying[0] zulu'[0] and[0] letting[0] the[0] good[1] guys[0] the[0] bugs[0] win[0] and[0] half[0] a[0] star[0] for[0] the[0] sucking[0] out[0] of[0] the[0] brain[0] of[0] one[0] of[0] those[0] people[0] who[0] call[0] themselves[0] actors[0] but[0] there[0] should[0] have[0] been[0] more[0] the[0] troopers[0] deserved[0] to[0] die[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
