in my review of " the spy who shagged me , " i postulated an unbreakable law of film physics : every time a sequel is as good as or better than the previous film in the series , it is followed by a third movie that is a bore . 	Translation	Positive	Negative	EmotionRationale
indeed , " scream 3 " tries to link its murders back to the one that started it all , the murder of sidney's mother maureen before the beginning of the original " scream . " 	indeed , " scream 3 " tries to link its murders back to the one that started it all , the murder of sidney's mother maureen before the beginning of the original " scream .<br> "	1	-4	 indeed[0] scream[-3] 3[0] tries[0] to[0] link[0] its[0] murders[-3] back[0] to[0] the[0] one[0] that[0] started[0] it[0] all[0] the[0] murder[-3] of[0] sidney's[0] mother[0] maureen[0] before[0] the[0] beginning[0] of[0] the[0] original[0] scream[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at the scene of each murder in " scream 3 , " the killer leaves a photo of sidney's mother maureen as a teenager in hollywood and even includes a note claiming to be her real killer . 	at the scene of each murder in " scream 3 , " the killer leaves a photo of sidney's mother maureen as a teenager in hollywood and even includes a note claiming to be her real killer .	1	-4	 at[0] the[0] scene[0] of[0] each[0] murder[-3] in[0] scream[-3] 3[0] the[0] killer[-1] leaves[0] a[0] photo[0] of[0] sidney's[0] mother[0] maureen[0] as[0] a[0] teenager[0] in[0] hollywood[0] and[0] even[0] includes[0] a[0] note[0] claiming[0] to[0] be[0] her[0] real[0] killer[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to find out who the killer is , our intrepid investigators have to uncover what happened during maureen's missing years when she was a starlet appearing in low-budget horror films . 	to find out who the killer is , our intrepid investigators have to uncover what happened during maureen's missing years when she was a starlet appearing in low-budget horror films .	1	-4	 to[0] find[0] out[0] who[0] the[0] killer[-1] is[0] our[0] intrepid[0] investigators[0] have[0] to[0] uncover[0] what[0] happened[0] during[0] maureen's[0] missing[0] years[0] when[0] she[0] was[0] a[0] starlet[0] appearing[0] in[0] low[-1] budget[0] horror[-3] films[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( even with that little information , you can probably already guess what the killer's relationship to sidney is ) . 	 ( even with that little information , you can probably already guess what the killer's relationship to sidney is ) .	1	-1	 even[0] with[0] that[0] little[0] information[0] you[0] can[0] probably[0] already[0] guess[0] what[0] the[0] killer's[0] relationship[0] to[0] sidney[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike its predecessors , " scream 3 " doesn't have the guts to even suggest that the central characters might be the killer . 	unlike its predecessors , " scream 3 " doesn't have the guts to even suggest that the central characters might be the killer .	1	-4	 unlike[0] its[0] predecessors[0] scream[-3] 3[0] doesn't[0] have[0] the[0] guts[0] to[0] even[0] suggest[0] that[0] the[0] central[0] characters[0] might[0] be[0] the[0] killer[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the characters we do suspect are all undeveloped , so that by the end we don't even care who the killer is . 	the characters we do suspect are all undeveloped , so that by the end we don't even care who the killer is .	1	-2	 the[0] characters[0] we[0] do[0] suspect[-1] are[0] all[0] undeveloped[0] so[0] that[0] by[0] the[0] end[0] we[0] don't[0] even[0] care[1][NegatedDueToPreviousWord] who[0] the[0] killer[-1] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the jaded detective ( patrick dempsey ) ? 	the jaded detective ( patrick dempsey ) ?	1	-3	 the[0] jaded[-2] detective[0] patrick[0] dempsey[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the kinky producer ( lance henriksen ) ? 	the kinky producer ( lance henriksen ) ?	1	-1	 the[0] kinky[0] producer[0] lance[0] henriksen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the driven young director ( scott foley ) ? 	the driven young director ( scot foley ) ?	1	-1	 the[0] driven[0] young[0] director[0] scott/scot[0] foley[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ingenue ( emily mortimer ) ? 	the ingenue ( emily mortimer ) ?	1	-1	 the[0] ingenue[0] emily[0] mortimer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the character who turns out to be the killer seems to be selected at random . 	the character who turns out to be the killer seems to be selected at random .	1	-2	 the[0] character[0] who[0] turns[0] out[0] to[0] be[0] the[0] killer[-1] seems[0] to[0] be[0] selected[0] at[0] random[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wes craven supposedly filmed three different endings to keep the real one a secret , so it's quite possible the one in the final cut was randomly chosen . 	wes craven supposedly filmed three different endings to keep the real one a secret , so it's quite possible the one in the final cut was randomly chosen .	1	-2	 wes[0] craven[-1] supposedly[0] filmed[0] three[0] different[0] endings[0] to[0] keep[0] the[0] real[0] one[0] a[0] secret[0] so[0] it's[0] quite[0] possible[0] the[0] one[0] in[0] the[0] final[0] cut[0] was[0] randomly[0] chosen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the series' trademark references to other horror films have become trite and obvious . 	the series' trademark references to other horror films have become trite and obvious .	1	-4	 the[0] series'[0] trademark[0] references[0] to[0] other[0] horror[-3] films[0] have[0] become[0] trite[-2] and[0] obvious[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
possibly it's the absence of screenwriter kevin williamson , who penned the first two , or maybe it's that the hip ironic stance eventually consumes itself and a series that parodies film cliches eventually becomes a cliche . 	possibly it's the absence of screenwriter kevin williamson , who penned the first two , or maybe it's that the hip ironic stance eventually consumes itself and a series that parodies film cliches eventually becomes a cliche .	1	-2	 possibly[0] it's[0] the[0] absence[-1] of[0] screenwriter[0] kevin[0] williamson[0] who[0] penned[0] the[0] first[0] two[0] or[0] maybe[0] it's[0] that[0] the[0] hip[0] ironic[-1] stance[0] eventually[0] consumes[0] itself[0] and[0] a[0] series[0] that[0] parodies[0] film[0] cliches[0] eventually[0] becomes[0] a[0] cliche[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i groaned as an attack on sidney from the first " scream " was repeated moment-for-moment in the hollywood set of her home . 	i groaned as an attack on sidney from the first " scream " was repeated moment-for-moment in the hollywood set of her home .	1	-4	 i[0] groaned[0] as[0] an[0] attack[-2] on[0] sidney[0] from[0] the[0] first[0] scream[-3] was[0] repeated[0] moment[0] for[0] moment[0] in[0] the[0] hollywood[0] set[0] of[0] her[0] home[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at some point , referencing becomes just a means to cover up a poverty of new ideas . 	at some point , referencing becomes just a means to cover up a poverty of new ideas .	1	-2	 at[0] some[0] point[0] referencing[0] becomes[0] just[0] a[0] means[0] to[0] cover[0] up[0] a[0] poverty[-1] of[0] new[0] ideas[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " scream 3 " also continues the tradition of having an eclectic set of cameos and familiar faces in small roles . 	 " scream 3 " also continues the tradition of having an eclectic set of cameos and familiar faces in small roles .	1	-4	 scream[-3] 3[0] also[0] continues[0] the[0] tradition[0] of[0] having[0] an[0] eclectic[0] set[0] of[0] cameos[0] and[0] familiar[0] faces[0] in[0] small[0] roles[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
look for jenny mccarthy , carrie fisher , patrick warburton ( puddy from " seinfeld " ) , roger corman , and jason mewes and kevin smith ( as jay and silent bob ) to walk through at some point . 	look for jenny mccarthy , carrie fisher , patrick warburton ( puddy from " seinfeld " ) , roger corman , and jason mewes and kevin smith ( as jay and silent bob ) to walk through at some point .	1	-1	 look[0] for[0] jenny[0] mccarthy[0] carrie[0] fisher[0] patrick[0] warburton[0] puddy[0] from[0] seinfeld[0] roger[0] corman[0] and[0] jason[0] mewes[0] and[0] kevin[0] smith[0] as[0] jay[0] and[0] silent[0] bob[0] to[0] walk[0] through[0] at[0] some[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all these bit players put forth more effort than the series' returning stars , who are probably saving their energy for the long post- " scream " job search . 	all these bit players put forth more effort than the series' returning stars , who are probably saving their energy for the long post- " scream " job search .	1	-4	 all[0] these[0] bit[0] players[0] put[0] forth[0] more[0] effort[0] than[0] the[0] series'[0] returning[0] stars[0] who[0] are[0] probably[0] saving[0] their[0] energy[0] for[0] the[0] long[0] post[0] scream[-3] job[0] search[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
another prediction i made in a previous review has come to pass : more movies are copying " the blair witch project " 's web strategy . 	another prediction i made in a previous review has come to pass : more movies are copying " the blair witch project " 's web strategy .	1	-1	 another[0] prediction[0] i[0] made[0] in[0] a[0] previous[0] review[0] has[0] come[0] to[0] pass[0] more[0] movies[0] are[0] copying[0] the[0] blair[0] witch[0] project[0] 's[0] web[0] strategy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " scream 3 " has three official websites that ( wink , wink ) pretend that the events of the movie are real and provide additional backstory information not covered in the movie . 	 " scream 3 " has three official websites that ( wink , wink ) pretend that the events of the movie are real and provide additional backstory information not covered in the movie .	1	-4	 scream[-3] 3[0] has[0] three[0] official[0] websites[0] that[0] wink[0] wink[0] pretend[-1] that[0] the[0] events[0] of[0] the[0] movie[0] are[0] real[0] and[0] provide[0] additional[0] backstory[0] information[0] not[0] covered[0] in[0] the[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the sunrise studios site ( scream3 . com ) has trailers for other sunrise releases as well as the " latest 'stab 3' news . " 	the sunrise studios site ( scream3 .<br> com ) has trailers for other sunrise releases as well as the " latest 'stab 3' news .<br> "	1	-4	 the[0] sunrise[0] studios[0] site[0] scream3[-3] [[Sentence=-4,1=word max, 1-5]] com[0] has[0] trailers[0] for[0] other[0] sunrise[0] releases[0] as[0] well[0] as[0] the[0] latest[0] 'stab[0] 3'[0] news[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's also a gail weathers official site ( galeweathers . com ) and a sunrise sucks site that has more " stab " scandals the studio wants to cover up ( sunrisesucks . com ) . 	there's also a gail weathers official site ( galeweathers .<br> com ) and a sunrise sucks site that has more " stab " scandals the studio wants to cover up ( sunrisesucks .<br> com ) .	1	-3	 there's[0] also[0] a[0] gail[0] weathers[0] official[0] site[0] galeweathers[0] [[Sentence=-1,1=word max, 1-5]] com[0] and[0] a[0] sunrise[0] sucks[-1] site[0] that[0] has[0] more[0] stab[-1] scandals[-2] the[0] studio[0] wants[0] to[0] cover[0] up[0] sunrisesucks[0] [[Sentence=-3,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
craven and company promise that this is the last installment in the " scream " series . 	craven and company promise that this is the last instalment in the " scream " series .	2	-4	 craven[-1] and[0] company[0] promise[1] that[0] this[0] is[0] the[0] last[0] installment/instalment[0] in[0] the[0] scream[-3] series[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
while i hope that's true , i don't hold out much hope-horror movie series are even harder to kill than their monsters . 	while i hope that's true , i don't hold out much hope-horror movie series are even harder to kill than their monsters .	3	-4	 while[0] i[0] hope[2] that's[0] true[1] i[0] don't[0] hold[0] out[0] much[0] hope[2] horror[-3] movie[0] series[0] are[0] even[0] harder[0] to[0] kill[-1] than[0] their[0] monsters[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
there's a " halloween h2k " in the works , even though michael myers was beheaded in " h20 , " and a " freddy vs . jason " has been talked about for awhile , despite the fact that both characters were " killed off . " 	there's a " halloween h2k " in the works , even though michael myers was beheaded in " h20 , " and a " freddy vs .<br> jason " has been talked about for awhile , despite the fact that both characters were " killed off .<br> "	1	-5	 there's[0] a[0] halloween[0] h2k[0] in[0] the[0] works[0] even[0] though[0] michael[0] myers[0] was[0] beheaded[-4] in[0] h20[0] and[0] a[0] freddy[0] vs[0] [[Sentence=-5,1=word max, 1-5]] jason[0] has[0] been[0] talked[0] about[0] for[0] awhile[0] despite[0] the[0] fact[0] that[0] both[0] characters[0] were[0] killed[-3] off[0] [[Sentence=-4,1=word max, 1-5]][[[1,-5 max of sentences]]]
there's bound to be a " scream 4 " someday , even if it starts over with a new set of movie-star wannabes . 	there's bound to be a " scream 4 " someday , even if it starts over with a new set of movie-star wannabes .	1	-4	 there's[0] bound[0] to[0] be[0] a[0] scream[-3] 4[0] someday[0] even[0] if[0] it[0] starts[0] over[0] with[0] a[0] new[0] set[0] of[0] movie[0] star[0] wannabes[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
bottom line : they should have called this one " yawn . " 	bottom line : they should have called this one " yawn .<br> "	1	-2	 bottom[0] line[0] they[0] should[0] have[0] called[0] this[0] one[0] yawn[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
