note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
akiva goldsman's screenplay for the film is ridiculous and laughably bad , with astonishingly terrible dialogue , lame jokes , and an awful by-the-number plot which simply coasts along and fails to generate any genuine excitement . 	akiva goldsman's screenplay for the film is ridiculous and laughably bad , with astonishingly terrible dialogue , lame jokes , and an awful by-the-number plot which simply coasts along and fails to generate any genuine excitement .	3	-4	 akiva[0] goldsman's[0] screenplay[0] for[0] the[0] film[0] is[0] ridiculous[-2] and[0] laughably[1] bad[-1] with[0] astonishingly[0] terrible[-3] dialogue[0] lame[-2] jokes[1] and[0] an[0] awful[-3] by[0] the[0] number[0] plot[0] which[0] simply[0] coasts[0] along[0] and[0] fails[-2] to[0] generate[0] any[0] genuine[0] excitement[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it makes goldsman's screenplay of batman forever , which i thought was dreadful , look positively inspired in comparison . 	it makes goldsman's screenplay of batman forever , which i thought was dreadful , look positively inspired in comparison .	4	-4	 it[0] makes[0] goldsman's[0] screenplay[0] of[0] batman[0] forever[0] which[0] i[0] thought[0] was[0] dreadful[-3] look[0] positively[2] inspired[2][+1 MultiplePositiveWords] in[0] comparison[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
i am still astonished that a cheesy plot device which i'd seen used in - no joke - an episode of gilligan's island somehow make its way into a multimillion dollar blockbuster production . 	i am still astonished that a cheesy plot device which i'd seen used in - no joke - an episode of gilligan's island somehow make its way into a multimillion dollar blockbuster production .	2	-2	 i[0] am[0] still[0] astonished[0] that[0] a[0] cheesy[0] plot[0] device[0] which[0] i'd[0] seen[0] used[0] in[0] no[0] joke[1] an[0] episode[0] of[0] gilligan's[0] island[0] somehow[0] make[0] its[0] way[0] into[0] a[0] multimillion[0] dollar[0] blockbuster[-1] production[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
joel schumacher's direction of batman and robin is horrific , with a terrible balance of flashiness over substance . 	joel schumacher's direction of batman and robin is horrific , with a terrible balance of flashiness over substance .	1	-4	 joel[0] schumacher's[0] direction[0] of[0] batman[0] and[0] robin[0] is[0] horrific[-3] with[0] a[0] terrible[-3] balance[0] of[0] flashiness[0] over[0] substance[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there is a clear conceit towards neon in this film , even moreso than with his previous batman forever , with the revamped batcave helpfully sporting gigantic glowing emblems for the dynamic duo ( just in case , i suppose , if they ever happen to forget that the batcave is the headquarters of batman and robin ) , and with neon prominently figuring in an utterly-pointless fight sequence with bane and a street gang over ivy's chosen new abode . 	there is a clear conceit towards neon in this film , even moreso than with his previous batman forever , with the revamped batcave helpfully sporting gigantic glowing emblems for the dynamic duo ( just in case , i suppose , if they ever happen to forget that the batcave is the headquarters of batman and robin ) , and with neon prominently figuring in an utterly-pointless fight sequence with bane and a street gang over ivy's chosen new abode .	2	-3	 there[0] is[0] a[0] clear[0] conceit[-1] towards[0] neon[0] in[0] this[0] film[0] even[0] moreso[0] than[0] with[0] his[0] previous[0] batman[0] forever[0] with[0] the[0] revamped[0] batcave[0] helpfully[1] sporting[0] gigantic[0] glowing[0] emblems[0] for[0] the[0] dynamic[1] duo[0] just[0] in[0] case[0] i[0] suppose[0] if[0] they[0] ever[0] happen[0] to[0] forget[0] that[0] the[0] batcave[0] is[0] the[0] headquarters[0] of[0] batman[0] and[0] robin[0] and[0] with[0] neon[0] prominently[0] figuring[0] in[0] an[0] utterly[0] pointless[-1] fight[-2] sequence[0] with[0] bane[-1] and[0] a[0] street[0] gang[0] over[0] ivy's[0] chosen[0] new[0] abode[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
another action sequence which fails to serve any useful point other than to chew up five minutes of screentime involves an incredibly uninvolving late-night motorcycle race with barbara and some gotham goons . 	another action sequence which fails to serve any useful point other than to chew up five minutes of screentime involves an incredibly uninvolving late-night motorcycle race with barbara and some gotham goons .	2	-3	 another[0] action[0] sequence[0] which[0] fails[-2] to[0] serve[0] any[0] useful[1] point[0] other[0] than[0] to[0] chew[0] up[0] five[0] minutes[0] of[0] screentime[0] involves[0] an[0] incredibly[0] uninvolving[0] late[0] night[0] motorcycle[0] race[0] with[0] barbara[0] and[0] some[0] gotham[0] goons[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
mr . schumacher's focus for batman and robin appears to be to make the film as visually striking as possible , to the detriment of the story - there are drastic shifts in the tone of the film between all-out camp and heartfelt drama , with the latter completely unconvincing and ineffective . 	mr .<br> schumacher's focus for batman and robin appears to be to make the film as visually striking as possible , to the detriment of the story - there are drastic shifts in the tone of the film between all-out camp and heartfelt drama , with the latter completely unconvincing and ineffective .	2	-2	 mr[0] [[Sentence=-1,1=word max, 1-5]] schumacher's[0] focus[0] for[0] batman[0] and[0] robin[0] appears[0] to[0] be[0] to[0] make[0] the[0] film[0] as[0] visually[0] striking[0] as[0] possible[0] to[0] the[0] detriment[0] of[0] the[0] story[0] there[0] are[0] drastic[0] shifts[0] in[0] the[0] tone[0] of[0] the[0] film[0] between[0] all[0] out[0] camp[0] and[0] heartfelt[1] drama[0] with[0] the[0] latter[0] completely[0] unconvincing[0] and[0] ineffective[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is perhaps not the most promising of signs when the group i was with burst out laughing within twenty seconds of the film's opening , even before a single line of dialogue had been uttered . 	it is perhaps not the most promising of signs when the group i was with burst out laughing within twenty seconds of the film's opening , even before a single line of dialogue had been uttered .	2	-1	 it[0] is[0] perhaps[0] not[0] the[0] most[0] promising[1] of[0] signs[0] when[0] the[0] group[0] i[0] was[0] with[0] burst[0] out[0] laughing[1] within[0] twenty[0] seconds[0] of[0] the[0] film's[0] opening[0] even[0] before[0] a[0] single[0] line[0] of[0] dialogue[0] had[0] been[0] uttered[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
is batman and robin supposed to be campy ? 	is batman and robin supposed to be campy ?	1	-1	 is[0] batman[0] and[0] robin[0] supposed[0] to[0] be[0] campy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think it is - it's hard to imagine that the filmmakers could have intended many parts of the film to be taken at all seriously . 	i think it is - it's hard to imagine that the filmmakers could have intended many parts of the film to be taken at all seriously .	1	-1	 i[0] think[0] it[0] is[0] it's[0] hard[0] to[0] imagine[0] that[0] the[0] filmmakers[0] could[0] have[0] intended[0] many[0] parts[0] of[0] the[0] film[0] to[0] be[0] taken[0] at[0] all[0] seriously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( one of my favourites was when bane helpfully grunted " bomb ! " 	 ( one of my favourites was when bane helpfully grunted " bomb !<br> "	2	-2	 one[0] of[0] my[0] favourites[1] was[0] when[0] bane[-1] helpfully[1] grunted[0] bomb[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
each time he laid down an explosive device in the gotham observatory . ) 	each time he laid down an explosive device in the gotham observatory .<br> )	1	-2	 each[0] time[0] he[0] laid[0] down[0] an[0] explosive[-1] device[0] in[0] the[0] gotham[0] observatory[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is it supposed to be as overly campy as it turned out to be ? 	is it supposed to be as overly campy as it turned out to be ?	1	-1	 is[0] it[0] supposed[0] to[0] be[0] as[0] overly[0] campy[0] as[0] it[0] turned[0] out[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i somehow doubt it - the subplot involving afred is delivered so solemnly and with such graveness that the impression is made that the film isn't attempting to be the utter farce which it is . 	i somehow doubt it - the subplot involving afred is delivered so solemnly and with such graveness that the impression is made that the film isn't attempting to be the utter farce which it is .	1	-3	 i[0] somehow[0] doubt[-1] it[0] the[0] subplot[0] involving[0] afred[0] is[0] delivered[0] so[0] solemnly[-2] and[0] with[0] such[0] graveness[-2] that[0] the[0] impression[0] is[0] made[0] that[0] the[0] film[0] isn't[0] attempting[0] to[0] be[0] the[0] utter[0] farce[-1] which[0] it[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
arnold schwarzenegger is top-billed in the film as the villainous mr . freeze , and is bland and uninteresting , perhaps the worst thing that a villain can be . 	arnold schwarzenegger is top-billed in the film as the villainous mr .<br> freeze , and is bland and uninteresting , perhaps the worst thing that a villain can be .	1	-3	 arnold[0] schwarzenegger[0] is[0] top[0] billed[0] in[0] the[0] film[0] as[0] the[0] villainous[-2] mr[0] [[Sentence=-3,1=word max, 1-5]] freeze[0] and[0] is[0] bland[-1] and[0] uninteresting[0] perhaps[0] the[0] worst[-2] thing[0] that[0] a[0] villain[-2] can[0] be[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mr . schwarzenegger's attempts to be menacing are laughable , and his attempts at conveying pathos are laughable ; frankly , everything he does onscreen is laughable . 	mr .<br> schwarzenegger's attempts to be menacing are laughable , and his attempts at conveying pathos are laughable ; frankly , everything he does onscreen is laughable .	1	-2	 mr[0] [[Sentence=-1,1=word max, 1-5]] schwarzenegger's[0] attempts[0] to[0] be[0] menacing[0] are[0] laughable[-1] and[0] his[0] attempts[0] at[0] conveying[0] pathos[0] are[0] laughable[-1] frankly[0] everything[0] he[0] does[0] onscreen[0] is[0] laughable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by the end of the film , i was stifling a chuckle every time he simply appeared onscreen . 	by the end of the film , i was stifling a chuckle every time he simply appeared onscreen .	3	-1	 by[0] the[0] end[0] of[0] the[0] film[0] i[0] was[0] stifling[0] a[0] chuckle[2] every[0] time[0] he[0] simply[0] appeared[0] onscreen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the bulk of his performance consists of uttering near-unintelligble puns and one-liners featuring every possible permutation of " cool ! " 	the bulk of his performance consists of uttering near-unintelligble puns and one-liners featuring every possible permutation of " cool !<br> "	2	-1	 the[0] bulk[0] of[0] his[0] performance[0] consists[0] of[0] uttering[0] near[0] unintelligble[0] puns[0] and[0] one[0] liners[0] featuring[0] every[0] possible[0] permutation[0] of[0] cool[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the least inventive way . 	in the least inventive way .	1	-1	 in[0] the[0] least[0] inventive[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
george clooney has been given very little to do in batman and robin , being overshadowed by the villains , and consequently he looks rather uncomfortable in the film . 	george clooney has been given very little to do in batman and robin , being overshadowed by the villains , and consequently he looks rather uncomfortable in the film .	1	-3	 george[0] clooney[0] has[0] been[0] given[0] very[0] little[0] to[0] do[0] in[0] batman[0] and[0] robin[0] being[0] overshadowed[0] by[0] the[0] villains[-2] and[0] consequently[0] he[0] looks[0] rather[0] uncomfortable[-2] in[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his batman is hardly an imposing figure . 	his batman is hardly an imposing figure .	1	-1	 his[0] batman[0] is[0] hardly[0] an[0] imposing[0] figure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chris o'donnell is unimpressive in a one-note performance , while alicia silverstone lackadasically fails to make any impression at all . 	chris o'donnell is unimpressive in a one-note performance , while alicia silverstone lackadasically fails to make any impression at all .	1	-3	 chris[0] o'donnell[0] is[0] unimpressive[-1] in[0] a[0] one[0] note[0] performance[0] while[0] alicia[0] silverstone[0] lackadasically[0] fails[-2] to[0] make[0] any[0] impression[0] at[0] all[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film's one saving grace ? 	the film's one saving grace ?	3	-1	 the[0] film's[0] one[0] saving[0] grace[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
undoubtably uma thurman's entertaining performance as sexy villainess poison ivy . 	undoubtably uma thurman's entertaining performance as sexy villainess poison ivy .	3	-4	 undoubtably[0] uma[0] thurman's[0] entertaining[0] performance[0] as[0] sexy[2] villainess[-2] poison[-2][-1 MultiplePositiveWords] ivy[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
her work in batman and robin is certainly over-the-top , but in a controlled fashion which works splendidly within the tone of the film . 	her work in batman and robin is certainly over-the-top , but in a controlled fashion which works splendidly within the tone of the film .	3	-1	 her[0] work[0] in[0] batman[0] and[0] robin[0] is[0] certainly[0] over[0] the[0] top[0] but[0] in[0] a[0] controlled[0] fashion[0] which[0] works[0] splendidly[2] within[0] the[0] tone[0] of[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ms . thurman's comic timing is impeccable , and reminds us that it takes skilled performers to make campiness work successfully . 	ms .<br> thurman's comic timing is impeccable , and reminds us that it takes skilled performers to make campiness work successfully .	3	-1	 ms[0] [[Sentence=-1,1=word max, 1-5]] thurman's[0] comic[0] timing[0] is[0] impeccable[0] and[0] reminds[0] us[0] that[0] it[0] takes[0] skilled[0] performers[0] to[0] make[0] campiness[0] work[0] successfully[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( i'm already starting to positively reassess jim carrey's performance in batman forever . ) 	 ( i'm already starting to positively reassess jim carrey's performance in batman forever .<br> )	3	-1	 i'm[0] already[0] starting[0] to[0] positively[2] reassess[0] jim[0] carrey's[0] performance[0] in[0] batman[0] forever[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her amusing poison ivy is the most entertaining character in the film , and when she's offscreen the film greatly suffers . 	her amusing poison ivy is the most entertaining character in the film , and when she's offscreen the film greatly suffers .	3	-4	 her[0] amusing[1] poison[-2] ivy[0] is[0] the[0] most[0] entertaining[0] character[0] in[0] the[0] film[0] and[0] when[0] she's[0] offscreen[0] the[0] film[0] greatly[2] suffers[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i figure that if one has to die , being kissed to death by uma thurman isn't a half-bad way to go . 	i figure that if one has to die , being kissed to death by uma thurman isn't a half-bad way to go .	3	-3	 i[0] figure[0] that[0] if[0] one[0] has[0] to[0] die[0] being[0] kissed[2] to[0] death[-2] by[0] uma[0] thurman[0] isn't[0] a[0] half[0] bad[-1] way[0] to[0] go[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
while batman and robin was hardly a ride of pulse-pounding excitement , i must admit that i was not bored watching it , although i did glance at my watch repeatedly through the screening - my attention was kept through anticipation of the utterance of yet another terrible pun or one-liner , and by awaiting yet another scene to fall flat . 	while batman and robin was hardly a ride of pulse-pounding excitement , i must admit that i was not bored watching it , although i did glance at my watch repeatedly through the screening - my attention was kept through anticipation of the utterance of yet another terrible pun or one-liner , and by awaiting yet another scene to fall flat .	3	-4	 while[0] batman[0] and[0] robin[0] was[0] hardly[0] a[0] ride[0] of[0] pulse[0] pounding[0] excitement[2] i[0] must[0] admit[0] that[0] i[0] was[0] not[0] bored[-1][NegatedDueToPreviousWord] watching[0] it[0] although[0] i[0] did[0] glance[0] at[0] my[0] watch[0] repeatedly[0] through[0] the[0] screening[0] my[0] attention[0] was[0] kept[0] through[0] anticipation[0] of[0] the[0] utterance[0] of[0] yet[0] another[0] terrible[-3] pun[0] or[0] one[0] liner[0] and[0] by[0] awaiting[0] yet[0] another[0] scene[0] to[0] fall[0] flat[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it's been a long time since i've laughed so much at a movie . 	it's been a long time since i've laughed so much at a movie .	2	-1	 it's[0] been[0] a[0] long[0] time[0] since[0] i've[0] laughed[1] so[0] much[0] at[0] a[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " at " , of course , is the operative word . 	 " at " , of course , is the operative word .	1	-1	 at[0] of[0] course[0] is[0] the[0] operative[0] word[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
