written by alex cox , tod davies , terry gilliam and tony grisoni 	Translation	Positive	Negative	EmotionRationale
operating under the pseudonyms of " raoul duke " and " dr . 	operating under the pseudonyms of " raoul duke " and " dr .	1	-1	 operating[0] under[0] the[0] pseudonyms[0] of[0] raoul[0] duke[0] and[0] dr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gonzo " , the two men careen into vegas on an acid and mescaline bender , then hole up in a hotel suite to binge on amyl nitrite , cocaine , tequila and a rainbow of multi-colored uppers and downers . 	gonzo " , the two men careen into vegas on an acid and mescaline bender , then hole up in a hotel suite to binge on amyl nitrite , cocaine , tequila and a rainbow of multi-colored uppers and downers .	1	-2	 gonzo[0] the[0] two[0] men[0] careen[-1] into[0] vegas[0] on[0] an[0] acid[0] and[0] mescaline[0] bender[0] then[0] hole[0] up[0] in[0] a[0] hotel[0] suite[0] to[0] binge[0] on[0] amyl[0] nitrite[0] cocaine[0] tequila[0] and[0] a[0] rainbow[0] of[0] multi[0] colored[0] uppers[0] and[0] downers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they terrorize every one they meet , mostly because every one they meet terrifies them . 	they terrorize every one they meet , mostly because every one they meet terrifies them .	1	-4	 they[0] terrorize[-2] every[0] one[0] they[0] meet[0] mostly[0] because[0] every[0] one[0] they[0] meet[0] terrifies[-3] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
duke hallucinates giant bats on the way into town , then is attacked by horrifying lizards in the casino lounge . 	duke hallucinates giant bats on the way into town , then is attacked by horrifying lizards in the casino lounge .	1	-4	 duke[0] hallucinates[0] giant[0] bats[0] on[0] the[0] way[0] into[0] town[0] then[0] is[0] attacked[-2] by[0] horrifying[-3] lizards[0] in[0] the[0] casino[0] lounge[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
dr . gonzo becomes enamored of a thick-bladed hunting knife and begs duke to throw the tape player into the bathtub with him just as jefferson airplane's " white rabbit " reaches its climax . 	dr .<br> gonzo becomes enamored of a thick-bladed hunting knife and begs duke to throw the tape player into the bathtub with him just as jefferson airplane's " white rabbit " reaches its climax .	1	-2	 dr[0] [[Sentence=-1,1=word max, 1-5]] gonzo[0] becomes[0] enamored[0] of[0] a[0] thick[0] bladed[0] hunting[0] knife[-1] and[0] begs[0] duke[0] to[0] throw[0] the[0] tape[0] player[0] into[0] the[0] bathtub[0] with[0] him[0] just[0] as[0] jefferson[0] airplane's[0] white[0] rabbit[0] reaches[0] its[0] climax[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and these guys don't just trash hotel rooms - they rape them , humiliate them and leave them for dead . 	and these guys don't just trash hotel rooms - they rape them , humiliate them and leave them for dead .	1	-4	 and[0] these[0] guys[0] don't[0] just[0] trash[-1][--1 LastWordBoosterStrength] hotel[0] rooms[0] they[0] rape[-3] them[0] humiliate[-3] them[0] and[0] leave[0] them[0] for[0] dead[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that neither of them ends up dead or in jail is testament to blind luck or providence , depending on your point of view . 	that neither of them ends up dead or in jail is testament to blind luck or providence , depending on your point of view .	3	-3	 that[0] neither[0] of[0] them[0] ends[0] up[0] dead[-2] or[0] in[0] jail[-1] is[0] testament[0] to[0] blind[-1] luck[2] or[0] providence[0] depending[0] on[0] your[0] point[0] of[0] view[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
thompson's book , besides being a hilarious read , has stood the test of time as an important historical document . 	thompson's book , besides being a hilarious read , has stood the test of time as an important historical document .	3	-1	 thompson's[0] book[0] besides[0] being[0] a[0] hilarious[2] read[0] has[0] stood[0] the[0] test[0] of[0] time[0] as[0] an[0] important[0] historical[0] document[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it simultaneously exposed the 60's drug culture for the sham that it was and exposed las vegas as the place where the american dream came to die . 	it simultaneously exposed the 60's drug culture for the sham that it was and exposed las vegas as the place where the american dream came to die .	1	-2	 it[0] simultaneously[0] exposed[-1] the[0] 60's[0] drug[0] culture[0] for[0] the[0] sham[0] that[0] it[0] was[0] and[0] exposed[-1] las[0] vegas[0] as[0] the[0] place[0] where[0] the[0] american[0] dream[0] came[0] to[0] die[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pontificate all you want about how the film illustrates thompson's message , but the truth is that , stripped to its bare essentials , what gilliam has wrought is a drug comedy . 	pontificate all you want about how the film illustrates thompson's message , but the truth is that , stripped to its bare essentials , what gilliam has wrought is a drug comedy .	2	-1	 pontificate[0] all[0] you[0] want[0] about[0] how[0] the[0] film[0] illustrates[0] thompson's[0] message[0] but[0] the[0] truth[1] is[0] that[0] stripped[0] to[0] its[0] bare[0] essentials[0] what[0] gilliam[0] has[0] wrought[0] is[0] a[0] drug[0] comedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a cheech and chong movie . 	it's a cheech and chong movie .	1	-1	 it's[0] a[0] cheech[0] and[0] chong[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you're there to watch depp and del toro ingest a lot of chemicals and then laugh at the results : see johnny take drugs , see johnny fall down . 	you're there to watch dep and del toro ingest a lot of chemicals and then laugh at the results : see johnny take drugs , see johnny fall down .	2	-1	 you're[0] there[0] to[0] watch[0] depp/dep[0] and[0] del[0] toro[0] ingest[0] a[0] lot[0] of[0] chemicals[0] and[0] then[0] laugh[1] at[0] the[0] results[0] see[0] johnny[0] take[0] drugs[0] see[0] johnny[0] fall[0] down[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's nothing wrong with this concept , but gilliam tries too hard . 	there's nothing wrong with this concept , but gilliam tries too hard .	1	-2	 there's[0] nothing[0] wrong[-1] with[0] this[0] concept[0] but[0] gilliam[0] tries[0] too[0] hard[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a frantic movie - all sweaty close-ups , wide-angle lenses , dutch tilts and other-worldly lighting schemes . 	this is a frantic movie - all sweaty close-ups , wide-angle lenses , dutch tilts and other-worldly lighting schemes .	1	-2	 this[0] is[0] a[0] frantic[-1] movie[0] all[0] sweaty[0] close[0] ups[0] wide[0] angle[0] lenses[0] dutch[0] tilts[0] and[0] other[0] worldly[0] lighting[0] schemes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are times when gilliam really does put a convincing representation of an acid trip on the screen . 	there are times when gilliam really does put a convincing representation of an acid trip on the screen .	1	-1	 there[0] are[0] times[0] when[0] gilliam[0] really[0] does[0] put[0] a[0] convincing[0] representation[0] of[0] an[0] acid[0] trip[0] on[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but to what end ? 	but to what end ?	1	-1	 but[0] to[0] what[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much of the dialogue comes verbatim from thompson's book , and there are some priceless comic observations . 	much of the dialogue comes verbatim from thompson's book , and there are some priceless comic observations .	3	-1	 much[0] of[0] the[0] dialogue[0] comes[0] verbatim[0] from[0] thompson's[0] book[0] and[0] there[0] are[0] some[0] priceless[3][-1 LastWordBoosterStrength] comic[0] observations[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but you're hard pressed to hear or digest them amidst all the jumbled camera work . 	but you're hard pressed to hear or digest them amidst all the jumbled camera work .	1	-1	 but[0] you're[0] hard[0] pressed[0] to[0] hear[0] or[0] digest[0] them[0] amidst[0] all[0] the[0] jumbled[0] camera[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this brings us to the performances , which strike me as all wrong . 	this brings us to the performances , which strike me as all wrong .	1	-2	 this[0] brings[0] us[0] to[0] the[0] performances[0] which[0] strike[-1] me[0] as[0] all[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
depp plays thompson as groucho marks filtered through george c . scott in patton - a gimmicky performance which works against the biting satire of thompson's dialogue . 	dep plays thompson as groucho marks filtered through george c .<br> scot in patton - a gimmicky performance which works against the biting satire of thompson's dialogue .	2	-2	 depp/dep[0] plays[1] thompson[0] as[0] groucho[0] marks[0] filtered[0] through[0] george[0] c[0] [[Sentence=-1,2=word max, 1-5]] scott/scot[0] in[0] patton[0] a[0] gimmicky[0] performance[0] which[0] works[0] against[-1] the[0] biting[0] satire[0] of[0] thompson's[0] dialogue[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
in between his several puking scenes , del toro fares better as dr . gonzo , but he also mumbles and sputters so many of his lines that their weight is lost . 	in between his several puking scenes , del toro fares better as dr .<br> gonzo , but he also mumbles and sputters so many of his lines that their weight is lost .	1	-3	 in[0] between[0] his[0] several[0] puking[-2] scenes[0] del[0] toro[0] fares[0] better[0] as[0] dr[0] [[Sentence=-3,1=word max, 1-5]] gonzo[0] but[0] he[0] also[0] mumbles[-1] and[0] sputters[-1] so[0] many[0] of[0] his[0] lines[0] that[0] their[0] weight[0] is[0] lost[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
watching these two made me wish that the movie had been made twenty years ago , with dan akroyd and john belushi as the leads - now that would have been something to see . 	watching these two made me wish that the movie had been made twenty years ago , with dan akroyd and john belushi as the leads - now that would have been something to see .	1	-1	 watching[0] these[0] two[0] made[0] me[0] wish[0] that[0] the[0] movie[0] had[0] been[0] made[0] twenty[0] years[0] ago[0] with[0] dan[0] akroyd[0] and[0] john[0] belushi[0] as[0] the[0] leads[0] now[0] that[0] would[0] have[0] been[0] something[0] to[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's interesting to note that alex cox , credited as a co-writer on the screenplay , was originally slated to direct before gilliam took over . 	it's interesting to note that alex cox , credited as a co-writer on the screenplay , was originally slated to direct before gilliam took over .	2	-1	 it's[0] interesting[1] to[0] note[0] that[0] alex[0] cox[0] credited[0] as[0] a[0] co[0] writer[0] on[0] the[0] screenplay[0] was[0] originally[0] slated[0] to[0] direct[0] before[0] gilliam[0] took[0] over[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as much of a fan as i am of gilliam's work , cox would have been the better choice . 	as much of a fan as i am of gilliam's work , cox would have been the better choice .	1	-1	 as[0] much[0] of[0] a[0] fan[0] as[0] i[0] am[0] of[0] gilliam's[0] work[0] cox[0] would[0] have[0] been[0] the[0] better[0] choice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sid and nancy , cox's best work , covered essentially the same subject matter , but cox was able to pull back and allow the characters of sid vicious and nancy spungen to carry the film . 	sid and nancy , cox's best work , covered essentially the same subject matter , but cox was able to pull back and allow the characters of sid vicious and nancy spungen to carry the film .	2	-4	 sid[0] and[0] nancy[0] cox's[0] best[1] work[0] covered[0] essentially[0] the[0] same[0] subject[0] matter[0] but[0] cox[0] was[0] able[0] to[0] pull[0] back[0] and[0] allow[0] the[0] characters[0] of[0] sid[0] vicious[-3] and[0] nancy[0] spungen[0] to[0] carry[0] the[0] film[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
gilliam commits the compound sin of over-directing his film while being uncertain of his purpose . 	gilliam commits the compound sin of over-directing his film while being uncertain of his purpose .	1	-2	 gilliam[0] commits[0] the[0] compound[0] sin[-1] of[0] over[0] directing[0] his[0] film[0] while[0] being[0] uncertain[0] of[0] his[0] purpose[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what kind of movie was he trying to make , anyway ? 	what kind of movie was he trying to make , anyway ?	2	-1	 what[0] kind[1] of[0] movie[0] was[0] he[0] trying[0] to[0] make[0] anyway[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it doesn't try to be a cautionary tale , and it doesn't work as broad comedy . 	it doesn't try to be a cautionary tale , and it doesn't work as broad comedy .	1	-1	 it[0] doesn't[0] try[0] to[0] be[0] a[0] cautionary[0] tale[0] and[0] it[0] doesn't[0] work[0] as[0] broad[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if he had considered more carefully his purpose , the result would have been a much more interesting film . 	if he had considered more carefully his purpose , the result would have been a much more interesting film .	2	-1	 if[0] he[0] had[0] considered[0] more[0] carefully[0] his[0] purpose[0] the[0] result[0] would[0] have[0] been[0] a[0] much[0] more[0] interesting[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but i don't want to be too hard on it . 	but i don't want to be too hard on it .	1	-1	 but[0] i[0] don't[0] want[0] to[0] be[0] too[0] hard[0] on[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some truly funny moments , and if you're in a good enough mood you might get a kick out of it . 	there are some truly funny moments , and if you're in a good enough mood you might get a kick out of it .	2	-2	 there[0] are[0] some[0] truly[1][-1 LastWordBoosterStrength] funny[1] moments[0] and[0] if[0] you're[0] in[0] a[0] good[1] enough[0] mood[0] you[0] might[0] get[0] a[0] kick[-1] out[0] of[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i do , however , recommend watching fear and loathing in las vegas under the influence of your favorite controlled substance - i guarantee it will enhance the effect . 	i do , however , recommend watching fear and loathing in las vegas under the influence of your favorite controlled substance - i guarantee it will enhance the effect .	2	-4	 i[0] do[0] however[0] recommend[0] watching[0] fear[-3] and[0] loathing[0] in[0] las[0] vegas[0] under[0] the[0] influence[0] of[0] your[0] favorite[1] controlled[0] substance[0] i[0] guarantee[0] it[0] will[0] enhance[0] the[0] effect[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
