there's no reason to doubt that donnie brasco is based , as its opening credits proclaim , on a true story . 	Translation	Positive	Negative	EmotionRationale
more importantly , pacino's presence triggers memories of his earlier movie triumphs in which similar territory was covered far more effectively . 	more importantly , pacino's presence triggers memories of his earlier movie triumphs in which similar territory was covered far more effectively .	3	-1	 more[0] importantly[0] pacino's[0] presence[0] triggers[0] memories[0] of[0] his[0] earlier[0] movie[0] triumphs[2] in[0] which[0] similar[0] territory[0] was[0] covered[0] far[0] more[0] effectively[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
donnie brasco's take on american values , for instance , is feeble and obvious . 	donnie brasco's take on american values , for instance , is feeble and obvious .	2	-2	 donnie[0] brasco's[0] take[0] on[0] american[0] values[1] for[0] instance[0] is[0] feeble[-1] and[0] obvious[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lefty rambles out dreams of material betterment to the accompaniment of grating inspirational music . 	lefty rambles out dreams of material betterment to the accompaniment of grating inspirational music .	3	-1	 lefty[0] rambles[0] out[0] dreams[0] of[0] material[0] betterment[0] to[0] the[0] accompaniment[0] of[0] grating[1] inspirational[2] music[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
inexplicably , lefty's horatio alger inspired gush is supposed to move us . 	inexplicably , lefty's horatio alger inspired gush is supposed to move us .	3	-1	 inexplicably[0] lefty's[0] horatio[0] alger[0] inspired[2] gush[0] is[0] supposed[0] to[0] move[0] us[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it doesn't any more than his family troubles do , which are dealt in the same saccharine and obvious manner as pistone's . 	it doesn't any more than his family troubles do , which are dealt in the same saccharine and obvious manner as pistone's .	1	-2	 it[0] doesn't[0] any[0] more[0] than[0] his[0] family[0] troubles[-1] do[0] which[0] are[0] dealt[0] in[0] the[0] same[0] saccharine[0] and[0] obvious[0] manner[0] as[0] pistone's[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just think a minute on how these themes were explored in the godfather movies and scarface . 	just think a minute on how these themes were explored in the godfather movies and scarface .	1	-1	 just[0] think[0] a[0] minute[0] on[0] how[0] these[0] themes[0] were[0] explored[0] in[0] the[0] godfather[0] movies[0] and[0] scarface[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in these pictures pacino's dedication to a peculiar and bloody hyper-capitalism was twisted and confronting , while his dogged application of macho wiseguy procedure meant that his relations to friends and family was intriguingly dark ? neither were spared bloody retribution for breaching wiseguy regulations . 	in these pictures pacino's dedication to a peculiar and bloody hyper-capitalism was twisted and confronting , while his dogged application of macho wiseguy procedure meant that his relations to friends and family was intriguingly dark ?<br> neither were spared bloody retribution for breaching wiseguy regulations .	2	-3	 in[0] these[0] pictures[0] pacino's[0] dedication[0] to[0] a[0] peculiar[0] and[0] bloody[-1] hyper[0] capitalism[0] was[0] twisted[0] and[0] confronting[-2] while[0] his[0] dogged[0] application[0] of[0] macho[0] wiseguy[0] procedure[0] meant[0] that[0] his[0] relations[0] to[0] friends[1] and[0] family[0] was[0] intriguingly[0] dark[0] [[Sentence=-3,2=word max, 1-5]] neither[0] were[0] spared[0] bloody[-1] retribution[0] for[0] breaching[-1] wiseguy[0] regulations[0] [[Sentence=-2,1=word max, 1-5]][[[2,-3 max of sentences]]]
donnie brasco's tawdry little crime , therefore isn't so much its repetition of familiar gangster themes , but the shameless way in which it sanitises them . 	donnie brasco's tawdry little crime , therefore isn't so much its repetition of familiar gangster themes , but the shameless way in which it sanitises them .	1	-3	 donnie[0] brasco's[0] tawdry[0] little[0] crime[-1] therefore[0] isn't[0] so[0] much[0] its[0] repetition[0] of[0] familiar[0] gangster[0] themes[0] but[0] the[0] shameless[-2] way[0] in[0] which[0] it[0] sanitises[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( oh and by the way , i forgot to mention that the script also sports a startling subplot : pipstone's superiors are obstructive incompetents who are infuriated by his constant insubordination ? is that a " damn you mcbain ! " 	 ( oh and by the way , i forgot to mention that the script also sports a startling subplot : pipstone's superiors are obstructive incompetents who are infuriated by his constant insubordination ?<br> is that a " damn you mcbain !<br> "	1	-3	 oh[0] and[0] by[0] the[0] way[0] i[0] forgot[0] to[0] mention[0] that[0] the[0] script[0] also[0] sports[0] a[0] startling[-1] subplot[0] pipstone's[0] superiors[0] are[0] obstructive[-1] incompetents[-2] who[0] are[0] infuriated[-1] by[0] his[0] constant[0] insubordination[0] [[Sentence=-3,1=word max, 1-5]] is[0] that[0] a[0] damn[-1] you[0] mcbain[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
i hear from springfield way ? ) 	i hear from springfield way ?<br> )	1	-1	 i[0] hear[0] from[0] springfield[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so the movie is cliched . 	so the movie is cliched .	1	-1	 so[0] the[0] movie[0] is[0] cliched[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
big deal , what do you expect from a gangster-flick ? 	big deal , what do you expect from a gangster-flick ?	1	-1	 big[0] deal[0] what[0] do[0] you[0] expect[0] from[0] a[0] gangster[0] flick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well you expect quality action sequences and bravado performances in abundance if its going to be a decent example of the genre . 	well you expect quality action sequences and bravado performances in abundance if its going to be a decent example of the genre .	1	-2	 well[0] you[0] expect[0] quality[0] action[0] sequences[0] and[0] bravado[-1] performances[0] in[0] abundance[0] if[0] its[0] going[0] to[0] be[0] a[0] decent[0] example[0] of[0] the[0] genre[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
donnie brasco fails on both counts . 	donnie brasco fails on both counts .	1	-3	 donnie[0] brasco[0] fails[-2] on[0] both[0] counts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the action scenes never rise above the ordinary and depp's woeful performance tends to smother the good-work of his comrades . 	the action scenes never rise above the ordinary and depp's woeful performance tends to smother the good-work of his comrades .	2	-3	 the[0] action[0] scenes[0] never[0] rise[0] above[0] the[0] ordinary[0] and[0] depp's[0] woeful[-2] performance[0] tends[0] to[0] smother[-1] the[0] good[1] work[0] of[0] his[0] comrades[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
admittedly , pacino does nothing new and michael madsen ( sonny ) simply smirks his way through the picture like a slightly subdued mr . white , but both possess an unmistakable sly charm . 	admittedly , pacino does nothing new and michael madsen ( sonny ) simply smirks his way through the picture like a slightly subdued mr .<br> white , but both possess an unmistakable sly charm .	2	-2	 admittedly[0] pacino[0] does[0] nothing[0] new[0] and[0] michael[0] madsen[0] sonny[0] simply[0] smirks[0] his[0] way[0] through[0] the[0] picture[0] like[1] a[0] slightly[0] subdued[0] mr[0] [[Sentence=-1,2=word max, 1-5]] white[0] but[0] both[0] possess[0] an[0] unmistakable[0] sly[-1] charm[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
depp usually exhibits a bit of class himself , but regrettably , being in the presence of one of his betters must have left him star-struck , for he is completely hell-bent on mimicking pacino's well-earned high style . 	dep usually exhibits a bit of class himself , but regrettably , being in the presence of one of his betters must have left him star-struck , for he is completely hell-bent on mimicking pacino's well-earned high style .	1	-3	 depp/dep[0] usually[0] exhibits[0] a[0] bit[0] of[0] class[0] himself[0] but[0] regrettably[-1] being[0] in[0] the[0] presence[0] of[0] one[0] of[0] his[0] betters[0] must[0] have[0] left[0] him[0] star[0] struck[-1] for[0] he[0] is[0] completely[0] hell[-1][-1 LastWordBoosterStrength] bent[0] on[0] mimicking[0] pacino's[0] well[0] earned[0] high[0] style[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the consequences are painful to watch . 	the consequences are painful to watch .	1	-4	 the[0] consequences[0] are[0] painful[-3] to[0] watch[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
its no exaggeration to say that the film's credibility is seriously strained by the sight of the pistone family's uncanny ability to keep a straight face in front of their breadwinner's phony brooklyn accent . 	its no exaggeration to say that the film's credibility is seriously strained by the sight of the pistone family's uncanny ability to keep a straight face in front of their breadwinner's phony brooklyn accent .	1	-2	 its[0] no[0] exaggeration[-1] to[0] say[0] that[0] the[0] film's[0] credibility[0] is[0] seriously[0] strained[-1] by[0] the[0] sight[0] of[0] the[0] pistone[0] family's[0] uncanny[0] ability[0] to[0] keep[0] a[0] straight[0] face[0] in[0] front[0] of[0] their[0] breadwinner's[0] phony[0] brooklyn[0] accent[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps we should take pity on the makers of donnie brasco . 	perhaps we should take pity on the makers of donnie brasco .	1	-2	 perhaps[0] we[0] should[0] take[0] pity[-1] on[0] the[0] makers[0] of[0] donnie[0] brasco[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe a scrupulous adherence to pinpoint accuracy demanded tiered dialogue and scenarios weakly reminiscent of classic gangster flicks . 	maybe a scrupulous adherence to pinpoint accuracy demanded tiered dialogue and scenarios weakly reminiscent of classic gangster flicks .	1	-2	 maybe[0] a[0] scrupulous[0] adherence[0] to[0] pinpoint[0] accuracy[0] demanded[0] tiered[0] dialogue[0] and[0] scenarios[0] weakly[-1] reminiscent[0] of[0] classic[0] gangster[0] flicks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if this is indeed the case , surely the makers of donnie brasco could have explored the fascinating possibility that america's underworld is committed to emulating , albeit in heavily attenuated form , their movie namesakes . 	if this is indeed the case , surely the makers of donnie brasco could have explored the fascinating possibility that america's underworld is committed to emulating , albeit in heavily attenuated form , their movie namesakes .	1	-2	 if[0] this[0] is[0] indeed[0] the[0] case[0] surely[0] the[0] makers[0] of[0] donnie[0] brasco[0] could[0] have[0] explored[0] the[0] fascinating[0] possibility[0] that[0] america's[0] underworld[-1] is[0] committed[0] to[0] emulating[0] albeit[0] in[0] heavily[0] attenuated[0] form[0] their[0] movie[0] namesakes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
depp could have poignantly played a simple cop who becomes a hideous parody once he is forced to mimic big-screen gangster greats . 	dep could have poignantly played a simple cop who becomes a hideous parody once he is forced to mimic big-screen gangster greats .	3	-2	 depp/dep[0] could[0] have[0] poignantly[0] played[0] a[0] simple[0] cop[0] who[0] becomes[0] a[0] hideous[-1] parody[0] once[0] he[0] is[0] forced[0] to[0] mimic[0] big[0] screen[0] gangster[0] greats[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
who knows what insights into the criminal psyche could have arisen ? 	who knows what insights into the criminal psyche could have arisen ?	1	-2	 who[0] knows[0] what[0] insights[0] into[0] the[0] criminal[-1] psyche[0] could[0] have[0] arisen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but then again , perhaps donnie brasco isn't so true after all . 	but then again , perhaps donnie brasco isn't so true after all .	1	-2	 but[0] then[0] again[0] perhaps[0] donnie[0] brasco[0] isn't[0] so[0] true[1][NegatedDueToPreviousWord] after[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
