what's to like about the world of extremely violent trash pornography--ie . 	Translation	Positive	Negative	EmotionRationale
led by dino velvet ( peter stormare in an uncharacteristically terrible performance ) and star-torturer " machine " ( christopher bauer ) , they have a big showdown with welles where death and mayhem ensue . 	led by dino velvet ( peter stormare in an uncharacteristically terrible performance ) and star-torturer " machine " ( christopher bauer ) , they have a big showdown with welles where death and mayhem ensue .	2	-4	 led[0] by[0] dino[0] velvet[0] peter[0] stormare[0] in[0] an[0] uncharacteristically[0] terrible[-3] performance[0] and[0] star[0] torturer[-3] machine[0] christopher[0] bauer[0] they[0] have[0] a[0] big[0] showdown[0] with[0] welles[1] where[0] death[-2] and[0] mayhem[0] ensue[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the movie doesn't end there , unfortunately , because welles has to do what all heroes in schumacher films do--become a vigilante . 	the movie doesn't end there , unfortunately , because welles has to do what all heroes in schumacher films do-become a vigilante .	3	-2	 the[0] movie[0] doesn't[0] end[0] there[0] unfortunately[-1] because[0] welles[1] has[0] to[0] do[0] what[0] all[0] heroes[2] in[0] schumacher[0] films[0] do[0] become[0] a[0] vigilante[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this film doesn't draw you in . 	this film doesn't draw you in .	1	-1	 this[0] film[0] doesn't[0] draw[0] you[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it keeps you about 700 miles away from it and who in their right mind would want to get close ? 	it keeps you about 700 miles away from it and who in their right mind would want to get close ?	1	-1	 it[0] keeps[0] you[0] about[0] 700[0] miles[0] away[0] from[0] it[0] and[0] who[0] in[0] their[0] right[0] mind[0] would[0] want[0] to[0] get[0] close[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is possible to like a film that focuses on grime and sick behaviour ( ie . 	it is possible to like a film that focuses on grime and sick behaviour ( ie .	2	-2	 it[0] is[0] possible[0] to[0] like[1] a[0] film[0] that[0] focuses[0] on[0] grime[-1] and[0] sick[-1] behaviour[0] ie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " se7en " ) , but it takes a large measure of restraint ( schumacher has none ) and a larger amount of talent ( schumacher has little ) . 	 " se7en " ) , but it takes a large measure of restraint ( schumacher has none ) and a larger amount of talent ( schumacher has little ) .	2	-1	 se7en[0] but[0] it[0] takes[0] a[0] large[0] measure[0] of[0] restraint[0] schumacher[0] has[0] none[0] and[0] a[0] larger[0] amount[0] of[0] talent[1] schumacher[0] has[0] little[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
by those jabs , i'm not only referring to his stylish destruction of the " batman " franchise , but " a time to kill " was an immensely overrated disappointment . 	by those jabs , i'm not only referring to his stylish destruction of the " batman " franchise , but " a time to kill " was an immensely overrated disappointment .	1	-2	 by[0] those[0] jabs[0] i'm[0] not[0] only[0] referring[0] to[0] his[0] stylish[0] destruction[-1] of[0] the[0] batman[0] franchise[0] but[0] a[0] time[0] to[0] kill[-1] was[0] an[0] immensely[0] overrated[0] disappointment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for a guy who gets so much studio money , his track record of making rather bad movies is unparalleled . 	for a guy who gets so much studio money , his track record of making rather bad movies is unparalleled .	1	-2	 for[0] a[0] guy[0] who[0] gets[0] so[0] much[0] studio[0] money[0] his[0] track[0] record[0] of[0] making[0] rather[0] bad[-1] movies[0] is[0] unparalleled[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a good screenwriter and a good director can make you hypnotically watch even disgusting subject matter . 	a good screenwriter and a good director can make you hypnotically watch even disgusting subject matter .	2	-4	 a[0] good[1] screenwriter[0] and[0] a[0] good[1] director[0] can[0] make[0] you[0] hypnotically[0] watch[0] even[0] disgusting[-3] subject[0] matter[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
writer andrew kevin walker didn't recapture the smarts of the fascinating script he authored for '95s twisted thriller , " se7en " . 	writer andrew kevin walker didn't recapture the smarts of the fascinating script he authored for '95s twisted thriller , " se7en " .	2	-1	 writer[0] andrew[0] kevin[0] walker[0] didn't[0] recapture[0] the[0] smarts[1] of[0] the[0] fascinating[0] script[0] he[0] authored[0] for[0] '95s[0] twisted[0] thriller[1] se7en[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director schumacher doesn't have that innate ability to make you watch things you don't really want to see like better directors are capable of doing . 	director schumacher doesn't have that innate ability to make you watch things you don't really want to see like better directors are capable of doing .	2	-1	 director[0] schumacher[0] doesn't[0] have[0] that[0] innate[0] ability[0] to[0] make[0] you[0] watch[0] things[0] you[0] don't[0] really[0] want[0] to[0] see[0] like[1] better[0] directors[0] are[0] capable[0] of[0] doing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he must not have believed hitchcock who espoused the theory that what we don't see is more frightening than what we do ( especially when it's a scene where young girl is supposed to be murdered ) . 	he must not have believed hitchcock who espoused the theory that what we don't see is more frightening than what we do ( especially when it's a scene where young girl is supposed to be murdered ) .	1	-4	 he[0] must[0] not[0] have[0] believed[0] hitchcock[0] who[0] espoused[0] the[0] theory[0] that[0] what[0] we[0] don't[0] see[0] is[0] more[0] frightening[-3] than[0] what[0] we[0] do[0] especially[0] when[0] it's[0] a[0] scene[0] where[0] young[0] girl[0] is[0] supposed[0] to[0] be[0] murdered[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , gratuitous is joel's middle name . 	however , gratuitous is joel's middle name .	1	-2	 however[0] gratuitous[-1] is[0] joel's[0] middle[0] name[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he must think that not flaunting a hard-core act of violent sex is showing plenty of tactful restraint . 	he must think that not flaunting a hard-core act of violent sex is showing plenty of tactful restraint .	1	-3	 he[0] must[0] think[0] that[0] not[0] flaunting[0] a[0] hard[0] core[0] act[0] of[0] violent[-2] sex[0] is[0] showing[0] plenty[0] of[0] tactful[0] restraint[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
no , he doesn't go that far , but we see enough unpleasantness . 	no , he doesn't go that far , but we see enough unpleasantness .	1	-3	 no[0] he[0] doesn't[0] go[0] that[0] far[0] but[0] we[0] see[0] enough[0] unpleasantness[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he doesn't leave much to the imagination . 	he doesn't leave much to the imagination .	1	-1	 he[0] doesn't[0] leave[0] much[0] to[0] the[0] imagination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's manipulating to hurt ( or kill ) young girls just to get the audience on the side of a murderous vigilante . 	it's manipulating to hurt ( or kill ) young girls just to get the audience on the side of a murderous vigilante .	1	-4	 it's[0] manipulating[-1] to[0] hurt[-2] or[0] kill[-1] young[0] girls[0] just[0] to[0] get[0] the[0] audience[0] on[0] the[0] side[0] of[0] a[0] murderous[-3] vigilante[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the script and acting should be what gets us to believe in these characters , yet schumacher has no subtlety in his ( ha ha ! ) 	the script and acting should be what gets us to believe in these characters , yet schumacher has no subtlety in his ( ha ha !<br> )	2	-1	 the[0] script[0] and[0] acting[0] should[0] be[0] what[0] gets[0] us[0] to[0] believe[0] in[0] these[0] characters[0] yet[0] schumacher[0] has[0] no[0] subtlety[0] in[0] his[0] ha[1] ha[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
craft . 	craft .	1	-1	 craft[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
case in point , a shot of a christian fellowship bus ( good , right ? ) 	case in point , a shot of a christian fellowship bus ( good , right ?<br> )	2	-2	 case[0] in[0] point[0] a[0] shot[-1] of[0] a[0] christian[0] fellowship[0] bus[0] good[1] right[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
drives away to reveal one of the villains ( bad , right ? ) . 	drives away to reveal one of the villains ( bad , right ?<br> ) .	1	-3	 drives[0] away[0] to[0] reveal[0] one[0] of[0] the[0] villains[-2] bad[-1] right[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
see . . . no 	see .<br> .<br> .<br> no	1	-1	 see[0] [[Sentence=-1,1=word max, 1-5]] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
subtlety . 	subtlety .	1	-1	 subtlety[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does joel think we're stupid or that we need to be held by the hand to comprehend the contrasting imagery ? 	does joel think we're stupid or that we need to be held by the hand to comprehend the contrasting imagery ?	1	-2	 does[0] joel[0] think[0] we're[0] stupid[-1] or[0] that[0] we[0] need[0] to[0] be[0] held[0] by[0] the[0] hand[0] to[0] comprehend[0] the[0] contrasting[0] imagery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
who do we root for in this mess ? 	who do we root for in this mess ?	1	-1	 who[0] do[0] we[0] root[0] for[0] in[0] this[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is there anybody out there ? 	is there anybody out there ?	1	-1	 is[0] there[0] anybody[0] out[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not all the director's fault , though . 	it's not all the director's fault , though .	1	-2	 it's[0] not[0] all[0] the[0] director's[0] fault[-1] though[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why did the actors sign up for this ? 	why did the actors sign up for this ?	1	-1	 why[0] did[0] the[0] actors[0] sign[0] up[0] for[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nicolas cage is an oscar-winner , for cryin' out loud ! 	nicolas cage is an oscar-winner , for cryin' out loud !	2	-1	 nicolas[0] cage[0] is[0] an[0] oscar[0] winner[1] for[0] cryin'[0] out[0] loud[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if he claims to do films to challenge himself and for the artistic merit rather than the money , what was he smoking when this script dropped on his veranda ? 	if he claims to do films to challenge himself and for the artistic merit rather than the money , what was he smoking when this script dropped on his veranda ?	2	-2	 if[0] he[0] claims[0] to[0] do[0] films[0] to[0] challenge[-1] himself[0] and[0] for[0] the[0] artistic[0] merit[1] rather[0] than[0] the[0] money[0] what[0] was[0] he[0] smoking[0] when[0] this[0] script[0] dropped[0] on[0] his[0] veranda[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what is cage supposed to be in this movie--a whispering batman without the charisma and pointed ears ? 	what is cage supposed to be in this movie-a whispering batman without the charisma and pointed ears ?	1	-1	 what[0] is[0] cage[0] supposed[0] to[0] be[0] in[0] this[0] movie[0] a[0] whispering[0] batman[0] without[0] the[0] charisma[0] and[0] pointed[0] ears[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
villainous peter stormare is five steps past hammy . 	villainous peter stormare is five steps past hammy .	1	-3	 villainous[-2] peter[0] stormare[0] is[0] five[0] steps[0] past[0] hammy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and what is james gandolfini doing in this trash ? 	and what is james gandolfini doing in this trash ?	1	-2	 and[0] what[0] is[0] james[0] gandolfini[0] doing[0] in[0] this[0] trash[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he was so solid as a concerned father in " a civil action " . 	he was so solid as a concerned father in " a civil action " .	1	-2	 he[0] was[0] so[0] solid[0] as[0] a[0] concerned[-1] father[0] in[0] a[0] civil[0] action[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i guess ol' nic , pete , and jim were promised a mountain of money . . . or 	i guess ol' nic , pete , and jim were promised a mountain of money .<br> .<br> .<br> or	2	-1	 i[0] guess[0] ol'[0] nic[0] pete[0] and[0] jim[0] were[0] promised[1] a[0] mountain[0] of[0] money[0] [[Sentence=-1,2=word max, 1-5]] or[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
they're suckers . 	they're suckers .	1	-2	 they're[0] suckers[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or they just don't care . 	or they just don't care .	1	-2	 or[0] they[0] just[0] don't[0] care[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are moments ( albeit brief ones ) where this rises above the wasteland . 	there are moments ( albeit brief ones ) where this rises above the wasteland .	1	-2	 there[0] are[0] moments[0] albeit[0] brief[0] ones[0] where[0] this[0] rises[0] above[0] the[0] wasteland[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
catherine keener is good ( although too quick to threaten divorce ) as mrs . wells . 	catherine keener is good ( although too quick to threaten divorce ) as mrs .<br> wells .	2	-3	 catherine[0] keener[0] is[0] good[1] although[0] too[0] quick[0] to[0] threaten[-2] divorce[-1] as[0] mrs[0] [[Sentence=-3,2=word max, 1-5]] wells[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
baby cindy is obviously cute and wells' devout love of his daughter is sweet . 	baby cindy is obviously cute and wells' devout love of his daughter is sweet .	3	-1	 baby[1] cindy[0] is[0] obviously[0] cute[1] and[0] wells'[0] devout[0] love[2] of[0] his[0] daughter[0] is[0] sweet[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the mother ( amy norton ) of the girl in the infamous 8mm film is not too bad as a woman dealing with the uncertain loss of her runaway daughter . 	the mother ( amy norton ) of the girl in the infamous 8m film is not too bad as a woman dealing with the uncertain loss of her runaway daughter .	2	-3	 the[0] mother[0] amy[0] norton[0] of[0] the[0] girl[0] in[0] the[0] infamous[-1] 8mm/8m[0] film[0] is[0] not[0] too[0] bad[-1][NegatedDueToPreviousWord] as[0] a[0] woman[0] dealing[0] with[0] the[0] uncertain[0] loss[-2] of[0] her[0] runaway[-1] daughter[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this film has an appropriate blue-toned , washed-out look like " payback " ( which was a much better movie ) . 	this film has an appropriate blue-toned , washed-out look like " payback " ( which was a much better movie ) .	2	-1	 this[0] film[0] has[0] an[0] appropriate[0] blue[0] toned[0] washed[0] out[0] look[0] like[1] payback[0] which[0] was[0] a[0] much[0] better[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the editing is okay in scenes of no dialogue , but at other times it's rough . 	the editing is okay in scenes of no dialogue , but at other times it's rough .	1	-2	 the[0] editing[0] is[0] okay[0] in[0] scenes[0] of[0] no[0] dialogue[0] but[0] at[0] other[0] times[0] it's[0] rough[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
during some conversations , close-ups and wide shots are not cut very well , making it look to be editted by someone whose instincts aren't good and whose timing was a half-second off . 	during some conversations , close-ups and wide shots are not cut very well , making it look to be edited by someone whose instincts aren't good and whose timing was a half-second off .	1	-2	 during[0] some[0] conversations[0] close[0] ups[0] and[0] wide[0] shots[0] are[0] not[0] cut[0] very[0] well[0] making[0] it[0] look[0] to[0] be[0] editted/edited[0] by[0] someone[0] whose[0] instincts[0] aren't[0] good[1][NegatedDueToPreviousWord] and[0] whose[0] timing[0] was[0] a[0] half[0] second[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
such a technical error indeed stands out . 	such a technical error indeed stands out .	1	-2	 such[0] a[0] technical[0] error[-1] indeed[0] stands[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
speaking of standing out , don't believe the misleading trailers . 	speaking of standing out , don't believe the misleading trailers .	1	-1	 speaking[0] of[0] standing[0] out[0] don't[0] believe[0] the[0] misleading[0] trailers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's not much action here . 	there's not much action here .	1	-1	 there's[0] not[0] much[0] action[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
occasionally , yes , but not as often as your tv will have you believe . 	occasionally , yes , but not as often as your tv will have you believe .	1	-1	 occasionally[0] yes[0] but[0] not[0] as[0] often[0] as[0] your[0] tv[0] will[0] have[0] you[0] believe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
