keep cool , a chinese film directed by semi-accomplished filmmaker yimou zhang , was one of the kickoff films for this year's hawaii international film festival . 	Translation	Positive	Negative	EmotionRationale
while the bookseller is blinded by his thirst for revenge , the older man is the voice of reason and tries to rationalize each situation . 	while the bookseller is blinded by his thirst for revenge , the older man is the voice of reason and tries to rationalize each situation .	1	-2	 while[0] the[0] bookseller[0] is[0] blinded[-1] by[0] his[0] thirst[-1] for[0] revenge[-1] the[0] older[0] man[0] is[0] the[0] voice[0] of[0] reason[0] and[0] tries[0] to[0] rationalize[0] each[0] situation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his quest to end the dispute peacefully and equitably is the one we identify with , but it is frustrating to see that he seems to be talking to a brick wall half the time . 	his quest to end the dispute peacefully and equitably is the one we identify with , but it is frustrating to see that he seems to be talking to a brick wall half the time .	1	-3	 his[0] quest[0] to[0] end[0] the[0] dispute[-1] peacefully[0] and[0] equitably[0] is[0] the[0] one[0] we[0] identify[0] with[0] but[0] it[0] is[0] frustrating[-2] to[0] see[0] that[0] he[0] seems[0] to[0] be[0] talking[0] to[0] a[0] brick[0] wall[0] half[0] the[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a friendship develops between the two men , but it occurs too late in the film for the audience to appreciate . 	a friendship develops between the two men , but it occurs too late in the film for the audience to appreciate .	2	-1	 a[0] friendship[1] develops[0] between[0] the[0] two[0] men[0] but[0] it[0] occurs[0] too[0] late[0] in[0] the[0] film[0] for[0] the[0] audience[0] to[0] appreciate[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although only an hour and a half in length , keep cool contains extraneous material . 	although only an hour and a half in length , keep cool contains extraneous material .	2	-1	 although[0] only[0] an[0] hour[0] and[0] a[0] half[0] in[0] length[0] keep[0] cool[1] contains[0] extraneous[0] material[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the whole plot of how the bookseller is after the young woman could have been taken out , since we don't see her from the midpoint on . 	the whole plot of how the bookseller is after the young woman could have been taken out , since we don't see her from the midpoint on .	1	-1	 the[0] whole[0] plot[0] of[0] how[0] the[0] bookseller[0] is[0] after[0] the[0] young[0] woman[0] could[0] have[0] been[0] taken[0] out[0] since[0] we[0] don't[0] see[0] her[0] from[0] the[0] midpoint[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a case of mistaken identity or some other device could have served as the point of conflict between the bookseller and the nightclub owner , and would have saved us from the bookseller's boring pursuit during the first half . 	a case of mistaken identity or some other device could have served as the point of conflict between the bookseller and the nightclub owner , and would have saved us from the bookseller's boring pursuit during the first half .	2	-2	 a[0] case[0] of[0] mistaken[-1] identity[0] or[0] some[0] other[0] device[0] could[0] have[0] served[0] as[0] the[0] point[0] of[0] conflict[-1] between[0] the[0] bookseller[0] and[0] the[0] nightclub[0] owner[0] and[0] would[0] have[0] saved[1] us[0] from[0] the[0] bookseller's[0] boring[-1] pursuit[0] during[0] the[0] first[0] half[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but of course , this would have shortened the movie to less than an hour . 	but of course , this would have shortened the movie to less than an hour .	1	-1	 but[0] of[0] course[0] this[0] would[0] have[0] shortened[0] the[0] movie[0] to[0] less[0] than[0] an[0] hour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are a few things that keep cool does right . 	there are a few things that keep cool does right .	2	-1	 there[0] are[0] a[0] few[0] things[0] that[0] keep[0] cool[1] does[0] right[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as mentioned before , the interaction between the bookseller and the older man is generally pretty good . 	as mentioned before , the interaction between the bookseller and the older man is generally pretty good .	3	-1	 as[0] mentioned[0] before[0] the[0] interaction[0] between[0] the[0] bookseller[0] and[0] the[0] older[0] man[0] is[0] generally[0] pretty[2] good[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although it grows tiresome , the reasoning with the unreasonable is a nice exercise in logic , and represents the differences in thinking between generations . 	although it grows tiresome , the reasoning with the unreasonable is a nice exercise in logic , and represents the differences in thinking between generations .	2	-3	 although[0] it[0] grows[0] tiresome[-1] the[0] reasoning[0] with[0] the[0] unreasonable[-2] is[0] a[0] nice[1] exercise[0] in[0] logic[0] and[0] represents[0] the[0] differences[0] in[0] thinking[0] between[0] generations[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in one scene , for example , the bookseller quotes confucius to get his point across , but the older man claims the quote was misinterpreted , and that it means something entirely different . 	in one scene , for example , the bookseller quotes confucius to get his point across , but the older man claims the quote was misinterpreted , and that it means something entirely different .	1	-1	 in[0] one[0] scene[0] for[0] example[0] the[0] bookseller[0] quotes[0] confucius[0] to[0] get[0] his[0] point[0] across[0] but[0] the[0] older[0] man[0] claims[0] the[0] quote[0] was[0] misinterpreted[0] and[0] that[0] it[0] means[0] something[0] entirely[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also effective is the way zhang sets up tension within a scene , such as when the bookseller is getting ready to cut off the hand of the unwitting nightclub owner . 	also effective is the way zhang sets up tension within a scene , such as when the bookseller is getting ready to cut off the hand of the unwitting nightclub owner .	1	-3	 also[0] effective[0] is[0] the[0] way[0] zhang[0] sets[0] up[0] tension[-2] within[0] a[0] scene[0] such[0] as[0] when[0] the[0] bookseller[0] is[0] getting[0] ready[0] to[0] cut[0] off[0] the[0] hand[0] of[0] the[0] unwitting[0] nightclub[0] owner[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the nightclub owner is counting out money , slapping each bundle of currency on the table . 	the nightclub owner is counting out money , slapping each bundle of currency on the table .	1	-2	 the[0] nightclub[0] owner[0] is[0] counting[0] out[0] money[0] slapping[-1] each[0] bundle[0] of[0] currency[0] on[0] the[0] table[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with every shot of his hand , we can hardly stand the interminable wait before the bookseller is going to pull out his cleaver and exact his revenge . 	with every shot of his hand , we can hardly stand the interminable wait before the bookseller is going to pull out his cleaver and exact his revenge .	1	-2	 with[0] every[0] shot[-1] of[0] his[0] hand[0] we[0] can[0] hardly[0] stand[0] the[0] interminable[0] wait[0] before[0] the[0] bookseller[0] is[0] going[0] to[0] pull[0] out[0] his[0] cleaver[0] and[0] exact[0] his[0] revenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , these crumbs are not enough to overcome the rest of the film's shortcomings , and weren't enough to prevent that headache from lingering after i left the theater . 	unfortunately , these crumbs are not enough to overcome the rest of the film's shortcomings , and weren't enough to prevent that headache from lingering after i left the theater .	1	-2	 unfortunately[-1] these[0] crumbs[0] are[0] not[0] enough[0] to[0] overcome[0] the[0] rest[0] of[0] the[0] film's[0] shortcomings[-1] and[0] weren't[0] enough[0] to[0] prevent[0] that[0] headache[-1] from[0] lingering[0] after[0] i[0] left[0] the[0] theater[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
