this well-conceived but ultra sugary coming-of-age film is not for everyone , and i include myself as one of those who found it too sappy for my digestion . 	Translation	Positive	Negative	EmotionRationale
now , that's a smart kid . 	now , that's a smart kid .	2	-1	 now[0] that's[0] a[0] smart[1] kid[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but joseph looks for him in the usual places , and what better place than to start in the parochial school he attends . 	but joseph looks for him in the usual places , and what better place than to start in the parochial school he attends .	1	-1	 but[0] joseph[0] looks[0] for[0] him[0] in[0] the[0] usual[0] places[0] and[0] what[0] better[0] place[0] than[0] to[0] start[0] in[0] the[0] parochial[0] school[0] he[0] attends[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of his teachers is the kind-hearted sister terry ( rosie o'donnell ) , who wears a philly baseball hat and equates the jesus stories with baseball , making him the clean-up hitter , and in my opinion , if she wasn't a big tv star , would have a vocation as a parochial school teacher , she is that convincing . 	one of his teachers is the kind-hearted sister terry ( rosie o'donnell ) , who wears a philly baseball hat and equates the jesus stories with baseball , making him the clean-up hitter , and in my opinion , if she wasn't a big tv star , would have a vocation as a parochial school teacher , she is that convincing .	2	-1	 one[0] of[0] his[0] teachers[0] is[0] the[0] kind[1] hearted[0] sister[0] terry[0] rosie[0] o'donnell[0] who[0] wears[0] a[0] philly[0] baseball[0] hat[0] and[0] equates[0] the[0] jesus[0] stories[0] with[0] baseball[0] making[0] him[0] the[0] clean[0] up[0] hitter[0] and[0] in[0] my[0] opinion[0] if[0] she[0] wasn't[0] a[0] big[0] tv[0] star[0] would[0] have[0] a[0] vocation[0] as[0] a[0] parochial[0] school[0] teacher[0] she[0] is[0] that[0] convincing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
throughout the film , she is saved from answering any tough ( sic ! ) 	throughout the film , she is saved from answering any tough ( sic !<br> )	2	-2	 throughout[0] the[0] film[0] she[0] is[0] saved[1] from[0] answering[0] any[0] tough[-1] sic[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
question about god by the bell , as it rings to end the class . 	question about god by the bell , as it rings to end the class .	1	-1	 question[0] about[0] god[0] by[0] the[0] bell[0] as[0] it[0] rings[0] to[0] end[0] the[0] class[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing much happens in the search for god , there is no parody of the catholic school ; though a visiting cardinal is found by the boy not to be able to talk to god , but this is gentle stuff , no real criticism or search for god is attempted . 	nothing much happens in the search for god , there is no parody of the catholic school ; though a visiting cardinal is found by the boy not to be able to talk to god , but this is gentle stuff , no real criticism or search for god is attempted .	2	-2	 nothing[0] much[0] happens[0] in[0] the[0] search[0] for[0] god[0] there[0] is[0] no[0] parody[0] of[0] the[0] catholic[0] school[0] though[0] a[0] visiting[0] cardinal[0] is[0] found[0] by[0] the[0] boy[0] not[0] to[0] be[0] able[0] to[0] talk[0] to[0] god[0] but[0] this[0] is[0] gentle[1] stuff[0] no[0] real[0] criticism[-1] or[0] search[0] for[0] god[0] is[0] attempted[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what comes next into play is some hollywood hokum , which is designed not to upset anyone , as joseph has a reassuring encounter with a real , live angel , a blond little boy his own age and dressed like him in the catholic school uniform who wears the innocuous smile of a goody-goody . 	what comes next into play is some hollywood hokum , which is designed not to upset anyone , as joseph has a reassuring encounter with a real , live angel , a blond little boy his own age and dressed like him in the catholic school uniform who wears the innocuous smile of a goody-goody .	3	-1	 what[0] comes[0] next[0] into[0] play[0] is[0] some[0] hollywood[0] hokum[0] which[0] is[0] designed[0] not[0] to[0] upset[-2][NegatedDueToPreviousWord] anyone[0] as[0] joseph[0] has[0] a[0] reassuring[1] encounter[0] with[0] a[0] real[0] live[0] angel[0] a[0] blond[0] little[0] boy[0] his[0] own[0] age[0] and[0] dressed[0] like[1] him[0] in[0] the[0] catholic[0] school[0] uniform[0] who[0] wears[0] the[0] innocuous[0] smile[2] of[0] a[0] goody[0] goody[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film ends as this angel ( ! ! ! ) 	the film ends as this angel ( !<br> !<br> !<br> )	1	-1	 the[0] film[0] ends[0] as[0] this[0] angel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tells him his grandfather is all right . 	tells him his grandfather is all right .	1	-1	 tells[0] him[0] his[0] grandfather[0] is[0] all[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his quest is ended , as apparently angels don't have wings and are approachable ; and god , well , . . . 	his quest is ended , as apparently angels don't have wings and are approachable ; and god , well , .<br> .<br> .	1	-1	 his[0] quest[0] is[0] ended[0] as[0] apparently[0] angels[0] don't[0] have[0] wings[0] and[0] are[0] approachable[0] and[0] god[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe that's for another film down the road . 	maybe that's for another film down the road .	1	-1	 maybe[0] that's[0] for[0] another[0] film[0] down[0] the[0] road[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this part of the film was the final straw for me , i couldn't swallow any more goo . 	this part of the film was the final straw for me , i couldn't swallow any more goo .	1	-1	 this[0] part[0] of[0] the[0] film[0] was[0] the[0] final[0] straw[0] for[0] me[0] i[0] couldn't[0] swallow[0] any[0] more[0] goo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as this film flopped commercially , his next one , the sixth sense , pared down the schmaltz and came up smelling like a rose . 	as this film flopped commercially , his next one , the sixth sense , pared down the schmaltz and came up smelling like a rose .	2	-1	 as[0] this[0] film[0] flopped[0] commercially[0] his[0] next[0] one[0] the[0] sixth[0] sense[0] pared[0] down[0] the[0] schmaltz[0] and[0] came[0] up[0] smelling[0] like[1] a[0] rose[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
though if you look through the cleverness of both scripts , this director is loaded with hokum , all he has learned how to do , is hide the hokum better . 	though if you look through the cleverness of both scripts , this director is loaded with hokum , all he has learned how to do , is hide the hokum better .	1	-1	 though[0] if[0] you[0] look[0] through[0] the[0] cleverness[0] of[0] both[0] scripts[0] this[0] director[0] is[0] loaded[0] with[0] hokum[0] all[0] he[0] has[0] learned[0] how[0] to[0] do[0] is[0] hide[0] the[0] hokum[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , god bless him , if he can do that . 	well , god bless him , if he can do that .	2	-1	 well[0] god[0] bless[1] him[0] if[0] he[0] can[0] do[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a nice family picture and there is room for it in hollywood . 	this is a nice family picture and there is room for it in hollywood .	2	-1	 this[0] is[0] a[0] nice[1] family[0] picture[0] and[0] there[0] is[0] room[0] for[0] it[0] in[0] hollywood[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's just too bad that it had nothing relevent or even truthful to say about death , children in a parochial elementary school , or for that matter , about god . 	it's just too bad that it had nothing relevent or even truthful to say about death , children in a parochial elementary school , or for that matter , about god .	2	-3	 it's[0] just[0] too[0] bad[-1] that[0] it[0] had[0] nothing[0] relevent[0] or[0] even[0] truthful[1] to[0] say[0] about[0] death[-2] children[0] in[0] a[0] parochial[0] elementary[0] school[0] or[0] for[0] that[0] matter[0] about[0] god[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and that family of his , they're too good for words . 	and that family of his , they're too good for words .	2	-1	 and[0] that[0] family[0] of[0] his[0] they're[0] too[0] good[1] for[0] words[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yet the film meant well and its benign message had its heart in the right place . 	yet the film meant well and its benign message had its heart in the right place .	2	-1	 yet[0] the[0] film[0] meant[0] well[0] and[0] its[0] benign[1] message[0] had[0] its[0] heart[0] in[0] the[0] right[0] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for those who want to see something soft , without a bite to it , this is the one . 	for those who want to see something soft , without a bite to it , this is the one .	1	-1	 for[0] those[0] who[0] want[0] to[0] see[0] something[0] soft[0] without[0] a[0] bite[0] to[0] it[0] this[0] is[0] the[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
