 " the animal " is a marginally inspired comedy that only manages to lumber along , generating just enough momentum to keep it from stalling . 	Translation	Positive	Negative	EmotionRationale
equally tenuous is its other running joke , which involves one of his friends ( guy torry ) who constantly complains that everyone is treating him too nicely because he's black . 	equally tenuous is its other running joke , which involves one of his friends ( guy tory ) who constantly complains that everyone is treating him too nicely because he's black .	2	-2	 equally[0] tenuous[0] is[0] its[0] other[0] running[0] joke[1] which[0] involves[0] one[0] of[0] his[0] friends[1] guy[0] torry/tory[0] who[0] constantly[0] complains[-1] that[0] everyone[0] is[0] treating[0] him[0] too[0] nicely[1] because[0] he's[0] black[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " it's reverse racism , " he declares as he blows smoke into the faces of strangers but none of them says anything . 	 " it's reverse racism , " he declares as he blows smoke into the faces of strangers but none of them says anything .	1	-2	 it's[0] reverse[0] racism[-1] he[0] declares[0] as[0] he[0] blows[0] smoke[0] into[0] the[0] faces[0] of[0] strangers[0] but[0] none[0] of[0] them[0] says[0] anything[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this element doesn't work the first time it's mentioned , and it becomes increasingly trite with every recurrence . 	this element doesn't work the first time it's mentioned , and it becomes increasingly trite with every recurrence .	1	-3	 this[0] element[0] doesn't[0] work[0] the[0] first[0] time[0] it's[0] mentioned[0] and[0] it[0] becomes[0] increasingly[0] trite[-2] with[0] every[0] recurrence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you don't have to be as wise as an owl to realize that " the animal " is tame . 	you don't have to be as wise as an owl to realize that " the animal " is tame .	1	-1	 you[0] don't[0] have[0] to[0] be[0] as[0] wise[0] as[0] an[0] owl[0] to[0] realize[0] that[0] the[0] animal[0] is[0] tame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if there's any reason to see this film , it's to see colleen haskell who makes her big screen debut . 	if there's any reason to see this film , it's to see colleen haskell who makes her big screen debut .	1	-1	 if[0] there's[0] any[0] reason[0] to[0] see[0] this[0] film[0] it's[0] to[0] see[0] colleen[0] haskell[0] who[0] makes[0] her[0] big[0] screen[0] debut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
remember her ? 	remember her ?	1	-1	 remember[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she was voted off in week 11 of the 13-week program , " survivor . " 	she was voted off in week 11 of the 13-week program , " survivor .<br> "	1	-1	 she[0] was[0] voted[0] off[0] in[0] week[0] 11[0] of[0] the[0] 13[0] week[0] program[0] survivor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here , she plays marvin's sunny love interest . 	here , she plays marvin's sunny love interest .	3	-1	 here[0] she[0] plays[1] marvin's[0] sunny[1] love[2] interest[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while her role required very little actual acting , she seemed very comfortable ( even when marvin licks the side of her face like a lapping dog . . . yuck ! ) . 	while her role required very little actual acting , she seemed very comfortable ( even when marvin licks the side of her face like a lapping dog .<br> .<br> .<br> yuck !<br> ) .	3	-1	 while[0] her[0] role[0] required[0] very[0] little[0] actual[0] acting[0] she[0] seemed[0] very[0] comfortable[1][1 LastWordBoosterStrength] even[0] when[0] marvin[0] licks[0] the[0] side[0] of[0] her[0] face[0] like[1] a[0] lapping[0] dog[0] [[Sentence=-1,3=word max, 1-5]] yuck[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
with her adorable disposition , radiant smile , and playful innocence , she could be a meg ryan in the making . 	with her adorable disposition , radiant smile , and playful innocence , she could be a meg ryan in the making .	4	-1	 with[0] her[0] adorable[3] disposition[0] radiant[2] smile[2][+1 MultiplePositiveWords] and[0] playful[1] innocence[1] she[0] could[0] be[0] a[0] meg[0] ryan[0] in[0] the[0] making[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it's too bad that she's in such a mediocre offering 	it's too bad that she's in such a mediocre offering	1	-2	 it's[0] too[0] bad[-1] that[0] she's[0] in[0] such[0] a[0] mediocre[-1] offering[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
