if you're going to make a two-hour hollywood in-joke , why bother releasing it to the general public ? 	Translation	Positive	Negative	EmotionRationale
the problem is that he's the same character allen always plays , a character who's getting more than a little dull to watch . 	the problem is that he's the same character allen always plays , a character who's getting more than a little dull to watch .	2	-2	 the[0] problem[-1] is[0] that[0] he's[0] the[0] same[0] character[0] allen[0] always[0] plays[1] a[0] character[0] who's[0] getting[0] more[0] than[0] a[0] little[0] dull[-1] to[0] watch[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i mean , come on , how many times have you seen this guy ? 	i mean , come on , how many times have you seen this guy ?	1	-1	 i[0] mean[0] come[0] on[0] how[0] many[0] times[0] have[0] you[0] seen[0] this[0] guy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
-- he hates his work , and he can't be satisfied by any one woman , and , at the end of the movie , nothing has been solved . 	- he hates his work , and he can't be satisfied by any one woman , and , at the end of the movie , nothing has been solved .	1	-4	 he[0] hates[-3] his[0] work[0] and[0] he[0] can't[0] be[0] satisfied[1][NegatedDueToPreviousWord] by[0] any[0] one[0] woman[0] and[0] at[0] the[0] end[0] of[0] the[0] movie[0] nothing[0] has[0] been[0] solved[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he brings all of his problems upon himself ( crashing his car because he's receiving fellatio , and other such stunts ) , so it's pretty hard to care about him . 	he brings all of his problems upon himself ( crashing his car because he's receiving fellatio , and other such stunts ) , so it's pretty hard to care about him .	3	-2	 he[0] brings[0] all[0] of[0] his[0] problems[-1] upon[0] himself[0] crashing[0] his[0] car[0] because[0] he's[0] receiving[0] fellatio[0] and[0] other[0] such[0] stunts[0] so[0] it's[0] pretty[2] hard[0] to[0] care[1] about[0] him[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in addition , isn't allen capable of creating characters who aren't just like him ? 	in addition , isn't allen capable of creating characters who aren't just like him ?	1	-1	 in[0] addition[0] isn't[0] allen[0] capable[0] of[0] creating[0] characters[0] who[0] aren't[0] just[0] like[1][-1 LastWordBoosterStrength] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i know he is , but he didn't do it in celebrity . 	i know he is , but he didn't do it in celebrity .	1	-1	 i[0] know[0] he[0] is[0] but[0] he[0] didn't[0] do[0] it[0] in[0] celebrity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the vacant emotional attachment with the main character is not recaptured in the supporting performances . 	the vacant emotional attachment with the main character is not recaptured in the supporting performances .	2	-2	 the[0] vacant[0] emotional[-1] attachment[0] with[0] the[0] main[0] character[0] is[0] not[0] recaptured[0] in[0] the[0] supporting[1] performances[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
davis , playing the same woman with low self-esteem that she played in deconstructing harry , has a few touching moments , but ends up the same despicable celebrity-type that fills the rest of the movie . 	davis , playing the same woman with low self-esteem that she played in deconstructing harry , has a few touching moments , but ends up the same despicable celebrity-type that fills the rest of the movie .	2	-4	 davis[0] playing[1] the[0] same[0] woman[0] with[0] low[-1] self[0] esteem[0] that[0] she[0] played[0] in[0] deconstructing[0] harry[0] has[0] a[0] few[0] touching[0] moments[0] but[0] ends[0] up[0] the[0] same[0] despicable[-3] celebrity[0] type[0] that[0] fills[0] the[0] rest[0] of[0] the[0] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
some of the actresses are saved because of their beauty -- theron and ryder , especially -- but they're not likable people . 	some of the actresses are saved because of their beauty - theron and ryder , especially - but they're not likable people .	3	-1	 some[0] of[0] the[0] actresses[0] are[0] saved[1] because[0] of[0] their[0] beauty[2] theron[0] and[0] ryder[0] especially[0] but[0] they're[0] not[0] likable[0] people[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
only famke janssen , as a book editor interested in simon's new novel , has any life . 	only famke janssen , as a book editor interested in simon's new novel , has any life .	2	-1	 only[0] famke[0] janssen[0] as[0] a[0] book[0] editor[0] interested[1] in[0] simon's[0] new[0] novel[0] has[0] any[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the men in the picture don't do much better -- joe mantegna is pretty dull as the man who remarries robin , while dicaprio , as a christian slater/johnny depp-type spoiled young actor , is funny but disengaging . 	the men in the picture don't do much better - joe mantegna is pretty dull as the man who remarries robin , while dicaprio , as a christian slater/johnny dep-type spoiled young actor , is funny but disengaging .	3	-2	 the[0] men[0] in[0] the[0] picture[0] don't[0] do[0] much[0] better[0] joe[0] mantegna[0] is[0] pretty[2] dull[-1] as[0] the[0] man[0] who[0] remarries[0] robin[0] while[0] dicaprio[0] as[0] a[0] christian[0] slater/johnny[0] depp/dep[0] type[0] spoiled[-1] young[0] actor[0] is[0] funny[1] but[0] disengaging[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
what's really insulting about celebrity is how dull and standard its " themes " are . 	what's really insulting about celebrity is how dull and standard its " themes " are .	1	-4	 what's[0] really[0] insulting[-2][-1 LastWordBoosterStrength] about[0] celebrity[0] is[0] how[0] dull[-1] and[0] standard[0] its[0] themes[0] are[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
allen seems to think that he's making an insightful movie about the way " normal " people look at celebrities . 	allen seems to think that he's making an insightful movie about the way " normal " people look at celebrities .	1	-1	 allen[0] seems[0] to[0] think[0] that[0] he's[0] making[0] an[0] insightful[0] movie[0] about[0] the[0] way[0] normal[0] people[0] look[0] at[0] celebrities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main problem with this is that the character with whom we're supposed to identify , simon , is not a " normal " guy -- he's just as entrenched in the hollywood image as the rest of the characters . 	the main problem with this is that the character with whom we're supposed to identify , simon , is not a " normal " guy - he's just as entrenched in the hollywood image as the rest of the characters .	1	-2	 the[0] main[0] problem[-1] with[0] this[0] is[0] that[0] the[0] character[0] with[0] whom[0] we're[0] supposed[0] to[0] identify[0] simon[0] is[0] not[0] a[0] normal[0] guy[0] he's[0] just[0] as[0] entrenched[0] in[0] the[0] hollywood[0] image[0] as[0] the[0] rest[0] of[0] the[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the other problem is that the image we get of these celebrities is no more enlightening than the view the media gives us -- none of them register as realistic , interesting characters ; they mostly just function as set pieces for boring dialogue . 	the other problem is that the image we get of these celebrities is no more enlightening than the view the media gives us - none of them register as realistic , interesting characters ; they mostly just function as set pieces for boring dialogue .	2	-2	 the[0] other[0] problem[-1] is[0] that[0] the[0] image[0] we[0] get[0] of[0] these[0] celebrities[0] is[0] no[0] more[0] enlightening[0] than[0] the[0] view[0] the[0] media[0] gives[0] us[0] none[0] of[0] them[0] register[0] as[0] realistic[0] interesting[1] characters[0] they[0] mostly[0] just[0] function[0] as[0] set[0] pieces[0] for[0] boring[-1] dialogue[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in addition , allen decides he needs a scene in which the theme is expressed explicitly ( robin , in this scene , says something like , " it's interesting to see the way we all look at the people we celebrate ! " ) . 	in addition , allen decides he needs a scene in which the theme is expressed explicitly ( robin , in this scene , says something like , " it's interesting to see the way we all look at the people we celebrate !<br> " ) .	2	-1	 in[0] addition[0] allen[0] decides[0] he[0] needs[0] a[0] scene[0] in[0] which[0] the[0] theme[0] is[0] expressed[0] explicitly[0] robin[0] in[0] this[0] scene[0] says[0] something[0] like[1] it's[0] interesting[1] to[0] see[0] the[0] way[0] we[0] all[0] look[0] at[0] the[0] people[0] we[0] celebrate[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
celebrity is arguably allen's biggest misfire to date . 	celebrity is arguably allen's biggest misfire to date .	1	-2	 celebrity[0] is[0] arguably[-1] allen's[0] biggest[0] misfire[0] to[0] date[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it does have a few good scenes -- theron's super-orgasmic model character is kind of funny , and the last scene might have been moving had the rest of the film shown us a character or two . 	it does have a few good scenes - theron's super-orgasmic model character is kind of funny , and the last scene might have been moving had the rest of the film shown us a character or two .	3	-1	 it[0] does[0] have[0] a[0] few[0] good[1] scenes[0] theron's[0] super[2] orgasmic[0] model[0] character[0] is[0] kind[1] of[0] funny[1] and[0] the[0] last[0] scene[0] might[0] have[0] been[0] moving[0] had[0] the[0] rest[0] of[0] the[0] film[0] shown[0] us[0] a[0] character[0] or[0] two[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but celebrity is a failure at the core , unless allen's point was to make a self-indulgent movie about himself and his friends . 	but celebrity is a failure at the core , unless allen's point was to make a self-indulgent movie about himself and his friends .	2	-3	 but[0] celebrity[0] is[0] a[0] failure[-2] at[0] the[0] core[0] unless[0] allen's[0] point[0] was[0] to[0] make[0] a[0] self[0] indulgent[0] movie[0] about[0] himself[0] and[0] his[0] friends[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if he wanted to make his audience feel like they were on the outside of a big joke , then he succeeded in that . 	if he wanted to make his audience feel like they were on the outside of a big joke , then he succeeded in that .	3	-1	 if[0] he[0] wanted[0] to[0] make[0] his[0] audience[0] feel[0] like[1] they[0] were[0] on[0] the[0] outside[0] of[0] a[0] big[0] joke[1] then[0] he[0] succeeded[2] in[0] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i , for one , don't enjoy feeling like an outsider . 	i , for one , don't enjoy feeling like an outsider .	2	-3	 i[0] for[0] one[0] don't[0] enjoy[2][NegatedDueToPreviousWord] feeling[0] like[1] an[0] outsider[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
