watching the movie , i vowed to subtract half a star from the review because the filmmakers included a saccharine syrup , cute 'n cuddly , computer-generated monkey . 	Translation	Positive	Negative	EmotionRationale
also , there were more than zero scenes where i found myself rooting for the robinsons , or getting caught up in the movie's tension . 	also , there were more than zero scenes where i found myself rooting for the robinsons , or getting caught up in the movie's tension .	1	-3	 also[0] there[0] were[0] more[0] than[0] zero[0] scenes[0] where[0] i[0] found[0] myself[0] rooting[0] for[0] the[0] robinsons[0] or[0] getting[0] caught[0] up[0] in[0] the[0] movie's[0] tension[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i even liked the computer-generated settings . 	i even liked the computer-generated settings .	3	-1	 i[0] even[0] liked[2] the[0] computer[0] generated[0] settings[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i usually prefer to see models or sets , but the cg was more detailed than i've seen in a lot of movies ; it looks like someone spent a little overtime to render some of the futuristic cities . 	i usually prefer to see models or sets , but the cg was more detailed than i've seen in a lot of movies ; it looks like someone spent a little overtime to render some of the futuristic cities .	2	-1	 i[0] usually[0] prefer[0] to[0] see[0] models[0] or[0] sets[0] but[0] the[0] cg[0] was[0] more[0] detailed[0] than[0] i've[0] seen[0] in[0] a[0] lot[0] of[0] movies[0] it[0] looks[0] like[1] someone[0] spent[0] a[0] little[0] overtime[0] to[0] render[0] some[0] of[0] the[0] futuristic[0] cities[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , gary oldman is never a bad actor , even though he is typecast as a villain . 	also , gary oldman is never a bad actor , even though he is typecast as a villain .	2	-3	 also[0] gary[0] oldman[0] is[0] never[0] a[0] bad[-1][NegatedDueToPreviousWord] actor[0] even[0] though[0] he[0] is[0] typecast[0] as[0] a[0] villain[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
william hurt isn't too bad either . 	william hurt isn't too bad either .	2	-3	 william[0] hurt[-2] isn't[0] too[0] bad[-1][NegatedDueToPreviousWord] either[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
neither actor had a great role , but their performances were watchable . 	neither actor had a great role , but their performances were watchable .	3	-1	 neither[0] actor[0] had[0] a[0] great[2] role[0] but[0] their[0] performances[0] were[0] watchable[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and perhaps i shouldn't admit this , but something about the tone and outlook of the movie brought me back to my childhood . 	and perhaps i shouldn't admit this , but something about the tone and outlook of the movie brought me back to my childhood .	1	-1	 and[0] perhaps[0] i[0] shouldn't[0] admit[0] this[0] but[0] something[0] about[0] the[0] tone[0] and[0] outlook[0] of[0] the[0] movie[0] brought[0] me[0] back[0] to[0] my[0] childhood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is very little swearing or blood ; there is a strong moral message , saccharine though it is ; there is a bit of romance ( whose culmination after 2 hours is a " real " kiss -- no sex ) . 	there is very little swearing or blood ; there is a strong moral message , saccharine though it is ; there is a bit of romance ( whose culmination after 2 hours is a " real " kiss - no sex ) .	4	-1	 there[0] is[0] very[0] little[0] swearing[0] or[0] blood[0] there[0] is[0] a[0] strong[0] moral[0] message[0] saccharine[0] though[0] it[0] is[0] there[0] is[0] a[0] bit[0] of[0] romance[3] whose[0] culmination[0] after[0] 2[0] hours[0] is[0] a[0] real[0] kiss[2] no[0] sex[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it felt like one of those disney movies that i so looked forward to when i was six . 	it felt like one of those disney movies that i so looked forward to when i was six .	2	-1	 it[0] felt[0] like[1] one[0] of[0] those[0] disney[0] movies[0] that[0] i[0] so[0] looked[0] forward[0] to[0] when[0] i[0] was[0] six[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
those movies were probably as bad as lost in space , but at the time , they were manna from heaven . 	those movies were probably as bad as lost in space , but at the time , they were manna from heaven .	2	-2	 those[0] movies[0] were[0] probably[0] as[0] bad[-1] as[0] lost[0] in[0] space[0] but[0] at[0] the[0] time[0] they[0] were[0] manna[0] from[0] heaven[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that type of moviemaking is a lost art . 	that type of moviemaking is a lost art .	1	-1	 that[0] type[0] of[0] moviemaking[0] is[0] a[0] lost[0] art[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now for the bad news . 	now for the bad news .	1	-2	 now[0] for[0] the[0] bad[-1] news[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
worst and most unforgivable was the incredibly bad dialogue . 	worst and most unforgivable was the incredibly bad dialogue .	1	-4	 worst[-2] and[0] most[0] unforgivable[0] was[0] the[0] incredibly[0] bad[-1][-2 LastWordBoosterStrength] dialogue[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's squeaky-clean , family fun , trying hard to be as hip as pulp fiction . 	it's squeaky-clean , family fun , trying hard to be as hip as pulp fiction .	2	-1	 it's[0] squeaky[0] clean[0] family[0] fun[1] trying[0] hard[0] to[0] be[0] as[0] hip[0] as[0] pulp[0] fiction[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " you better hold on to your joystick , " is one such line . 	 " you better hold on to your joystick , " is one such line .	1	-1	 you[0] better[0] hold[0] on[0] to[0] your[0] joystick[0] is[0] one[0] such[0] line[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and when a robinson is called upon to deliver a line about warp conduit thingamajigs , they inevitably stumble badly enough to embarrass even the lowliest star trek ensign . 	and when a robinson is called upon to deliver a line about warp conduit thingamajigs , they inevitably stumble badly enough to embarrass even the lowliest star trek ensign .	1	-3	 and[0] when[0] a[0] robinson[0] is[0] called[0] upon[0] to[0] deliver[0] a[0] line[0] about[0] warp[-1] conduit[0] thingamajigs[0] they[0] inevitably[0] stumble[0] badly[-1] enough[0] to[0] embarrass[-2] even[0] the[0] lowliest[-1] star[0] trek[0] ensign[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
second worst , and closely related , is the screenplay . 	second worst , and closely related , is the screenplay .	1	-3	 second[0] worst[-2] and[0] closely[0] related[0] is[0] the[0] screenplay[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story's exposition takes place at a press conference , which allows the writers to explain what's happening with the least amount of creativity , effort , or interest . 	the story's exposition takes place at a press conference , which allows the writers to explain what's happening with the least amount of creativity , effort , or interest .	2	-1	 the[0] story's[0] exposition[0] takes[0] place[0] at[0] a[0] press[0] conference[0] which[0] allows[0] the[0] writers[0] to[0] explain[0] what's[0] happening[0] with[0] the[0] least[0] amount[0] of[0] creativity[0] effort[0] or[0] interest[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
once the story gets going , i do concede a momentary burst of interest once in a while , but on the whole , the situations that arise are silly and contrived . 	once the story gets going , i do concede a momentary burst of interest once in a while , but on the whole , the situations that arise are silly and contrived .	2	-2	 once[0] the[0] story[0] gets[0] going[0] i[0] do[0] concede[0] a[0] momentary[0] burst[0] of[0] interest[1] once[0] in[0] a[0] while[0] but[0] on[0] the[0] whole[0] the[0] situations[0] that[0] arise[0] are[0] silly[-1] and[0] contrived[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when gary oldman easily reprograms will's pet robot to kill the robinsons , my friend summed it up perfectly : " he flipped the switch to 'evil . ' " 	when gary oldman easily reprograms will's pet robot to kill the robinsons , my friend summed it up perfectly : " he flipped the switch to 'evil .<br> ' "	2	-2	 when[0] gary[0] oldman[0] easily[0] reprograms[0] will's[0] pet[0] robot[0] to[0] kill[-1] the[0] robinsons[0] my[0] friend[1] summed[0] it[0] up[0] perfectly[1] he[0] flipped[0] the[0] switch[0] to[0] 'evil[0] [[Sentence=-2,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
then there's the tone of the movie . 	then there's the tone of the movie .	1	-1	 then[0] there's[0] the[0] tone[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the colorado daily said the film would have been more interesting if the central character was will robinson and not his father john robinson . 	the colorado daily said the film would have been more interesting if the central character was will robinson and not his father john robinson .	2	-1	 the[0] colorado[0] daily[0] said[0] the[0] film[0] would[0] have[0] been[0] more[0] interesting[1] if[0] the[0] central[0] character[0] was[0] will[0] robinson[0] and[0] not[0] his[0] father[0] john[0] robinson[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then it could be an adventure movie . 	then it could be an adventure movie .	1	-1	 then[0] it[0] could[0] be[0] an[0] adventure[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're mostly right , except that johnson ( will ) wasn't a good enough actor to carry it off . 	they're mostly right , except that johnson ( will ) wasn't a good enough actor to carry it off .	2	-1	 they're[0] mostly[0] right[0] except[0] that[0] johnson[0] will[0] wasn't[0] a[0] good[1] enough[0] actor[0] to[0] carry[0] it[0] off[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still , that the film has the robinson patriarch as our hero shows a lack of imagination . 	still , that the film has the robinson patriarch as our hero shows a lack of imagination .	3	-2	 still[0] that[0] the[0] film[0] has[0] the[0] robinson[0] patriarch[0] as[0] our[0] hero[2] shows[0] a[0] lack[-1] of[0] imagination[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
just because a movie is tame enough for kids doesn't mean that we have to bow to a " promise keepers " notion of who's the center of a family . 	just because a movie is tame enough for kids doesn't mean that we have to bow to a " promise keepers " notion of who's the center of a family .	2	-1	 just[0] because[0] a[0] movie[0] is[0] tame[0] enough[0] for[0] kids[0] doesn't[0] mean[0] that[0] we[0] have[0] to[0] bow[0] to[0] a[0] promise[1] keepers[0] notion[0] of[0] who's[0] the[0] center[0] of[0] a[0] family[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
many quality family films have been made with a non-traditional family structure ( fly away home comes to mind ) to much better effect . 	many quality family films have been made with a non-traditional family structure ( fly away home comes to mind ) to much better effect .	1	-1	 many[0] quality[0] family[0] films[0] have[0] been[0] made[0] with[0] a[0] non[0] traditional[0] family[0] structure[0] fly[0] away[0] home[0] comes[0] to[0] mind[0] to[0] much[0] better[0] effect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the politics of the time seem a bit conservative and regressive for a futuristic movie . 	and the politics of the time seem a bit conservative and regressive for a futuristic movie .	1	-2	 and[0] the[0] politics[0] of[0] the[0] time[0] seem[0] a[0] bit[0] conservative[0] and[0] regressive[-1] for[0] a[0] futuristic[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in star wars , the rebels were the good guys . 	in star wars , the rebels were the good guys .	2	-3	 in[0] star[0] wars[-2] the[0] rebels[-1] were[0] the[0] good[1] guys[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we were rooting for those who were fighting against the system . 	we were rooting for those who were fighting against the system .	1	-3	 we[0] were[0] rooting[0] for[0] those[0] who[0] were[0] fighting[-2] against[-1] the[0] system[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in lost in space , the rebels are the bad guys , a terrorist force that must be killed , crushed and silenced so that our children may live free . 	in lost in space , the rebels are the bad guys , a terrorist force that must be killed , crushed and silenced so that our children may live free .	1	-4	 in[0] lost[0] in[0] space[0] the[0] rebels[-1] are[0] the[0] bad[-1] guys[0] a[0] terrorist[-2] force[-1] that[0] must[0] be[0] killed[-3] crushed[0] and[0] silenced[0] so[0] that[0] our[0] children[0] may[0] live[0] free[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that ominous excuse for violence almost makes me sympathize with the terrorists . 	that ominous excuse for violence almost makes me sympathize with the terrorists .	1	-4	 that[0] ominous[-2] excuse[0] for[0] violence[-3] almost[0] makes[0] me[0] sympathize[0] with[0] the[0] terrorists[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
finally , a few specific details deserve criticism . 	finally , a few specific details deserve criticism .	1	-2	 finally[0] a[0] few[0] specific[0] details[0] deserve[0] criticism[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie tells us that the setting is the year 2056 . 	the movie tells us that the setting is the year 2056 .	1	-1	 the[0] movie[0] tells[0] us[0] that[0] the[0] setting[0] is[0] the[0] year[0] 2056[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why bother saying what year this is . 	why bother saying what year this is .	1	-2	 why[0] bother[-1] saying[0] what[0] year[0] this[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just tell us it's the future . 	just tell us it's the future .	1	-1	 just[0] tell[0] us[0] it's[0] the[0] future[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i bring it up because the tv series was supposed to take place in 1997 . 	i bring it up because the tv series was supposed to take place in 1997 .	1	-1	 i[0] bring[0] it[0] up[0] because[0] the[0] tv[0] series[0] was[0] supposed[0] to[0] take[0] place[0] in[0] 1997[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
setting a specific date only dates the movie and guarantees that it won't be timeless ( not that this movie was really in the running anyway . ) . 	setting a specific date only dates the movie and guarantees that it won't be timeless ( not that this movie was really in the running anyway .<br> ) .	1	-1	 setting[0] a[0] specific[0] date[0] only[0] dates[0] the[0] movie[0] and[0] guarantees[0] that[0] it[0] won't[0] be[0] timeless[0] not[0] that[0] this[0] movie[0] was[0] really[0] in[0] the[0] running[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then there is a scene that shows john robinson checking one of his controls on a chair that rises about fifteen feet on a pole . 	then there is a scene that shows john robinson checking one of his controls on a chair that rises about fifteen feet on a pole .	1	-1	 then[0] there[0] is[0] a[0] scene[0] that[0] shows[0] john[0] robinson[0] checking[0] one[0] of[0] his[0] controls[0] on[0] a[0] chair[0] that[0] rises[0] about[0] fifteen[0] feet[0] on[0] a[0] pole[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this silly waste of money reminded me of bugs bunny's barber chair , and only shows that the future is a time when spaceship designers haven't learned a thing about ergonomics . 	this silly waste of money reminded me of bugs bunny's barber chair , and only shows that the future is a time when spaceship designers haven't learned a thing about ergonomics .	1	-2	 this[0] silly[-1] waste[-1] of[0] money[0] reminded[0] me[0] of[0] bugs[0] bunny's[0] barber[0] chair[0] and[0] only[0] shows[0] that[0] the[0] future[0] is[0] a[0] time[0] when[0] spaceship[0] designers[0] haven't[0] learned[0] a[0] thing[0] about[0] ergonomics[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one vaguely redeeming quality is that the end credits succeed where the rest of the film failed : it made lost in space look cool . 	one vaguely redeeming quality is that the end credits succeed where the rest of the film failed : it made lost in space look cool .	3	-3	 one[0] vaguely[-1] redeeming[0] quality[0] is[0] that[0] the[0] end[0] credits[0] succeed[2] where[0] the[0] rest[0] of[0] the[0] film[0] failed[-2] it[0] made[0] lost[0] in[0] space[0] look[0] cool[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the strong techno beat sampled the cheesiest dialogue and , out of context , made it sound hip . 	the strong techno beat sampled the cheesiest dialogue and , out of context , made it sound hip .	1	-1	 the[0] strong[0] techno[0] beat[0] sampled[0] the[0] cheesiest[0] dialogue[0] and[0] out[0] of[0] context[0] made[0] it[0] sound[0] hip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is overlaid on a cool jumpy credit sequence with interesting distorted clips from the movie . 	this is overlaid on a cool jumpy credit sequence with interesting distorted clips from the movie .	2	-2	 this[0] is[0] overlaid[0] on[0] a[0] cool[1] jumpy[-1] credit[0] sequence[0] with[0] interesting[1] distorted[-1] clips[0] from[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but if that's the best part of the movie , i can't in good conscience recommend it . 	but if that's the best part of the movie , i can't in good conscience recommend it .	2	-2	 but[0] if[0] that's[0] the[0] best[1] part[0] of[0] the[0] movie[0] i[0] can't[0] in[0] good[1][NegatedDueToPreviousWord] conscience[0] recommend[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
still , if you get stuck seeing it , as we did , you might be able to appreciate it if you keep your distance , think of liking bad movies as a child , and bring along your " bad movie bingo " cards . 	still , if you get stuck seeing it , as we did , you might be able to appreciate it if you keep your distance , think of liking bad movies as a child , and bring along your " bad movie bingo " cards .	3	-2	 still[0] if[0] you[0] get[0] stuck[0] seeing[0] it[0] as[0] we[0] did[0] you[0] might[0] be[0] able[0] to[0] appreciate[1] it[0] if[0] you[0] keep[0] your[0] distance[0] think[0] of[0] liking[2] bad[-1] movies[0] as[0] a[0] child[0] and[0] bring[0] along[0] your[0] bad[-1] movie[0] bingo[0] cards[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
