i am continually amazed at movies like this . 	Translation	Positive	Negative	EmotionRationale
there isn't one truly uprorously funny moment in this film , and that's pretty disasterous when you consider that it's primarily a comedy . 	there isn't one truly uprorously funny moment in this film , and that's pretty disasterous when you consider that it's primarily a comedy .	3	-2	 there[0] isn't[0] one[0] truly[1][NegatedDueToPreviousWord] uprorously[0] funny[1] moment[0] in[0] this[0] film[0] and[0] that's[0] pretty[2] disasterous[-1] when[0] you[0] consider[0] that[0] it's[0] primarily[0] a[0] comedy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as i said , the fault is totally that of the script . 	as i said , the fault is totally that of the script .	1	-2	 as[0] i[0] said[0] the[0] fault[-1] is[0] totally[0] that[0] of[0] the[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when you consider their respective roles , will smith and kevil kline do as good as they could have possibly done . 	when you consider their respective roles , will smith and kevil kline do as good as they could have possibly done .	3	-1	 when[0] you[0] consider[0] their[0] respective[2] roles[0] will[0] smith[0] and[0] kevil[0] kline[0] do[0] as[0] good[1] as[0] they[0] could[0] have[0] possibly[0] done[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the leads could've been played samuel l . jackson and robert de niro and the film still would've been awful . 	the leads could've been played samuel l .<br> jackson and robert de niro and the film still would've been awful .	1	-4	 the[0] leads[0] could've[0] been[0] played[0] samuel[0] l[0] [[Sentence=-1,1=word max, 1-5]] jackson[0] and[0] robert[0] de[0] niro[0] and[0] the[0] film[0] still[0] would've[0] been[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
no one , and i mean no one , can make a line like " bye bye , mr . knife guy ! " 	no one , and i mean no one , can make a line like " bye bye , mr .<br> knife guy !<br> "	2	-2	 no[0] one[0] and[0] i[0] mean[0] no[0] one[0] can[0] make[0] a[0] line[0] like[1] bye[0] bye[0] mr[0] [[Sentence=-1,2=word max, 1-5]] knife[-1] guy[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
sound good . 	sound good .	2	-1	 sound[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still , this film has a lot going for it visually . 	still , this film has a lot going for it visually .	1	-1	 still[0] this[0] film[0] has[0] a[0] lot[0] going[0] for[0] it[0] visually[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the set design is fantastic , maybe even oscar worthy . 	the set design is fantastic , maybe even oscar worthy .	3	-1	 the[0] set[0] design[0] is[0] fantastic[2] maybe[0] even[0] oscar[0] worthy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the cinematogrophy by michael ballhaus ( who was also behind camera in martin scorsese's brilliant " goodfellas " ) , is absolutely stunning . 	the cinematogrophy by michael ballhaus ( who was also behind camera in martin scorsese's brilliant " goodfellas " ) , is absolutely stunning .	2	-1	 the[0] cinematogrophy[0] by[0] michael[0] ballhaus[0] who[0] was[0] also[0] behind[0] camera[0] in[0] martin[0] scorsese's[0] brilliant[1] goodfellas[0] is[0] absolutely[0] stunning[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he lends the film a much needed exciting , comic bookish look . 	he lends the film a much needed exciting , comic bookish look .	3	-1	 he[0] lends[0] the[0] film[0] a[0] much[0] needed[0] exciting[2] comic[0] bookish[0] look[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i won't fault barry sonnenfeld either . 	i won't fault barry sonnenfeld either .	2	-1	 i[0] won't[0] fault[-1][NegatedDueToPreviousWord] barry[0] sonnenfeld[0] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he does a fine job of directing the proceedings , but , like the rest of the people involved with the film , there really isn't anything that he can do to correct its one major flaw . 	he does a fine job of directing the proceedings , but , like the rest of the people involved with the film , there really isn't anything that he can do to correct its one major flaw .	3	-2	 he[0] does[0] a[0] fine[2] job[0] of[0] directing[0] the[0] proceedings[0] but[0] like[1] the[0] rest[0] of[0] the[0] people[0] involved[0] with[0] the[0] film[0] there[0] really[0] isn't[0] anything[0] that[0] he[0] can[0] do[0] to[0] correct[0] its[0] one[0] major[0] flaw[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
despite being beautifully made , " wild wild west " becomes quite boring after the half-way point . 	despite being beautifully made , " wild wild west " becomes quite boring after the half-way point .	3	-2	 despite[0] being[0] beautifully[2] made[0] wild[0] wild[0] west[0] becomes[0] quite[0] boring[-1] after[0] the[0] half[0] way[0] point[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the appeal of the visuals ends long before the film does . 	the appeal of the visuals ends long before the film does .	1	-1	 the[0] appeal[0] of[0] the[0] visuals[0] ends[0] long[0] before[0] the[0] film[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if " wild wild west " didn't look so good , it would be almost insufferable . 	if " wild wild west " didn't look so good , it would be almost insufferable .	2	-1	 if[0] wild[0] wild[0] west[0] didn't[0] look[0] so[0] good[1] it[0] would[0] be[0] almost[0] insufferable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as it is , it's somewhat tolerable , but not very entertaining . 	as it is , it's somewhat tolerable , but not very entertaining .	1	-1	 as[0] it[0] is[0] it's[0] somewhat[0] tolerable[0] but[0] not[0] very[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it hurts to give such a well made movie a score this low , but there isn't anything much worse than an unfunny comedy . 	it hurts to give such a well made movie a score this low , but there isn't anything much worse than an unfunny comedy .	1	-3	 it[0] hurts[-2] to[0] give[0] such[0] a[0] well[0] made[0] movie[0] a[0] score[0] this[0] low[-1] but[0] there[0] isn't[0] anything[0] much[0] worse[-2] than[0] an[0] unfunny[0] comedy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
