way of the gun is brimming with surprises , some good , most bad . 	Translation	Positive	Negative	EmotionRationale
directed by christopher mcquarrie , the screenwriter who won an oscar for his work on usual suspects , an overrated piece of crime noir in many circles ( this one included ) , way of the gun is a hodgepodge of crime thriller motifs that just oozes eye rolling familiarity . 	directed by christopher mcquarrie , the screenwriter who won an oscar for his work on usual suspects , an overrated piece of crime noir in many circles ( this one included ) , way of the gun is a hodgepodge of crime thriller motifs that just oozes eye rolling familiarity .	2	-2	 directed[0] by[0] christopher[0] mcquarrie[0] the[0] screenwriter[0] who[0] won[0] an[0] oscar[0] for[0] his[0] work[0] on[0] usual[0] suspects[0] an[0] overrated[0] piece[0] of[0] crime[-1] noir[0] in[0] many[0] circles[0] this[0] one[0] included[0] way[0] of[0] the[0] gun[-1] is[0] a[0] hodgepodge[0] of[0] crime[-1] thriller[1] motifs[0] that[0] just[0] oozes[0] eye[0] rolling[0] familiarity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unlike phillipe , mcquarrie doesn't seem to be growing at all ; he fills his flick with a sprawling labyrinth of plot all snatched from movies i know i've seen before and worse , it feels like it . 	unlike phillipe , mcquarrie doesn't seem to be growing at all ; he fills his flick with a sprawling labyrinth of plot all snatched from movies i know i've seen before and worse , it feels like it .	2	-3	 unlike[0] phillipe[0] mcquarrie[0] doesn't[0] seem[0] to[0] be[0] growing[0] at[0] all[0] he[0] fills[0] his[0] flick[0] with[0] a[0] sprawling[0] labyrinth[0] of[0] plot[0] all[0] snatched[-1] from[0] movies[0] i[0] know[0] i've[0] seen[0] before[0] and[0] worse[-2] it[0] feels[0] like[1] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film lacks even a fresh approach ( like what soderbergh did out of sight or the limey ) to its clich ? s , all of which are spewed before us in a picture that tries so desperately to be hip and gritty without bothering to notice how common it is . 	the film lacks even a fresh approach ( like what soderbergh did out of sight or the limey ) to its clich ?<br> s , all of which are spewed before us in a picture that tries so desperately to be hip and gritty without bothering to notice how common it is .	2	-3	 the[0] film[0] lacks[0] even[0] a[0] fresh[0] approach[0] like[1] what[0] soderbergh[0] did[0] out[0] of[0] sight[0] or[0] the[0] limey[0] to[0] its[0] clich[0] [[Sentence=-1,2=word max, 1-5]] s[0] all[0] of[0] which[0] are[0] spewed[-1] before[0] us[0] in[0] a[0] picture[0] that[0] tries[0] so[0] desperately[-2] to[0] be[0] hip[0] and[0] gritty[0] without[0] bothering[-1] to[0] notice[0] how[0] common[0] it[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
it features characters living by a code they seemed to have picked up in sam peckinpah 101 rather than any thing resembling life . 	it features characters living by a code they seemed to have picked up in sam peckinpah 101 rather than any thing resembling life .	1	-1	 it[0] features[0] characters[0] living[0] by[0] a[0] code[0] they[0] seemed[0] to[0] have[0] picked[0] up[0] in[0] sam[0] peckinpah[0] 101[0] rather[0] than[0] any[0] thing[0] resembling[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even attempts at emotional weight feel strained like in preposterous scene where enemies james caan and benicio del torro stop in their tracks to have a cup of coffee and pontificate on life , philosophy , etc . i didn't like the bit much when it first appeared in heat , here , it's even more self consciously " dramatic " . 	even attempts at emotional weight feel strained like in preposterous scene where enemies james can and benicio del torro stop in their tracks to have a cup of coffee and pontificate on life , philosophy , etc .<br> i didn't like the bit much when it first appeared in heat , here , it's even more self consciously " dramatic " .	2	-2	 even[0] attempts[0] at[0] emotional[-1] weight[0] feel[0] strained[-1] like[1] in[0] preposterous[-1] scene[0] where[0] enemies[-1] james[0] caan/can[0] and[0] benicio[0] del[0] torro[0] stop[0] in[0] their[0] tracks[0] to[0] have[0] a[0] cup[0] of[0] coffee[0] and[0] pontificate[0] on[0] life[0] philosophy[0] etc[0] [[Sentence=-2,2=word max, 1-5]] i[0] didn't[0] like[1] the[0] bit[0] much[0] when[0] it[0] first[0] appeared[0] in[0] heat[0] here[0] it's[0] even[0] more[0] self[0] consciously[0] dramatic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
usual suspects , which also featured a bunch of low lives that seemed to live by a code they learned from the movies , worked to some degree because of that astonishing twist ending . 	usual suspects , which also featured a bunch of low lives that seemed to live by a code they learned from the movies , worked to some degree because of that astonishing twist ending .	1	-2	 usual[0] suspects[0] which[0] also[0] featured[0] a[0] bunch[0] of[0] low[-1] lives[0] that[0] seemed[0] to[0] live[0] by[0] a[0] code[0] they[0] learned[0] from[0] the[0] movies[0] worked[0] to[0] some[0] degree[0] because[0] of[0] that[0] astonishing[0] twist[0] ending[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nowadays an astonishing twist per ending is de rigeur , never mind if it deems all that transpired before it completely inconsequential . 	nowadays an astonishing twist per ending is de rigeur , never mind if it deems all that transpired before it completely inconsequential .	1	-1	 nowadays[0] an[0] astonishing[0] twist[0] per[0] ending[0] is[0] de[0] rigeur[0] never[0] mind[0] if[0] it[0] deems[0] all[0] that[0] transpired[0] before[0] it[0] completely[0] inconsequential[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thus , nearly every character in way comes with at least one dirty little secret ( most amateurishly projected before they appear ) and it too has an ironic little twist at the end ( nothing earth shattering , like in the usual suspects ) but i admit , i didn't see it coming , and i smiled . 	thus , nearly every character in way comes with at least one dirty little secret ( most amateurishly projected before they appear ) and it too has an ironic little twist at the end ( nothing earth shattering , like in the usual suspects ) but i admit , i didn't see it coming , and i smiled .	3	-2	 thus[0] nearly[0] every[0] character[0] in[0] way[0] comes[0] with[0] at[0] least[0] one[0] dirty[-1] little[0] secret[0] most[0] amateurishly[0] projected[0] before[0] they[0] appear[0] and[0] it[0] too[0] has[0] an[0] ironic[-1] little[0] twist[0] at[0] the[0] end[0] nothing[0] earth[0] shattering[0] like[1] in[0] the[0] usual[0] suspects[0] but[0] i[0] admit[0] i[0] didn't[0] see[0] it[0] coming[0] and[0] i[0] smiled[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however most of the movie feels exactly like the interrogation scenes between palminteri and spacey in usual suspects : a lot of faux huffing and puffing with no rhythm or reason . 	however most of the movie feels exactly like the interrogation scenes between palminteri and spacey in usual suspects : a lot of faux huffing and puffing with no rhythm or reason .	2	-1	 however[0] most[0] of[0] the[0] movie[0] feels[0] exactly[0] like[1] the[0] interrogation[0] scenes[0] between[0] palminteri[0] and[0] spacey[0] in[0] usual[0] suspects[0] a[0] lot[0] of[0] faux[0] huffing[0] and[0] puffing[0] with[0] no[0] rhythm[0] or[0] reason[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or substance . 	or substance .	1	-1	 or[0] substance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's just as overplotted as suspects , and often dull as any overplotted movie without interesting characters , a distinctive style , or a good script would be . 	it's just as overplotted as suspects , and often dull as any overplotted movie without interesting characters , a distinctive style , or a good script would be .	2	-2	 it's[0] just[0] as[0] overplotted[0] as[0] suspects[0] and[0] often[0] dull[-1] as[0] any[0] overplotted[0] movie[0] without[0] interesting[1] characters[0] a[0] distinctive[0] style[0] or[0] a[0] good[1] script[0] would[0] be[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even the good stuff , most of which involves james caan ( doing a fine job ) , feels odd and out of place in a movie that thinks lines like " karma is only justice with out the satisfaction " are clever . 	even the good stuff , most of which involves james can ( doing a fine job ) , feels odd and out of place in a movie that thinks lines like " karma is only justice with out the satisfaction " are clever .	3	-1	 even[0] the[0] good[1] stuff[0] most[0] of[0] which[0] involves[0] james[0] caan/can[0] doing[0] a[0] fine[2] job[0] feels[0] odd[0] and[0] out[0] of[0] place[0] in[0] a[0] movie[0] that[0] thinks[0] lines[0] like[1] karma[0] is[0] only[0] justice[0] with[0] out[0] the[0] satisfaction[1] are[0] clever[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at one point caan laments " need is the ultimate monkey " a line so inexplicable he might as well have said " love is like hippo ass " . 	at one point can laments " need is the ultimate monkey " a line so inexplicable he might as well have said " love is like hippo ass " .	3	-2	 at[0] one[0] point[0] caan/can[0] laments[-1] need[0] is[0] the[0] ultimate[0] monkey[0] a[0] line[0] so[0] inexplicable[-1] he[0] might[0] as[0] well[0] have[0] said[0] love[2] is[0] like[1] hippo[0] ass[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i've seen porno with better dialogue . 	i've seen porno with better dialogue .	1	-1	 i've[0] seen[0] porno[0] with[0] better[0] dialogue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and some with better plot lines too . 	and some with better plot lines too .	1	-1	 and[0] some[0] with[0] better[0] plot[0] lines[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but rarely has porn offered up such a talented cast ( i mean , can you even compare james caan to ron jeremy ) . 	but rarely has porn offered up such a talented cast ( i mean , can you even compare james can to ron jeremy ) .	2	-1	 but[0] rarely[0] has[0] porn[0] offered[0] up[0] such[0] a[0] talented[1] cast[0] i[0] mean[0] can[0] you[0] even[0] compare[0] james[0] caan/can[0] to[0] ron[0] jeremy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
caan slips into this role with seeming ease , he could do this kind of soft-spoken tough guy in a coma , but he manages to give his character depth and weariness . 	can slips into this role with seeming ease , he could do this kind of soft-spoken tough guy in a coma , but he manages to give his character depth and weariness .	2	-2	 caan/can[0] slips[0] into[0] this[0] role[0] with[0] seeming[0] ease[0] he[0] could[0] do[0] this[0] kind[1] of[0] soft[0] spoken[0] tough[-1] guy[0] in[0] a[0] coma[0] but[0] he[0] manages[0] to[0] give[0] his[0] character[0] depth[0] and[0] weariness[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
benicio del torro is always welcome , though here he plays it fairly straight ( rather than another oddball character creation like the ones the actor gave us in usual suspects and excess baggage ) , adopting a brad pitt-esque quizzical pout to go along with his heavy swaggering . 	benicio del torro is always welcome , though here he plays it fairly straight ( rather than another oddball character creation like the ones the actor gave us in usual suspects and excess baggage ) , adopting a brad pit-esque quizical pout to go along with his heavy swaggering .	2	-2	 benicio[0] del[0] torro[0] is[0] always[0] welcome[1] though[0] here[0] he[0] plays[1] it[0] fairly[0] straight[0] rather[0] than[0] another[0] oddball[0] character[0] creation[0] like[1] the[0] ones[0] the[0] actor[0] gave[0] us[0] in[0] usual[0] suspects[0] and[0] excess[-1] baggage[0] adopting[0] a[0] brad[0] pitt/pit[0] esque[0] quizzical/quizical[0] pout[-1] to[0] go[0] along[0] with[0] his[0] heavy[0] swaggering[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
speaking of pitt , his ex , juliette lewis , is a weak link , either shouting her lines with ear shattering shrillness , or waddling about like a silly goose . 	speaking of pit , his ex , juliette lewis , is a weak link , either shouting her lines with ear shattering shrillness , or waddling about like a silly goose .	2	-2	 speaking[0] of[0] pitt/pit[0] his[0] ex[0] juliette[0] lewis[0] is[0] a[0] weak[-1] link[0] either[0] shouting[0] her[0] lines[0] with[0] ear[0] shattering[0] shrillness[-1] or[0] waddling[0] about[0] like[1] a[0] silly[-1] goose[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nicky katt was brilliant in a brief role in the limey , here his role is just as brief only he seems wasted ; he's only kept around for his cold presence . 	nicky katt was brilliant in a brief role in the limey , here his role is just as brief only he seems wasted ; he's only kept around for his cold presence .	2	-2	 nicky[0] katt[0] was[0] brilliant[1] in[0] a[0] brief[0] role[0] in[0] the[0] limey[0] here[0] his[0] role[0] is[0] just[0] as[0] brief[0] only[0] he[0] seems[0] wasted[-1] he's[0] only[0] kept[0] around[0] for[0] his[0] cold[-1] presence[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
taye diggs has a similar function , cool as ever , but never a character , though the guy has one helluva death scene . 	taye digs has a similar function , cool as ever , but never a character , though the guy has one helluva death scene .	2	-3	 taye[0] diggs/digs[0] has[0] a[0] similar[0] function[0] cool[1] as[0] ever[0] but[0] never[0] a[0] character[0] though[0] the[0] guy[0] has[0] one[0] helluva[0] death[-2] scene[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for the most part way is incessantly talky with no reason to give a hippo's ass about any thing that transpires since its characters are never more than simplistic pawns . 	for the most part way is incessantly talky with no reason to give a hippo's ass about any thing that transpires since its characters are never more than simplistic pawns .	1	-2	 for[0] the[0] most[0] part[0] way[0] is[0] incessantly[0] talky[0] with[0] no[0] reason[0] to[0] give[0] a[0] hippo's[0] ass[0] about[0] any[0] thing[0] that[0] transpires[0] since[0] its[0] characters[0] are[0] never[0] more[0] than[0] simplistic[-1] pawns[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's vaguely tarantino-ish , but in a bad truth and consequences nm way , with phillippe , in one scene , leaping into a stupid rant about " faggots " migrating to los angeles . 	it's vaguely tarantino-ish , but in a bad truth and consequences nm way , with phillippe , in one scene , leaping into a stupid rant about " faggots " migrating to los angeles .	2	-2	 it's[0] vaguely[-1] tarantino[0] ish[0] but[0] in[0] a[0] bad[-1] truth[1] and[0] consequences[0] nm[0] way[0] with[0] phillippe[0] in[0] one[0] scene[0] leaping[0] into[0] a[0] stupid[-1] rant[0] about[0] faggots[0] migrating[0] to[0] los[0] angeles[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you know the routine . 	you know the routine .	1	-1	 you[0] know[0] the[0] routine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the final shoot out is pure bargain basement john woo ( who himself seems to be doing bargain basement john woo ) with interchangeable bad guys lining up to be shot at . 	the final shoot out is pure bargain basement john woo ( who himself seems to be doing bargain basement john woo ) with interchangeable bad guys lining up to be shot at .	1	-2	 the[0] final[0] shoot[-1] out[0] is[0] pure[0] bargain[0] basement[0] john[0] woo[0] who[0] himself[0] seems[0] to[0] be[0] doing[0] bargain[0] basement[0] john[0] woo[0] with[0] interchangeable[0] bad[-1] guys[0] lining[0] up[0] to[0] be[0] shot[-1] at[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but those gun shots sure crack like thunder . 	but those gun shots sure crack like thunder .	2	-2	 but[0] those[0] gun[-1] shots[0] sure[0] crack[0] like[1] thunder[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
just the other day i was watching an old dirty harry movie on cable and was stunned to hear the weak elephant grunt-like sound that emanated from harry's fetishized smith and wesson . 	just the other day i was watching an old dirty harry movie on cable and was stunned to hear the weak elephant grunt-like sound that emanated from harry's fetishized smith and wesson .	2	-2	 just[0] the[0] other[0] day[0] i[0] was[0] watching[0] an[0] old[0] dirty[-1] harry[0] movie[0] on[0] cable[0] and[0] was[0] stunned[-1] to[0] hear[0] the[0] weak[-1] elephant[0] grunt[0] like[1] sound[0] that[0] emanated[0] from[0] harry's[0] fetishized[0] smith[0] and[0] wesson[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
oh how far we've come . 	oh how far we've come .	1	-1	 oh[0] how[0] far[0] we've[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
