an attempt at florida film noir , palmetto fails at the most fundamental levels . 	Translation	Positive	Negative	EmotionRationale
even the plot twists don't seem to flow well with the rest of the story . 	even the plot twists don't seem to flow well with the rest of the story .	1	-1	 even[0] the[0] plot[0] twists[0] don't[0] seem[0] to[0] flow[0] well[0] with[0] the[0] rest[0] of[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of them , for example , come from so far afield that they seemingly only make sense because the writer needed a twist ( for example : harry's spontaneous job offer , or the whole typewriter situation ) . 	some of them , for example , come from so far afield that they seemingly only make sense because the writer needed a twist ( for example : harry's spontaneous job offer , or the whole typewriter situation ) .	1	-1	 some[0] of[0] them[0] for[0] example[0] come[0] from[0] so[0] far[0] afield[0] that[0] they[0] seemingly[0] only[0] make[0] sense[0] because[0] the[0] writer[0] needed[0] a[0] twist[0] for[0] example[0] harry's[0] spontaneous[0] job[0] offer[0] or[0] the[0] whole[0] typewriter[0] situation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters are mostly lifeless , played to type , but not much more . 	the characters are mostly lifeless , played to type , but not much more .	1	-2	 the[0] characters[0] are[0] mostly[0] lifeless[-1] played[0] to[0] type[0] but[0] not[0] much[0] more[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
woody harrelson plays harry with such imbecilic thick-headedness that it's hard to even picture him as an ex-journalist . 	woody harrelson plays harry with such imbecilic thick-headedness that it's hard to even picture him as an ex-journalist .	2	-1	 woody[0] harrelson[0] plays[1] harry[0] with[0] such[0] imbecilic[0] thick[0] headedness[0] that[0] it's[0] hard[0] to[0] even[0] picture[0] him[0] as[0] an[0] ex[0] journalist[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
elisabeth shue vamps it up , but doesn't add anything special to the role . 	elisabeth shue vamps it up , but doesn't add anything special to the role .	2	-1	 elisabeth[0] shue[0] vamps[0] it[0] up[0] but[0] doesn't[0] add[0] anything[0] special[1] to[0] the[0] role[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
chloe sevigny gives a terrible performance , trying to be a sexy 17-year old , but she just leaves a bad taste in your mouth . 	chloe sevigny gives a terrible performance , trying to be a sexy 17-year old , but she just leaves a bad taste in your mouth .	3	-4	 chloe[0] sevigny[0] gives[0] a[0] terrible[-3] performance[0] trying[0] to[0] be[0] a[0] sexy[2] 17[0] year[0] old[0] but[0] she[0] just[0] leaves[0] a[0] bad[-1] taste[0] in[0] your[0] mouth[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
some of the supporting cast ( notably gina gershon and michael rapaport ) give stronger , but , in the end , meaningless performances . 	some of the supporting cast ( notably gina gershon and michael rapaport ) give stronger , but , in the end , meaningless performances .	2	-2	 some[0] of[0] the[0] supporting[1] cast[0] notably[0] gina[0] gershon[0] and[0] michael[0] rapaport[0] give[0] stronger[0] but[0] in[0] the[0] end[0] meaningless[-1] performances[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and to top it off , the pacing of the film is much too slow . 	and to top it off , the pacing of the film is much too slow .	1	-1	 and[0] to[0] top[0] it[0] off[0] the[0] pacing[0] of[0] the[0] film[0] is[0] much[0] too[0] slow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the movie grinds to a halt , you're given too much time to wonder why you're wasting it watching palmetto . 	as the movie grinds to a halt , you're given too much time to wonder why you're wasting it watching palmetto .	1	-1	 as[0] the[0] movie[0] grinds[0] to[0] a[0] halt[0] you're[0] given[0] too[0] much[0] time[0] to[0] wonder[0] why[0] you're[0] wasting[0] it[0] watching[0] palmetto[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you're in the mood for this type of movie , you'd be much better off going out and renting some classic film noir . 	if you're in the mood for this type of movie , you'd be much better off going out and renting some classic film noir .	1	-1	 if[0] you're[0] in[0] the[0] mood[0] for[0] this[0] type[0] of[0] movie[0] you'd[0] be[0] much[0] better[0] off[0] going[0] out[0] and[0] renting[0] some[0] classic[0] film[0] noir[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
