american pie 2 is filled with laughs . 	Translation	Positive	Negative	EmotionRationale
and american pie 2 is rather degrading to women . 	and american pie 2 is rather degrading to women .	1	-3	 and[0] american[0] pie[0] 2[0] is[0] rather[0] degrading[-2] to[0] women[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for the most part , they are not shown as individuals . 	for the most part , they are not shown as individuals .	1	-1	 for[0] the[0] most[0] part[0] they[0] are[0] not[0] shown[0] as[0] individuals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are nothing more than potential recipients of over-active , raging hormones . 	they are nothing more than potential recipients of over-active , raging hormones .	1	-4	 they[0] are[0] nothing[0] more[0] than[0] potential[0] recipients[0] of[0] over[0] active[0] raging[-3] hormones[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is telling that the most normal couple , oz and heather ( mena suvari ) spend the bulk of the film trying to have phone sex - she's overseas on an exchange student program . 	it is telling that the most normal couple , oz and heather ( mena suvari ) spend the bulk of the film trying to have phone sex - she's overseas on an exchange student program .	1	-1	 it[0] is[0] telling[0] that[0] the[0] most[0] normal[0] couple[0] oz[0] and[0] heather[0] mena[0] suvari[0] spend[0] the[0] bulk[0] of[0] the[0] film[0] trying[0] to[0] have[0] phone[0] sex[0] she's[0] overseas[0] on[0] an[0] exchange[0] student[0] program[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite having been to college , jim is still klutzy and awkward , unsure of himself around the opposite sex . 	despite having been to college , jim is still klutzy and awkward , unsure of himself around the opposite sex .	1	-2	 despite[0] having[0] been[0] to[0] college[0] jim[0] is[0] still[0] klutzy[0] and[0] awkward[-1] unsure[0] of[0] himself[0] around[0] the[0] opposite[0] sex[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of the pratfalls and humiliations are heaped upon him , including a painful episode involving an instant glue-like substance . 	most of the pratfalls and humiliations are heaped upon him , including a painful episode involving an instant glue-like substance .	2	-4	 most[0] of[0] the[0] pratfalls[0] and[0] humiliations[-3] are[0] heaped[0] upon[0] him[0] including[0] a[0] painful[-3] episode[0] involving[0] an[0] instant[0] glue[0] like[1] substance[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
also uncomfortable to watch is a sequence involving three of the lads with two young women roommates , whom the boys suspect of being lesbians . 	also uncomfortable to watch is a sequence involving three of the lads with two young women roommates , whom the boys suspect of being lesbians .	1	-3	 also[0] uncomfortable[-2] to[0] watch[0] is[0] a[0] sequence[0] involving[0] three[0] of[0] the[0] lads[0] with[0] two[0] young[0] women[0] roommates[0] whom[0] the[0] boys[0] suspect[-1] of[0] being[0] lesbians[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is offensive and plays upon outdated , adolescent stereotypes to generate laughs . 	it is offensive and plays upon outdated , adolescent stereotypes to generate laughs .	2	-3	 it[0] is[0] offensive[-2] and[0] plays[1] upon[0] outdated[0] adolescent[0] stereotypes[0] to[0] generate[0] laughs[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the first film , despite some raunchy moments , had an innocent charm to it . 	the first film , despite some raunchy moments , had an innocent charm to it .	2	-1	 the[0] first[0] film[0] despite[0] some[0] raunchy[0] moments[0] had[0] an[0] innocent[1] charm[1] to[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the sequel is more cynical . 	the sequel is more cynical .	1	-2	 the[0] sequel[0] is[0] more[0] cynical[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it knows what its predominantly male audience members want and unabashedly gives it to them : the many mentions of finch's encounter with stifler's mom becomes a tiresome running gag throughout as does eugene levy's return as jim's well-meaning , trying-to-be-hip dad . 	it knows what its predominantly male audience members want and unabashedly gives it to them : the many mentions of finch's encounter with stifler's mom becomes a tiresome running gag throughout as does eugene levy's return as jim's well-meaning , trying-to-be-hip dad .	1	-2	 it[0] knows[0] what[0] its[0] predominantly[0] male[0] audience[0] members[0] want[0] and[0] unabashedly[0] gives[0] it[0] to[0] them[0] the[0] many[0] mentions[0] of[0] finch's[0] encounter[0] with[0] stifler's[-1] mom[0] becomes[0] a[0] tiresome[-1] running[0] gag[0] throughout[0] as[0] does[0] eugene[0] levy's[0] return[0] as[0] jim's[0] well[0] meaning[0] trying[0] to[0] be[0] hip[0] dad[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only performer who is actually given some new , fresh material is alyson hannigan as michelle , the band geek from the original . 	the only performer who is actually given some new , fresh material is alyson hannigan as michelle , the band geek from the original .	1	-1	 the[0] only[0] performer[0] who[0] is[0] actually[0] given[0] some[0] new[0] fresh[0] material[0] is[0] alyson[0] hannigan[0] as[0] michelle[0] the[0] band[0] geek[0] from[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the sequel , she imbues her character with vulnerability , wisdom and maturity . 	in the sequel , she imbues her character with vulnerability , wisdom and maturity .	1	-3	 in[0] the[0] sequel[0] she[0] imbues[0] her[0] character[0] with[0] vulnerability[-2] wisdom[0] and[0] maturity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
american pie 2 is a pre-sold commodity that will earn several million at the box office . 	american pie 2 is a pre-sold commodity that will earn several million at the box office .	1	-1	 american[0] pie[0] 2[0] is[0] a[0] pre[0] sold[0] commodity[0] that[0] will[0] earn[0] several[0] million[0] at[0] the[0] box[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a shame , though , that in its rush to rake in some bucks screenwriter adam herz , who also penned the original , could not have set his sights higher . 	it is a shame , though , that in its rush to rake in some bucks screenwriter adam herz , who also penned the original , could not have set his sights higher .	1	-3	 it[0] is[0] a[0] shame[-2] though[0] that[0] in[0] its[0] rush[0] to[0] rake[0] in[0] some[0] bucks[0] screenwriter[0] adam[0] herz[0] who[0] also[0] penned[0] the[0] original[0] could[0] not[0] have[0] set[0] his[0] sights[0] higher[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
american pie 2 is funny , but it's still a comedown as well as a letdown . 	american pie 2 is funny , but it's still a comedown as well as a letdown .	2	-2	 american[0] pie[0] 2[0] is[0] funny[1] but[0] it's[0] still[0] a[0] comedown[-1] as[0] well[0] as[0] a[0] letdown[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
