i have a great idea for a movie , one that can't miss . 	Translation	Positive	Negative	EmotionRationale
the dwindling attendance inspires new team owner wild bill burgess ( frank langella ) to try a publicity stunt in which a lucky fan will get to be an honorary coach of the team . 	the dwindling attendance inspires new team owner wild bill burgess ( frank langella ) to try a publicity stunt in which a lucky fan will get to be an honorary coach of the team .	3	-2	 the[0] dwindling[0] attendance[0] inspires[2] new[0] team[0] owner[0] wild[0] bill[0] burgess[0] frank[0] langella[0] to[0] try[0] a[0] publicity[0] stunt[-1] in[0] which[0] a[0] lucky[1] fan[0] will[0] get[0] to[0] be[0] an[0] honorary[0] coach[0] of[0] the[0] team[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the winner ( surprise , surprise ) is eddie , who becomes a fan favorite , and eventually the actual coach . 	the winner ( surprise , surprise ) is eddie , who becomes a fan favorite , and eventually the actual coach .	2	-1	 the[0] winner[1] surprise[0] surprise[0] is[0] eddie[0] who[0] becomes[0] a[0] fan[0] favorite[1] and[0] eventually[0] the[0] actual[0] coach[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the knicks continue to lose , but eddie has some sassy tricks up her sleeve to inspire her troops . 	the knicks continue to lose , but eddie has some sassy tricks up her sleeve to inspire her troops .	3	-2	 the[0] knicks[0] continue[0] to[0] lose[-1] but[0] eddie[0] has[0] some[0] sassy[0] tricks[-1] up[0] her[0] sleeve[0] to[0] inspire[2] her[0] troops[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
incidentally , the knicks eventually start winning . 	incidentally , the knicks eventually start winning .	2	-1	 incidentally[0] the[0] knicks[0] eventually[0] start[0] winning[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
please raise your hand if that comes as a shock , and i will invite you to my all-night marathon of the bad news bears , major league , angels in the outfield , the mighty ducks , the big green , cool runnings and little giants . 	please raise your hand if that comes as a shock , and i will invite you to my all-night marathon of the bad news bears , major league , angels in the outfield , the mighty ducks , the big green , cool runnings and little giants .	2	-3	 please[1] raise[0] your[0] hand[0] if[0] that[0] comes[0] as[0] a[0] shock[-2] and[0] i[0] will[0] invite[0] you[0] to[0] my[0] all[0] night[0] marathon[0] of[0] the[0] bad[-1] news[0] bears[0] major[0] league[0] angels[0] in[0] the[0] outfield[0] the[0] mighty[0] ducks[0] the[0] big[0] green[0] cool[1] runnings[0] and[0] little[0] giants[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
awful teams in sports comedies make miraculous turnarounds ; it's what they do . 	awful teams in sports comedies make miraculous turnarounds ; it's what they do .	3	-4	 awful[-3] teams[0] in[0] sports[0] comedies[0] make[0] miraculous[2] turnarounds[0] it's[0] what[0] they[0] do[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
those teams usually involve kids , for a very sound comedic reason : it's funnier when they screw up , and they're more sympathetic . 	those teams usually involve kids , for a very sound comedic reason : it's funnier when they screw up , and they're more sympathetic .	2	-1	 those[0] teams[0] usually[0] involve[0] kids[0] for[0] a[0] very[0] sound[0] comedic[0] reason[0] it's[0] funnier[1] when[0] they[0] screw[0] up[0] and[0] they're[0] more[0] sympathetic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
those which _don't_ involve kids usually have actual actors in the lead roles , for another very sound comedic reason : they generally have developed some sort of comic timing . 	those which _don't_ involve kids usually have actual actors in the lead roles , for another very sound comedic reason : they generally have developed some sort of comic timing .	1	-1	 those[0] which[0] _don't_[0] involve[0] kids[0] usually[0] have[0] actual[0] actors[0] in[0] the[0] lead[0] roles[0] for[0] another[0] very[0] sound[0] comedic[0] reason[0] they[0] generally[0] have[0] developed[0] some[0] sort[0] of[0] comic[0] timing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eddie was cast under the misguided premise that it's easier to make basketball players look like actors than it is to make actors look like basketball players . 	eddie was cast under the misguided premise that it's easier to make basketball players look like actors than it is to make actors look like basketball players .	2	-1	 eddie[0] was[0] cast[0] under[0] the[0] misguided[0] premise[0] that[0] it's[0] easier[0] to[0] make[0] basketball[0] players[0] look[0] like[1] actors[0] than[0] it[0] is[0] to[0] make[0] actors[0] look[0] like[1] basketball[0] players[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this finds nba players like greg ostertag , dwayne schintzius , rick fox and malik sealy delivering punch lines as though they were reading them for the first time off a bazooka wrapper ( though sacramento kings center olden polynice has a nice moment describing a black hole to fellow players ) . 	this finds nba players like greg ostertag , dwayne schintzius , rick fox and malik sealy delivering punch lines as though they were reading them for the first time off a bazooka wrapper ( though sacramento kings center olden polynice has a nice moment describing a black hole to fellow players ) .	2	-2	 this[0] finds[0] nba[0] players[0] like[1] greg[0] ostertag[0] dwayne[0] schintzius[0] rick[0] fox[0] and[0] malik[0] sealy[0] delivering[0] punch[-1] lines[0] as[0] though[0] they[0] were[0] reading[0] them[0] for[0] the[0] first[0] time[0] off[0] a[0] bazooka[0] wrapper[0] though[0] sacramento[0] kings[0] center[0] olden[0] polynice[0] has[0] a[0] nice[1] moment[0] describing[0] a[0] black[0] hole[0] to[0] fellow[0] players[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
perhaps that all didn't matter to anyone because there are so few punch lines , and because the whole film is one big casting gimmick . 	perhaps that all didn't matter to anyone because there are so few punch lines , and because the whole film is one big casting gimmick .	1	-2	 perhaps[0] that[0] all[0] didn't[0] matter[0] to[0] anyone[0] because[0] there[0] are[0] so[0] few[0] punch[-1] lines[0] and[0] because[0] the[0] whole[0] film[0] is[0] one[0] big[0] casting[0] gimmick[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
steve rash directs the spiritless script as though waving a flag of surrender and screaming , " don't blame me , i just work here . " 	steve rash directs the spiritless script as though waving a flag of surrender and screaming , " don't blame me , i just work here .<br> "	2	-4	 steve[0] rash[-1] directs[0] the[0] spiritless[0] script[0] as[0] though[0] waving[0] a[0] flag[0] of[0] surrender[0] and[0] screaming[-3] don't[0] blame[-1][NegatedDueToPreviousWord] me[0] i[0] just[0] work[0] here[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
perhaps it was patently obvious to him that eddie isn't a movie -- it's a cameo appearance that trips over a plot every once in a while . 	perhaps it was patently obvious to him that eddie isn't a movie - it's a cameo appearance that trips over a plot every once in a while .	1	-1	 perhaps[0] it[0] was[0] patently[0] obvious[0] to[0] him[0] that[0] eddie[0] isn't[0] a[0] movie[0] it's[0] a[0] cameo[0] appearance[0] that[0] trips[0] over[0] a[0] plot[0] every[0] once[0] in[0] a[0] while[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
among the notables who lend their faces to this travesty are donald trump , new york mayor rudolph giulianni , former new york mayor ed koch , david letterman , letterman regulars mujibur rahman and sirajul islam , espn broadcaster chris berman and knicks announcer marv albert , as well as dozens of nba players and several nba arenas . 	among the notables who lend their faces to this travesty are donald trump , new york mayor rudolph giulianni , former new york mayor ed koch , david letterman , letterman regulars mujibur rahman and sirajul islam , espn broadcaster chris berman and knicks announcer marv albert , as well as dozens of nba players and several nba arenas .	1	-1	 among[0] the[0] notables[0] who[0] lend[0] their[0] faces[0] to[0] this[0] travesty[0] are[0] donald[0] trump[0] new[0] york[0] mayor[0] rudolph[0] giulianni[0] former[0] new[0] york[0] mayor[0] ed[0] koch[0] david[0] letterman[0] letterman[0] regulars[0] mujibur[0] rahman[0] and[0] sirajul[0] islam[0] espn[0] broadcaster[0] chris[0] berman[0] and[0] knicks[0] announcer[0] marv[0] albert[0] as[0] well[0] as[0] dozens[0] of[0] nba[0] players[0] and[0] several[0] nba[0] arenas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and those are the real jokes in eddie . 	and those are the real jokes in eddie .	2	-1	 and[0] those[0] are[0] the[0] real[0] jokes[1] in[0] eddie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nothing these individuals say or do is funny ; you are supposed to be laughing simply because you notice , " hey , it's donald trump ! " 	nothing these individuals say or do is funny ; you are supposed to be laughing simply because you notice , " hey , it's donald trump !<br> "	2	-1	 nothing[0] these[0] individuals[0] say[0] or[0] do[0] is[0] funny[1] you[0] are[0] supposed[0] to[0] be[0] laughing[1] simply[0] because[0] you[0] notice[0] hey[1] it's[0] donald[0] trump[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or " hey , it's mujibur and sirajul ! " 	or " hey , it's mujibur and sirajul !<br> "	2	-1	 or[0] hey[1] it's[0] mujibur[0] and[0] sirajul[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's difficult to decide whether eddie is so bad because it was so shamelessly lacking in imagination or because it can't even get the cliches in a cliche-ridden genre script right . 	it's difficult to decide whether eddie is so bad because it was so shamelessly lacking in imagination or because it can't even get the cliches in a cliche-ridden genre script right .	1	-3	 it's[0] difficult[-1] to[0] decide[0] whether[0] eddie[0] is[0] so[0] bad[-1] because[0] it[0] was[0] so[0] shamelessly[-2] lacking[0] in[0] imagination[0] or[0] because[0] it[0] can't[0] even[0] get[0] the[0] cliches[0] in[0] a[0] cliche[0] ridden[0] genre[0] script[0] right[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the knicks coach who is eddie's antagonist early in the film reappears at the end , but he isn't given a chance to be the villain eddie desperately needs . 	the knicks coach who is eddie's antagonist early in the film reappears at the end , but he isn't given a chance to be the villain eddie desperately needs .	1	-3	 the[0] knicks[0] coach[0] who[0] is[0] eddie's[0] antagonist[-1] early[0] in[0] the[0] film[0] reappears[0] at[0] the[0] end[0] but[0] he[0] isn't[0] given[0] a[0] chance[0] to[0] be[0] the[0] villain[-2] eddie[0] desperately[-2] needs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
neither is frank langella , and none of the athlete-actors have the ability to give whoopi goldberg anything to play off of . 	neither is frank langella , and none of the athlete-actors have the ability to give whoopi goldberg anything to play off of .	1	-1	 neither[0] is[0] frank[0] langella[0] and[0] none[0] of[0] the[0] athlete[0] actors[0] have[0] the[0] ability[0] to[0] give[0] whoopi[0] goldberg[0] anything[0] to[0] play[0] off[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that leaves her to do her street-wise miss thang routine , but with no character , no sharp lines and no help . 	that leaves her to do her street-wise miss thang routine , but with no character , no sharp lines and no help .	2	-2	 that[0] leaves[0] her[0] to[0] do[0] her[0] street[0] wise[0] miss[-1] thang[0] routine[0] but[0] with[0] no[0] character[0] no[0] sharp[0] lines[0] and[0] no[0] help[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
eddie isn't just a bad movie with a formulaic premise . 	eddie isn't just a bad movie with a formulaic premise .	2	-1	 eddie[0] isn't[0] just[0] a[0] bad[-1][NegatedDueToPreviousWord] movie[0] with[0] a[0] formulaic[0] premise[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a movie that makes you feel cheated and offended , because someone came up with a poster and a marketing plan to which they had to attach an actual movie , and you had the nerve to believe it was going to be a comedy . 	it's a movie that makes you feel cheated and offended , because someone came up with a poster and a marketing plan to which they had to attach an actual movie , and you had the nerve to believe it was going to be a comedy .	1	-3	 it's[0] a[0] movie[0] that[0] makes[0] you[0] feel[0] cheated[-2] and[0] offended[-2] because[0] someone[0] came[0] up[0] with[0] a[0] poster[0] and[0] a[0] marketing[0] plan[0] to[0] which[0] they[0] had[0] to[0] attach[0] an[0] actual[0] movie[0] and[0] you[0] had[0] the[0] nerve[0] to[0] believe[0] it[0] was[0] going[0] to[0] be[0] a[0] comedy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
