in china in 1982 i turned the tables on our national guide and asked him if he had any questions about america . 	Translation	Positive	Negative	EmotionRationale
ben stiller is an affable presence in the film but is not really stretching himself by playing the role as the nebbish to whom so many bad things happen . 	ben stiller is an affable presence in the film but is not really stretching himself by playing the role as the nebbish to whom so many bad things happen .	3	-2	 ben[0] stiller[0] is[0] an[0] affable[2] presence[0] in[0] the[0] film[0] but[0] is[0] not[0] really[0] stretching[0] himself[0] by[0] playing[1] the[0] role[0] as[0] the[0] nebbish[0] to[0] whom[0] so[0] many[0] bad[-1] things[0] happen[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is nice to see blythe danner again on the screen . 	it is nice to see blythe danner again on the screen .	2	-1	 it[0] is[0] nice[1] to[0] see[0] blythe[0] danner[0] again[0] on[0] the[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but her character has a basic conflict between a basic decency and her love for her husband and the script should have given her more to do with that . 	but her character has a basic conflict between a basic decency and her love for her husband and the script should have given her more to do with that .	3	-2	 but[0] her[0] character[0] has[0] a[0] basic[0] conflict[-1] between[0] a[0] basic[0] decency[0] and[0] her[0] love[2] for[0] her[0] husband[0] and[0] the[0] script[0] should[0] have[0] given[0] her[0] more[0] to[0] do[0] with[0] that[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
randy newman has written a playful score . 	randy newman has written a playful score .	2	-1	 randy[0] newman[0] has[0] written[0] a[0] playful[1] score[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the first few seconds of the film it does something creative i have never heard a film score do before . 	in the first few seconds of the film it does something creative i have never heard a film score do before .	1	-1	 in[0] the[0] first[0] few[0] seconds[0] of[0] the[0] film[0] it[0] does[0] something[0] creative[0] i[0] have[0] never[0] heard[0] a[0] film[0] score[0] do[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a lot of source music that is popular music of the 1960s . 	there is a lot of source music that is popular music of the 1960s .	1	-2	 there[0] is[0] a[0] lot[0] of[0] source[-1] music[0] that[0] is[0] popular[0] music[0] of[0] the[0] 1960s[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
presumably that is what the upper class listens to at least in somebody's imagination . 	presumably that is what the upper class listens to at least in somebody's imagination .	1	-1	 presumably[0] that[0] is[0] what[0] the[0] upper[0] class[0] listens[0] to[0] at[0] least[0] in[0] somebody's[0] imagination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
humor is subjective and some this film has been getting some favorable comment . 	humor is subjective and some this film has been getting some favorable comment .	3	-1	 humor[2] is[0] subjective[0] and[0] some[0] this[0] film[0] has[0] been[0] getting[0] some[0] favorable[1][-1 LastWordBoosterStrength] comment[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but this is a comedy that works only occasionally for me . 	but this is a comedy that works only occasionally for me .	1	-1	 but[0] this[0] is[0] a[0] comedy[0] that[0] works[0] only[0] occasionally[0] for[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i would have to rate it 4 on the 0 to 10 scale and a 0 on the -4 to  4 scale . 	i would have to rate it 4 on the 0 to 10 scale and a 0 on the -4 to  4 scale .	1	-1	 i[0] would[0] have[0] to[0] rate[0] it[0] 4[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] 0[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
