over 40 years ago , a japanese production company called toho introduced the land of the rising sun to gojira , a reptilian creature of immense proportions created by mankind's nuclear testing . 	Translation	Positive	Negative	EmotionRationale
together they attempt to find and destroy the surprisingly elusive godzilla . 	together they attempt to find and destroy the surprisingly elusive godzilla .	1	-3	 together[0] they[0] attempt[0] to[0] find[0] and[0] destroy[-2] the[0] surprisingly[0] elusive[0] godzilla[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with the resources of the most cutting edge special effects houses and the clout of one of the nation's premiere movie production companies , one would think emmerich could make a film truly deserving of the name godzilla . 	with the resources of the most cutting edge special effects houses and the clout of one of the nation's premiere movie production companies , one would think emmerich could make a film truly deserving of the name godzilla .	2	-1	 with[0] the[0] resources[0] of[0] the[0] most[0] cutting[0] edge[0] special[1] effects[0] houses[0] and[0] the[0] clout[0] of[0] one[0] of[0] the[0] nation's[0] premiere[0] movie[0] production[0] companies[0] one[0] would[0] think[0] emmerich[0] could[0] make[0] a[0] film[0] truly[1] deserving[0] of[0] the[0] name[0] godzilla[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he didn't . 	he didn't .	1	-1	 he[0] didn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right up there with the lost world , godzilla is one of the biggest disappointments in recent cinematic history . 	right up there with the lost world , godzilla is one of the biggest disappointments in recent cinematic history .	1	-2	 right[0] up[0] there[0] with[0] the[0] lost[0] world[0] godzilla[0] is[0] one[0] of[0] the[0] biggest[0] disappointments[-1] in[0] recent[0] cinematic[0] history[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot is pretty much what we expect : the big dinosaur-like creature comes out of the water and starts smashing new york city , and it's up to our heroes to figure out why this thing is on its rampage and how it can be stopped , while the military makes futile attempts to bring the creature down . 	the plot is pretty much what we expect : the big dinosaur-like creature comes out of the water and starts smashing new york city , and it's up to our heroes to figure out why this thing is on its rampage and how it can be stopped , while the military makes futile attempts to bring the creature down .	3	-1	 the[0] plot[0] is[0] pretty[2] much[0] what[0] we[0] expect[0] the[0] big[0] dinosaur[0] like[1] creature[0] comes[0] out[0] of[0] the[0] water[0] and[0] starts[0] smashing[0] new[0] york[0] city[0] and[0] it's[0] up[0] to[0] our[0] heroes[2] to[0] figure[0] out[0] why[0] this[0] thing[0] is[0] on[0] its[0] rampage[0] and[0] how[0] it[0] can[0] be[0] stopped[0] while[0] the[0] military[0] makes[0] futile[0] attempts[0] to[0] bring[0] the[0] creature[0] down[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the script , however , is painfully bad . 	the script , however , is painfully bad .	1	-4	 the[0] script[0] however[0] is[0] painfully[-3] bad[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's fraught with lines so corny , they don't even belong in b-movies , and includes many character actions which make you think , " you idiot , " or " you stupid girl . " 	it's fraught with lines so corny , they don't even belong in b-movies , and includes many character actions which make you think , " you idiot , " or " you stupid girl .<br> "	1	-3	 it's[0] fraught[-1] with[0] lines[0] so[0] corny[0] they[0] don't[0] even[0] belong[0] in[0] b[0] movies[0] and[0] includes[0] many[0] character[0] actions[0] which[0] make[0] you[0] think[0] you[0] idiot[-2] or[0] you[0] stupid[-1] girl[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i suppose when you've got a movie with a giant lizard loose in new york , any other semblance of reality goes out the window as well . 	i suppose when you've got a movie with a giant lizard loose in new york , any other semblance of reality goes out the window as well .	1	-1	 i[0] suppose[0] when[0] you've[0] got[0] a[0] movie[0] with[0] a[0] giant[0] lizard[0] loose[0] in[0] new[0] york[0] any[0] other[0] semblance[0] of[0] reality[0] goes[0] out[0] the[0] window[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why is it that godzilla topples some buildings by merely brushing against them , but is conveniently able to leap atop others ? 	why is it that godzilla topples some buildings by merely brushing against them , but is conveniently able to leap atop others ?	1	-2	 why[0] is[0] it[0] that[0] godzilla[0] topples[0] some[0] buildings[0] by[0] merely[0] brushing[0] against[-1] them[0] but[0] is[0] conveniently[0] able[0] to[0] leap[0] atop[0] others[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why do helicopters have to follow godzilla by flying dangerously between buildings where they can lose sight of him , when they could more easily keep track of him by flying a little higher and in a straight line ? 	why do helicopters have to follow godzilla by flying dangerously between buildings where they can lose sight of him , when they could more easily keep track of him by flying a little higher and in a straight line ?	1	-2	 why[0] do[0] helicopters[0] have[0] to[0] follow[0] godzilla[0] by[0] flying[0] dangerously[-1] between[0] buildings[0] where[0] they[0] can[0] lose[-1] sight[0] of[0] him[0] when[0] they[0] could[0] more[0] easily[0] keep[0] track[0] of[0] him[0] by[0] flying[0] a[0] little[0] higher[0] and[0] in[0] a[0] straight[0] line[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why do sidewinder missiles , which have small explosive warheads , blow up entire buildings when they miss godzilla ? 	why do sidewinder missiles , which have small explosive warheads , blow up entire buildings when they miss godzilla ?	2	-2	 why[0] do[0] sidewinder[0] missiles[0] which[0] have[0] small[0] explosive[-1] warheads[0] blow[0] up[0] entire[0] buildings[0] when[0] they[0] miss[-1] godzilla[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
why is a mission to bomb madison square garden carried out by three f-18 fighter-bombers , when flights of such aircraft are always comprised of multiples of two ? 	why is a mission to bomb madison square garden carried out by three f-18 fighter-bombers , when flights of such aircraft are always comprised of multiples of two ?	1	-3	 why[0] is[0] a[0] mission[0] to[0] bomb[-1] madison[0] square[0] garden[0] carried[0] out[0] by[0] three[0] f[0] -18[0] fighter[-2] bombers[-1] when[0] flights[0] of[0] such[0] aircraft[0] are[0] always[0] comprised[0] of[0] multiples[0] of[0] two[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
okay , maybe the last one was a bit nit-picky , but hey , i was on a roll . 	okay , maybe the last one was a bit nit-picky , but hey , i was on a roll .	2	-1	 okay[0] maybe[0] the[0] last[0] one[0] was[0] a[0] bit[0] nit[0] picky[0] but[0] hey[1] i[0] was[0] on[0] a[0] roll[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
broderick is usually a good actor , but in this film he's weighed down by an unexciting character and an atrocious screenplay which seem to fight against him every step of the way . 	broderick is usually a good actor , but in this film he's weighed down by an unexciting character and an atrocious screenplay which seem to fight against him every step of the way .	2	-4	 broderick[0] is[0] usually[0] a[0] good[1] actor[0] but[0] in[0] this[0] film[0] he's[0] weighed[0] down[0] by[0] an[0] unexciting[0] character[0] and[0] an[0] atrocious[-3] screenplay[0] which[0] seem[0] to[0] fight[-2] against[-1] him[0] every[0] step[0] of[0] the[0] way[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
hank azaria does what he can , but don't expect to see development of any of the promise he showed in the birdcage . 	hank azaria does what he can , but don't expect to see development of any of the promise he showed in the birdcage .	2	-1	 hank[0] azaria[0] does[0] what[0] he[0] can[0] but[0] don't[0] expect[0] to[0] see[0] development[0] of[0] any[0] of[0] the[0] promise[1] he[0] showed[0] in[0] the[0] birdcage[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
like broderick's , azaria's character is quite simply lacking in color . 	like broderick's , azaria's character is quite simply lacking in color .	2	-1	 like[1] broderick's[0] azaria's[0] character[0] is[0] quite[0] simply[0] lacking[0] in[0] color[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what really annoyed me was maria pitillo , who actually takes the bad script and makes it worse with her acting . 	what really annoyed me was maria pitillo , who actually takes the bad script and makes it worse with her acting .	1	-4	 what[0] really[0] annoyed[-2][-1 LastWordBoosterStrength] me[0] was[0] maria[0] pitillo[-2] who[0] actually[0] takes[0] the[0] bad[-1] script[0] and[0] makes[0] it[0] worse[-2] with[0] her[0] acting[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
casting must have been asleep on this one . 	casting must have been asleep on this one .	1	-1	 casting[0] must[0] have[0] been[0] asleep[0] on[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the one bright spot here is jean reno , who oddly enough seems to fit well into a role which is often comedic , quite unlike what we've seem him do in the past . 	the one bright spot here is jean reno , who oddly enough seems to fit well into a role which is often comedic , quite unlike what we've seem him do in the past .	1	-1	 the[0] one[0] bright[0] spot[0] here[0] is[0] jean[0] reno[0] who[0] oddly[0] enough[0] seems[0] to[0] fit[0] well[0] into[0] a[0] role[0] which[0] is[0] often[0] comedic[0] quite[0] unlike[0] what[0] we've[0] seem[0] him[0] do[0] in[0] the[0] past[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although his character is contradictory to the unfolding disaster , reno brings a style to the role of phillipe which makes him enjoyable . 	although his character is contradictory to the unfolding disaster , reno brings a style to the role of phillipe which makes him enjoyable .	3	-2	 although[0] his[0] character[0] is[0] contradictory[-1] to[0] the[0] unfolding[0] disaster[-1] reno[0] brings[0] a[0] style[0] to[0] the[0] role[0] of[0] phillipe[0] which[0] makes[0] him[0] enjoyable[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unfortunately , the same cannot be said of the other incongruities . 	unfortunately , the same cannot be said of the other incongruities .	1	-2	 unfortunately[-1] the[0] same[0] cannot[0] be[0] said[0] of[0] the[0] other[0] incongruities[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the entire feel of the movie is tongue-in-cheek , and seems to pay comical homage to a dozen or so films that have come before it . 	the entire feel of the movie is tongue-in-cheek , and seems to pay comical homage to a dozen or so films that have come before it .	1	-1	 the[0] entire[0] feel[0] of[0] the[0] movie[0] is[0] tongue[0] in[0] cheek[0] and[0] seems[0] to[0] pay[0] comical[0] homage[0] to[0] a[0] dozen[0] or[0] so[0] films[0] that[0] have[0] come[0] before[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this results in a significant amount of parody , which contrasts sharply with the threat of the monster , and ends up just producing a mess . 	this results in a significant amount of parody , which contrasts sharply with the threat of the monster , and ends up just producing a mess .	1	-3	 this[0] results[0] in[0] a[0] significant[0] amount[0] of[0] parody[0] which[0] contrasts[0] sharply[0] with[0] the[0] threat[-2] of[0] the[0] monster[-1] and[0] ends[0] up[0] just[0] producing[0] a[0] mess[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most of the characters seem to be there for comic relief , and almost none are smart enough for the audience to take seriously . 	most of the characters seem to be there for comic relief , and almost none are smart enough for the audience to take seriously .	2	-1	 most[0] of[0] the[0] characters[0] seem[0] to[0] be[0] there[0] for[0] comic[0] relief[1] and[0] almost[0] none[0] are[0] smart[1] enough[0] for[0] the[0] audience[0] to[0] take[0] seriously[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although emmerich obviously wanted to make a fun action picture , what good is it to sink millions into a cgi creature whose ferocity is undermined by the humans he threatens ? 	although emmerich obviously wanted to make a fun action picture , what good is it to sink millions into a cgi creature whose ferocity is undermined by the humans he threatens ?	2	-4	 although[0] emmerich[0] obviously[0] wanted[0] to[0] make[0] a[0] fun[1] action[0] picture[0] what[0] good[1] is[0] it[0] to[0] sink[0] millions[0] into[0] a[0] cgi[0] creature[0] whose[0] ferocity[-3] is[0] undermined[-1] by[0] the[0] humans[0] he[0] threatens[-2] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if we can't take the characters seriously , the threat they face is an empty one because we simply don't care what happens to them . 	if we can't take the characters seriously , the threat they face is an empty one because we simply don't care what happens to them .	1	-3	 if[0] we[0] can't[0] take[0] the[0] characters[0] seriously[0] the[0] threat[-2] they[0] face[0] is[0] an[0] empty[0] one[0] because[0] we[0] simply[0] don't[0] care[1][NegatedDueToPreviousWord] what[0] happens[0] to[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
godzilla simply pulls too many punches in its attempt to be a film more light-hearted than it should be . 	godzilla simply pulls too many punches in its attempt to be a film more light-hearted than it should be .	1	-2	 godzilla[0] simply[0] pulls[0] too[0] many[0] punches[-1] in[0] its[0] attempt[0] to[0] be[0] a[0] film[0] more[0] light[0] hearted[0] than[0] it[0] should[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
far be it from me to want to see more carnage in the theaters , but here's a behemoth running through the city ! 	far be it from me to want to see more carnage in the theaters , but here's a behemoth running through the city !	1	-1	 far[0] be[0] it[0] from[0] me[0] to[0] want[0] to[0] see[0] more[0] carnage[0] in[0] the[0] theaters[0] but[0] here's[0] a[0] behemoth[0] running[0] through[0] the[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's bound to be a lot of casualties , but instead godzilla is afflicted with the after-school g . i . 	there's bound to be a lot of casualties , but instead godzilla is afflicted with the after-school grin� .<br> i .	1	-3	 there's[0] bound[0] to[0] be[0] a[0] lot[0] of[0] casualties[0] but[0] instead[0] godzilla[0] is[0] afflicted[-2] with[0] the[0] after[0] school[0] g[0] [[Sentence=-3,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
joe cartoon syndrome , where almost everyone seems to get out of harm's way just in time . 	joe cartoon syndrome , where almost everyone seems to get out of harm's way just in time .	1	-1	 joe[0] cartoon[0] syndrome[0] where[0] almost[0] everyone[0] seems[0] to[0] get[0] out[0] of[0] harm's[0] way[0] just[0] in[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a couple of scenes , godzilla briefly breathes fire . 	in a couple of scenes , godzilla briefly breathes fire .	1	-1	 in[0] a[0] couple[0] of[0] scenes[0] godzilla[0] briefly[0] breathes[0] fire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
none of the characters even remark upon this ability , nor is it used to any particular advantage by the filmmakers . 	none of the characters even remark upon this ability , nor is it used to any particular advantage by the filmmakers .	1	-1	 none[0] of[0] the[0] characters[0] even[0] remark[0] upon[0] this[0] ability[0] nor[0] is[0] it[0] used[0] to[0] any[0] particular[0] advantage[0] by[0] the[0] filmmakers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's as if the special effects people just wanted to show that yes , godzilla can do this , just like in the old movie . 	it's as if the special effects people just wanted to show that yes , godzilla can do this , just like in the old movie .	2	-1	 it's[0] as[0] if[0] the[0] special[1] effects[0] people[0] just[0] wanted[0] to[0] show[0] that[0] yes[0] godzilla[0] can[0] do[0] this[0] just[0] like[1][-1 LastWordBoosterStrength] in[0] the[0] old[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
consider another punch pulled . 	consider another punch pulled .	1	-2	 consider[0] another[0] punch[-1] pulled[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
through creative script writing , you can make a sequel out of just about any movie , but the final scene in this one doesn't just leave the door open , it opens into a hallway leading directly into a room where godzilla ii is waiting patiently . 	through creative script writing , you can make a sequel out of just about any movie , but the final scene in this one doesn't just leave the door open , it opens into a hallway leading directly into a room where godzilla i is waiting patiently .	1	-1	 through[0] creative[0] script[0] writing[0] you[0] can[0] make[0] a[0] sequel[0] out[0] of[0] just[0] about[0] any[0] movie[0] but[0] the[0] final[0] scene[0] in[0] this[0] one[0] doesn't[0] just[0] leave[0] the[0] door[0] open[0] it[0] opens[0] into[0] a[0] hallway[0] leading[0] directly[0] into[0] a[0] room[0] where[0] godzilla[0] ii/i[0] is[0] waiting[0] patiently[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it made me want to gag . 	it made me want to gag .	1	-1	 it[0] made[0] me[0] want[0] to[0] gag[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
emmerich should have done away with 90% of the humor and in-jokes and played this one as a straight action film . 	emmerich should have done away with 90% of the humor and in-jokes and played this one as a straight action film .	3	-1	 emmerich[0] should[0] have[0] done[0] away[0] with[0] 90%[0] of[0] the[0] humor[2] and[0] in[0] jokes[1] and[0] played[0] this[0] one[0] as[0] a[0] straight[0] action[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with an intelligently written screenplay , godzilla could have been so much more . 	with an intelligently written screenplay , godzilla could have been so much more .	2	-1	 with[0] an[0] intelligently[1] written[0] screenplay[0] godzilla[0] could[0] have[0] been[0] so[0] much[0] more[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , by confusing the viewer with a ton of add-ins and parodies , the movie ends up being something that just doesn't work . 	however , by confusing the viewer with a ton of add-ins and parodies , the movie ends up being something that just doesn't work .	1	-2	 however[0] by[0] confusing[-1] the[0] viewer[0] with[0] a[0] ton[0] of[0] add[0] ins[0] and[0] parodies[0] the[0] movie[0] ends[0] up[0] being[0] something[0] that[0] just[0] doesn't[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now if they only had raymond burr . . . . 	now if they only had raymond bur .<br> .<br> .<br> .	1	-1	 now[0] if[0] they[0] only[0] had[0] raymond[0] burr/bur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
