after 1993's " falling down , " i hoped that joel schumacher would mature into a great director . 	Translation	Positive	Negative	EmotionRationale
both films are modeled on dante's " the inferno , " of course ; " 8mm " makes that connection overly obvious by casting max as virgil and having him constantly tell tom that they were heading toward a meeting with the devil . 	both films are modeled on dante's " the inferno , " of course ; " 8m " makes that connection overly obvious by casting max as virgil and having him constantly tell tom that they were heading toward a meeting with the devil .	1	-2	 both[0] films[0] are[0] modeled[0] on[0] dante's[0] the[0] inferno[0] of[0] course[0] 8mm/8m[0] makes[0] that[0] connection[0] overly[0] obvious[0] by[0] casting[0] max[0] as[0] virgil[0] and[0] having[0] him[0] constantly[0] tell[0] tom[0] that[0] they[0] were[0] heading[0] toward[0] a[0] meeting[0] with[0] the[0] devil[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " hardcore " is a much more subtle and meaningful film . 	 " hardcore " is a much more subtle and meaningful film .	1	-1	 hardcore[0] is[0] a[0] much[0] more[0] subtle[0] and[0] meaningful[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " 8mm " had a lot of promise . 	 " 8m " had a lot of promise .	2	-1	 8mm/8m[0] had[0] a[0] lot[0] of[0] promise[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in its better moments it's an examination of violence as entertainment and of the beast within even a nice guy like tom . 	in its better moments it's an examination of violence as entertainment and of the beast within even a nice guy like tom .	2	-4	 in[0] its[0] better[0] moments[0] it's[0] an[0] examination[0] of[0] violence[-3] as[0] entertainment[0] and[0] of[0] the[0] beast[0] within[0] even[0] a[0] nice[1] guy[0] like[1] tom[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
one moment of the first sort : when we first meet max he's reading truman capote's " in cold blood " underneath the cover of a porn novel . 	one moment of the first sort : when we first meet max he's reading truman capote's " in cold blood " underneath the cover of a porn novel .	1	-2	 one[0] moment[0] of[0] the[0] first[0] sort[0] when[0] we[0] first[0] meet[0] max[0] he's[0] reading[0] truman[0] capote's[0] in[0] cold[-1] blood[0] underneath[0] the[0] cover[0] of[0] a[0] porn[0] novel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " in cold blood " was the father of the true-crime genre , which is the literary equivalent of snuff films . 	 " in cold blood " was the father of the true-crime genre , which is the literary equivalent of snuff films .	2	-2	 in[0] cold[-1] blood[0] was[0] the[0] father[0] of[0] the[0] true[1] crime[-1] genre[0] which[0] is[0] the[0] literary[0] equivalent[0] of[0] snuff[0] films[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
max promises that we will see examples of the second theme when he tells tom , " dance with the devil and the devil don't change ; the devil changes you . " 	max promises that we will see examples of the second theme when he tells tom , " dance with the devil and the devil don't change ; the devil changes you .<br> "	2	-2	 max[0] promises[1] that[0] we[0] will[0] see[0] examples[0] of[0] the[0] second[0] theme[0] when[0] he[0] tells[0] tom[0] dance[0] with[0] the[0] devil[-1] and[0] the[0] devil[-1] don't[0] change[0] the[0] devil[-1] changes[0] you[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
tom does change-i'll let you discover the specifics for yourself-but not permanently . 	tom does change-i'll let you discover the specifics for yourself-but not permanently .	1	-1	 tom[0] does[0] change[0] i'll[0] let[0] you[0] discover[0] the[0] specifics[0] for[0] yourself[0] but[0] not[0] permanently[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
schumacher and screenwriter andrew kevin walker didn't have the guts to take tom so far down the dark tunnel that he couldn't come back . 	schumacher and screenwriter andrew kevin walker didn't have the guts to take tom so far down the dark tunnel that he couldn't come back .	1	-1	 schumacher[0] and[0] screenwriter[0] andrew[0] kevin[0] walker[0] didn't[0] have[0] the[0] guts[0] to[0] take[0] tom[0] so[0] far[0] down[0] the[0] dark[0] tunnel[0] that[0] he[0] couldn't[0] come[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( walker's " seven " did a much better job on that theme by refusing to compromise ) . 	 ( walker's " seven " did a much better job on that theme by refusing to compromise ) .	1	-1	 walker's[0] seven[0] did[0] a[0] much[0] better[0] job[0] on[0] that[0] theme[0] by[0] refusing[0] to[0] compromise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cage tries hard to pull it off , but the script doesn't give him enough to work with . 	cage tries hard to pull it off , but the script doesn't give him enough to work with .	1	-1	 cage[0] tries[0] hard[0] to[0] pull[0] it[0] off[0] but[0] the[0] script[0] doesn't[0] give[0] him[0] enough[0] to[0] work[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
phoenix walks away with the movie-he's smart , charming , and funny . 	phoenix walks away with the movie-he's smart , charming , and funny .	2	-1	 phoenix[0] walks[0] away[0] with[0] the[0] movie[0] he's[0] smart[1] charming[1] and[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
other cast members include " fargo " 's peter stormare camping it up as porn auteur dino velvet and " the sopranos " 's james gandolfini as a soulless porn merchant who pushes tom too far . 	other cast members include " fargo " 's peter stormare camping it up as porn auteur dino velvet and " the sopranos " 's james gandolfini as a soulless porn merchant who pushes tom too far .	1	-1	 other[0] cast[0] members[0] include[0] fargo[0] 's[0] peter[0] stormare[0] camping[0] it[0] up[0] as[0] porn[0] auteur[0] dino[0] velvet[0] and[0] the[0] sopranos[0] 's[0] james[0] gandolfini[0] as[0] a[0] soulless[0] porn[0] merchant[0] who[0] pushes[0] tom[0] too[0] far[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the last analysis , since " 8mm " falls short of its pretensions and its promise , its just another private eye story in the raymond chandler/ross macdonald tradition of having the detective uncover the depravity behind the glossy facade of wealth and privilege . 	in the last analysis , since " 8m " falls short of its pretensions and its promise , its just another private eye story in the raymond chandler/ross macdonald tradition of having the detective uncover the depravity behind the glossy facade of wealth and privilege .	2	-4	 in[0] the[0] last[0] analysis[0] since[0] 8mm/8m[0] falls[0] short[0] of[0] its[0] pretensions[0] and[0] its[0] promise[1] its[0] just[0] another[0] private[0] eye[0] story[0] in[0] the[0] raymond[0] chandler/ross[0] macdonald[0] tradition[0] of[0] having[0] the[0] detective[0] uncover[0] the[0] depravity[-3] behind[0] the[0] glossy[0] facade[0] of[0] wealth[0] and[0] privilege[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
however , unlike other predictable fare in the genre-last year's " twilight , " for example- " 8mm " is especially disappointing because it could have been much more than it is . 	however , unlike other predictable fare in the genre-last year's " twilight , " for example- " 8m " is especially disappointing because it could have been much more than it is .	1	-3	 however[0] unlike[0] other[0] predictable[0] fare[0] in[0] the[0] genre[0] last[0] year's[0] twilight[0] for[0] example[0] 8mm/8m[0] is[0] especially[0] disappointing[-1][-1 LastWordBoosterStrength] because[0] it[0] could[0] have[0] been[0] much[0] more[0] than[0] it[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
