you know something , christmas is not about presents . 	Translation	Positive	Negative	EmotionRationale
young wide-eyed cindy lou who ( taylor momsen ) is depressed about the misplaced priorities of her parents ( bill irwin and molly shannon ) during the holiday season . 	young wide-eyed cindy lou who ( taylor momsen ) is depressed about the misplaced priorities of her parents ( bill irwin and molly shannon ) during the holiday season .	1	-4	 young[0] wide[0] eyed[0] cindy[0] lou[0] who[0] taylor[0] momsen[0] is[0] depressed[-3] about[0] the[0] misplaced[0] priorities[0] of[0] her[0] parents[0] bill[0] irwin[0] and[0] molly[0] shannon[0] during[0] the[0] holiday[0] season[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
she begins to sympathize with the grinch , who turns out to be surprisingly sympathetic . 	she begins to sympathize with the grinch , who turns out to be surprisingly sympathetic .	1	-1	 she[0] begins[0] to[0] sympathize[0] with[0] the[0] grinch[0] who[0] turns[0] out[0] to[0] be[0] surprisingly[0] sympathetic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cindy lou discovers that the grinch turned tearfully away from whoville in grammar school when he was publicly humiliated while expressing his love for the prettiest girl in the class , martha may whovier ( played as an adult by christine baranski ) . 	cindy lou discovers that the grinch turned tearfully away from whoville in grammar school when he was publicly humiliated while expressing his love for the prettiest girl in the class , martha may whovier ( played as an adult by christine baranski ) .	3	-4	 cindy[0] lou[0] discovers[0] that[0] the[0] grinch[0] turned[0] tearfully[0] away[0] from[0] whoville[0] in[0] grammar[0] school[0] when[0] he[0] was[0] publicly[0] humiliated[-3] while[0] expressing[0] his[0] love[2] for[0] the[0] prettiest[2] girl[0] in[0] the[0] class[0] martha[0] may[0] whovier[0] played[0] as[0] an[0] adult[0] by[0] christine[0] baranski[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
are we expected to like the grinch , hate the whos , and want him to steal christmas ? 	are we expected to like the grinch , hate the whos , and want him to steal christmas ?	2	-4	 are[0] we[0] expected[0] to[0] like[1] the[0] grinch[0] hate[-3] the[0] whos[0] and[0] want[0] him[0] to[0] steal[-2] christmas[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the grinch isn't even the villain here ; that role is filled by the corrupt mayor of whoville ( jeffrey tambor ) who was the grinch's rival for martha's affection . 	the grinch isn't even the villain here ; that role is filled by the corrupt mayor of whoville ( jeffrey tambor ) who was the grinch's rival for martha's affection .	3	-3	 the[0] grinch[0] isn't[0] even[0] the[0] villain[-2] here[0] that[0] role[0] is[0] filled[0] by[0] the[0] corrupt[-2] mayor[0] of[0] whoville[0] jeffrey[0] tambor[0] who[0] was[0] the[0] grinch's[0] rival[-1] for[0] martha's[0] affection[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
not only are the characters needlessly complex , but the once-simple plot becomes so convoluted that the actual theft of christmas seems like an afterthought . 	not only are the characters needlessly complex , but the once-simple plot becomes so convoluted that the actual theft of christmas seems like an afterthought .	2	-2	 not[0] only[0] are[0] the[0] characters[0] needlessly[0] complex[0] but[0] the[0] once[0] simple[0] plot[0] becomes[0] so[0] convoluted[0] that[0] the[0] actual[0] theft[-1] of[0] christmas[0] seems[0] like[1] an[0] afterthought[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the casting choices aren't any better than the screenwriting decisions . 	the casting choices aren't any better than the screenwriting decisions .	1	-1	 the[0] casting[0] choices[0] aren't[0] any[0] better[0] than[0] the[0] screenwriting[0] decisions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jim carrey seems woefully miscast . 	jim carrey seems woefully miscast .	1	-3	 jim[0] carrey[0] seems[0] woefully[-2] miscast[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while his face is so supple that the rubber make-up seems superfluous , carrey brings nothing else to the role . 	while his face is so supple that the rubber make-up seems superfluous , carrey brings nothing else to the role .	1	-2	 while[0] his[0] face[0] is[0] so[0] supple[0] that[0] the[0] rubber[0] make[0] up[0] seems[0] superfluous[-1] carrey[0] brings[0] nothing[0] else[0] to[0] the[0] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his accent keeps changing ; i assume he was shooting for karloff , but he ends up sounding like a weird slurry of richard nixon , sean connery , and cartman from " south park . " 	his accent keeps changing ; i assume he was shooting for karloff , but he ends up sounding like a weird slurry of richard nixon , sean connery , and cartman from " south park .<br> "	2	-2	 his[0] accent[0] keeps[0] changing[0] i[0] assume[0] he[0] was[0] shooting[-1] for[0] karloff[0] but[0] he[0] ends[0] up[0] sounding[0] like[1] a[0] weird[-1] slurry[0] of[0] richard[0] nixon[0] sean[0] connery[0] and[0] cartman[0] from[0] south[0] park[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not knowing what else to do during his many scenes alone in the grinch's home , carrey falls back on his stand-up comedy and clowns around ace ventura-style . 	not knowing what else to do during his many scenes alone in the grinch's home , carrey falls back on his stand-up comedy and clowns around ace ventura-style .	1	-1	 not[0] knowing[0] what[0] else[0] to[0] do[0] during[0] his[0] many[0] scenes[0] alone[0] in[0] the[0] grinch's[0] home[0] carrey[0] falls[0] back[0] on[0] his[0] stand[0] up[0] comedy[0] and[0] clowns[0] around[0] ace[0] ventura[0] style[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
needless to say , his wise-cracking antics don't quite fit the character of the grinch , who is an embittered loner filled with hate . 	needless to say , his wise-cracking antics don't quite fit the character of the grinch , who is an embittered loner filled with hate .	1	-4	 needless[0] to[0] say[0] his[0] wise[0] cracking[0] antics[0] don't[0] quite[0] fit[0] the[0] character[0] of[0] the[0] grinch[0] who[0] is[0] an[0] embittered[0] loner[-1] filled[0] with[0] hate[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
little taylor momsen brings little to role of cindy lou except big eyes and a cute smile . 	little taylor momsen brings little to role of cindy lou except big eyes and a cute smile .	3	-1	 little[0] taylor[0] momsen[0] brings[0] little[0] to[0] role[0] of[0] cindy[0] lou[0] except[0] big[0] eyes[0] and[0] a[0] cute[1] smile[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she would have been fine if cindy lou was limited to her original purpose in the seuss story ( finding " santa " in her living room stealing the tree ) . 	she would have been fine if cindy lou was limited to her original purpose in the seuss story ( finding " santa " in her living room stealing the tree ) .	3	-3	 she[0] would[0] have[0] been[0] fine[2] if[0] cindy[0] lou[0] was[0] limited[0] to[0] her[0] original[0] purpose[0] in[0] the[0] seuss[0] story[0] finding[0] santa[0] in[0] her[0] living[0] room[0] stealing[-2] the[0] tree[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
however , the expanded script makes cindy as important as the grinch , and momsen is not up to the challenge . 	however , the expanded script makes cindy as important as the grinch , and momsen is not up to the challenge .	1	-2	 however[0] the[0] expanded[0] script[0] makes[0] cindy[0] as[0] important[0] as[0] the[0] grinch[0] and[0] momsen[0] is[0] not[0] up[0] to[0] the[0] challenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bottom line : when you're stealing christmas ( movies ) , leave this one behind . 	bottom line : when you're stealing christmas ( movies ) , leave this one behind .	1	-3	 bottom[0] line[0] when[0] you're[0] stealing[-2] christmas[0] movies[0] leave[0] this[0] one[0] behind[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
