ready to rumble is not a masterpiece in film ; i have a problem even regarding it as a film . 	Translation	Positive	Negative	EmotionRationale
the main characters in the film actually get to wrestle , like that would happen to any fan , especially to 2 that stalk a wrestler and sneak him back onto set . 	the main characters in the film actually get to wrestle , like that would happen to any fan , especially to 2 that stalk a wrestler and sneak him back onto set .	2	-2	 the[0] main[0] characters[0] in[0] the[0] film[0] actually[0] get[0] to[0] wrestle[-1] like[1] that[0] would[0] happen[0] to[0] any[0] fan[0] especially[0] to[0] 2[0] that[0] stalk[0] a[0] wrestler[0] and[0] sneak[-1] him[0] back[0] onto[0] set[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
also , i wondered how they got into the backstage so easily ; they just walked right in . 	also , i wondered how they got into the backstage so easily ; they just walked right in .	1	-1	 also[0] i[0] wondered[0] how[0] they[0] got[0] into[0] the[0] backstage[0] so[0] easily[0] they[0] just[0] walked[0] right[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i like wrestling . 	i like wrestling .	2	-1	 i[0] like[1] wrestling[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i watch it at home and laugh . 	i watch it at home and laugh .	2	-1	 i[0] watch[0] it[0] at[0] home[0] and[0] laugh[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's continuously funny and has great characters otherwise i wouldn't watch it . 	it's continuously funny and has great characters otherwise i wouldn't watch it .	3	-1	 it's[0] continuously[0] funny[1] and[0] has[0] great[2] characters[0] otherwise[0] i[0] wouldn't[0] watch[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this movie wasn't even funny or fun to watch like the wrestling on tv . 	this movie wasn't even funny or fun to watch like the wrestling on tv .	2	-1	 this[0] movie[0] wasn't[0] even[0] funny[1] or[0] fun[1] to[0] watch[0] like[1] the[0] wrestling[0] on[0] tv[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only fun i had in the movie was pointing out the wrestlers i knew . 	the only fun i had in the movie was pointing out the wrestlers i knew .	2	-1	 the[0] only[0] fun[1] i[0] had[0] in[0] the[0] movie[0] was[0] pointing[0] out[0] the[0] wrestlers[0] i[0] knew[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the funny thing was that many of the wcw featured wrestlers like saturn and chris benoit have left wcw for more money but are still featured in the film prominently . 	the funny thing was that many of the wcw featured wrestlers like saturn and chris benoit have left wcw for more money but are still featured in the film prominently .	2	-1	 the[0] funny[1] thing[0] was[0] that[0] many[0] of[0] the[0] wcw[0] featured[0] wrestlers[0] like[1] saturn[0] and[0] chris[0] benoit[0] have[0] left[0] wcw[0] for[0] more[0] money[0] but[0] are[0] still[0] featured[0] in[0] the[0] film[0] prominently[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie was too dim-witted to be funny . 	the movie was too dim-witted to be funny .	2	-2	 the[0] movie[0] was[0] too[0] dim[-1] witted[0] to[0] be[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is possibly the most useless and under-developed film ever . 	it is possibly the most useless and under-developed film ever .	1	-3	 it[0] is[0] possibly[0] the[0] most[0] useless[-2] and[0] under[0] developed[0] film[0] ever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a recent film in this genre of fans would be the kiss fan film , detroit rock city . 	a recent film in this genre of fans would be the kiss fan film , detroit rock city .	3	-1	 a[0] recent[0] film[0] in[0] this[0] genre[0] of[0] fans[0] would[0] be[0] the[0] kiss[2] fan[0] film[0] detroit[0] rock[1] city[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that movie was interesting , well done and continuously funny unlike this film . 	that movie was interesting , well done and continuously funny unlike this film .	2	-1	 that[0] movie[0] was[0] interesting[1] well[0] done[0] and[0] continuously[0] funny[1] unlike[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the acting was good plus the jokes had humor and made you laugh . 	the acting was good plus the jokes had humor and made you laugh .	3	-1	 the[0] acting[0] was[0] good[1] plus[0] the[0] jokes[1] had[0] humor[2] and[0] made[0] you[0] laugh[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now that the scream trilogy is over , arquette has nothing else to do so he has to do crap like this and be a spokesman in those dumb 1-800-call-att ads . 	now that the scream trilogy is over , arquette has nothing else to do so he has to do crap like this and be a spokesman in those dumb 1-800-call-at ads .	2	-4	 now[0] that[0] the[0] scream[-3] trilogy[0] is[0] over[0] arquette[0] has[0] nothing[0] else[0] to[0] do[0] so[0] he[0] has[0] to[0] do[0] crap[-2] like[1] this[0] and[0] be[0] a[0] spokesman[0] in[0] those[0] dumb[-1] 1[0] -800[0] call[0] att/at[0] ads[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
at least he has a hot wife in courtney cox . 	at least he has a hot wife in courtney cox .	1	-1	 at[0] least[0] he[0] has[0] a[0] hot[0] wife[0] in[0] courtney[0] cox[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's in the funny parts of the film but there aren't enough to make him look good . 	he's in the funny parts of the film but there aren't enough to make him look good .	2	-1	 he's[0] in[0] the[0] funny[1] parts[0] of[0] the[0] film[0] but[0] there[0] aren't[0] enough[0] to[0] make[0] him[0] look[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the music was bad also feature such overplayed tunes as kid rock's " bawitdaba " and " cowboy " . 	the music was bad also feature such overplayed tunes as kid rock's " bawitdaba " and " cowboy " .	1	-2	 the[0] music[0] was[0] bad[-1] also[0] feature[0] such[0] overplayed[0] tunes[0] as[0] kid[0] rock's[0] bawitdaba[0] and[0] cowboy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
martin landau has a great cameo as a classic , hard-nosed wrestling trainer named sal that whips the king back into shape to regain his throne . 	martin landau has a great cameo as a classic , hard-nosed wrestling trainer named sal that whips the king back into shape to regain his throne .	3	-1	 martin[0] landau[0] has[0] a[0] great[2] cameo[0] as[0] a[0] classic[0] hard[0] nosed[0] wrestling[0] trainer[0] named[0] sal[0] that[0] whips[0] the[0] king[0] back[0] into[0] shape[0] to[0] regain[0] his[0] throne[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
script is important to a film but this piece of crap could have been made with a couple of scribblings on a napkin . 	script is important to a film but this piece of crap could have been made with a couple of scribblings on a napkin .	1	-3	 script[0] is[0] important[0] to[0] a[0] film[0] but[0] this[0] piece[0] of[0] crap[-2] could[0] have[0] been[0] made[0] with[0] a[0] couple[0] of[0] scribblings[0] on[0] a[0] napkin[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a fan of the wrestlers who are featured in the film probably wrote it . 	a fan of the wrestlers who are featured in the film probably wrote it .	1	-1	 a[0] fan[0] of[0] the[0] wrestlers[0] who[0] are[0] featured[0] in[0] the[0] film[0] probably[0] wrote[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at times the movie even tries to show wrestling as real . 	at times the movie even tries to show wrestling as real .	1	-1	 at[0] times[0] the[0] movie[0] even[0] tries[0] to[0] show[0] wrestling[0] as[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the wrestlers form alliances , go to people's houses and beat them up . 	the wrestlers form alliances , go to people's houses and beat them up .	1	-1	 the[0] wrestlers[0] form[0] alliances[0] go[0] to[0] people's[0] houses[0] and[0] beat[0] them[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's utterly ridiculous . 	it's utterly ridiculous .	1	-3	 it's[0] utterly[0] ridiculous[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the whole film was a wasteful , dumfounding experience . 	the whole film was a wasteful , dumfounding experience .	1	-2	 the[0] whole[0] film[0] was[0] a[0] wasteful[-1] dumfounding[0] experience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie was made to pay homage to the fans , telling them things that made wrestling , not the wrestlers . 	the movie was made to pay homage to the fans , telling them things that made wrestling , not the wrestlers .	1	-1	 the[0] movie[0] was[0] made[0] to[0] pay[0] homage[0] to[0] the[0] fans[0] telling[0] them[0] things[0] that[0] made[0] wrestling[0] not[0] the[0] wrestlers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the wrestlers are making more money to make a movie to thank the fans for begin fans by paying 5 dollars to see a potty-humor movie . 	the wrestlers are making more money to make a movie to thank the fans for begin fans by paying 5 dollars to see a potty-humor movie .	3	-1	 the[0] wrestlers[0] are[0] making[0] more[0] money[0] to[0] make[0] a[0] movie[0] to[0] thank[1] the[0] fans[0] for[0] begin[0] fans[0] by[0] paying[0] 5[0] dollars[0] to[0] see[0] a[0] potty[0] humor[2] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the wcw sucks and this movie is just a pathetic two-hour commercial to watch it . 	the wcw sucks and this movie is just a pathetic two-hour commercial to watch it .	1	-3	 the[0] wcw[0] sucks[-1] and[0] this[0] movie[0] is[0] just[0] a[0] pathetic[-2] two[0] hour[0] commercial[0] to[0] watch[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if you're going to watch wrestling watch wwf , it's actually entertaining . 	if you're going to watch wrestling watch wwf , it's actually entertaining .	1	-1	 if[0] you're[0] going[0] to[0] watch[0] wrestling[0] watch[0] wwf[0] it's[0] actually[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the wrestling is betters , they're funnier , more diverse , and have better entrance themes . 	the wrestling is betters , they're funnier , more diverse , and have better entrance themes .	2	-1	 the[0] wrestling[0] is[0] betters[0] they're[0] funnier[1] more[0] diverse[0] and[0] have[0] better[0] entrance[0] themes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oh and the girls are hotter . 	oh and the girls are hotter .	1	-1	 oh[0] and[0] the[0] girls[0] are[0] hotter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is this what movies have become , 2 hour-long commercials that you have to pay to see ? 	is this what movies have become , 2 hour-long commercials that you have to pay to see ?	1	-1	 is[0] this[0] what[0] movies[0] have[0] become[0] 2[0] hour[0] long[0] commercials[0] that[0] you[0] have[0] to[0] pay[0] to[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't waste your money . 	don't waste your money .	2	-1	 don't[0] waste[-1][NegatedDueToPreviousWord] your[0] money[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
