darren ( jason biggs ) , wayne ( steve zahn ) , and j . d . ( jack black ) have been best friends since the fifth grade . 	Translation	Positive	Negative	EmotionRationale
the only problem here is that sandy is about to take her vows to become a nun . 	the only problem here is that sandy is about to take her vows to become a nun .	1	-2	 the[0] only[0] problem[-1] here[0] is[0] that[0] sandy[0] is[0] about[0] to[0] take[0] her[0] vows[0] to[0] become[0] a[0] nun[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
things spiral out of control as judith repeatedly attempts to escape while wayne and j . d . play cupid . 	things spiral out of control as judith repeatedly attempts to escape while wayne and j .<br> d .<br> play cupid .	1	-1	 things[0] spiral[0] out[0] of[0] control[0] as[0] judith[0] repeatedly[0] attempts[0] to[0] escape[0] while[0] wayne[0] and[0] j[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] play[0] cupid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the boys even bring their idol , neil diamond , into the picture to help resolve things . 	the boys even bring their idol , neil diamond , into the picture to help resolve things .	2	-1	 the[0] boys[0] even[0] bring[0] their[0] idol[0] neil[0] diamond[0] into[0] the[0] picture[0] to[0] help[0] resolve[1] things[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thinking about it , this is a real mishmash of contrivance and coincidence that is held together solely by the comedic efforts of steve zahn and jack black . 	thinking about it , this is a real mishmash of contrivance and coincidence that is held together solely by the comedic efforts of steve zahn and jack black .	1	-1	 thinking[0] about[0] it[0] this[0] is[0] a[0] real[0] mishmash[0] of[0] contrivance[0] and[0] coincidence[0] that[0] is[0] held[0] together[0] solely[0] by[0] the[0] comedic[0] efforts[0] of[0] steve[0] zahn[0] and[0] jack[0] black[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the pair is able to elicit the film's only laughs with their goofy antics and child-like behavior . 	the pair is able to elicit the film's only laughs with their goofy antics and child-like behavior .	2	-1	 the[0] pair[0] is[0] able[0] to[0] elicit[0] the[0] film's[0] only[0] laughs[1] with[0] their[0] goofy[0] antics[0] and[0] child[0] like[1] behavior[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they are relegated to providing slapstick guy humor and the two are more than equal to the task . 	they are relegated to providing slapstick guy humor and the two are more than equal to the task .	3	-2	 they[0] are[0] relegated[0] to[0] providing[0] slapstick[-1] guy[0] humor[2] and[0] the[0] two[0] are[0] more[0] than[0] equal[0] to[0] the[0] task[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
steve zahn has been steadily honing his comedic acting skills and gives some complexity to wayne , the " brains " of the gang . 	steve zahn has been steadily honing his comedic acting skills and gives some complexity to wayne , the " brains " of the gang .	1	-1	 steve[0] zahn[0] has[0] been[0] steadily[0] honing[0] his[0] comedic[0] acting[0] skills[0] and[0] gives[0] some[0] complexity[0] to[0] wayne[0] the[0] brains[0] of[0] the[0] gang[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jack black has the big-guy moves of a chris farley , giving j . d . an amusing physical presence . 	jack black has the big-guy moves of a chris farley , giving j .<br> d .<br> an amusing physical presence .	2	-1	 jack[0] black[0] has[0] the[0] big[0] guy[0] moves[0] of[0] a[0] chris[0] farley[0] giving[0] j[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] an[0] amusing[1] physical[0] presence[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the neat thing is that the two actors are able to get fresh laughs from stale material . 	the neat thing is that the two actors are able to get fresh laughs from stale material .	2	-2	 the[0] neat[0] thing[0] is[0] that[0] the[0] two[0] actors[0] are[0] able[0] to[0] get[0] fresh[0] laughs[1] from[0] stale[-1] material[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the rest of the cast doesn't fare as well , though . 	the rest of the cast doesn't fare as well , though .	1	-1	 the[0] rest[0] of[0] the[0] cast[0] doesn't[0] fare[0] as[0] well[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jason biggs is the straight man of the musketeers and gets very little to do ; though having watched his previous films ( " american pie " and " loser " ) i'm not sure what attraction biggs actually has . 	jason biggs is the straight man of the musketeers and gets very little to do ; though having watched his previous films ( " american pie " and " loser " ) i'm not sure what attraction biggs actually has .	2	-3	 jason[0] biggs[0] is[0] the[0] straight[0] man[0] of[0] the[0] musketeers[0] and[0] gets[0] very[0] little[0] to[0] do[0] though[0] having[0] watched[0] his[0] previous[0] films[0] american[0] pie[0] and[0] loser[-2] i'm[0] not[0] sure[0] what[0] attraction[1] biggs[0] actually[0] has[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
amanda peet is caustic as the manipulative judith . 	amanda pet is caustic as the manipulative judith .	1	-2	 amanda[0] peet/pet[0] is[0] caustic[0] as[0] the[0] manipulative[-1] judith[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is no humanity at all to her character as she single-mindedly strives to recreate darren into her mind's image . 	there is no humanity at all to her character as she single-mindedly strives to recreate darren into her mind's image .	1	-1	 there[0] is[0] no[0] humanity[0] at[0] all[0] to[0] her[0] character[0] as[0] she[0] single[0] mindedly[0] strives[0] to[0] recreate[0] darren[0] into[0] her[0] mind's[0] image[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she's a monster that wayne and j . d . must defeat to save their friend . 	she's a monster that wayne and j .<br> d .<br> must defeat to save their friend .	2	-2	 she's[0] a[0] monster[-1] that[0] wayne[0] and[0] j[0] [[Sentence=-2,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] must[0] defeat[0] to[0] save[1] their[0] friend[1] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , there is no dimension to her character . 	unfortunately , there is no dimension to her character .	1	-2	 unfortunately[-1] there[0] is[0] no[0] dimension[0] to[0] her[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
amanda detmer brings nothing ( or gets nothing ) as darren's one and only . 	amanda detmer brings nothing ( or gets nothing ) as darren's one and only .	1	-1	 amanda[0] detmer[0] brings[0] nothing[0] or[0] gets[0] nothing[0] as[0] darren's[0] one[0] and[0] only[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
r . lee ermey , as the psychotic coach , made a bad decision taking this role . 	are .<br> lee ermey , as the psychotic coach , made a bad decision taking this role .	1	-2	 r[0] [[Sentence=-1,1=word max, 1-5]] lee[0] ermey[0] as[0] the[0] psychotic[0] coach[0] made[0] a[0] bad[-1] decision[0] taking[0] this[0] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tune-meister neil diamond gives a good-natured cameo perf as the boys' idol and savior . 	tune-meister neil diamond gives a good-natured cameo perf as the boys' idol and savior .	2	-1	 tune[0] meister[0] neil[0] diamond[0] gives[0] a[0] good[1] natured[0] cameo[0] perf[0] as[0] the[0] boys'[0] idol[0] and[0] savior[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
production values are on par with the rest of the film - lackluster and non-involving . 	production values are on par with the rest of the film - lackluster and non-involving .	2	-1	 production[0] values[1] are[0] on[0] par[0] with[0] the[0] rest[0] of[0] the[0] film[0] lackluster[0] and[0] non[0] involving[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director dennis dugan has a track record for broad comedy with films like " big daddy " and " beverly hills ninja , " but falls flat with " saving silverman . " 	director dennis dugan has a track record for broad comedy with films like " big daddy " and " beverly hills ninja , " but falls flat with " saving silverman .<br> "	2	-1	 director[0] dennis[0] dugan[0] has[0] a[0] track[0] record[0] for[0] broad[0] comedy[0] with[0] films[0] like[1] big[0] daddy[0] and[0] beverly[0] hills[0] ninja[0] but[0] falls[0] flat[0] with[0] saving[0] silverman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the 2001 movie year has yet to provide us with a " good " film to sink our teeth into . 	the 2001 movie year has yet to provide us with a " good " film to sink our teeth into .	2	-1	 the[0] 2001[0] movie[0] year[0] has[0] yet[0] to[0] provide[0] us[0] with[0] a[0] good[1] film[0] to[0] sink[0] our[0] teeth[0] into[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at least , with " saving silverman , " we get a couple of funny perfs from zahn and black . 	at least , with " saving silverman , " we get a couple of funny perfs from zahn and black .	2	-1	 at[0] least[0] with[0] saving[0] silverman[0] we[0] get[0] a[0] couple[0] of[0] funny[1] perfs[0] from[0] zahn[0] and[0] black[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
too bad that the rest of the film lacks their level of humor . 	too bad that the rest of the film lacks their level of humor .	3	-2	 too[0] bad[-1] that[0] the[0] rest[0] of[0] the[0] film[0] lacks[0] their[0] level[0] of[0] humor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
kick boxing deaths and conflicted nuns are not the makings of a good comedy . 	kick boxing deaths and conflicted nuns are not the makings of a good comedy .	2	-3	 kick[-1] boxing[0] deaths[-2] and[0] conflicted[-1] nuns[0] are[0] not[0] the[0] makings[0] of[0] a[0] good[1] comedy[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i give it a c- . 	i give it a c- .	1	-1	 i[0] give[0] it[0] a[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
