sometimes , when i decide to write a short story or a poem , i think of a title first , and then think of a subject to go with it . 	Translation	Positive	Negative	EmotionRationale
he moves to a small town with his family after , tragically , his brother shoots himself . 	he moves to a small town with his family after , tragically , his brother shoots himself .	1	-2	 he[0] moves[0] to[0] a[0] small[0] town[0] with[0] his[0] family[0] after[0] tragically[-1] his[0] brother[0] shoots[-1] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
steve is very upset about the untimely death of his brother ; we learn this through strange home-video like nightmares that he has occasionally . 	steve is very upset about the untimely death of his brother ; we learn this through strange home-video like nightmares that he has occasionally .	2	-4	 steve[0] is[0] very[0] upset[-2][-1 LastWordBoosterStrength] about[0] the[0] untimely[-1] death[-2] of[0] his[0] brother[0] we[0] learn[0] this[0] through[0] strange[0] home[0] video[0] like[1] nightmares[0] that[0] he[0] has[0] occasionally[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the big trial for steve is , of course , to fit in at school and make new friends . 	the big trial for steve is , of course , to fit in at school and make new friends .	2	-1	 the[0] big[0] trial[0] for[0] steve[0] is[0] of[0] course[0] to[0] fit[0] in[0] at[0] school[0] and[0] make[0] new[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
marsden looks like your stereotypical jock down to the last detail , so he seems a poor casting choice for a social reject . 	marsden looks like your stereotypical jock down to the last detail , so he seems a poor casting choice for a social reject .	2	-2	 marsden[0] looks[0] like[1] your[0] stereotypical[0] jock[0] down[0] to[0] the[0] last[0] detail[0] so[0] he[0] seems[0] a[0] poor[-1] casting[0] choice[0] for[0] a[0] social[0] reject[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as a social reject , he falls in with some pretentious dope-smoking philosophers , gavin ( nick stahl ) and rachel ( katie holmes ) . 	as a social reject , he falls in with some pretentious dope-smoking philosophers , gavin ( nick stahl ) and rachel ( katie holmes ) .	1	-2	 as[0] a[0] social[0] reject[-1] he[0] falls[0] in[0] with[0] some[0] pretentious[-1][--1 LastWordBoosterStrength] dope[-1] smoking[0] philosophers[0] gavin[0] nick[0] stahl[0] and[0] rachel[0] katie[0] holmes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gavin informs steve that the local group of jocks , known as the blue ribboners , are actually a bunch of zombies , assimilating new members into their group , while sporadically killing innocent people . 	gavin informs steve that the local group of jocks , known as the blue ribboners , are actually a bunch of zombies , assimilating new members into their group , while sporadically killing innocent people .	2	-2	 gavin[0] informs[0] steve[0] that[0] the[0] local[0] group[0] of[0] jocks[0] known[0] as[0] the[0] blue[0] ribboners[0] are[0] actually[0] a[0] bunch[0] of[0] zombies[0] assimilating[0] new[0] members[0] into[0] their[0] group[0] while[0] sporadically[0] killing[-1] innocent[1] people[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so , it's up to our group of mismatched protagonists to 1 ) solve the mystery , and 2 ) do something about it . 	so , it's up to our group of mismatched protagonists to 1 ) solve the mystery , and 2 ) do something about it .	1	-1	 so[0] it's[0] up[0] to[0] our[0] group[0] of[0] mismatched[0] protagonists[0] to[0] 1[0] solve[0] the[0] mystery[0] and[0] 2[0] do[0] something[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the end of it all , something has happened and things have been explained , but the film still doesn't make any sense . 	by the end of it all , something has happened and things have been explained , but the film still doesn't make any sense .	1	-1	 by[0] the[0] end[0] of[0] it[0] all[0] something[0] has[0] happened[0] and[0] things[0] have[0] been[0] explained[0] but[0] the[0] film[0] still[0] doesn't[0] make[0] any[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
disturbing behavior was written by scott rosenberg . 	disturbing behavior was written by scot rosenberg .	1	-2	 disturbing[-1] behavior[0] was[0] written[0] by[0] scott/scot[0] rosenberg[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i've seen his name around recently ( he was one of the toucher-uppers on the armageddon script ) , and i imagine that , for the most part , he knows what he's doing when it comes to screenwriting . 	i've seen his name around recently ( he was one of the toucher-uppers on the armageddon script ) , and i imagine that , for the most part , he knows what he's doing when it comes to screenwriting .	1	-1	 i've[0] seen[0] his[0] name[0] around[0] recently[0] he[0] was[0] one[0] of[0] the[0] toucher[0] uppers[0] on[0] the[0] armageddon[0] script[0] and[0] i[0] imagine[0] that[0] for[0] the[0] most[0] part[0] he[0] knows[0] what[0] he's[0] doing[0] when[0] it[0] comes[0] to[0] screenwriting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he did , however , have a complete lapse in judgement when he got the idea for this film , and then decided to actually take the time to write it out . 	he did , however , have a complete lapse in judgement when he got the idea for this film , and then decided to actually take the time to write it out .	1	-3	 he[0] did[0] however[0] have[0] a[0] complete[0] lapse[-1][-1 LastWordBoosterStrength] in[0] judgement[0] when[0] he[0] got[0] the[0] idea[0] for[0] this[0] film[0] and[0] then[0] decided[0] to[0] actually[0] take[0] the[0] time[0] to[0] write[0] it[0] out[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
evil small town films are pretty common ( the last one , phantoms , is also a dismal failure ) , but it takes a lot of skill to make the formula work . 	evil small town films are pretty common ( the last one , phantoms , is also a dismal failure ) , but it takes a lot of skill to make the formula work .	3	-3	 evil[-2] small[0] town[0] films[0] are[0] pretty[2] common[0] the[0] last[0] one[0] phantoms[0] is[0] also[0] a[0] dismal[-1] failure[-2] but[0] it[0] takes[0] a[0] lot[0] of[0] skill[0] to[0] make[0] the[0] formula[0] work[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
rosenberg's script is a complete mess , lacking in even the most basic attempts at characterization . 	rosenberg's script is a complete mess , lacking in even the most basic attempts at characterization .	1	-1	 rosenberg's[0] script[0] is[0] a[0] complete[0] mess[0] lacking[0] in[0] even[0] the[0] most[0] basic[0] attempts[0] at[0] characterization[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it makes no sense , nor is their any purpose when things are finally " explained . " 	and it makes no sense , nor is their any purpose when things are finally " explained .<br> "	1	-1	 and[0] it[0] makes[0] no[0] sense[0] nor[0] is[0] their[0] any[0] purpose[0] when[0] things[0] are[0] finally[0] explained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is supposed to be an element of surprise when we see what is happening to the jocks , but the film never explains exactly what * is * happening . 	there is supposed to be an element of surprise when we see what is happening to the jocks , but the film never explains exactly what * is * happening .	1	-1	 there[0] is[0] supposed[0] to[0] be[0] an[0] element[0] of[0] surprise[0] when[0] we[0] see[0] what[0] is[0] happening[0] to[0] the[0] jocks[0] but[0] the[0] film[0] never[0] explains[0] exactly[0] what[0] is[0] happening[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they get strapped to chairs , a microchip is inserted into their eyes , and -- poof -- they become sex-crazed , superviolent , machine-like creatures . 	they get strapped to chairs , a microchip is inserted into their eyes , and - poof - they become sex-crazed , superviolent , machine-like creatures .	2	-1	 they[0] get[0] strapped[0] to[0] chairs[0] a[0] microchip[0] is[0] inserted[0] into[0] their[0] eyes[0] and[0] poof[0] they[0] become[0] sex[0] crazed[0] superviolent[0] machine[0] like[1] creatures[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the doctor responsible for all this , dr . caldicott ( bruce greenwood ) , must be pretty nuts for thinking that this kind of behavior is a step up from the way high school jocks actually behave ( or , perhaps , this is the only realistic element in the film ) . 	the doctor responsible for all this , dr .<br> caldicott ( bruce greenwood ) , must be pretty nuts for thinking that this kind of behavior is a step up from the way high school jocks actually behave ( or , perhaps , this is the only realistic element in the film ) .	3	-1	 the[0] doctor[0] responsible[0] for[0] all[0] this[0] dr[0] [[Sentence=-1,1=word max, 1-5]] caldicott[0] bruce[0] greenwood[0] must[0] be[0] pretty[2] nuts[0] for[0] thinking[0] that[0] this[0] kind[1] of[0] behavior[0] is[0] a[0] step[0] up[0] from[0] the[0] way[0] high[0] school[0] jocks[0] actually[0] behave[0] or[0] perhaps[0] this[0] is[0] the[0] only[0] realistic[0] element[0] in[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
much of the writing is simply bad , and rosenberg has no intuition when it comes to the way high school kids act . 	much of the writing is simply bad , and rosenberg has no intuition when it comes to the way high school kids act .	1	-2	 much[0] of[0] the[0] writing[0] is[0] simply[0] bad[-1] and[0] rosenberg[0] has[0] no[0] intuition[0] when[0] it[0] comes[0] to[0] the[0] way[0] high[0] school[0] kids[0] act[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in one terrible scene , gavin explains to steve all of the high school cliques , while pointing them out in the cafeteria . 	in one terrible scene , gavin explains to steve all of the high school cliques , while pointing them out in the cafeteria .	1	-4	 in[0] one[0] terrible[-3] scene[0] gavin[0] explains[0] to[0] steve[0] all[0] of[0] the[0] high[0] school[0] cliques[0] while[0] pointing[0] them[0] out[0] in[0] the[0] cafeteria[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
up front , i should say that , in four years of high school , i did not eat in the cafeteria even once . 	up front , i should say that , in four years of high school , i did not eat in the cafeteria even once .	1	-1	 up[0] front[0] i[0] should[0] say[0] that[0] in[0] four[0] years[0] of[0] high[0] school[0] i[0] did[0] not[0] eat[0] in[0] the[0] cafeteria[0] even[0] once[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that aside , the various social groups he points out are general , uninteresting , and poorly-shown . 	that aside , the various social groups he points out are general , uninteresting , and poorly-shown .	1	-2	 that[0] aside[0] the[0] various[0] social[0] groups[0] he[0] points[0] out[0] are[0] general[0] uninteresting[0] and[0] poorly[-1] shown[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for instance , he points to the " nerds , " who are all wearing glasses and playing with their laptops . 	for instance , he points to the " nerds , " who are all wearing glasses and playing with their laptops .	2	-3	 for[0] instance[0] he[0] points[0] to[0] the[0] nerds[-2] who[0] are[0] all[0] wearing[0] glasses[0] and[0] playing[1] with[0] their[0] laptops[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's such an obvious cliche that i can't believe rosenberg even bothered . 	it's such an obvious cliche that i can't believe rosenberg even bothered .	1	-2	 it's[0] such[0] an[0] obvious[0] cliche[0] that[0] i[0] can't[0] believe[0] rosenberg[0] even[0] bothered[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of the dialogue is forced ( no one says , " bite me ! " 	most of the dialogue is forced ( no one says , " bite me !<br> "	1	-1	 most[0] of[0] the[0] dialogue[0] is[0] forced[0] no[0] one[0] says[0] bite[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anymore ) , and none of the scenes have any degree of wit . 	anymore ) , and none of the scenes have any degree of wit .	1	-1	 anymore[0] and[0] none[0] of[0] the[0] scenes[0] have[0] any[0] degree[0] of[0] wit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this picture is not inspired , and most scenes flop from one to the other , with no sense of momentum or energy . 	this picture is not inspired , and most scenes flop from one to the other , with no sense of momentum or energy .	1	-3	 this[0] picture[0] is[0] not[0] inspired[2][NegatedDueToPreviousWord] and[0] most[0] scenes[0] flop[0] from[0] one[0] to[0] the[0] other[0] with[0] no[0] sense[0] of[0] momentum[0] or[0] energy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the blame for this can be placed on director david nutter , who apparently likes his films dry . 	the blame for this can be placed on director david nutter , who apparently likes his films dry .	3	-2	 the[0] blame[-1] for[0] this[0] can[0] be[0] placed[0] on[0] director[0] david[0] nutter[-1] who[0] apparently[0] likes[2] his[0] films[0] dry[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
horror films should at least exploit violence , but this one is shockingly timid . 	horror films should at least exploit violence , but this one is shockingly timid .	1	-4	 horror[-3] films[0] should[0] at[0] least[0] exploit[0] violence[-3] but[0] this[0] one[0] is[0] shockingly[-2] timid[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there are a few good scenes , though , such as an interesting trip through an insane asylum ( this is , however , the most forced scene in the film , for how our heroes get there or why they bother are things we never learn ) . 	there are a few good scenes , though , such as an interesting trip through an insane asylum ( this is , however , the most forced scene in the film , for how our heroes get there or why they bother are things we never learn ) .	3	-2	 there[0] are[0] a[0] few[0] good[1] scenes[0] though[0] such[0] as[0] an[0] interesting[1] trip[0] through[0] an[0] insane[-1] asylum[0] this[0] is[0] however[0] the[0] most[0] forced[0] scene[0] in[0] the[0] film[0] for[0] how[0] our[0] heroes[2] get[0] there[0] or[0] why[0] they[0] bother[-1] are[0] things[0] we[0] never[0] learn[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i also liked the school janitor character , played by william sadler . 	i also liked the school janitor character , played by william sadler .	3	-1	 i[0] also[0] liked[2] the[0] school[0] janitor[0] character[0] played[0] by[0] william[0] sadler[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he has a few lines that are surprisingly thought-provoking . 	he has a few lines that are surprisingly thought-provoking .	1	-1	 he[0] has[0] a[0] few[0] lines[0] that[0] are[0] surprisingly[0] thought[0] provoking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting is largely a waste of talent . 	the acting is largely a waste of talent .	2	-2	 the[0] acting[0] is[0] largely[0] a[0] waste[-1] of[0] talent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
marsden is , as i said , bland ( thought not particularly bad ) . 	marsden is , as i said , bland ( thought not particularly bad ) .	2	-2	 marsden[0] is[0] as[0] i[0] said[0] bland[-1] thought[0] not[0] particularly[0] bad[-1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bruce greenwood is shamelessly wasted . 	bruce greenwood is shamelessly wasted .	1	-3	 bruce[0] greenwood[0] is[0] shamelessly[-2] wasted[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
stahl and holmes both show they have talent , but the direction isn't good enough to hone in on their skills ( stahl's performance seems more like a parody of high school potheads ) . 	stahl and holmes both show they have talent , but the direction isn't good enough to hone in on their skills ( stahl's performance seems more like a parody of high school potheads ) .	2	-2	 stahl[0] and[0] holmes[0] both[0] show[0] they[0] have[0] talent[1] but[0] the[0] direction[0] isn't[0] good[1][NegatedDueToPreviousWord] enough[0] to[0] hone[0] in[0] on[0] their[0] skills[0] stahl's[0] performance[0] seems[0] more[0] like[1] a[0] parody[0] of[0] high[0] school[0] potheads[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
none of these characters expand beyond their one dimension , and , frankly , watching cardboard cut-outs of human beings run down hallways while screaming just isn't all that cool . 	none of these characters expand beyond their one dimension , and , frankly , watching cardboard cut-outs of human beings run down hallways while screaming just isn't all that cool .	2	-4	 none[0] of[0] these[0] characters[0] expand[0] beyond[0] their[0] one[0] dimension[0] and[0] frankly[0] watching[0] cardboard[0] cut[0] outs[0] of[0] human[0] beings[0] run[0] down[0] hallways[0] while[0] screaming[-3] just[0] isn't[0] all[0] that[0] cool[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
disturbing behavior is a wreck of a film , and it started out a wreck before shooting even began . 	disturbing behavior is a wreck of a film , and it started out a wreck before shooting even began .	1	-2	 disturbing[-1] behavior[0] is[0] a[0] wreck[-1] of[0] a[0] film[0] and[0] it[0] started[0] out[0] a[0] wreck[-1] before[0] shooting[-1] even[0] began[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm surprised there were producers who read this script and thought that it would make a good film , or that it would make a lot of money at the box office . 	i'm surprised there were producers who read this script and thought that it would make a good film , or that it would make a lot of money at the box office .	2	-1	 i'm[0] surprised[0] there[0] were[0] producers[0] who[0] read[0] this[0] script[0] and[0] thought[0] that[0] it[0] would[0] make[0] a[0] good[1] film[0] or[0] that[0] it[0] would[0] make[0] a[0] lot[0] of[0] money[0] at[0] the[0] box[0] office[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not boring , or even blatantly awful , but it's an uninspired lump of a film . 	it's not boring , or even blatantly awful , but it's an uninspired lump of a film .	2	-4	 it's[0] not[0] boring[-1][NegatedDueToPreviousWord] or[0] even[0] blatantly[-1] awful[-3] but[0] it's[0] an[0] uninspired[0] lump[0] of[0] a[0] film[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it sure starts off nicely , but the regression into total absurdity is so consistent that the very last scene is outright laughable . 	it sure starts off nicely , but the regression into total absurdity is so consistent that the very last scene is outright laughable .	2	-3	 it[0] sure[0] starts[0] off[0] nicely[1] but[0] the[0] regression[-1] into[0] total[0] absurdity[-1][-1 LastWordBoosterStrength] is[0] so[0] consistent[0] that[0] the[0] very[0] last[0] scene[0] is[0] outright[0] laughable[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
so , if you go to see this film , take my advice : appreciate the credit sequence , and pray it never ends . 	so , if you go to see this film , take my advice : appreciate the credit sequence , and pray it never ends .	2	-1	 so[0] if[0] you[0] go[0] to[0] see[0] this[0] film[0] take[0] my[0] advice[0] appreciate[1] the[0] credit[0] sequence[0] and[0] pray[0] it[0] never[0] ends[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
