 " flubber " is the second best example of how to take all the life out of a film remake an adaptation , and hysterically enough both were distributed by disney . 	Translation	Positive	Negative	EmotionRationale
you don't need to be a cynical college student to be able to see right through this film , which is another in a long line of cheap attempts at making a quick buck by disney , who have essentially become the puff daddy of the film industry , half-assedly re-mixing classics ( or non-classics ) for distribution to the general public , who sadly eats it all up . 	you don't need to be a cynical college student to be able to see right through this film , which is another in a long line of cheap attempts at making a quick buck by disney , who have essentially become the puff daddy of the film industry , half-assedly re-mixing classics ( or non-classics ) for distribution to the general public , who sadly eats it all up .	1	-2	 you[0] don't[0] need[0] to[0] be[0] a[0] cynical[-1] college[0] student[0] to[0] be[0] able[0] to[0] see[0] right[0] through[0] this[0] film[0] which[0] is[0] another[0] in[0] a[0] long[0] line[0] of[0] cheap[-1] attempts[0] at[0] making[0] a[0] quick[0] buck[0] by[0] disney[0] who[0] have[0] essentially[0] become[0] the[0] puff[0] daddy[0] of[0] the[0] film[0] industry[0] half[0] assedly[0] re[0] mixing[0] classics[0] or[0] non[0] classics[0] for[0] distribution[0] to[0] the[0] general[0] public[0] who[0] sadly[-1] eats[0] it[0] all[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
earlier in '97 , they released " jungle 2 jungle , " an adaptation of a really awful french film , " un indien dans la ville , " which , yeah , improved over the original , but not by much . 	earlier in '97 , they released " jungle 2 jungle , " an adaptation of a really awful french film , " un indien dans la vile , " which , yeah , improved over the original , but not by much .	2	-5	 earlier[0] in[0] '97[0] they[0] released[0] jungle[0] 2[0] jungle[0] an[0] adaptation[0] of[0] a[0] really[0] awful[-3][-1 LastWordBoosterStrength] french[0] film[0] un[0] indien[0] dans[0] la[0] ville/vile[-3] which[0] yeah[0] improved[1] over[0] the[0] original[0] but[0] not[0] by[0] much[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
disney's in about as bad shape as warner brothers right now , only creatively . 	disney's in about as bad shape as warner brothers right now , only creatively .	1	-2	 disney's[0] in[0] about[0] as[0] bad[-1] shape[0] as[0] warner[0] brothers[0] right[0] now[0] only[0] creatively[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the rush to ship out a film for distribution , disney has forgotten to give this film a little thing called " magic . " 	in the rush to ship out a film for distribution , disney has forgotten to give this film a little thing called " magic .<br> "	1	-1	 in[0] the[0] rush[0] to[0] ship[0] out[0] a[0] film[0] for[0] distribution[0] disney[0] has[0] forgotten[0] to[0] give[0] this[0] film[0] a[0] little[0] thing[0] called[0] magic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
such scenes as dancing flubber , a flying car , a basketball team that pretty much sucks flying all around thanks to some carefully placed flubber , and an elaborate ending all fail to amaze , delight , or even cause people to laugh . 	such scenes as dancing flubber , a flying car , a basketball team that pretty much sucks flying all around thanks to some carefully placed flubber , and an elaborate ending all fail to amaze , delight , or even cause people to laugh .	4	-3	 such[0] scenes[0] as[0] dancing[0] flubber[0] a[0] flying[0] car[0] a[0] basketball[0] team[0] that[0] pretty[2] much[0] sucks[-1] flying[0] all[0] around[0] thanks[1] to[0] some[0] carefully[0] placed[0] flubber[0] and[0] an[0] elaborate[0] ending[0] all[0] fail[-2] to[0] amaze[2] delight[2][+1 MultiplePositiveWords] or[0] even[0] cause[0] people[0] to[0] laugh[1] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
i sat there the entire film stone faced , chuckling perhaps twice , and shaking my head at all the bad jokes . 	i sat there the entire film stone faced , chuckling perhaps twice , and shaking my head at all the bad jokes .	3	-2	 i[0] sat[0] there[0] the[0] entire[0] film[0] stone[0] faced[0] chuckling[2] perhaps[0] twice[0] and[0] shaking[-1] my[0] head[0] at[0] all[0] the[0] bad[-1] jokes[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
who could really laugh at a scene where philip enters the wrong classroom and starts teaching chemistry ? 	who could really laugh at a scene where philip enters the wrong classroom and starts teaching chemistry ?	3	-2	 who[0] could[0] really[0] laugh[1][1 LastWordBoosterStrength] at[0] a[0] scene[0] where[0] philip[0] enters[0] the[0] wrong[-1] classroom[0] and[0] starts[0] teaching[0] chemistry[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
didn't think so . 	didn't think so .	1	-1	 didn't[0] think[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it doesn't help that our protagonist is essentially unfunny or even really respectable . 	it doesn't help that our protagonist is essentially unfunny or even really respectable .	4	-1	 it[0] doesn't[0] help[0] that[0] our[0] protagonist[0] is[0] essentially[0] unfunny[0] or[0] even[0] really[0] respectable[2][1 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
philip is not a lovable absent minded professory , just a really dumb man being played by robin williams . 	philip is not a lovable absent minded professory , just a really dumb man being played by robin williams .	1	-3	 philip[0] is[0] not[0] a[0] lovable[0] absent[-1] minded[0] professory[0] just[0] a[0] really[0] dumb[-1][-1 LastWordBoosterStrength] man[0] being[0] played[0] by[0] robin[0] williams[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
williams is a brilliant comic actor . . . okay , a brilliant actor in general , but here he's given very little to do but occasionally get hyper over something , and other times act sad . 	williams is a brilliant comic actor .<br> .<br> .<br> okay , a brilliant actor in general , but here he's given very little to do but occasionally get hyper over something , and other times act sad .	2	-4	 williams[0] is[0] a[0] brilliant[1] comic[0] actor[0] [[Sentence=-1,2=word max, 1-5]] okay[0] a[0] brilliant[1] actor[0] in[0] general[0] but[0] here[0] he's[0] given[0] very[0] little[0] to[0] do[0] but[0] occasionally[0] get[0] hyper[0] over[0] something[0] and[0] other[0] times[0] act[0] sad[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
those times , he's not bad . 	those times , he's not bad .	2	-1	 those[0] times[0] he's[0] not[0] bad[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but what are we supposed to think of a man who's forgotten his wedding thrice ? 	but what are we supposed to think of a man who's forgotten his wedding thrice ?	1	-1	 but[0] what[0] are[0] we[0] supposed[0] to[0] think[0] of[0] a[0] man[0] who's[0] forgotten[0] his[0] wedding[0] thrice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe it was funny and/or respectable in the 60s . . . 	maybe it was funny and/or respectable in the 60s .<br> .<br> .	3	-1	 maybe[0] it[0] was[0] funny[1] and/or[0] respectable[2] in[0] the[0] 60s[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i like disney , and i usually enjoy their films , not only animated but live action , and their recent films ( save for " hercules , " which was good , but not great ) have been worse than lackluster , they've been pathetic . 	i like disney , and i usually enjoy their films , not only animated but live action , and their recent films ( save for " hercules , " which was good , but not great ) have been worse than lackluster , they've been pathetic .	3	-3	 i[0] like[1] disney[0] and[0] i[0] usually[0] enjoy[2] their[0] films[0] not[0] only[0] animated[0] but[0] live[0] action[0] and[0] their[0] recent[0] films[0] save[1] for[0] hercules[0] which[0] was[0] good[1] but[0] not[0] great[2][NegatedDueToPreviousWord] have[0] been[0] worse[-2] than[0] lackluster[0] they've[0] been[0] pathetic[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 " jungle 2 jungle " is probably the worst film i saw last year . 	 " jungle 2 jungle " is probably the worst film i saw last year .	1	-3	 jungle[0] 2[0] jungle[0] is[0] probably[0] the[0] worst[-2] film[0] i[0] saw[0] last[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " flubber " 's probably second . 	 " flubber " 's probably second .	1	-1	 flubber[0] 's[0] probably[0] second[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what do they need to do ? 	what do they need to do ?	1	-1	 what[0] do[0] they[0] need[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps create something new . 	perhaps create something new .	1	-1	 perhaps[0] create[0] something[0] new[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get writers who can write something that's universally entertaining . 	get writers who can write something that's universally entertaining .	1	-1	 get[0] writers[0] who[0] can[0] write[0] something[0] that's[0] universally[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
films like " the parent trap " and " mary poppins " are films that are live action ( or in the latter case a mix of both ) , but even i can still watch them because they're not only written to be magical to children , but to be fun to adults . 	films like " the parent trap " and " mary poppins " are films that are live action ( or in the latter case a mix of both ) , but even i can still watch them because they're not only written to be magical to children , but to be fun to adults .	2	-2	 films[0] like[1] the[0] parent[0] trap[-1] and[0] mary[0] poppins[0] are[0] films[0] that[0] are[0] live[0] action[0] or[0] in[0] the[0] latter[0] case[0] a[0] mix[0] of[0] both[0] but[0] even[0] i[0] can[0] still[0] watch[0] them[0] because[0] they're[0] not[0] only[0] written[0] to[0] be[0] magical[0] to[0] children[0] but[0] to[0] be[0] fun[1] to[0] adults[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what's more torturous that taking a child to a film that insults you and annoys you at every turn ? 	what's more torturous that taking a child to a film that insults you and annoys you at every turn ?	1	-3	 what's[0] more[0] torturous[-1] that[0] taking[0] a[0] child[0] to[0] a[0] film[0] that[0] insults[-2] you[0] and[0] annoys[-2] you[0] at[0] every[0] turn[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and my god , couldn't they have done something else with edie mcclurg ? 	and my god , couldn't they have done something else with edie mcclurg ?	1	-1	 and[0] my[0] god[0] couldn't[0] they[0] have[0] done[0] something[0] else[0] with[0] edie[0] mcclurg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
