a suave , cool , collected , rich , uptight bad guy = cliche . 	Translation	Positive	Negative	EmotionRationale
and where do they get off trying to make us emotionally attached to her ? 	and where do they get off trying to make us emotionally attached to her ?	1	-1	 and[0] where[0] do[0] they[0] get[0] off[0] trying[0] to[0] make[0] us[0] emotionally[0] attached[0] to[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here's someone that spent their time robbing banks , and now as she heads onto the street , we're supposed to feel sorry for her . 	here's someone that spent their time robbing banks , and now as she heads onto the street , we're supposed to feel sorry for her .	1	-2	 here's[0] someone[0] that[0] spent[0] their[0] time[0] robbing[0] banks[0] and[0] now[0] as[0] she[0] heads[0] onto[0] the[0] street[0] we're[0] supposed[0] to[0] feel[0] sorry[-1] for[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as she confronts her son , who doesn't even know who she is , are we supposed to break into tears ? ? 	as she confronts her son , who doesn't even know who she is , are we supposed to break into tears ?<br> ?	1	-4	 as[0] she[0] confronts[-2] her[0] son[0] who[0] doesn't[0] even[0] know[0] who[0] she[0] is[0] are[0] we[0] supposed[0] to[0] break[0] into[0] tears[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
especially when neither basinger nor zach english , who plays the kid , has any depth or emotional-radiance whatsoever . 	especially when neither basinger nor zach english , who plays the kid , has any depth or emotional-radiance whatsoever .	3	-2	 especially[0] when[0] neither[0] basinger[0] nor[0] zach[0] english[0] who[0] plays[1] the[0] kid[0] has[0] any[0] depth[0] or[0] emotional[-1] radiance[2] whatsoever[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i suppose i should mention val kilmer . 	i suppose i should mention val kilmer .	1	-1	 i[0] suppose[0] i[0] should[0] mention[0] val[0] kilmer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yeah , that's right - he's in it ! 	yeah , that's right - he's in it !	1	-1	 yeah[0] that's[0] right[0] he's[0] in[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
quite sadly too , seeing as how i can discuss everything about the movie and never mention his name . 	quite sadly too , seeing as how i can discuss everything about the movie and never mention his name .	1	-2	 quite[0] sadly[-1] too[0] seeing[0] as[0] how[0] i[0] can[0] discuss[0] everything[0] about[0] the[0] movie[0] and[0] never[0] mention[0] his[0] name[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and he got second billing ! 	and he got second billing !	1	-1	 and[0] he[0] got[0] second[0] billing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to be fair , i will admit that kilmer had potential in his role as the bumbling criminal wannabe j . t . 	to be fair , i will admit that kilmer had potential in his role as the bumbling criminal wannabe j .<br> t .	1	-2	 to[0] be[0] fair[0] i[0] will[0] admit[0] that[0] kilmer[0] had[0] potential[0] in[0] his[0] role[0] as[0] the[0] bumbling[0] criminal[-1] wannabe[0] j[0] [[Sentence=-2,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
barker . 	barker .	1	-1	 barker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately the script doesn't allow much room for improvement , and when his character is used like bookends ( he never shows up in the middle of the film ! ) , 	unfortunately the script doesn't allow much room for improvement , and when his character is used like bookends ( he never shows up in the middle of the film !<br> ) ,	2	-2	 unfortunately[-1] the[0] script[0] doesn't[0] allow[0] much[0] room[0] for[0] improvement[1] and[0] when[0] his[0] character[0] is[0] used[0] like[1] bookends[0] he[0] never[0] shows[0] up[0] in[0] the[0] middle[0] of[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we have no time to appreciate what he might have brought to this project . 	we have no time to appreciate what he might have brought to this project .	2	-1	 we[0] have[0] no[0] time[0] to[0] appreciate[1] what[0] he[0] might[0] have[0] brought[0] to[0] this[0] project[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the real mccoy just can't keep it's head above water , and soon , * very * soon , sinks into a cliched mess of movie . 	the real mccoy just can't keep it's head above water , and soon , * very * soon , sinks into a cliched mess of movie .	1	-1	 the[0] real[0] mccoy[0] just[0] can't[0] keep[0] it's[0] head[0] above[0] water[0] and[0] soon[0] very[0] soon[0] sinks[0] into[0] a[0] cliched[0] mess[0] of[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actors are like dummies being moved about by an unenthusiastic puppeteer , and the dialogue , particularly schmidt's trite dialogue , falls like the niagra . 	the actors are like dummies being moved about by an unenthusiastic puppeteer , and the dialogue , particularly schmidt's trite dialogue , falls like the niagra .	2	-3	 the[0] actors[0] are[0] like[1] dummies[0] being[0] moved[0] about[0] by[0] an[0] unenthusiastic[0] puppeteer[0] and[0] the[0] dialogue[0] particularly[0] schmidt's[0] trite[-2] dialogue[0] falls[0] like[1] the[0] niagra[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this is definitely one to avoid , folks . 	this is definitely one to avoid , folks .	1	-2	 this[0] is[0] definitely[0] one[0] to[0] avoid[-1] folks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the real mccoy is anything but ! 	the real mccoy is anything but !	1	-1	 the[0] real[0] mccoy[0] is[0] anything[0] but[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
