my inner flag was at half-mast last year when nick at nite pulled " dragnet " reruns off the air . 	Translation	Positive	Negative	EmotionRationale
 ( nearly all of it belongs in the bad movie hall of fame ) , but i tried to include some of the more noteworthy lines , like one from the scene where webb unwinds from a hard day's work by going to the local bar ( where he orders a tomato juice ) . 	 ( nearly all of it belongs in the bad movie hall of fame ) , but i tried to include some of the more noteworthy lines , like one from the scene where web unwinds from a hard day's work by going to the local bar ( where he orders a tomato juice ) .	2	-2	 nearly[0] all[0] of[0] it[0] belongs[0] in[0] the[0] bad[-1] movie[0] hall[0] of[0] fame[0] but[0] i[0] tried[0] to[0] include[0] some[0] of[0] the[0] more[0] noteworthy[0] lines[0] like[1] one[0] from[0] the[0] scene[0] where[0] webb/web[0] unwinds[0] from[0] a[0] hard[0] day's[0] work[0] by[0] going[0] to[0] the[0] local[0] bar[0] where[0] he[0] orders[0] a[0] tomato[0] juice[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he meets a woman who , coincidentally , also orders tomato juice but walks away from a typically-stimulating conversation with webb to flirt with his arch-rival , another marine d . i . 	he meets a woman who , coincidentally , also orders tomato juice but walks away from a typically-stimulating conversation with web to flirt with his arch-rival , another marine d .<br> i .	2	-2	 he[0] meets[0] a[0] woman[0] who[0] coincidentally[0] also[0] orders[0] tomato[0] juice[0] but[0] walks[0] away[0] from[0] a[0] typically[0] stimulating[0] conversation[0] with[0] webb/web[0] to[0] flirt[1] with[0] his[0] arch[0] rival[-1] another[0] marine[0] d[0] [[Sentence=-2,2=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
webb marches over to the table , gets up in her face and says , " just what kind of a dame do you think you are ? " 	web marches over to the table , gets up in her face and says , " just what kind of a dame do you think you are ?<br> "	2	-1	 webb/web[0] marches[0] over[0] to[0] the[0] table[0] gets[0] up[0] in[0] her[0] face[0] and[0] says[0] just[0] what[0] kind[1] of[0] a[0] dame[0] do[0] you[0] think[0] you[0] are[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bogart he ain't . 	bogart he ain't .	1	-1	 bogart[0] he[0] ain't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other d . i . 	the other d .<br> i .	1	-1	 the[0] other[0] d[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gets one of the few memorable non-webb lines when he confesses to the girl , " he's a damn good d . i . 	gets one of the few memorable non-web lines when he confesses to the girl , " he's a damn good d .<br> i .	2	-2	 gets[0] one[0] of[0] the[0] few[0] memorable[0] non[0] webb/web[0] lines[0] when[0] he[0] confesses[-1] to[0] the[0] girl[0] he's[0] a[0] damn[-1] good[1] d[0] [[Sentence=-2,2=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
 . . . 	 .<br> .<br> .	1	-1	[[[0,0 max of sentences]]]
i guess i'm just a little jealous . " 	i guess i'm just a little jealous .<br> "	1	-3	 i[0] guess[0] i'm[0] just[0] a[0] little[0] jealous[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
join the club , we're all jealous of jack webb's way with women , which is showcased even more amusingly in a later scene , as webb finds his way to the woman's place of employment , a lingerie store , and stands around looking incredibly flustered at the negligees on display . 	join the club , we're all jealous of jack webb's way with women , which is showcased even more amusingly in a later scene , as web finds his way to the woman's place of employment , a lingerie store , and stands around looking incredibly flustered at the negligees on display .	2	-3	 join[0] the[0] club[0] we're[0] all[0] jealous[-2] of[0] jack[0] webb's[0] way[0] with[0] women[0] which[0] is[0] showcased[0] even[0] more[0] amusingly[1] in[0] a[0] later[0] scene[0] as[0] webb/web[0] finds[0] his[0] way[0] to[0] the[0] woman's[0] place[0] of[0] employment[0] a[0] lingerie[0] store[0] and[0] stands[0] around[0] looking[0] incredibly[0] flustered[0] at[0] the[0] negligees[0] on[0] display[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " you expect me to talk to you . . . 	 " you expect me to talk to you .<br> .<br> .	1	-1	 you[0] expect[0] me[0] to[0] talk[0] to[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in _here_ ? ! " he exclaims , no doubt intimidated by the barrage of bras . 	in _here_ ?<br> !<br> " he exclaims , no doubt intimidated by the barrage of bras .	1	-4	 in[0] _here_[0] [[Sentence=-1,1=word max, 1-5]] he[0] exclaims[0] no[0] doubt[-1] intimidated[-3] by[0] the[0] barrage[0] of[0] bras[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the woman goes off to help a customer , leaving webb to fend for himself once again in this palace of estrogen . 	the woman goes off to help a customer , leaving web to fend for himself once again in this palace of estrogen .	1	-1	 the[0] woman[0] goes[0] off[0] to[0] help[0] a[0] customer[0] leaving[0] webb/web[0] to[0] fend[0] for[0] himself[0] once[0] again[0] in[0] this[0] palace[0] of[0] estrogen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a little girl spots him in the store and demands , " what are you doing in here . . . you're a man , aren't you ? " 	a little girl spots him in the store and demands , " what are you doing in here .<br> .<br> .<br> you're a man , aren't you ?<br> "	1	-1	 a[0] little[0] girl[0] spots[0] him[0] in[0] the[0] store[0] and[0] demands[0] what[0] are[0] you[0] doing[0] in[0] here[0] [[Sentence=-1,1=word max, 1-5]] you're[0] a[0] man[0] aren't[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he doesn't reply , but you know he's thinking in his head , " what an odd species of human -- so small . 	he doesn't reply , but you know he's thinking in his head , " what an odd species of human - so small .	1	-1	 he[0] doesn't[0] reply[0] but[0] you[0] know[0] he's[0] thinking[0] in[0] his[0] head[0] what[0] an[0] odd[0] species[0] of[0] human[0] so[0] small[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
must be one of those children everyone's been talking about . " 	must be one of those children everyone's been talking about .<br> "	1	-1	 must[0] be[0] one[0] of[0] those[0] children[0] everyone's[0] been[0] talking[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this poor girl , scarred for life by her early encounter with jack webb , would later swear off the male gender entirely , just one of the many lesbian conversions he's responsible for . 	this poor girl , scarred for life by her early encounter with jack web , would later swear off the male gender entirely , just one of the many lesbian conversions he's responsible for .	1	-2	 this[0] poor[-1] girl[0] scarred[0] for[0] life[0] by[0] her[0] early[0] encounter[0] with[0] jack[0] webb/web[0] would[0] later[0] swear[-1] off[0] the[0] male[0] gender[0] entirely[0] just[0] one[0] of[0] the[0] many[0] lesbian[0] conversions[0] he's[0] responsible[0] for[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie doesn't focus too closely on webb's romance , it also continues the owens subplot with probably the most memorable scene in the entire movie , where webb forces his platoon to spend the entire night searching the ground for a flea owens killed during one of their drills . 	the movie doesn't focus too closely on webb's romance , it also continues the owens subplot with probably the most memorable scene in the entire movie , where web forces his platoon to spend the entire night searching the ground for a flea owens killed during one of their drills .	4	-4	 the[0] movie[0] doesn't[0] focus[0] too[0] closely[0] on[0] webb's[0] romance[3] it[0] also[0] continues[0] the[0] owens[0] subplot[0] with[0] probably[0] the[0] most[0] memorable[0] scene[0] in[0] the[0] entire[0] movie[0] where[0] webb/web[0] forces[0] his[0] platoon[0] to[0] spend[0] the[0] entire[0] night[0] searching[0] the[0] ground[0] for[0] a[0] flea[0] owens[0] killed[-3] during[0] one[0] of[0] their[0] drills[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
after two privates hatch a scheme to present webb with the wrong dead flea , webb asks owens , " was that flea you killed a male or female ? " 	after two privates hatch a scheme to present web with the wrong dead flea , web asks owens , " was that flea you killed a male or female ?<br> "	1	-4	 after[0] two[0] privates[0] hatch[0] a[0] scheme[0] to[0] present[0] webb/web[0] with[0] the[0] wrong[-1] dead[-2] flea[0] webb/web[0] asks[0] owens[0] was[0] that[0] flea[0] you[0] killed[-3] a[0] male[0] or[0] female[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
owens replies , " a male , sir . " 	owens replies , " a male , sir .<br> "	1	-1	 owens[0] replies[0] a[0] male[0] sir[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
webb yells to the platoon , " this ain't the one ! " 	web yells to the platoon , " this ain't the one !<br> "	1	-1	 webb/web[0] yells[0] to[0] the[0] platoon[0] this[0] ain't[0] the[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that such a scene ( along with the rest of the movie ) was intended to be taken seriously defies comment . 	that such a scene ( along with the rest of the movie ) was intended to be taken seriously defies comment .	1	-1	 that[0] such[0] a[0] scene[0] along[0] with[0] the[0] rest[0] of[0] the[0] movie[0] was[0] intended[0] to[0] be[0] taken[0] seriously[0] defies[0] comment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but we know it was all presented with the utmost seriousness when a title card at the end thanks the marines not only for their cooperation in the making of the d . i . , but for iwo jima , guadalcanal and every other major battle of the first half of the 20th century . 	but we know it was all presented with the utmost seriousness when a title card at the end thanks the marines not only for their cooperation in the making of the d .<br> i .<br> , but for iwo jima , guadalcanal and every other major battle of the first half of the 20th century .	2	-2	 but[0] we[0] know[0] it[0] was[0] all[0] presented[0] with[0] the[0] utmost[0] seriousness[-1] when[0] a[0] title[0] card[0] at[0] the[0] end[0] thanks[1] the[0] marines[0] not[0] only[0] for[0] their[0] cooperation[0] in[0] the[0] making[0] of[0] the[0] d[0] [[Sentence=-2,2=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] but[0] for[0] iwo[0] jima[0] guadalcanal[0] and[0] every[0] other[0] major[0] battle[-1] of[0] the[0] first[0] half[0] of[0] the[0] 20th[0] century[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
webb held the military in such high esteem that all the soldiers in the movie ( with the exception of owens ) were played by actual marines . 	web held the military in such high esteem that all the soldiers in the movie ( with the exception of owens ) were played by actual marines .	1	-1	 webb/web[0] held[0] the[0] military[0] in[0] such[0] high[0] esteem[0] that[0] all[0] the[0] soldiers[0] in[0] the[0] movie[0] with[0] the[0] exception[0] of[0] owens[0] were[0] played[0] by[0] actual[0] marines[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
someone wanting to parody this movie couldn't do a more comical job than webb did . 	someone wanting to parody this movie couldn't do a more comical job than web did .	1	-1	 someone[0] wanting[0] to[0] parody[0] this[0] movie[0] couldn't[0] do[0] a[0] more[0] comical[0] job[0] than[0] webb/web[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it makes it all the more ironic ( like raeeyain on your wedding day ) that the man had no sense of humor himself . 	it makes it all the more ironic ( like raeeyain on your wedding day ) that the man had no sense of humor himself .	3	-2	 it[0] makes[0] it[0] all[0] the[0] more[0] ironic[-1] like[1] raeeyain[0] on[0] your[0] wedding[0] day[0] that[0] the[0] man[0] had[0] no[0] sense[0] of[0] humor[2] himself[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there's a scene in the movie where the guys are on their break time discussing something and one of them breaks into laughter . 	there's a scene in the movie where the guys are on their break time discussing something and one of them breaks into laughter .	2	-1	 there's[0] a[0] scene[0] in[0] the[0] movie[0] where[0] the[0] guys[0] are[0] on[0] their[0] break[0] time[0] discussing[0] something[0] and[0] one[0] of[0] them[0] breaks[0] into[0] laughter[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
webb bursts in the room and shouts , " what did i tell you about laughing ? ! " 	web bursts in the room and shouts , " what did i tell you about laughing ?<br> !<br> "	2	-1	 webb/web[0] bursts[0] in[0] the[0] room[0] and[0] shouts[0] what[0] did[0] i[0] tell[0] you[0] about[0] laughing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to which the private replies , " sir , only nine-year-old girls laugh , sir ! " 	to which the private replies , " sir , only nine-year-old girls laugh , sir !<br> "	2	-1	 to[0] which[0] the[0] private[0] replies[0] sir[0] only[0] nine[0] year[0] old[0] girls[0] laugh[1] sir[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and let me tell you , i was as happy as a nine-year- old girl while watching this movie . 	and let me tell you , i was as happy as a nine-year- old girl while watching this movie .	2	-1	 and[0] let[0] me[0] tell[0] you[0] i[0] was[0] as[0] happy[1] as[0] a[0] nine[0] year[0] old[0] girl[0] while[0] watching[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
