late in down to you , the lead female character ( julia stiles ) states her greatest fear is having an " artificial conversation " with her boyfriend ( freddie prinze jr . ) . 	Translation	Positive	Negative	EmotionRationale
stiles' best friend ( rosario dawson ) is a pot head , prinze's roommate ( shawn hatosy ) is a girl crazy fool who can't meet women , and then there are the porn stars ( zak orth and selma blair ) . 	stiles' best friend ( rosario dawson ) is a pot head , prinze's roommate ( shawn hatosy ) is a girl crazy fool who can't meet women , and then there are the porn stars ( zak orth and selma blair ) .	2	-2	 stiles'[0] best[1] friend[1] rosario[0] dawson[0] is[0] a[0] pot[0] head[0] prinze's[0] roommate[0] shawn[0] hatosy[0] is[0] a[0] girl[0] crazy[-1] fool[-1] who[0] can't[0] meet[0] women[0] and[0] then[0] there[0] are[0] the[0] porn[0] stars[0] zak[0] orth[0] and[0] selma[0] blair[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he is one of those famous porn stars who is frequently interviewed on television , does the college lecture circuit , and stars in high budget costume epic porns that are shot on film . 	he is one of those famous porn stars who is frequently interviewed on television , does the college lecture circuit , and stars in high budget costume epic porns that are shot on film .	1	-2	 he[0] is[0] one[0] of[0] those[0] famous[0] porn[0] stars[0] who[0] is[0] frequently[0] interviewed[0] on[0] television[0] does[0] the[0] college[0] lecture[0] circuit[0] and[0] stars[0] in[0] high[0] budget[0] costume[0] epic[0] porns[0] that[0] are[0] shot[-1] on[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you know , the average porn star . 	you know , the average porn star .	1	-1	 you[0] know[0] the[0] average[0] porn[0] star[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the costume epic idea gives him a reason to appear in a different ridiculous outfit everytime he's on screen , the porn angle exists just so there can be a couple of stupid sex jokes . 	the costume epic idea gives him a reason to appear in a different ridiculous outfit everytime he's on screen , the porn angle exists just so there can be a couple of stupid sex jokes .	2	-3	 the[0] costume[0] epic[0] idea[0] gives[0] him[0] a[0] reason[0] to[0] appear[0] in[0] a[0] different[0] ridiculous[-2] outfit[0] everytime[0] he's[0] on[0] screen[0] the[0] porn[0] angle[0] exists[0] just[0] so[0] there[0] can[0] be[0] a[0] couple[0] of[0] stupid[-1] sex[0] jokes[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
she is a porn star mostly so we know she's slutty , so her very existence will make stiles jealous and prinze tempted . 	she is a porn star mostly so we know she's slutty , so her very existence will make stiles jealous and prinze tempted .	1	-3	 she[0] is[0] a[0] porn[0] star[0] mostly[0] so[0] we[0] know[0] she's[0] slutty[-2] so[0] her[0] very[0] existence[0] will[0] make[0] stiles[0] jealous[-2] and[0] prinze[0] tempted[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
attempts at drama ( which means julia is going to cry ) include a pregnancy scare and the big break up . 	attempts at drama ( which means julia is going to cry ) include a pregnancy scare and the big break up .	1	-4	 attempts[0] at[0] drama[0] which[0] means[0] julia[0] is[0] going[0] to[0] cry[-3] include[0] a[0] pregnancy[0] scare[-3] and[0] the[0] big[0] break[0] up[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
these characters are so insipid only the most forgiving viewer would be manipulated by these weak scenes . 	these characters are so insipid only the most forgiving viewer would be manipulated by these weak scenes .	2	-2	 these[0] characters[0] are[0] so[0] insipid[0] only[0] the[0] most[0] forgiving[1] viewer[0] would[0] be[0] manipulated[-1] by[0] these[0] weak[-1] scenes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what happened here ? 	what happened here ?	1	-1	 what[0] happened[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cast is full of likable , promising , young actors ( stiles especially seems to be going places ) . 	the cast is full of likable , promising , young actors ( stiles especially seems to be going places ) .	2	-1	 the[0] cast[0] is[0] full[0] of[0] likable[0] promising[1] young[0] actors[0] stiles[0] especially[0] seems[0] to[0] be[0] going[0] places[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
writer/director kris isacsson has simply given them material so weak not even seasoned pros could pull it off . 	writer/director kris isacsson has simply given them material so weak not even seasoned pros could pull it off .	1	-2	 writer/director[0] kris[0] isacsson[0] has[0] simply[0] given[0] them[0] material[0] so[0] weak[-1] not[0] even[0] seasoned[0] pros[0] could[0] pull[0] it[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact the whole film feels like a reworking of last year's extremely unpleasant the story of us , for teen audiences . 	in fact the whole film feels like a reworking of last year's extremely unpleasant the story of us , for teen audiences .	2	-5	 in[0] fact[0] the[0] whole[0] film[0] feels[0] like[1] a[0] reworking[0] of[0] last[0] year's[0] extremely[0] unpleasant[-2][-2 LastWordBoosterStrength] the[0] story[0] of[0] us[0] for[0] teen[0] audiences[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
the direction is film-school-grad obvious . 	the direction is film-school-grad obvious .	1	-1	 the[0] direction[0] is[0] film[0] school[0] grad[0] obvious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's stylish in a hugely self conscious way which throws in split screen , a pointless parody of " cops , " characters walking into the flashbacks of other characters , and a hilariously cheesy airport meeting between prinze and stiles where all the extras move in fast motion while the couple moves in extreme slow motion . 	it's stylish in a hugely self conscious way which throws in split screen , a pointless parody of " cops , " characters walking into the flashbacks of other characters , and a hilariously cheesy airport meeting between prinze and stiles where all the extras move in fast motion while the couple moves in extreme slow motion .	3	-2	 it's[0] stylish[0] in[0] a[0] hugely[0] self[0] conscious[0] way[0] which[0] throws[0] in[0] split[0] screen[0] a[0] pointless[-1] parody[0] of[0] cops[0] characters[0] walking[0] into[0] the[0] flashbacks[0] of[0] other[0] characters[0] and[0] a[0] hilariously[2] cheesy[0] airport[0] meeting[0] between[0] prinze[0] and[0] stiles[0] where[0] all[0] the[0] extras[0] move[0] in[0] fast[0] motion[0] while[0] the[0] couple[0] moves[0] in[0] extreme[0] slow[0] motion[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
plus , the whole story is told flashback style , narrated by prinze and stiles directly addressing the camera . 	plus , the whole story is told flashback style , narrated by prinze and stiles directly addressing the camera .	1	-1	 plus[0] the[0] whole[0] story[0] is[0] told[0] flashback[0] style[0] narrated[0] by[0] prinze[0] and[0] stiles[0] directly[0] addressing[0] the[0] camera[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the second film in a row ( following wing commander ) starring freddie prinze jr . which should have premiered on the aisles of the local blockbuster but was likely saved from that fate due to the fluke success of she's all that . 	this is the second film in a row ( following wing commander ) starring freddie prinze jr .<br> which should have premiered on the aisles of the local blockbuster but was likely saved from that fate due to the fluke success of she's all that .	3	-2	 this[0] is[0] the[0] second[0] film[0] in[0] a[0] row[0] following[0] wing[0] commander[0] starring[0] freddie[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] which[0] should[0] have[0] premiered[0] on[0] the[0] aisles[0] of[0] the[0] local[0] blockbuster[-1] but[0] was[0] likely[0] saved[1] from[0] that[0] fate[0] due[0] to[0] the[0] fluke[0] success[2] of[0] she's[0] all[0] that[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if he doesn't start making better choices fast his future films won't be so lucky . 	if he doesn't start making better choices fast his future films won't be so lucky .	2	-1	 if[0] he[0] doesn't[0] start[0] making[0] better[0] choices[0] fast[0] his[0] future[0] films[0] won't[0] be[0] so[0] lucky[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
