capsule : not as bad a sequel as crow 2 or batman & robin , but still horribly putrid , cheesy and ill-conceived . 	Translation	Positive	Negative	EmotionRationale
but by far his worst move was the way he treated jumping . 	but by far his worst move was the way he treated jumping .	1	-3	 but[0] by[0] far[0] his[0] worst[-2] move[0] was[0] the[0] way[0] he[0] treated[0] jumping[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
apparantly , everybody can now fly . 	apparantly , everybody can now fly .	1	-1	 apparantly[0] everybody[0] can[0] now[0] fly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hell , i'm all for the occaisional gravity defying flip kick and whatnot , but not when it happens every few minutes , and is done so poorly . 	hell , i'm all for the occaisional gravity defying flip kick and whatnot , but not when it happens every few minutes , and is done so poorly .	1	-2	 hell[-1] i'm[0] all[0] for[0] the[0] occaisional[0] gravity[0] defying[0] flip[0] kick[-1] and[0] whatnot[0] but[0] not[0] when[0] it[0] happens[0] every[0] few[0] minutes[0] and[0] is[0] done[0] so[0] poorly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
better jumping and acrobatics has been seen in xena : warrior princess . 	better jumping and acrobatics has been seen in xena : warrior princess .	1	-1	 better[0] jumping[0] and[0] acrobatics[0] has[0] been[0] seen[0] in[0] xena[0] warrior[0] princess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in short , they should have gotten paul anderson back . 	in short , they should have gotten paul anderson back .	1	-1	 in[0] short[0] they[0] should[0] have[0] gotten[0] paul[0] anderson[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or at least let robin shou direct . . . 	or at least let robin shou direct .<br> .<br> .	1	-1	 or[0] at[0] least[0] let[0] robin[0] shou[0] direct[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b . ) unlike the first one , whose sfx were vibrant and somewhat realistic , mk : a's special effects are bland , fake looking , and overall just plain bad . 	b .<br> ) unlike the first one , whose sfx were vibrant and somewhat realistic , mk : a's special effects are bland , fake looking , and overall just plain bad .	2	-2	 b[0] [[Sentence=-1,1=word max, 1-5]] unlike[0] the[0] first[0] one[0] whose[0] sfx[0] were[0] vibrant[0] and[0] somewhat[0] realistic[0] mk[0] a's[0] special[1] effects[0] are[0] bland[-1] fake[-1] looking[0] and[0] overall[0] just[0] plain[0] bad[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i counted at least half a dozen times that blue-screening was painfully obvious . 	i counted at least half a dozen times that blue-screening was painfully obvious .	1	-4	 i[0] counted[0] at[0] least[0] half[0] a[0] dozen[0] times[0] that[0] blue[0] screening[0] was[0] painfully[-3] obvious[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
had this movie been made in the 80's , it would have been ground-breaking . 	had this movie been made in the 80's , it would have been ground-breaking .	1	-1	 had[0] this[0] movie[0] been[0] made[0] in[0] the[0] 80's[0] it[0] would[0] have[0] been[0] ground[0] breaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but in today's industry , it doesn't even look finished . 	but in today's industry , it doesn't even look finished .	1	-1	 but[0] in[0] today's[0] industry[0] it[0] doesn't[0] even[0] look[0] finished[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c . ) now for the _really_ bad parts . 	c .<br> ) now for the _really_ bad parts .	1	-2	 c[0] [[Sentence=-1,1=word max, 1-5]] now[0] for[0] the[0] _really_[0] bad[-1] parts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i admit , i'm an avid fan of the mortal kombat series . 	i admit , i'm an avid fan of the mortal kombat series .	1	-1	 i[0] admit[0] i'm[0] an[0] avid[0] fan[0] of[0] the[0] mortal[0] kombat[0] series[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the games are amusing diversions , an easy way to work off stress and anger . 	the games are amusing diversions , an easy way to work off stress and anger .	2	-4	 the[0] games[0] are[0] amusing[1] diversions[0] an[0] easy[0] way[0] to[0] work[0] off[0] stress[-1] and[0] anger[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the first movie was a mindlessly fun thrillride . 	the first movie was a mindlessly fun thrillride .	4	-1	 the[0] first[0] movie[0] was[0] a[0] mindlessly[0] fun[1] thrillride[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this could have been a really cool movie . 	this could have been a really cool movie .	3	-1	 this[0] could[0] have[0] been[0] a[0] really[0] cool[1][1 LastWordBoosterStrength] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it isn't . 	it isn't .	1	-1	 it[0] isn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the writers apparantly deemed it necessary to lower the target audience from teens to preschoolers . 	the writers apparantly deemed it necessary to lower the target audience from teens to preschoolers .	1	-1	 the[0] writers[0] apparantly[0] deemed[0] it[0] necessary[0] to[0] lower[0] the[0] target[0] audience[0] from[0] teens[0] to[0] preschoolers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the plot elements are just plain stupid . 	some of the plot elements are just plain stupid .	1	-2	 some[0] of[0] the[0] plot[0] elements[0] are[0] just[0] plain[0] stupid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how stupid ? 	how stupid ?	1	-2	 how[0] stupid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
take , for instance , how our heroes move around . 	take , for instance , how our heroes move around .	3	-1	 take[0] for[0] instance[0] how[0] our[0] heroes[2] move[0] around[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they use giants spheres the roll around underground , supposedly at thousands of miles per hour . . . oh 	they use giants spheres the roll around underground , supposedly at thousands of miles per hour .<br> .<br> .<br> oh	1	-1	 they[0] use[0] giants[0] spheres[0] the[0] roll[0] around[0] underground[0] supposedly[0] at[0] thousands[0] of[0] miles[0] per[0] hour[0] [[Sentence=-1,1=word max, 1-5]] oh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boy . . . 	boy .<br> .<br> .	1	-1	 boy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even worse is the treatment of secondary characters . 	even worse is the treatment of secondary characters .	1	-3	 even[0] worse[-2] is[0] the[0] treatment[0] of[0] secondary[0] characters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
blink and you'll miss 'em . 	blink and you'll miss 'em .	2	-2	 blink[0] and[0] you'll[0] miss[-1] 'em[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
most characters had more depth in the video games . 	most characters had more depth in the video games .	1	-1	 most[0] characters[0] had[0] more[0] depth[0] in[0] the[0] video[0] games[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you thought batman & robin was bad about this , you ain't seen nothin' yet . 	if you thought batman & robin was bad about this , you ain't seen nothin' yet .	1	-2	 if[0] you[0] thought[0] batman[0] &[0] robin[0] was[0] bad[-1] about[0] this[0] you[0] ain't[0] seen[0] nothin'[0] yet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a good 75% of the characters are introduced , kick somebody around a bit , then either die or are forgotten about . 	a good 75% of the characters are introduced , kick somebody around a bit , then either die or are forgotten about .	2	-2	 a[0] good[1] 75%[0] of[0] the[0] characters[0] are[0] introduced[0] kick[-1] somebody[0] around[0] a[0] bit[0] then[0] either[0] die[0] or[0] are[0] forgotten[0] about[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's no explanation at all for this . 	there's no explanation at all for this .	1	-1	 there's[0] no[0] explanation[0] at[0] all[0] for[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and for the final blasphemy , the fight that all the fans were waiting rabidly for , the fight hyped to be the most intricate of the movie , lasted about 3 minutes and then just sort of . . . ended . 	and for the final blasphemy , the fight that all the fans were waiting rabidly for , the fight hyped to be the most intricate of the movie , lasted about 3 minutes and then just sort of .<br> .<br> .<br> ended .	1	-3	 and[0] for[0] the[0] final[0] blasphemy[0] the[0] fight[-2] that[0] all[0] the[0] fans[0] were[0] waiting[0] rabidly[0] for[0] the[0] fight[-2] hyped[0] to[0] be[0] the[0] most[0] intricate[0] of[0] the[0] movie[0] lasted[0] about[0] 3[0] minutes[0] and[0] then[0] just[0] sort[0] of[0] [[Sentence=-3,1=word max, 1-5]] ended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
it almost made me weep . 	it almost made me weep .	1	-3	 it[0] almost[0] made[0] me[0] weep[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to sum it all up , rent it on video , and fast-forward through everything except the fight scenes . 	to sum it all up , rent it on video , and fast-forward through everything except the fight scenes .	1	-3	 to[0] sum[0] it[0] all[0] up[0] rent[0] it[0] on[0] video[0] and[0] fast[0] forward[0] through[0] everything[0] except[0] the[0] fight[-2] scenes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
