the high school comedy seems to be a hot genre of the moment . 	Translation	Positive	Negative	EmotionRationale
thinking quickly , courtney offers fern a once-in-a-lifetime chance . 	thinking quickly , courtney offers fern a once-in-a-lifetime chance .	1	-1	 thinking[0] quickly[0] courtney[0] offers[0] fern[0] a[0] once[0] in[0] a[0] lifetime[0] chance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after a quick makeover , fern is transformed into vylette , the beautiful " new girl " at school , and a full-fledged member of the popular crowd . 	after a quick makeover , fern is transformed into vylette , the beautiful " new girl " at school , and a full-fledged member of the popular crowd .	3	-1	 after[0] a[0] quick[0] makeover[0] fern[0] is[0] transformed[0] into[0] vylette[0] the[0] beautiful[2] new[0] girl[0] at[0] school[0] and[0] a[0] full[0] fledged[0] member[0] of[0] the[0] popular[0] crowd[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
does this mean that popularity is the key to getting away with murder ? 	does this mean that popularity is the key to getting away with murder ?	2	-4	 does[0] this[0] mean[0] that[0] popularity[1] is[0] the[0] key[0] to[0] getting[0] away[0] with[0] murder[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
or will this finely honed plan crack over time ? 	or will this finely honed plan crack over time ?	1	-1	 or[0] will[0] this[0] finely[0] honed[0] plan[0] crack[0] over[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jawbreaker is obviously attempting to be the heathers of its generation , and failing miserably , i might add . 	jawbreaker is obviously attempting to be the heathers of its generation , and failing miserably , i might add .	1	-4	 jawbreaker[0] is[0] obviously[0] attempting[0] to[0] be[0] the[0] heathers[0] of[0] its[0] generation[0] and[0] failing[-2] miserably[-2][-1 MultiplePositiveWords] i[0] might[0] add[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it manages to capture the mix of murder and teen social observations , but misses three crucial elements : sharp dialogue , witty characters and the much-needed humor . 	it manages to capture the mix of murder and teen social observations , but misses three crucial elements : sharp dialogue , witty characters and the much-needed humor .	3	-4	 it[0] manages[0] to[0] capture[-1] the[0] mix[0] of[0] murder[-3] and[0] teen[0] social[0] observations[0] but[0] misses[-2] three[0] crucial[0] elements[0] sharp[0] dialogue[0] witty[0] characters[0] and[0] the[0] much[0] needed[0] humor[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it is possible that jawbreaker might have succeeded in being ( darkly ) humorous if it wasn't shackled to its dead-weight plot . 	it is possible that jawbreaker might have succeeded in being ( darkly ) humorous if it wasn't shackled to its dead-weight plot .	3	-3	 it[0] is[0] possible[0] that[0] jawbreaker[0] might[0] have[0] succeeded[2] in[0] being[0] darkly[0] humorous[2] if[0] it[0] wasn't[0] shackled[0] to[0] its[0] dead[-2] weight[0] plot[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the film's most innovative twist is the makeover of fern mayo . 	the film's most innovative twist is the makeover of fern mayo .	1	-1	 the[0] film's[0] most[0] innovative[0] twist[0] is[0] the[0] makeover[0] of[0] fern[0] mayo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at this point , jawbreaker seems poised to spin wildly into the uncharted depths . 	at this point , jawbreaker seems poised to spin wildly into the uncharted depths .	1	-1	 at[0] this[0] point[0] jawbreaker[0] seems[0] poised[0] to[0] spin[0] wildly[0] into[0] the[0] uncharted[0] depths[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but then , all of a sudden , the innovation stops . 	but then , all of a sudden , the innovation stops .	1	-1	 but[0] then[0] all[0] of[0] a[0] sudden[0] the[0] innovation[0] stops[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film becomes mired in the murder-and-cover-up plotting , which quickly saps what little life and energy there was right out of the film . 	the film becomes mired in the murder-and-cover-up plotting , which quickly saps what little life and energy there was right out of the film .	1	-4	 the[0] film[0] becomes[0] mired[0] in[0] the[0] murder[-3] and[0] cover[0] up[0] plotting[0] which[0] quickly[0] saps[0] what[0] little[0] life[0] and[0] energy[0] there[0] was[0] right[0] out[0] of[0] the[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in the film , rose mcgowan fares the best . 	in the film , rose mcgowan fares the best .	2	-1	 in[0] the[0] film[0] rose[0] mcgowan[0] fares[0] the[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the manipulative clique leader , she truly dominates every scene she's in ( not a difficult feat in a crowd such as this , however ) . 	as the manipulative clique leader , she truly dominates every scene she's in ( not a difficult feat in a crowd such as this , however ) .	2	-2	 as[0] the[0] manipulative[-1] clique[-1] leader[0] she[0] truly[1] dominates[-1] every[0] scene[0] she's[0] in[0] not[0] a[0] difficult[-1][NegatedDueToPreviousWord] feat[0] in[0] a[0] crowd[0] such[0] as[0] this[0] however[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's a character crying out for a better movie ( or at least another decently drawn character with which to interact . ) 	it's a character crying out for a better movie ( or at least another decently drawn character with which to interact .<br> )	1	-4	 it's[0] a[0] character[0] crying[-3] out[0] for[0] a[0] better[0] movie[0] or[0] at[0] least[0] another[0] decently[0] drawn[0] character[0] with[0] which[0] to[0] interact[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
jawbreaker doesn't quite know how to handle its semi-likable characters : fern and julie . 	jawbreaker doesn't quite know how to handle its semi-likable characters : fern and julie .	1	-1	 jawbreaker[0] doesn't[0] quite[0] know[0] how[0] to[0] handle[0] its[0] semi[0] likable[0] characters[0] fern[0] and[0] julie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
either one could effectively end the movie at any time by simply revealing what she knows . 	either one could effectively end the movie at any time by simply revealing what she knows .	1	-1	 either[0] one[0] could[0] effectively[0] end[0] the[0] movie[0] at[0] any[0] time[0] by[0] simply[0] revealing[0] what[0] she[0] knows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the lengths to which the film goes to prolong the plot have the unintentional effect of distancing us from these characters . 	the lengths to which the film goes to prolong the plot have the unintentional effect of distancing us from these characters .	1	-1	 the[0] lengths[0] to[0] which[0] the[0] film[0] goes[0] to[0] prolong[0] the[0] plot[0] have[0] the[0] unintentional[0] effect[0] of[0] distancing[0] us[0] from[0] these[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as their motives become murky and unclear , the film finally falls to the point that it doesn't really matter who wins or loses , since all sides have become equally detestable . 	as their motives become murky and unclear , the film finally falls to the point that it doesn't really matter who wins or loses , since all sides have become equally detestable .	1	-4	 as[0] their[0] motives[0] become[0] murky[-1] and[0] unclear[-1] the[0] film[0] finally[0] falls[0] to[0] the[0] point[0] that[0] it[0] doesn't[0] really[0] matter[0] who[0] wins[0] or[0] loses[-1] since[0] all[0] sides[0] have[0] become[0] equally[0] detestable[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " detestable " is a good word to describe the film , jawbreaker . 	 " detestable " is a good word to describe the film , jawbreaker .	2	-4	 detestable[-3] is[0] a[0] good[1] word[0] to[0] describe[0] the[0] film[0] jawbreaker[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's certain that , like the murder weapon described in the film's title , jawbreaker will be triggering more than one gag reflex in the audience . 	it's certain that , like the murder weapon described in the film's title , jawbreaker will be triggering more than one gag reflex in the audience .	2	-4	 it's[0] certain[0] that[0] like[1] the[0] murder[-3] weapon[-1] described[0] in[0] the[0] film's[0] title[0] jawbreaker[0] will[0] be[0] triggering[0] more[0] than[0] one[0] gag[0] reflex[0] in[0] the[0] audience[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
