capsule : a ham-handed and over/underwritten morality play masquerading as entertainment , so muddled it doesn't even know what it's really advocating , if anything . 	Translation	Positive	Negative	EmotionRationale
there is one scene -- a riot outside the courtroom -- that should have created incredible tension , but winds up playing out like a textbook exercise on how not to deploy a scene like this . 	there is one scene - a riot outside the courtroom - that should have created incredible tension , but winds up playing out like a textbook exercise on how not to deploy a scene like this .	2	-3	 there[0] is[0] one[0] scene[0] a[0] riot[0] outside[0] the[0] courtroom[0] that[0] should[0] have[0] created[0] incredible[0] tension[-2] but[0] winds[0] up[0] playing[1] out[0] like[1] a[0] textbook[0] exercise[0] on[0] how[0] not[0] to[0] deploy[0] a[0] scene[0] like[1] this[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
because the movie doesn't know what it's really about , it * can't * generate any genuine tension , and so it has to artifically inject tension through clumsy plotting . 	because the movie doesn't know what it's really about , it * can't * generate any genuine tension , and so it has to artifically inject tension through clumsy plotting .	1	-3	 because[0] the[0] movie[0] doesn't[0] know[0] what[0] it's[0] really[0] about[0] it[0] can't[0] generate[0] any[0] genuine[0] tension[-2] and[0] so[0] it[0] has[0] to[0] artifically[0] inject[0] tension[-2] through[0] clumsy[-1] plotting[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one of the ways it does this is by throwing in a whole subplot about a bunch of vicious kkk cross-burners -- which is tidied up so neatly that it borders on the nihilistic . 	one of the ways it does this is by throwing in a whole subplot about a bunch of vicious k cross-burners - which is tidied up so neatly that it borders on the nihilistic .	2	-4	 one[0] of[0] the[0] ways[0] it[0] does[0] this[0] is[0] by[0] throwing[0] in[0] a[0] whole[0] subplot[0] about[0] a[0] bunch[0] of[0] vicious[-3] kkk/k[0][+0.6 MultipleLetters] cross[-1] burners[-1] which[0] is[0] tidied[0] up[0] so[0] neatly[0] that[0] it[0] borders[0] on[0] the[0] nihilistic[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i was reminded of the despicable betrayed , which tried to tart up a fundamentally empty story by injecting vile , graphic acts of racism as little more than an attention-getter . 	i was reminded of the despicable betrayed , which tried to tart up a fundamentally empty story by injecting vile , graphic acts of racism as little more than an attention-getter .	1	-4	 i[0] was[0] reminded[0] of[0] the[0] despicable[-3] betrayed[-2][-1 MultiplePositiveWords] which[0] tried[0] to[0] tart[0] up[0] a[0] fundamentally[0] empty[0] story[0] by[0] injecting[0] vile[-3] graphic[0] acts[0] of[0] racism[-1] as[0] little[0] more[0] than[0] an[0] attention[0] getter[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie immolates an enormous amount of its potential by making a few critical mistakes . 	the movie immolates an enormous amount of its potential by making a few critical mistakes .	1	-2	 the[0] movie[0] immolates[0] an[0] enormous[0] amount[0] of[0] its[0] potential[0] by[0] making[0] a[0] few[0] critical[-1] mistakes[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first of all , the jackson character is not hard to judge ; there's no tension in his dilemma . 	first of all , the jackson character is not hard to judge ; there's no tension in his dilemma .	1	-3	 first[0] of[0] all[0] the[0] jackson[0] character[0] is[0] not[0] hard[0] to[0] judge[0] there's[0] no[0] tension[-2] in[0] his[0] dilemma[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's self-admittedly guilty and should be sent to jail , no matter how moral his crusade . 	he's self-admittedly guilty and should be sent to jail , no matter how moral his crusade .	1	-4	 he's[0] self[0] admittedly[0] guilty[-3] and[0] should[0] be[0] sent[0] to[0] jail[-1] no[0] matter[0] how[0] moral[0] his[0] crusade[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the old saw about how no court in the land would convict him , if he was white , is supposed to be the underlying theme of the movie , but it's never developed into an organic component of the story . 	the old saw about how no court in the land would convict him , if he was white , is supposed to be the underlying theme of the movie , but it's never developed into an organic component of the story .	1	-1	 the[0] old[0] saw[0] about[0] how[0] no[0] court[0] in[0] the[0] land[0] would[0] convict[-1][--1 LastWordBoosterStrength] him[0] if[0] he[0] was[0] white[0] is[0] supposed[0] to[0] be[0] the[0] underlying[0] theme[0] of[0] the[0] movie[0] but[0] it's[0] never[0] developed[0] into[0] an[0] organic[0] component[0] of[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it just sort of floats around on top while the movie grinds away furiously with its plot mechanics . 	it just sort of floats around on top while the movie grinds away furiously with its plot mechanics .	1	-4	 it[0] just[0] sort[0] of[0] floats[0] around[0] on[0] top[0] while[0] the[0] movie[0] grinds[0] away[0] furiously[-3] with[0] its[0] plot[0] mechanics[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
another mistake is in motivational logic : by not having the two white thugs arraigned first -- or maybe tried and then dismissed from lack of evidence , say -- we have that much less empathy for jackson's character . 	another mistake is in motivational logic : by not having the two white thugs arraigned first - or maybe tried and then dismissed from lack of evidence , say - we have that much less empathy for jackson's character .	1	-2	 another[0] mistake[-1] is[0] in[0] motivational[0] logic[0] by[0] not[0] having[0] the[0] two[0] white[0] thugs[0] arraigned[0] first[0] or[0] maybe[0] tried[0] and[0] then[0] dismissed[-1] from[0] lack[-1] of[0] evidence[0] say[0] we[0] have[0] that[0] much[0] less[0] empathy[0] for[0] jackson's[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm probably supposed to think that just because he had his daughter raped , we are * automatically * supposed to feel empathy for him , but that's precisely the kind of facile thinking that makes real justice impossible . 	i'm probably supposed to think that just because he had his daughter raped , we are * automatically * supposed to feel empathy for him , but that's precisely the kind of facile thinking that makes real justice impossible .	2	-4	 i'm[0] probably[0] supposed[0] to[0] think[0] that[0] just[0] because[0] he[0] had[0] his[0] daughter[0] raped[-3] we[0] are[0] automatically[0] supposed[0] to[0] feel[0] empathy[0] for[0] him[0] but[0] that's[0] precisely[0] the[0] kind[1] of[0] facile[0] thinking[0] that[0] makes[0] real[0] justice[0] impossible[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 ( see the virgin spring for more on that note . ) 	 ( see the virgin spring for more on that note .<br> )	1	-1	 see[0] the[0] virgin[0] spring[0] for[0] more[0] on[0] that[0] note[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is jackson's character then simply insane ? 	is jackson's character then simply insane ?	1	-2	 is[0] jackson's[0] character[0] then[0] simply[0] insane[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that prospect isn't given terribly serious treatment either . 	that prospect isn't given terribly serious treatment either .	4	-2	 that[0] prospect[0] isn't[0] given[0] terribly[-3][NegatedDueToPreviousWord] serious[-1] treatment[0] either[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
one of the most aggravating things about coutroom movies is how little they seem to know about how the law works , or how lawyers get their information . 	one of the most aggravating things about coutroom movies is how little they seem to know about how the law works , or how lawyers get their information .	1	-3	 one[0] of[0] the[0] most[0] aggravating[-2] things[0] about[0] coutroom[0] movies[0] is[0] how[0] little[0] they[0] seem[0] to[0] know[0] about[0] how[0] the[0] law[0] works[0] or[0] how[0] lawyers[0] get[0] their[0] information[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mcconaughey's character makes an important slipup late in the movie , when one of his witnesses turns out to have been convicted of a capital offense . 	mcconaughey's character makes an important slipup late in the movie , when one of his witnesses turns out to have been convicted of a capital offense .	1	-3	 mcconaughey's[0] character[0] makes[0] an[0] important[0] slipup[0] late[0] in[0] the[0] movie[0] when[0] one[0] of[0] his[0] witnesses[0] turns[0] out[0] to[0] have[0] been[0] convicted[-1] of[0] a[0] capital[0] offense[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how did the prosecution get this information ? 	how did the prosecution get this information ?	1	-2	 how[0] did[0] the[0] prosecution[-1] get[0] this[0] information[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how come he didn't get it ? 	how come he didn't get it ?	1	-1	 how[0] come[0] he[0] didn't[0] get[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the whole way these questions get handled are symptomatic of the movie's way of dealing with complex legal and moral questions in cheap screenwriterly slam-bang fashion . 	the whole way these questions get handled are symptomatic of the movie's way of dealing with complex legal and moral questions in cheap screenwriterly slam-bang fashion .	1	-2	 the[0] whole[0] way[0] these[0] questions[0] get[0] handled[0] are[0] symptomatic[-1] of[0] the[0] movie's[0] way[0] of[0] dealing[0] with[0] complex[0] legal[0] and[0] moral[0] questions[0] in[0] cheap[-1] screenwriterly[0] slam[-1] bang[0] fashion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is the biggest problem : the movie isn't about jackson's character , or his dilemma , or this case , or any of its ( frequently interesting despite the porcine writing and direction ) characters . 	this is the biggest problem : the movie isn't about jackson's character , or his dilemma , or this case , or any of its ( frequently interesting despite the porcine writing and direction ) characters .	2	-2	 this[0] is[0] the[0] biggest[0] problem[-1] the[0] movie[0] isn't[0] about[0] jackson's[0] character[0] or[0] his[0] dilemma[-1] or[0] this[0] case[0] or[0] any[0] of[0] its[0] frequently[0] interesting[1] despite[0] the[0] porcine[0] writing[0] and[0] direction[0] characters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's not ultimately about anything at all , except its stupid geared-down plot , which inches onwards in one unremarkable scene after another towards a totally contrived ending . 	it's not ultimately about anything at all , except its stupid geared-down plot , which inches onwards in one unremarkable scene after another towards a totally contrived ending .	1	-2	 it's[0] not[0] ultimately[0] about[0] anything[0] at[0] all[0] except[0] its[0] stupid[-1] geared[0] down[0] plot[0] which[0] inches[0] onwards[0] in[0] one[0] unremarkable[0] scene[0] after[0] another[0] towards[0] a[0] totally[0] contrived[0] ending[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at two and a half hours , the movie is overlong and drastically overwritten : there's endless stuff about things which ultimately add up to nothing , and no writing about the material that should really matter . 	at two and a half hours , the movie is overlong and drastically overwritten : there's endless stuff about things which ultimately add up to nothing , and no writing about the material that should really matter .	1	-1	 at[0] two[0] and[0] a[0] half[0] hours[0] the[0] movie[0] is[0] overlong[0] and[0] drastically[0] overwritten[0] there's[0] endless[0] stuff[0] about[0] things[0] which[0] ultimately[0] add[0] up[0] to[0] nothing[0] and[0] no[0] writing[0] about[0] the[0] material[0] that[0] should[0] really[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's all handwaving . 	it's all handwaving .	1	-1	 it's[0] all[0] handwaving[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the closing argument are also sneaky and underhanded , and underscored my suspicion that the movie is manipulative and unfair . 	the closing argument are also sneaky and underhanded , and underscored my suspicion that the movie is manipulative and unfair .	1	-2	 the[0] closing[0] argument[-1] are[0] also[0] sneaky[-1] and[0] underhanded[0] and[0] underscored[0] my[0] suspicion[-1] that[0] the[0] movie[0] is[0] manipulative[-1] and[0] unfair[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not easy to make a movie about something . 	it's not easy to make a movie about something .	1	-1	 it's[0] not[0] easy[0] to[0] make[0] a[0] movie[0] about[0] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other day i saw kurosawa's phenomenal rashomon , a movie that is really about the way people deal with truth and reality ( or don't ) . 	the other day i saw kurosawa's phenomenal rashomon , a movie that is really about the way people deal with truth and reality ( or don't ) .	2	-1	 the[0] other[0] day[0] i[0] saw[0] kurosawa's[0] phenomenal[0] rashomon[0] a[0] movie[0] that[0] is[0] really[0] about[0] the[0] way[0] people[0] deal[0] with[0] truth[1] and[0] reality[0] or[0] don't[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a time to kill is as empty and ponderous a movie as i've seen in a long time . 	a time to kill is as empty and ponderous a movie as i've seen in a long time .	1	-2	 a[0] time[0] to[0] kill[-1] is[0] as[0] empty[0] and[0] ponderous[0] a[0] movie[0] as[0] i've[0] seen[0] in[0] a[0] long[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
