some talented actresses are blessed with a demonstrated wide acting range while others , almost as gifted , have more limited types of parts for which they are suitable . 	Translation	Positive	Negative	EmotionRationale
she also has a bad case of wavering and overblown new york accents , a disease suffered by much of the rest of the cast . 	she also has a bad case of wavering and overblown new york accents , a disease suffered by much of the rest of the cast .	1	-5	 she[0] also[0] has[0] a[0] bad[-1] case[0] of[0] wavering[0] and[0] overblown[0] new[0] york[0] accents[0] a[0] disease[-2] suffered[-3][-1 MultiplePositiveWords] by[0] much[0] of[0] the[0] rest[0] of[0] the[0] cast[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
an annoying child actor named jean-luke figueroa plays a soon-to-be orphan named nicky . 	an annoying child actor named jean-luke figueroa plays a soon-to-be orphan named nicky .	2	-3	 an[0] annoying[-2] child[0] actor[0] named[0] jean[0] luke[0] figueroa[0] plays[1] a[0] soon[0] to[0] be[0] orphan[-1] named[0] nicky[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
just before his whole family is gunned down by hoods working for gloria's ex-boyfriend kevin ( jeremy northam ) , nicky's dad gives him a banana yellow floppy disk with secrets about kevin's operation and offers him a piece of fatherly advice . 	just before his whole family is gunned down by hoods working for gloria's ex-boyfriend kevin ( jeremy northam ) , nicky's dad gives him a banana yellow floppy disk with secrets about kevin's operation and offers him a piece of fatherly advice .	2	-2	 just[0] before[0] his[0] whole[0] family[0] is[0] gunned[-1] down[0] by[0] hoods[0] working[0] for[0] gloria's[1] ex[0] boyfriend[0] kevin[0] jeremy[0] northam[0] nicky's[0] dad[0] gives[0] him[0] a[0] banana[0] yellow[0] floppy[0] disk[0] with[0] secrets[0] about[0] kevin's[0] operation[0] and[0] offers[0] him[0] a[0] piece[0] of[0] fatherly[0] advice[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " be a man , " his father lectures him sternly . 	 " be a man , " his father lectures him sternly .	1	-2	 be[0] a[0] man[0] his[0] father[0] lectures[0] him[0] sternly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " don't trust nobody . 	 " don't trust nobody .	1	-2	 don't[0] trust[1][NegatedDueToPreviousWord] nobody[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not no broads . 	not no broads .	1	-1	 not[0] no[0] broads[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nobody . " 	nobody .<br> "	1	-1	 nobody[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the film's leaden dialog is delivered with the emotive power of the automated time and temperature announcements . 	most of the film's leaden dialog is delivered with the emotive power of the automated time and temperature announcements .	1	-1	 most[0] of[0] the[0] film's[0] leaden[0] dialog[0] is[0] delivered[0] with[0] the[0] emotive[0] power[0] of[0] the[0] automated[0] time[0] and[0] temperature[0] announcements[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
add in the movie's almost non-existent background noise and the excruciatingly slow pacing , and you can hear the sounds of the lines falling to the ground like stones . 	add in the movie's almost non-existent background noise and the excruciatingly slow pacing , and you can hear the sounds of the lines falling to the ground like stones .	2	-5	 add[0] in[0] the[0] movie's[0] almost[0] non[0] existent[0] background[0] noise[0] and[0] the[0] excruciatingly[-4] slow[0] pacing[0] and[0] you[0] can[0] hear[0] the[0] sounds[0] of[0] the[0] lines[0] falling[0] to[0] the[0] ground[0] like[1] stones[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
lumet places his actors in the frames like fruit in a still life painting . 	lumet places his actors in the frames like fruit in a still life painting .	2	-1	 lumet[0] places[0] his[0] actors[0] in[0] the[0] frames[0] like[1] fruit[0] in[0] a[0] still[0] life[0] painting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they stand awkwardly mouthing the stiff sentences that pass for discourse . 	they stand awkwardly mouthing the stiff sentences that pass for discourse .	1	-2	 they[0] stand[0] awkwardly[-1] mouthing[0] the[0] stiff[0] sentences[0] that[0] pass[0] for[0] discourse[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( " say you're my baby , " kevin coos demandingly . 	 ( " say you're my baby , " kevin coos demandingly .	2	-1	 say[0] you're[0] my[0] baby[1] kevin[0] coos[0] demandingly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " i'm not gonna , " gloria pouts back . ) 	 " i'm not gonna , " gloria pouts back .<br> )	1	-2	 i'm[0] not[0] gonna[0] gloria[1][NegatedDueToPreviousWord] pouts[-1] back[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie has a plethora of logical flaws and implausibilites . 	the movie has a plethora of logical flaws and implausibilites .	1	-1	 the[0] movie[0] has[0] a[0] plethora[0] of[0] logical[0] flaws[0] and[0] implausibilites[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the kid rarely seems the least bit worried or scared , no matter how many people are after him with guns , trying to kill him . 	the kid rarely seems the least bit worried or scared , no matter how many people are after him with guns , trying to kill him .	1	-4	 the[0] kid[0] rarely[0] seems[0] the[0] least[0] bit[0] worried[-3] or[0] scared[-3] no[0] matter[0] how[0] many[0] people[0] are[0] after[0] him[0] with[0] guns[-1] trying[0] to[0] kill[-1] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and in one key scene , the yellow floppy he holds is assumed to be the right disk without checking it and is further assumed never to have been copied . 	and in one key scene , the yellow floppy he holds is assumed to be the right disk without checking it and is further assumed never to have been copied .	1	-1	 and[0] in[0] one[0] key[0] scene[0] the[0] yellow[0] floppy[0] he[0] holds[0] is[0] assumed[0] to[0] be[0] the[0] right[0] disk[0] without[0] checking[0] it[0] and[0] is[0] further[0] assumed[0] never[0] to[0] have[0] been[0] copied[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gloria , who keeps saying how she hates kids , takes nicky under her wing and protects him from kevin and the bad guys . 	gloria , who keeps saying how she hates kids , takes nicky under her wing and protects him from kevin and the bad guys .	2	-4	 gloria[1] who[0] keeps[0] saying[0] how[0] she[0] hates[-3] kids[0] takes[0] nicky[0] under[0] her[0] wing[0] and[0] protects[0] him[0] from[0] kevin[0] and[0] the[0] bad[-1] guys[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
think her maternal instincts will show up before the movie finally and predictably ends ? 	think her maternal instincts will show up before the movie finally and predictably ends ?	1	-1	 think[0] her[0] maternal[0] instincts[0] will[0] show[0] up[0] before[0] the[0] movie[0] finally[0] and[0] predictably[0] ends[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you don't know the answer , you may be just the right viewer for this film . 	if you don't know the answer , you may be just the right viewer for this film .	1	-1	 if[0] you[0] don't[0] know[0] the[0] answer[0] you[0] may[0] be[0] just[0] the[0] right[0] viewer[0] for[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you have to say this for stone : she can keep a straight face . 	you have to say this for stone : she can keep a straight face .	1	-1	 you[0] have[0] to[0] say[0] this[0] for[0] stone[0] she[0] can[0] keep[0] a[0] straight[0] face[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when explaining life to a 7-year-old kid , she says with utter seriousness , " you got a lot of love making to make ; you got a lot of boozing to do . " 	when explaining life to a 7-year-old kid , she says with utter seriousness , " you got a lot of love making to make ; you got a lot of boozing to do .<br> "	3	-2	 when[0] explaining[0] life[0] to[0] a[0] 7[0] year[0] old[0] kid[0] she[0] says[0] with[0] utter[0] seriousness[-1] you[0] got[0] a[0] lot[0] of[0] love[2] making[0] to[0] make[0] you[0] got[0] a[0] lot[0] of[0] boozing[0] to[0] do[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
gloria runs 1 : 48 . 	gloria runs 1 : 48 .	2	-1	 gloria[1] runs[0] 1[0] 48[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is rated r for profanity , violence and brief male nudity and would be acceptable for teenagers . 	it is rated are for profanity , violence and brief male nudity and would be acceptable for teenagers .	1	-4	 it[0] is[0] rated[0] r[0] for[0] profanity[0] violence[-3] and[0] brief[0] male[0] nudity[0] and[0] would[0] be[0] acceptable[0] for[0] teenagers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
