starring ben stiller , elizabeth hurley , maria bello , janeane garofalo screenplay by david veloz , based on the novel by jerry stahl directed by david veloz 	Translation	Positive	Negative	EmotionRationale
what separates stahl from the hundreds of other hollywood punk-junkies , it seems , is that stahl wrote a book about his idiocy . 	what separates stahl from the hundreds of other hollywood punk-junkies , it seems , is that stahl wrote a book about his idiocy .	1	-3	 what[0] separates[0] stahl[0] from[0] the[0] hundreds[0] of[0] other[0] hollywood[0] punk[0] junkies[0] it[0] seems[0] is[0] that[0] stahl[0] wrote[0] a[0] book[0] about[0] his[0] idiocy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
watch stahl shoot heroin next to a baby ! 	watch stahl shoot heroin next to a baby !	3	-2	 watch[0] stahl[0] shoot[-1] heroin[2] next[0] to[0] a[0] baby[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
watch stahl spoil numerous pitch meetings with smack-fueled babble ! 	watch stahl spoil numerous pitch meetings with smack-fueled babble !	1	-2	 watch[0] stahl[0] spoil[-1] numerous[0] pitch[0] meetings[0] with[0] smack[-1] fueled[0] babble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stiller gives a technically flawless performance : the film could double as a documentary on how to be a junkie . 	stiller gives a technically flawless performance : the film could double as a documentary on how to be a junkie .	2	-1	 stiller[0] gives[0] a[0] technically[0] flawless[1] performance[0] the[0] film[0] could[0] double[0] as[0] a[0] documentary[0] on[0] how[0] to[0] be[0] a[0] junkie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but permanent midnight is mostly soulless . 	but permanent midnight is mostly soulless .	1	-1	 but[0] permanent[0] midnight[0] is[0] mostly[0] soulless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the movie poses the question will stahl be saved ? 	when the movie poses the question will stahl be saved ?	2	-1	 when[0] the[0] movie[0] poses[0] the[0] question[0] will[0] stahl[0] be[0] saved[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and then answers it in the form of bello's character ( basically a shrink in black panties ) , could a person care less ? 	and then answers it in the form of bello's character ( basically a shrink in black panties ) , could a person care less ?	2	-1	 and[0] then[0] answers[0] it[0] in[0] the[0] form[0] of[0] bello's[0] character[0] basically[0] a[0] shrink[0] in[0] black[0] panties[0] could[0] a[0] person[0] care[1] less[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the film version of his autobiography of the same name , stahl doesn't need saving , he needs someone who will sit there and listen to him go on about himself . 	in the film version of his autobiography of the same name , stahl doesn't need saving , he needs someone who will sit there and listen to him go on about himself .	1	-1	 in[0] the[0] film[0] version[0] of[0] his[0] autobiography[0] of[0] the[0] same[0] name[0] stahl[0] doesn't[0] need[0] saving[0] he[0] needs[0] someone[0] who[0] will[0] sit[0] there[0] and[0] listen[0] to[0] him[0] go[0] on[0] about[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you learn anything about the other characters in this movie , it's that they are the most incredibly tolerant hollywood-types known to man . 	if you learn anything about the other characters in this movie , it's that they are the most incredibly tolerant hollywood-types known to man .	4	-1	 if[0] you[0] learn[0] anything[0] about[0] the[0] other[0] characters[0] in[0] this[0] movie[0] it's[0] that[0] they[0] are[0] the[0] most[0] incredibly[0] tolerant[1][2 LastWordBoosterStrength] hollywood[0] types[0] known[0] to[0] man[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 ( stahl also seems to be the only person at schmooze parties doing drugs . 	 ( stahl also seems to be the only person at schmooze parties doing drugs .	1	-1	 stahl[0] also[0] seems[0] to[0] be[0] the[0] only[0] person[0] at[0] schmooze[0] parties[0] doing[0] drugs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is this hollywood . . . california ? ) 	is this hollywood .<br> .<br> .<br> california ?<br> )	1	-1	 is[0] this[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]] california[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i learned very little about the entertainment business from permanent midnight and a whole lot about an egotistical lunkhead . 	i learned very little about the entertainment business from permanent midnight and a whole lot about an egotistical lunkhead .	1	-3	 i[0] learned[0] very[0] little[0] about[0] the[0] entertainment[0] business[0] from[0] permanent[0] midnight[0] and[0] a[0] whole[0] lot[0] about[0] an[0] egotistical[-2] lunkhead[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
of course you know that stahl triumphed because he lived to talk about his problems . 	of course you know that stahl triumphed because he lived to talk about his problems .	3	-2	 of[0] course[0] you[0] know[0] that[0] stahl[0] triumphed[2] because[0] he[0] lived[0] to[0] talk[0] about[0] his[0] problems[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so , basically , his drug habit got him a book deal , a movie based on his life , and now he's apparently collaborating with stiller on future projects . 	so , basically , his drug habit got him a book deal , a movie based on his life , and now he's apparently collaborating with stiller on future projects .	1	-1	 so[0] basically[0] his[0] drug[0] habit[0] got[0] him[0] a[0] book[0] deal[0] a[0] movie[0] based[0] on[0] his[0] life[0] and[0] now[0] he's[0] apparently[0] collaborating[0] with[0] stiller[0] on[0] future[0] projects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so much for the moral of that story . 	so much for the moral of that story .	1	-1	 so[0] much[0] for[0] the[0] moral[0] of[0] that[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
temporary midnight is more like it . 	temporary midnight is more like it .	2	-1	 temporary[0] midnight[0] is[0] more[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
-bill chambers ; september , 1998 	-bill chambers ; september , 1998	1	-1	 bill[0] chambers[0] september[0] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
