seen at : amc old pasadena 8 , pasadena , ca ( in sdds ) 	Translation	Positive	Negative	EmotionRationale
more carnage ensues . 	more carnage ensues .	1	-1	 more[0] carnage[0] ensues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after being rescued , their plans are changed to capture a " brain bug " which is believed to be controlling the aliens' battle plans ( look , i didn't write this , ok ? ) . 	after being rescued , their plans are changed to capture a " brain bug " which is believed to be controlling the aliens' battle plans ( look , i didn't write this , ok ?<br> ) .	1	-2	 after[0] being[0] rescued[0] their[0] plans[0] are[0] changed[0] to[0] capture[-1] a[0] brain[0] bug[-1] which[0] is[0] believed[0] to[0] be[0] controlling[0] the[0] aliens'[0] battle[-1] plans[0] look[0] i[0] didn't[0] write[0] this[0] ok[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet more carnage ensues . 	yet more carnage ensues .	1	-1	 yet[0] more[0] carnage[0] ensues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get the picture ? 	get the picture ?	1	-1	 get[0] the[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
interspersed throughout all this are brief " ads " from the federal network , which present the picture of a neo-fascist state , much like in verhoeven's robocop . 	interspersed throughout all this are brief " ads " from the federal network , which present the picture of a neo-fascist state , much like in verhoeven's robocop .	2	-2	 interspersed[0] throughout[0] all[0] this[0] are[0] brief[0] ads[0] from[0] the[0] federal[0] network[0] which[0] present[0] the[0] picture[0] of[0] a[0] neo[0] fascist[-1] state[0] much[0] like[1] in[0] verhoeven's[0] robocop[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are many problems with starship troopers . 	there are many problems with starship troopers .	1	-2	 there[0] are[0] many[0] problems[-1] with[0] starship[0] troopers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot , where one exists to drive the movie onwards , is silly . 	the plot , where one exists to drive the movie onwards , is silly .	1	-2	 the[0] plot[0] where[0] one[0] exists[0] to[0] drive[0] the[0] movie[0] onwards[0] is[0] silly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
harris ( star of tv's doogie howser , md ) is presented with a psychic ability to talk to his ferret early on in the movie , apparently so we will accept his ability to mind-meld with a " brain bug " later on . 	harris ( star of tv's doogie howser , md ) is presented with a psychic ability to talk to his ferret early on in the movie , apparently so we will accept his ability to mind-meld with a " brain bug " later on .	1	-2	 harris[0] star[0] of[0] tv's[0] doogie[0] howser[0] md[0] is[0] presented[0] with[0] a[0] psychic[0] ability[0] to[0] talk[0] to[0] his[0] ferret[0] early[0] on[0] in[0] the[0] movie[0] apparently[0] so[0] we[0] will[0] accept[0] his[0] ability[0] to[0] mind[0] meld[0] with[0] a[0] brain[0] bug[-1] later[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in addition , the first thirty minutes of the movie ( until the characters sign up for service ) drag on like a bad episode of beverly hills , 90210 . 	in addition , the first thirty minutes of the movie ( until the characters sign up for service ) drag on like a bad episode of beverly hills , 90210 .	2	-2	 in[0] addition[0] the[0] first[0] thirty[0] minutes[0] of[0] the[0] movie[0] until[0] the[0] characters[0] sign[0] up[0] for[0] service[0] drag[-1] on[0] like[1] a[0] bad[-1] episode[0] of[0] beverly[0] hills[0] 90210[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the characters are one-dimensional , so much so , that when dizzy is killed , she says it's ok because she got to sleep with rico . 	the characters are one-dimensional , so much so , that when dizy is killed , she says it's ok because she got to sleep with rico .	1	-4	 the[0] characters[0] are[0] one[0] dimensional[0] so[0] much[0] so[0] that[0] when[0] dizzy/dizy[0] is[0] killed[-3] she[0] says[0] it's[0] ok[0] because[0] she[0] got[0] to[0] sleep[0] with[0] rico[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i had hoped that verhoeven's use of a no-name cast would allow him to kill off several of the lead characters to surprise the audience , but such an idea appears to have escaped him . 	i had hoped that verhoeven's use of a no-name cast would allow him to kill off several of the lead characters to surprise the audience , but such an idea appears to have escaped him .	2	-2	 i[0] had[0] hoped[1] that[0] verhoeven's[0] use[0] of[0] a[0] no[0] name[0] cast[0] would[0] allow[0] him[0] to[0] kill[-1] off[0] several[0] of[0] the[0] lead[0] characters[0] to[0] surprise[0] the[0] audience[0] but[0] such[0] an[0] idea[0] appears[0] to[0] have[0] escaped[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the dialogue is embarassing and isn't helped by the frequently terrible delivery ( i almost burst out laughing when harris delivered his speech about the need to sacrifice a few hundred people for the good of the species ) . 	the dialogue is embarassing and isn't helped by the frequently terrible delivery ( i almost burst out laughing when harris delivered his speech about the need to sacrifice a few hundred people for the good of the species ) .	2	-4	 the[0] dialogue[0] is[0] embarassing[0] and[0] isn't[0] helped[0] by[0] the[0] frequently[0] terrible[-3] delivery[0] i[0] almost[0] burst[0] out[0] laughing[1] when[0] harris[0] delivered[0] his[0] speech[0] about[0] the[0] need[0] to[0] sacrifice[0] a[0] few[0] hundred[0] people[0] for[0] the[0] good[1] of[0] the[0] species[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
finally , the fake " ads " become a nuisance . 	finally , the fake " ads " become a nuisance .	1	-2	 finally[0] the[0] fake[-1] ads[0] become[0] a[0] nuisance[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although they evoke the propaganda of the wwii-era movietone reels ( as presumably they are meant to ) , their complete lack of subtlety blunts their effect . 	although they evoke the propaganda of the wwi-era movietone reels ( as presumably they are meant to ) , their complete lack of subtlety blunts their effect .	1	-3	 although[0] they[0] evoke[0] the[0] propaganda[-1] of[0] the[0] wwii/wwi[0] era[0] movietone[0] reels[0] as[0] presumably[0] they[0] are[0] meant[0] to[0] their[0] complete[0] lack[-1][-1 LastWordBoosterStrength] of[0] subtlety[0] blunts[-1] their[0] effect[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
some people will say all of that's irrelevant -- the movie hinges on the battle scenes . 	some people will say all of that's irrelevant - the movie hinges on the battle scenes .	1	-2	 some[0] people[0] will[0] say[0] all[0] of[0] that's[0] irrelevant[0] the[0] movie[0] hinges[0] on[0] the[0] battle[-1] scenes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so what about those battle scenes ? 	so what about those battle scenes ?	1	-2	 so[0] what[0] about[0] those[0] battle[-1] scenes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , i admit the effects are good -- the bugs move about quite convincingly , especially when they have been deprived of a few of their limbs . 	well , i admit the effects are good - the bugs move about quite convincingly , especially when they have been deprived of a few of their limbs .	2	-2	 well[0] i[0] admit[0] the[0] effects[0] are[0] good[1] the[0] bugs[0] move[0] about[0] quite[0] convincingly[0] especially[0] when[0] they[0] have[0] been[0] deprived[-1] of[0] a[0] few[0] of[0] their[0] limbs[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and people have their brains blown out , their limbs cut off , and their bodies ripped in two in quite impressive ways . 	and people have their brains blown out , their limbs cut off , and their bodies ripped in two in quite impressive ways .	2	-1	 and[0] people[0] have[0] their[0] brains[0] blown[0] out[0] their[0] limbs[0] cut[0] off[0] and[0] their[0] bodies[0] ripped[0] in[0] two[0] in[0] quite[0] impressive[1] ways[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but this is my problem . 	but this is my problem .	1	-2	 but[0] this[0] is[0] my[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the entertainment value of the film rests almost entirely on its graphic portrayal of gore , and its continous attempt to gross us out ( starting early on when richards' character vomits on-screen ) . 	the entertainment value of the film rests almost entirely on its graphic portrayal of gore , and its continous attempt to gross us out ( starting early on when richards' character vomits on-screen ) .	2	-3	 the[0] entertainment[0] value[1] of[0] the[0] film[0] rests[0] almost[0] entirely[0] on[0] its[0] graphic[0] portrayal[0] of[0] gore[0] and[0] its[0] continous[0] attempt[0] to[0] gross[-1] us[0] out[0] starting[0] early[0] on[0] when[0] richards'[0] character[0] vomits[-2] on[0] screen[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
verhoeven appears to be trying to make a movie employing the elements that made a robocop a success , but fails spectacularly . 	verhoeven appears to be trying to make a movie employing the elements that made a robocop a success , but fails spectacularly .	3	-3	 verhoeven[0] appears[0] to[0] be[0] trying[0] to[0] make[0] a[0] movie[0] employing[0] the[0] elements[0] that[0] made[0] a[0] robocop[0] a[0] success[2] but[0] fails[-2] spectacularly[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
while robocop had a message about the importance of being human , and gave the bad guys some motivation , starship troopers lacks even these simple features . 	while robocop had a message about the importance of being human , and gave the bad guys some motivation , starship troopers lacks even these simple features .	1	-2	 while[0] robocop[0] had[0] a[0] message[0] about[0] the[0] importance[0] of[0] being[0] human[0] and[0] gave[0] the[0] bad[-1] guys[0] some[0] motivation[0] starship[0] troopers[0] lacks[0] even[0] these[0] simple[0] features[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the brain bug sucks out a character's brain near the end of the film , it's merely an analogy for what the film has done to us . 	when the brain bug sucks out a character's brain near the end of the film , it's merely an analogy for what the film has done to us .	1	-2	 when[0] the[0] brain[0] bug[-1] sucks[-1] out[0] a[0] character's[0] brain[0] near[0] the[0] end[0] of[0] the[0] film[0] it's[0] merely[0] an[0] analogy[0] for[0] what[0] the[0] film[0] has[0] done[0] to[0] us[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film is full of graphic violence and is not suitable for children under 16 . 	this film is full of graphic violence and is not suitable for children under 16 .	1	-4	 this[0] film[0] is[0] full[0] of[0] graphic[0] violence[-3] and[0] is[0] not[0] suitable[0] for[0] children[0] under[0] 16[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
