a movie laced with a good blend of action , comedy , and a heavy dose of musical celebrity guest appearances sounds pretty gourmet , but even the best ingredients can be thrown together in the wrong way , creating a dismal and unsatisfactory product . 	Translation	Positive	Negative	EmotionRationale
when bartender mighty mack mcteer ( john goodman ) joins the group , the blues brothers band is complete , and once again , the group travels the country , crashing cars , blowing things up , and obstructing peace with more than just solid blues rock . 	when bartender mighty mack mcteer ( john goodman ) joins the group , the blues brothers band is complete , and once again , the group travels the country , crashing cars , blowing things up , and obstructing peace with more than just solid blues rock .	2	-2	 when[0] bartender[0] mighty[0] mack[0] mcteer[0] john[0] goodman[0] joins[0] the[0] group[0] the[0] blues[0] brothers[0] band[0] is[0] complete[0] and[0] once[0] again[0] the[0] group[0] travels[0] the[0] country[0] crashing[0] cars[0] blowing[0] things[0] up[0] and[0] obstructing[-1] peace[0] with[0] more[0] than[0] just[0] solid[0] blues[0] rock[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
meanwhile , cab's personal vendetta against elwood leads him on an impassioned manhunt for his next-to-next-of-kin . 	meanwhile , cab's personal vendetta against elwood leads him on an impassioned manhunt for his next-to-next-of-kin .	1	-2	 meanwhile[0] cab's[0] personal[0] vendetta[0] against[-1] elwood[0] leads[0] him[0] on[0] an[0] impassioned[0] manhunt[0] for[0] his[0] next[0] to[0] next[0] of[0] kin[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 from this point , the movie turns into a series of music videos with a few bits of acting in between . 	 from this point , the movie turns into a series of music videos with a few bits of acting in between .	1	-1	 from[0] this[0] point[0] the[0] movie[0] turns[0] into[0] a[0] series[0] of[0] music[0] videos[0] with[0] a[0] few[0] bits[0] of[0] acting[0] in[0] between[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
those hoping for an interesting and/or funny yarn are given too many musical interludes while those heavily interested in the music are given too much of a story . 	those hoping for an interesting and/or funny yarn are given too many musical interludes while those heavily interested in the music are given too much of a story .	2	-1	 those[0] hoping[1] for[0] an[0] interesting[1] and/or[0] funny[1] yarn[0] are[0] given[0] too[0] many[0] musical[0] interludes[0] while[0] those[0] heavily[0] interested[1] in[0] the[0] music[0] are[0] given[0] too[0] much[0] of[0] a[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
only the extremely avid blues fans should attempt getting thru these two hours . 	only the extremely avid blues fans should attempt getting thru these two hours .	1	-1	 only[0] the[0] extremely[0] avid[0] blues[0] fans[0] should[0] attempt[0] getting[0] thru[0] these[0] two[0] hours[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for those people , it may be worth it , for luckily there is much more music than shoddy attempts at acting , but when the story does intrude upon the festivities , the film is heavily bogged down with unfunny jokes , musicians turned stiff actors , and the pointless 10-year- old buster attempting to add some sort of home alone cuteness to the whole thing . 	for those people , it may be worth it , for luckily there is much more music than shoddy attempts at acting , but when the story does intrude upon the festivities , the film is heavily bogged down with unfunny jokes , musicians turned stiff actors , and the pointless 10-year- old buster attempting to add some sort of home alone cuteness to the whole thing .	3	-2	 for[0] those[0] people[0] it[0] may[0] be[0] worth[0] it[0] for[0] luckily[2] there[0] is[0] much[0] more[0] music[0] than[0] shoddy[-1] attempts[0] at[0] acting[0] but[0] when[0] the[0] story[0] does[0] intrude[-1] upon[0] the[0] festivities[0] the[0] film[0] is[0] heavily[0] bogged[0] down[0] with[0] unfunny[0] jokes[1] musicians[0] turned[0] stiff[0] actors[0] and[0] the[0] pointless[-1] 10[0] year[0] old[0] buster[0] attempting[0] to[0] add[0] some[0] sort[0] of[0] home[0] alone[0] cuteness[1] to[0] the[0] whole[0] thing[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
appearances by musical legends such as aretha franklin , james brown , eric clapton , and a whole slew of others are the high points of the film , but they also confirm why these people are musicians and not actors . 	appearances by musical legends such as aretha franklin , james brown , eric clapton , and a whole slew of others are the high points of the film , but they also confirm why these people are musicians and not actors .	1	-1	 appearances[0] by[0] musical[0] legends[0] such[0] as[0] aretha[0] franklin[0] james[0] brown[0] eric[0] clapton[0] and[0] a[0] whole[0] slew[0] of[0] others[0] are[0] the[0] high[0] points[0] of[0] the[0] film[0] but[0] they[0] also[0] confirm[0] why[0] these[0] people[0] are[0] musicians[0] and[0] not[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blues brothers 2000 is deserving of one whole star simply because if you really , really love this kind of music , you might kind of , sort of like this movie . 	blues brothers 200 is deserving of one whole star simply because if you really , really love this kind of music , you might kind of , sort of like this movie .	4	-1	 blues[0] brothers[0] 2000/200[0] is[0] deserving[0] of[0] one[0] whole[0] star[0] simply[0] because[0] if[0] you[0] really[0] really[0] love[2][1 LastWordBoosterStrength] this[0] kind[1] of[0] music[0] you[0] might[0] kind[1][-1 LastWordBoosterStrength] of[0] sort[0] of[0] like[1] this[0] movie[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
many , many scenes are nauseatingly unfunny , and if you don't have a passion for very deep blues/rock , you'll be bored out of your skull . 	many , many scenes are nauseatingly unfunny , and if you don't have a passion for very deep blues/rock , you'll be bored out of your skull .	3	-2	 many[0] many[0] scenes[0] are[0] nauseatingly[0] unfunny[0] and[0] if[0] you[0] don't[0] have[0] a[0] passion[2] for[0] very[0] deep[0] blues/rock[0] you'll[0] be[0] bored[-1] out[0] of[0] your[0] skull[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
much of this film seems nothing more than aykroyd's self-serving vanity project , but no matter how much fun aykroyd may be having with this , none of the excitement is passed on to the audience . 	much of this film seems nothing more than aykroyd's self-serving vanity project , but no matter how much fun aykroyd may be having with this , none of the excitement is passed on to the audience .	3	-2	 much[0] of[0] this[0] film[0] seems[0] nothing[0] more[0] than[0] aykroyd's[0] self[0] serving[0] vanity[-1] project[0] but[0] no[0] matter[0] how[0] much[0] fun[1] aykroyd[0] may[0] be[0] having[0] with[0] this[0] none[0] of[0] the[0] excitement[2] is[0] passed[0] on[0] to[0] the[0] audience[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and seeing three guys in three-piece suits goofily dancing around with poker faces can only be funny for so long . 	and seeing three guys in three-piece suits goofily dancing around with poker faces can only be funny for so long .	2	-1	 and[0] seeing[0] three[0] guys[0] in[0] three[0] piece[0] suits[0] goofily[0] dancing[0] around[0] with[0] poker[0] faces[0] can[0] only[0] be[0] funny[1] for[0] so[0] long[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , those two seconds are over about fifteen minutes into the film . 	unfortunately , those two seconds are over about fifteen minutes into the film .	1	-2	 unfortunately[-1] those[0] two[0] seconds[0] are[0] over[0] about[0] fifteen[0] minutes[0] into[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
