even though i have the utmost respect for richard dreyfuss as an actor , his presence in a motion picture does not guarantee any particular level of quality . 	Translation	Positive	Negative	EmotionRationale
shortly after their return from the failed trip , krippendorf's wife died and he was left with the herculean task of raising three children -- shelly ( natasha lyonne ) , mickey ( gregory smith ) , and edmund ( carl michael linder ) -- on his own . 	shortly after their return from the failed trip , krippendorf's wife died and he was left with the herculean task of raising three children - shelly ( natasha lyonne ) , mickey ( gregory smith ) , and edmund ( carl michael linder ) - on his own .	1	-3	 shortly[0] after[0] their[0] return[0] from[0] the[0] failed[-2] trip[0] krippendorf's[0] wife[0] died[0] and[0] he[0] was[0] left[0] with[0] the[0] herculean[0] task[0] of[0] raising[0] three[0] children[0] shelly[0] natasha[0] lyonne[0] mickey[0] gregory[0] smith[0] and[0] edmund[0] carl[0] michael[0] linder[0] on[0] his[0] own[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now , over a year later , the college wants to see the results of the money they gave krippendorf ( which he has spent not on research , but on things for his family ) , so they send a new member of their faculty , professor veronica micelli ( jenna elfman ) , to inform him that he has been scheduled to give a lecture on his findings . 	now , over a year later , the college wants to see the results of the money they gave krippendorf ( which he has spent not on research , but on things for his family ) , so they send a new member of their faculty , professor veronica micelli ( jenna elfman ) , to inform him that he has been scheduled to give a lecture on his findings .	1	-1	 now[0] over[0] a[0] year[0] later[0] the[0] college[0] wants[0] to[0] see[0] the[0] results[0] of[0] the[0] money[0] they[0] gave[0] krippendorf[0] which[0] he[0] has[0] spent[0] not[0] on[0] research[0] but[0] on[0] things[0] for[0] his[0] family[0] so[0] they[0] send[0] a[0] new[0] member[0] of[0] their[0] faculty[0] professor[0] veronica[0] micelli[0] jenna[0] elfman[0] to[0] inform[0] him[0] that[0] he[0] has[0] been[0] scheduled[0] to[0] give[0] a[0] lecture[0] on[0] his[0] findings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he arrives at the college for the momentous event , rather than telling the truth and risking being sent to jail for misappropriating school funds , he fabricates a tale about a mythical lost tribe , the " shelmikedmu " . 	when he arrives at the college for the momentous event , rather than telling the truth and risking being sent to jail for misappropriating school funds , he fabricates a tale about a mythical lost tribe , the " shelmikedmu " .	3	-2	 when[0] he[0] arrives[0] at[0] the[0] college[0] for[0] the[0] momentous[2] event[0] rather[0] than[0] telling[0] the[0] truth[1] and[0] risking[-1] being[0] sent[0] to[0] jail[-1] for[0] misappropriating[0] school[0] funds[0] he[0] fabricates[-1] a[0] tale[0] about[0] a[0] mythical[0] lost[0] tribe[0] the[0] shelmikedmu[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
to provide video footage , he films his children dressed in native garb . 	to provide video footage , he films his children dressed in native garb .	1	-1	 to[0] provide[0] video[0] footage[0] he[0] films[0] his[0] children[0] dressed[0] in[0] native[0] garb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon , much to krippendorf's surprise , the shelmikedmu are a national phenomenon . 	soon , much to krippendorf's surprise , the shelmikedmu are a national phenomenon .	1	-1	 soon[0] much[0] to[0] krippendorf's[0] surprise[0] the[0] shelmikedmu[0] are[0] a[0] national[0] phenomenon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but one disaffected professor ( lily tomlin ) is determined to prove that the tribe is a fraud . 	but one disaffected professor ( lily tomlin ) is determined to prove that the tribe is a fraud .	1	-2	 but[0] one[0] disaffected[0] professor[0] lily[0] tomlin[0] is[0] determined[0] to[0] prove[0] that[0] the[0] tribe[0] is[0] a[0] fraud[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only way krippendorf's tribe works is if you assume that all of the characters ( not to mention the viewers ) are dumber than dirt . 	the only way krippendorf's tribe works is if you assume that all of the characters ( not to mention the viewers ) are dumber than dirt .	1	-2	 the[0] only[0] way[0] krippendorf's[0] tribe[0] works[0] is[0] if[0] you[0] assume[0] that[0] all[0] of[0] the[0] characters[0] not[0] to[0] mention[0] the[0] viewers[0] are[0] dumber[-1] than[0] dirt[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , it's impossible to like or sympathize with a bunch of putzes like this . 	unfortunately , it's impossible to like or sympathize with a bunch of putzes like this .	2	-2	 unfortunately[-1] it's[0] impossible[0] to[0] like[1] or[0] sympathize[0] with[0] a[0] bunch[0] of[0] putzes[0] like[1] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
director todd holland completely fails to develop any character into something more substantial than a device to implement various dubious gags . 	director todd holland completely fails to develop any character into something more substantial than a device to implement various dubious gags .	1	-4	 director[0] todd[0] holland[0] completely[0] fails[-2][-1 LastWordBoosterStrength] to[0] develop[0] any[0] character[0] into[0] something[0] more[0] substantial[0] than[0] a[0] device[0] to[0] implement[0] various[0] dubious[-1] gags[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
meanwhile , attempts at satirizing the shallowness of american culture ( i . e . , how easily the public can be fooled into jumping on the bandwagon of the latest trend ) come across as feeble and derivative . 	meanwhile , attempts at satirizing the shallowness of american culture ( i .<br> e .<br> , how easily the public can be fooled into jumping on the bandwagon of the latest trend ) come across as feeble and derivative .	1	-2	 meanwhile[0] attempts[0] at[0] satirizing[0] the[0] shallowness[0] of[0] american[0] culture[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] how[0] easily[0] the[0] public[0] can[0] be[0] fooled[-1] into[0] jumping[0] on[0] the[0] bandwagon[0] of[0] the[0] latest[0] trend[0] come[0] across[0] as[0] feeble[-1] and[0] derivative[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the acting in underwhelming . 	the acting in underwhelming .	1	-1	 the[0] acting[0] in[0] underwhelming[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dreyfuss has definitely not given his " all " to the role of james krippendorf . 	dreyfuss has definitely not given his " all " to the role of james krippendorf .	1	-1	 dreyfuss[0] has[0] definitely[0] not[0] given[0] his[0] all[0] to[0] the[0] role[0] of[0] james[0] krippendorf[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alongside him , jenna elfman , the spunky co-star of tv's dharma and greg , radiates perkiness and little else . 	alongside him , jenna elfman , the spunky co-star of tv's dharma and greg , radiates perkiness and little else .	1	-1	 alongside[0] him[0] jenna[0] elfman[0] the[0] spunky[0] co[0] star[0] of[0] tv's[0] dharma[0] and[0] greg[0] radiates[0] perkiness[0] and[0] little[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this quality , while fine for a 22-minute television program , quickly becomes irritating in the arena of a feature-length movie . 	this quality , while fine for a 22-minute television program , quickly becomes irritating in the arena of a feature-length movie .	3	-3	 this[0] quality[0] while[0] fine[2] for[0] a[0] 22[0] minute[0] television[0] program[0] quickly[0] becomes[0] irritating[-2] in[0] the[0] arena[0] of[0] a[0] feature[0] length[0] movie[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
no one in the supporting cast -- lily tomlin , david ogden stiers , natasha lyonne ( woody allen's daughter in everyone says i love you ) -- excels . 	no one in the supporting cast - lily tomlin , david ogden stiers , natasha lyonne ( woody allen's daughter in everyone says i love you ) - excels .	3	-1	 no[0] one[0] in[0] the[0] supporting[1] cast[0] lily[0] tomlin[0] david[0] ogden[0] stiers[0] natasha[0] lyonne[0] woody[0] allen's[0] daughter[0] in[0] everyone[0] says[0] i[0] love[2] you[0] excels[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i know that a movie's in trouble when it's half the length of titanic , but seems much longer . 	i know that a movie's in trouble when it's half the length of titanic , but seems much longer .	1	-2	 i[0] know[0] that[0] a[0] movie's[0] in[0] trouble[-1] when[0] it's[0] half[0] the[0] length[0] of[0] titanic[0] but[0] seems[0] much[0] longer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of what comes on screen is generic sit-com level material -- the kind of slop that people will absorb while dozing off in their favorite easy chair in front of the television set . 	most of what comes on screen is generic sit-com level material - the kind of slop that people will absorb while dozing off in their favorite easy chair in front of the television set .	2	-1	 most[0] of[0] what[0] comes[0] on[0] screen[0] is[0] generic[0] sit[0] com[0] level[0] material[0] the[0] kind[1] of[0] slop[0] that[0] people[0] will[0] absorb[0] while[0] dozing[0] off[0] in[0] their[0] favorite[1] easy[0] chair[0] in[0] front[0] of[0] the[0] television[0] set[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if there's any upside , it's that i don't see much box-office support developing for this lame , ill-marketed miscue . 	if there's any upside , it's that i don't see much box-office support developing for this lame , ill-marketed miscue .	2	-3	 if[0] there's[0] any[0] upside[0] it's[0] that[0] i[0] don't[0] see[0] much[0] box[0] office[0] support[1] developing[0] for[0] this[0] lame[-2] ill[-1] marketed[0] miscue[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
krippendorf's tribe will quickly become extinct . 	krippendorf's tribe will quickly become extinct .	1	-2	 krippendorf's[0] tribe[0] will[0] quickly[0] become[0] extinct[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
