billy crystal reappears in yet another high concept comedy . 	Translation	Positive	Negative	EmotionRationale
but will he develop a conscience before the innocent max becomes disillusioned . 	but will he develop a conscience before the innocent max becomes disillusioned .	2	-2	 but[0] will[0] he[0] develop[0] a[0] conscience[0] before[0] the[0] innocent[1] max[0] becomes[0] disillusioned[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the humor in my giant isn't the world's greatest . 	the humor in my giant isn't the world's greatest .	3	-1	 the[0] humor[2] in[0] my[0] giant[0] isn't[0] the[0] world's[0] greatest[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mostly , it falls under the category of " boy . . . he's 	mostly , it falls under the category of " boy .<br> .<br> .<br> he's	1	-1	 mostly[0] it[0] falls[0] under[0] the[0] category[0] of[0] boy[0] [[Sentence=-1,1=word max, 1-5]] he's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so big ! " , 	so big !<br> " ,	1	-1	 so[0] big[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that can only go so far , no matter how hard the talent tries . 	and that can only go so far , no matter how hard the talent tries .	2	-1	 and[0] that[0] can[0] only[0] go[0] so[0] far[0] no[0] matter[0] how[0] hard[0] the[0] talent[1] tries[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still , its slightly amusing parts are longed for when the movie gets bogged down in sappy moments . 	still , its slightly amusing parts are longed for when the movie gets bogged down in sappy moments .	1	-1	 still[0] its[0] slightly[0] amusing[1][-1 LastWordBoosterStrength] parts[0] are[0] longed[0] for[0] when[0] the[0] movie[0] gets[0] bogged[0] down[0] in[0] sappy[0] moments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's best moment ( and that's not saying much ) is a bit part by steven seagal , playing himself . 	the film's best moment ( and that's not saying much ) is a bit part by steven seagal , playing himself .	2	-1	 the[0] film's[0] best[1] moment[0] and[0] that's[0] not[0] saying[0] much[0] is[0] a[0] bit[0] part[0] by[0] steven[0] seagal[0] playing[1] himself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
between executive decision and this , all of seagal's best roles have been cameos . 	between executive decision and this , all of seagal's best roles have been cameos .	2	-1	 between[0] executive[0] decision[0] and[0] this[0] all[0] of[0] seagal's[0] best[1] roles[0] have[0] been[0] cameos[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maybe he should consider a change of work : steven seagal , the character actor ! 	maybe he should consider a change of work : steven seagal , the character actor !	1	-1	 maybe[0] he[0] should[0] consider[0] a[0] change[0] of[0] work[0] steven[0] seagal[0] the[0] character[0] actor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gheorghe muresan isn't a natural actor at all , and his thick cotton-mouthed accent certainly doesn't help . 	gheorghe muresan isn't a natural actor at all , and his thick cotton-mouthed accent certainly doesn't help .	1	-1	 gheorghe[0] muresan[0] isn't[0] a[0] natural[0] actor[0] at[0] all[0] and[0] his[0] thick[0] cotton[0] mouthed[0] accent[0] certainly[0] doesn't[0] help[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact the only thing he adds to the role is his immense stature . 	in fact the only thing he adds to the role is his immense stature .	1	-1	 in[0] fact[0] the[0] only[0] thing[0] he[0] adds[0] to[0] the[0] role[0] is[0] his[0] immense[0] stature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
originally , the concept was designed several years ago for andre the giant . 	originally , the concept was designed several years ago for andre the giant .	1	-1	 originally[0] the[0] concept[0] was[0] designed[0] several[0] years[0] ago[0] for[0] andre[0] the[0] giant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
andre also had a hefty accent , but he displayed a knack for comedy in the princess bride . . . something 	andre also had a hefty accent , but he displayed a knack for comedy in the princess bride .<br> .<br> .<br> something	1	-1	 andre[0] also[0] had[0] a[0] hefty[0] accent[0] but[0] he[0] displayed[0] a[0] knack[0] for[0] comedy[0] in[0] the[0] princess[0] bride[0] [[Sentence=-1,1=word max, 1-5]] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
muresan should have studied for some pointers . 	muresan should have studied for some pointers .	1	-1	 muresan[0] should[0] have[0] studied[0] for[0] some[0] pointers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why does billy crystal continually get caught in these pathetic comedies ? 	why does billy crystal continually get caught in these pathetic comedies ?	1	-3	 why[0] does[0] billy[0] crystal[0] continually[0] get[0] caught[0] in[0] these[0] pathetic[-2] comedies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's proven that he can be much funnier than these formulaic films allow him to be , and yet , like a glutton for punishment , he keeps coming back . 	he's proven that he can be much funnier than these formulaic films allow him to be , and yet , like a glutton for punishment , he keeps coming back .	2	-2	 he's[0] proven[0] that[0] he[0] can[0] be[0] much[0] funnier[1] than[0] these[0] formulaic[0] films[0] allow[0] him[0] to[0] be[0] and[0] yet[0] like[1] a[0] glutton[0] for[0] punishment[-1] he[0] keeps[0] coming[0] back[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that doesn't mean we have to . 	that doesn't mean we have to .	1	-1	 that[0] doesn't[0] mean[0] we[0] have[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
