if only austin powers : the spy who shagged me had been just half as original , zany , silly and totally enjoyable as its predecessor , it would have easily been one of this summer's biggest pleasures . 	Translation	Positive	Negative	EmotionRationale
the basic plot was delightfully silly enough to sustain my interest somewhat ; dr . evil ( mike myers , in the second of his three roles ) , having constructed a time machine , goes back to the year 1969 in an attempt to snatch austin power's " mojo " ( don't you just love that word ? ) 	the basic plot was delightfully silly enough to sustain my interest somewhat ; dr .<br> evil ( mike myers , in the second of his three roles ) , having constructed a time machine , goes back to the year 1969 in an attempt to snatch austin power's " mojo " ( don't you just love that word ?<br> )	3	-3	 the[0] basic[0] plot[0] was[0] delightfully[2] silly[-1] enough[0] to[0] sustain[0] my[0] interest[1] somewhat[0] dr[0] [[Sentence=-2,3=word max, 1-5]] evil[-2] mike[0] myers[0] in[0] the[0] second[0] of[0] his[0] three[0] roles[0] having[0] constructed[0] a[0] time[0] machine[0] goes[0] back[0] to[0] the[0] year[0] 1969[0] in[0] an[0] attempt[0] to[0] snatch[-1] austin[0] power's[0] mojo[0] don't[0] you[0] just[0] love[2][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] that[0] word[0] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
whilst he is cryogenically frozen . 	whilst he is cryogenically frozen .	1	-1	 whilst[0] he[0] is[0] cryogenically[0] frozen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when austin gets wind of this ( after a great intro explaining the absence of elizabeth hurley's vanessa kensington ) , he too travels back in time to re-claim his sexual drive , accompanied by the hot-to-trot felicity shagwell , played by heather graham . 	when austin gets wind of this ( after a great intro explaining the absence of elizabeth hurley's vanessa kensington ) , he too travels back in time to re-claim his sexual drive , accompanied by the hot-to-trot felicity shagwell , played by heather graham .	3	-2	 when[0] austin[0] gets[0] wind[0] of[0] this[0] after[0] a[0] great[2] intro[0] explaining[0] the[0] absence[-1] of[0] elizabeth[0] hurley's[0] vanessa[0] kensington[0] he[0] too[0] travels[0] back[0] in[0] time[0] to[0] re[0] claim[0] his[0] sexual[0] drive[0] accompanied[0] by[0] the[0] hot[0] to[0] trot[0] felicity[0] shagwell[0] played[0] by[0] heather[0] graham[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this sounds stupid , i know , but in the movie it starts to make some kind of weird , off-the-wall sense , and it worked for me . 	this sounds stupid , i know , but in the movie it starts to make some kind of weird , off-the-wall sense , and it worked for me .	1	-2	 this[0] sounds[0] stupid[-1] i[0] know[0] but[0] in[0] the[0] movie[0] it[0] starts[0] to[0] make[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] weird[-1] off[0] the[0] wall[0] sense[0] and[0] it[0] worked[0] for[0] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then there's mini-me ( verne troyer ) , a . . . 	then there's mini-me ( verne troyer ) , a .<br> .<br> .	1	-1	 then[0] there's[0] mini[0] me[0] verne[0] troyer[0] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
petite clone of myer's dr . evil , exactly 1/8 in size . 	petite clone of myer's dr .<br> evil , exactly 1/8 in size .	1	-3	 petite[0] clone[0] of[0] myer's[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] exactly[0] 1/8[0] in[0] size[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
troyer's persona alone gains the film an extra half-star , contributing to one particularly hilarious scene where he attempts to nibble on his own mini-mr . 	troyer's persona alone gains the film an extra half-star , contributing to one particularly hilarious scene where he attempts to nibble on his own mini-mr .	3	-1	 troyer's[0] persona[0] alone[0] gains[0] the[0] film[0] an[0] extra[0] half[0] star[0] contributing[0] to[0] one[0] particularly[0] hilarious[2] scene[0] where[0] he[0] attempts[0] to[0] nibble[0] on[0] his[0] own[0] mini[0] mr[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
bigglesworth . 	bigglesworth .	1	-1	 bigglesworth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just try to ignore the fact that , at 2'8'' , he would make dr . evil's height rise to just over 21 feet . 	just try to ignore the fact that , at 2'8'' , he would make dr .<br> evil's height rise to just over 21 feet .	1	-3	 just[0] try[0] to[0] ignore[0] the[0] fact[0] that[0] at[0] 2'8''[0] he[0] would[0] make[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil's[-2] height[0] rise[0] to[0] just[0] over[0] 21[0] feet[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
no matter . 	no matter .	1	-1	 no[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , there are only about four hearty laughs throughout the entire hour and a half ( the most notable being the now infamous tent scene ) , and that just isn't enough to warrant even a minor recommendation . 	however , there are only about four hearty laughs throughout the entire hour and a half ( the most notable being the now infamous tent scene ) , and that just isn't enough to warrant even a minor recommendation .	2	-2	 however[0] there[0] are[0] only[0] about[0] four[0] hearty[0] laughs[1] throughout[0] the[0] entire[0] hour[0] and[0] a[0] half[0] the[0] most[0] notable[0] being[0] the[0] now[0] infamous[-1] tent[0] scene[0] and[0] that[0] just[0] isn't[0] enough[0] to[0] warrant[0] even[0] a[0] minor[0] recommendation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if there is in fact an " austin powers 3 " , they should just kill off secret agent powers and put the emphasis on dr . evil and mini-me . 	if there is in fact an " austin powers 3 " , they should just kill off secret agent powers and put the emphasis on dr .<br> evil and mini-me .	1	-3	 if[0] there[0] is[0] in[0] fact[0] an[0] austin[0] powers[0] 3[0] they[0] should[0] just[0] kill[-1][--1 LastWordBoosterStrength] off[0] secret[0] agent[0] powers[0] and[0] put[0] the[0] emphasis[0] on[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] and[0] mini[0] me[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
unconventional , yes , but there's no denying that it'd make for a better movie . 	unconventional , yes , but there's no denying that it'd make for a better movie .	1	-1	 unconventional[0] yes[0] but[0] there's[0] no[0] denying[0] that[0] it'd[0] make[0] for[0] a[0] better[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
