the following review encompasses two versions of dune : 	Translation	Positive	Negative	EmotionRationale
the overall impression is a world full of people so intense that no one is allowed a joke lest the universe come crashing down around them . 	the overall impression is a world full of people so intense that no one is allowed a joke lest the universe come crashing down around them .	2	-1	 the[0] overall[0] impression[0] is[0] a[0] world[0] full[0] of[0] people[0] so[0] intense[0] that[0] no[0] one[0] is[0] allowed[0] a[0] joke[1] lest[0] the[0] universe[0] come[0] crashing[0] down[0] around[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
humour - or at least a gentle kind of humour as distinct from the harkonnen's mad , sadistic kind - is hard to find . 	humour - or at least a gentle kind of humour as distinct from the harkonnen's mad , sadistic kind - is hard to find .	3	-2	 humour[2] or[0] at[0] least[0] a[0] gentle[1] kind[1] of[0] humour[2] as[0] distinct[0] from[0] the[0] harkonnen's[0] mad[-1] sadistic[0] kind[1] is[0] hard[0] to[0] find[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
you may balk at the comparison , but as a writer lynch could well have done with some lessons from george lucus' star wars trilogy . 	you may balk at the comparison , but as a writer lynch could well have done with some lessons from george lucus' star wars trilogy .	1	-3	 you[0] may[0] balk[-1][--1 LastWordBoosterStrength] at[0] the[0] comparison[0] but[0] as[0] a[0] writer[0] lynch[0] could[0] well[0] have[0] done[0] with[0] some[0] lessons[0] from[0] george[0] lucus'[0] star[0] wars[-2] trilogy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the theatrical version is still some way from being a complete disaster , however . 	the theatrical version is still some way from being a complete disaster , however .	1	-3	 the[0] theatrical[0] version[0] is[0] still[0] some[0] way[0] from[0] being[0] a[0] complete[0] disaster[-1][-1 LastWordBoosterStrength] however[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it still possesses enough of lynch's stylistic quirks and enough visual invention to sustain the interest of viewers with a taste for imaginative sci-fi . 	it still possesses enough of lynch's stylistic quirks and enough visual invention to sustain the interest of viewers with a taste for imaginative sci-fi .	2	-1	 it[0] still[0] possesses[0] enough[0] of[0] lynch's[0] stylistic[0] quirks[0] and[0] enough[0] visual[0] invention[0] to[0] sustain[0] the[0] interest[1] of[0] viewers[0] with[0] a[0] taste[0] for[0] imaginative[1] sci[0] fi[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
special effects whiz carlo rambaldi's giant sandworms are an awesome sight . 	special effects whiz carlo rambaldi's giant sandworms are an awesome sight .	3	-1	 special[1] effects[0] whiz[0] carlo[0] rambaldi's[0] giant[0] sandworms[0] are[0] an[0] awesome[2] sight[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
both the production design ( anthony masters ) and costume design ( bob ringwood ) are striking and original . 	both the production design ( anthony masters ) and costume design ( bob ringwood ) are striking and original .	1	-1	 both[0] the[0] production[0] design[0] anthony[0] masters[0] and[0] costume[0] design[0] bob[0] ringwood[0] are[0] striking[0] and[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the magnificent score by toto and brian eno is one of the most underrated soundtracks of the last twenty years . 	and the magnificent score by toto and brian eno is one of the most underrated soundtracks of the last twenty years .	4	-1	 and[0] the[0] magnificent[3] score[0] by[0] toto[0] and[0] brian[0] eno[0] is[0] one[0] of[0] the[0] most[0] underrated[0] soundtracks[0] of[0] the[0] last[0] twenty[0] years[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
with these elements in place and the benefit of freddie francis' lush cinematography , the film is at least a feast for the senses . 	with these elements in place and the benefit of freddie francis' lush cinematography , the film is at least a feast for the senses .	1	-1	 with[0] these[0] elements[0] in[0] place[0] and[0] the[0] benefit[0] of[0] freddie[0] francis'[0] lush[0] cinematography[0] the[0] film[0] is[0] at[0] least[0] a[0] feast[0] for[0] the[0] senses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
see it in the widescreen format if you can . 	see it in the widescreen format if you can .	1	-1	 see[0] it[0] in[0] the[0] widescreen[0] format[0] if[0] you[0] can[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and despite all the cuts , several cast members still make a strong impression , most notably kenneth mcmillan as the supremely nasty baron vladimir harkonnen . 	and despite all the cuts , several cast members still make a strong impression , most notably kenneth mcmillan as the supremely nasty baron vladimir harkonnen .	3	-3	 and[0] despite[0] all[0] the[0] cuts[0] several[0] cast[0] members[0] still[0] make[0] a[0] strong[0] impression[0] most[0] notably[0] kenneth[0] mcmillan[0] as[0] the[0] supremely[2] nasty[-2] baron[0] vladimir[0] harkonnen[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
sian phillips also registers strongly as the reverend mother gaius helen mohiam , leader of the bene gesserit religious order who's secret aim is to manipulate paul's destiny for its own shadowy ends . 	sian phillips also registers strongly as the reverend mother gaius helen mohiam , leader of the bene gesserit religious order who's secret aim is to manipulate paul's destiny for its own shadowy ends .	1	-2	 sian[0] phillips[0] also[0] registers[0] strongly[0] as[0] the[0] reverend[0] mother[0] gaius[0] helen[0] mohiam[0] leader[0] of[0] the[0] bene[0] gesserit[0] religious[0] order[0] who's[0] secret[0] aim[0] is[0] to[0] manipulate[-1] paul's[0] destiny[0] for[0] its[0] own[0] shadowy[0] ends[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as paul atreides , the young kyle maclachlan starts off somewhat shakily , but as his character grows in strength so does his performance and he emerges as a credible leader of the fremen crusade . 	as paul atreides , the young kyle maclachlan starts off somewhat shakily , but as his character grows in strength so does his performance and he emerges as a credible leader of the fremen crusade .	1	-2	 as[0] paul[0] atreides[0] the[0] young[0] kyle[0] maclachlan[0] starts[0] off[0] somewhat[0] shakily[-1] but[0] as[0] his[0] character[0] grows[0] in[0] strength[0] so[0] does[0] his[0] performance[0] and[0] he[0] emerges[0] as[0] a[0] credible[0] leader[0] of[0] the[0] fremen[0] crusade[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the conclusion ? 	the conclusion ?	1	-1	 the[0] conclusion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
any assessment of this film must take into account that frank herbert's original novel is a complex piece of work and presents a tough challenge for any filmmaker . 	any assessment of this film must take into account that frank herbert's original novel is a complex piece of work and presents a tough challenge for any filmmaker .	1	-2	 any[0] assessment[0] of[0] this[0] film[0] must[0] take[0] into[0] account[0] that[0] frank[0] herbert's[0] original[0] novel[0] is[0] a[0] complex[0] piece[0] of[0] work[0] and[0] presents[0] a[0] tough[-1] challenge[-1] for[0] any[0] filmmaker[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
david lynch took a brave stab at it and , partly due to forces beyond his control , ended up with an officially released version that fails in several key respects . 	david lynch took a brave stab at it and , partly due to forces beyond his control , ended up with an officially released version that fails in several key respects .	3	-3	 david[0] lynch[0] took[0] a[0] brave[2] stab[-1] at[0] it[0] and[0] partly[0] due[0] to[0] forces[0] beyond[0] his[0] control[0] ended[0] up[0] with[0] an[0] officially[0] released[0] version[0] that[0] fails[-2] in[0] several[0] key[0] respects[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
dune certainly confused and frustrated a lot of people on its release . 	dune certainly confused and frustrated a lot of people on its release .	1	-3	 dune[0] certainly[0] confused[-1] and[0] frustrated[-2] a[0] lot[0] of[0] people[0] on[0] its[0] release[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
many chose to stay away altogether , as the film's disastrous box office showing attests . 	many chose to stay away altogether , as the film's disastrous box office showing attests .	1	-4	 many[0] chose[0] to[0] stay[0] away[0] altogether[0] as[0] the[0] film's[0] disastrous[-3] box[0] office[0] showing[0] attests[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the extended version , however , is a rather different beast . 	the extended version , however , is a rather different beast .	1	-1	 the[0] extended[0] version[0] however[0] is[0] a[0] rather[0] different[0] beast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in 1984 lynch stated his intention to release his own special edition " director's cut " of the film on home video , a clear indication of his dissatisfaction with the version that ended up in the theatres . 	in 1984 lynch stated his intention to release his own special edition " director's cut " of the film on home video , a clear indication of his dissatisfaction with the version that ended up in the theatres .	2	-2	 in[0] 1984[0] lynch[0] stated[0] his[0] intention[0] to[0] release[0] his[0] own[0] special[1] edition[0] director's[0] cut[0] of[0] the[0] film[0] on[0] home[0] video[0] a[0] clear[0] indication[0] of[0] his[0] dissatisfaction[-1] with[0] the[0] version[0] that[0] ended[0] up[0] in[0] the[0] theatres[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but , alas , he failed to do so , choosing to move on to other projects . 	but , alas , he failed to do so , choosing to move on to other projects .	1	-3	 but[0] alas[-1] he[0] failed[-2] to[0] do[0] so[0] choosing[0] to[0] move[0] on[0] to[0] other[0] projects[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in a way , then , it is partly lynch's own fault that what appeared instead was an unauthorised extended version , put together in 1988 by mca tv special projects for airing on cable networks in the usa . 	in a way , then , it is partly lynch's own fault that what appeared instead was an unauthorised extended version , put together in 1988 by mca tv special projects for airing on cable networks in the usa .	2	-2	 in[0] a[0] way[0] then[0] it[0] is[0] partly[0] lynch's[0] own[0] fault[-1] that[0] what[0] appeared[0] instead[0] was[0] an[0] unauthorised[0] extended[0] version[0] put[0] together[0] in[0] 1988[0] by[0] mca[0] tv[0] special[1] projects[0] for[0] airing[0] on[0] cable[0] networks[0] in[0] the[0] usa[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
stung into action , lynch successfully petitioned the director's guild to take his name off the credits and replace it with " allen smithee " , the standard pseudonym for directors who wish to disown their own work . 	stung into action , lynch successfully petitioned the director's guild to take his name off the credits and replace it with " allen smithee " , the standard pseudonym for directors who wish to disown their own work .	3	-1	 stung[0] into[0] action[0] lynch[0] successfully[2] petitioned[0] the[0] director's[0] guild[0] to[0] take[0] his[0] name[0] off[0] the[0] credits[0] and[0] replace[0] it[0] with[0] allen[0] smithee[0] the[0] standard[0] pseudonym[0] for[0] directors[0] who[0] wish[0] to[0] disown[0] their[0] own[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he also had the screenwriting credit changed to the anonymous " judas booth " . 	he also had the screenwriting credit changed to the anonymous " judas booth " .	1	-1	 he[0] also[0] had[0] the[0] screenwriting[0] credit[0] changed[0] to[0] the[0] anonymous[0] judas[0] booth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
certainly , looking at the results of mca's handiwork there's at least half a dozen instances that , for sheer technical sloppiness , are good enough reasons for the director to object . 	certainly , looking at the results of mca's handiwork there's at least half a dozen instances that , for sheer technical sloppiness , are good enough reasons for the director to object .	2	-1	 certainly[0] looking[0] at[0] the[0] results[0] of[0] mca's[0] handiwork[0] there's[0] at[0] least[0] half[0] a[0] dozen[0] instances[0] that[0] for[0] sheer[0] technical[0] sloppiness[0] are[0] good[1] enough[0] reasons[0] for[0] the[0] director[0] to[0] object[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but these gripes must be considered in light of the improvements that the extended cut of dune offers in several crucial areas . 	but these gripes must be considered in light of the improvements that the extended cut of dune offers in several crucial areas .	2	-1	 but[0] these[0] gripes[0] must[0] be[0] considered[0] in[0] light[0] of[0] the[0] improvements[1] that[0] the[0] extended[0] cut[0] of[0] dune[0] offers[0] in[0] several[0] crucial[0] areas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most of the changes involve the restoration or extension of cut scenes and the addition of extra narration , both of which fill many holes in the original version's storyline . 	most of the changes involve the restoration or extension of cut scenes and the addition of extra narration , both of which fill many holes in the original version's storyline .	1	-1	 most[0] of[0] the[0] changes[0] involve[0] the[0] restoration[0] or[0] extension[0] of[0] cut[0] scenes[0] and[0] the[0] addition[0] of[0] extra[0] narration[0] both[0] of[0] which[0] fill[0] many[0] holes[0] in[0] the[0] original[0] version's[0] storyline[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
paul's relationship with his father and associates is more intimate , with moments of humour and warmth lacking previously . 	paul's relationship with his father and associates is more intimate , with moments of humour and warmth lacking previously .	3	-1	 paul's[0] relationship[0] with[0] his[0] father[0] and[0] associates[0] is[0] more[0] intimate[0] with[0] moments[0] of[0] humour[2] and[0] warmth[0] lacking[0] previously[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the political skulduggery involving the emperor , the spacing guild , the bene gesserits and the two warring houses is far better explained . 	the political skulduggery involving the emperor , the spacing guild , the bene gesserits and the two warring houses is far better explained .	1	-3	 the[0] political[0] skulduggery[0] involving[0] the[0] emperor[0] the[0] spacing[0] guild[0] the[0] bene[0] gesserits[0] and[0] the[0] two[0] warring[-2] houses[0] is[0] far[0] better[0] explained[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
paul's initiation into the fremen way of life on arrakis is also fleshed out considerably . 	paul's initiation into the fremen way of life on arrakis is also fleshed out considerably .	1	-1	 paul's[0] initiation[0] into[0] the[0] fremen[0] way[0] of[0] life[0] on[0] arrakis[0] is[0] also[0] fleshed[0] out[0] considerably[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and as further background , a new prologue has been added featuring narration and painted stills to give us a brief history of the dune universe . 	and as further background , a new prologue has been added featuring narration and painted stills to give us a brief history of the dune universe .	1	-1	 and[0] as[0] further[0] background[0] a[0] new[0] prologue[0] has[0] been[0] added[0] featuring[0] narration[0] and[0] painted[0] stills[0] to[0] give[0] us[0] a[0] brief[0] history[0] of[0] the[0] dune[0] universe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a piece of storytelling , then , mca tv's version of dune is clearly superior . 	as a piece of storytelling , then , mca tv's version of dune is clearly superior .	3	-1	 as[0] a[0] piece[0] of[0] storytelling[0] then[0] mca[0] tv's[0] version[0] of[0] dune[0] is[0] clearly[0] superior[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
