 " gordy " is not a movie , it is a 90-minute-long " sesame street " skit , and a very bad one at that . 	Translation	Positive	Negative	EmotionRationale
he leaves the party and meets jinnie sue , but he accidentally falls in a pool ( probably because he was sitting on the diving board with a  200 suit on - nah , didn't see that one coming ! ) , 	he leaves the party and meets jinnie sue , but he accidentally falls in a pool ( probably because he was sitting on the diving board with a  200 suit on - nah , didn't see that one coming !<br> ) ,	2	-2	 he[0] leaves[0] the[0] party[0] and[0] meets[0] jinnie[0] sue[0] but[0] he[0] accidentally[-1] falls[0] in[0] a[0] pool[0] probably[0] because[0] he[0] was[0] sitting[0] on[0] the[0] diving[1] board[0] with[0] a[0] 200[0] suit[0] on[0] nah[0] didn't[0] see[0] that[0] one[0] coming[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
starts to drown , and is miraculously saved as gordy pushes an inflatable float over to him and saves him . 	starts to drown , and is miraculously saved as gordy pushes an inflatable float over to him and saves him .	2	-2	 starts[0] to[0] drown[-1] and[0] is[0] miraculously[0] saved[1] as[0] gordy[0] pushes[0] an[0] inflatable[0] float[0] over[0] to[0] him[0] and[0] saves[1] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if this had not been insanely stupid already the story quickly changes when jinnie gives gordy to hank who then ends up becoming the ceo of a food processing corporation when hank's grandfather , the original ceo , dies and leaves his fortune to hank . . . 	if this had not been insanely stupid already the story quickly changes when jinnie gives gordy to hank who then ends up becoming the ceo of a food processing corporation when hank's grandfather , the original ceo , dies and leaves his fortune to hank .<br> .<br> .	1	-2	 if[0] this[0] had[0] not[0] been[0] insanely[0] stupid[-1] already[0] the[0] story[0] quickly[0] changes[0] when[0] jinnie[0] gives[0] gordy[0] to[0] hank[0] who[0] then[0] ends[0] up[0] becoming[0] the[0] ceo[0] of[0] a[0] food[0] processing[0] corporation[0] when[0] hank's[0] grandfather[0] the[0] original[0] ceo[0] dies[0] and[0] leaves[0] his[0] fortune[0] to[0] hank[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and gordy ! 	and gordy !	1	-1	 and[0] gordy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course there must be a villain , but even this villain ( donadio as sipes ) isn't that evil . 	of course there must be a villain , but even this villain ( donadio as sipes ) isn't that evil .	3	-3	 of[0] course[0] there[0] must[0] be[0] a[0] villain[-2] but[0] even[0] this[0] villain[-2] donadio[0] as[0] sipes[0] isn't[0] that[0] evil[-2][NegatedDueToPreviousWord] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he never raises his voice or becomes angry , and of course he has the typical idiot goons kidnap gordy but this is just so beyond stupid and cartoony we are constantly two steps ahead of the story . 	he never raises his voice or becomes angry , and of course he has the typical idiot goons kidnap gordy but this is just so beyond stupid and cartoony we are constantly two steps ahead of the story .	1	-4	 he[0] never[0] raises[0] his[0] voice[0] or[0] becomes[0] angry[-3] and[0] of[0] course[0] he[0] has[0] the[0] typical[0] idiot[-2] goons[0] kidnap[-1] gordy[0] but[0] this[0] is[0] just[0] so[0] beyond[0] stupid[-1] and[0] cartoony[0] we[0] are[0] constantly[0] two[0] steps[0] ahead[0] of[0] the[0] story[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's hard to tell whether the overall corniness and cheesiness to the movie is intentional because it is a family film , or if the filmmaker's are just this untalented and stupid . 	it's hard to tell whether the overall corniness and cheesiness to the movie is intentional because it is a family film , or if the filmmaker's are just this untalented and stupid .	1	-2	 it's[0] hard[0] to[0] tell[0] whether[0] the[0] overall[0] corniness[0] and[0] cheesiness[0] to[0] the[0] movie[0] is[0] intentional[0] because[0] it[0] is[0] a[0] family[0] film[0] or[0] if[0] the[0] filmmaker's[0] are[0] just[0] this[0] untalented[0] and[0] stupid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at times " gordy " is tolerable to watch , thus earning it one star and not the dreaded " z- . " 	at times " gordy " is tolerable to watch , thus earning it one star and not the dreaded " z- .<br> "	4	-1	 at[0] times[0] gordy[0] is[0] tolerable[0] to[0] watch[0] thus[0] earning[0] it[0] one[0] star[0] and[0] not[0] the[0] dreaded[-3][NegatedDueToPreviousWord] z[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but it's just so unbelievably boring , cliche , dumb , unfunny , corny , and just plain bad it may scare children , it certainly disturbed me . 	but it's just so unbelievably boring , cliche , dumb , unfunny , corny , and just plain bad it may scare children , it certainly disturbed me .	1	-3	 but[0] it's[0] just[0] so[0] unbelievably[-1] boring[-1] cliche[0] dumb[-1] unfunny[0] corny[0] and[0] just[0] plain[0] bad[-1] it[0] may[0] scare[-3][--1 LastWordBoosterStrength] children[0] it[0] certainly[0] disturbed[-1] me[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( 4/21/96 ) ( 1/29/97 ) ( 6/13/97 ) [see also : " babe " ] 	 ( 4/21/96 ) ( 1/29/97 ) ( 6/13/97 ) [see also : " babe " ]	1	-1	 4/21/96[0] 1/29/97[0] 6/13/97[0] [see[0] also[0] babe[0] ][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
