if you haven't plunked down your hard-earned money yet for " wild wild west , " the latest summer holiday offering from will smith , let me say right now that your money will be better spent on a starbuck's frappacino or on a ben & jerry's sundae . 	Translation	Positive	Negative	EmotionRationale
although their individual talents must be combined to achieve success , their interaction with one another merely seemed like a second rate , two-man vaudevillian act . 	although their individual talents must be combined to achieve success , their interaction with one another merely seemed like a second rate , two-man vaudevillian act .	3	-1	 although[0] their[0] individual[0] talents[1] must[0] be[0] combined[0] to[0] achieve[0] success[2] their[0] interaction[0] with[0] one[0] another[0] merely[0] seemed[0] like[1] a[0] second[0] rate[0] two[0] man[0] vaudevillian[0] act[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for example , there is a scene where west , being more debonair than the reserved gordon , notes that the fake breasts should be filled with water rather than buckwheat , which is what it is currently filled with . 	for example , there is a scene where west , being more debonair than the reserved gordon , notes that the fake breasts should be filled with water rather than buckwheat , which is what it is currently filled with .	1	-2	 for[0] example[0] there[0] is[0] a[0] scene[0] where[0] west[0] being[0] more[0] debonair[0] than[0] the[0] reserved[0] gordon[0] notes[0] that[0] the[0] fake[-1] breasts[0] should[0] be[0] filled[0] with[0] water[0] rather[0] than[0] buckwheat[0] which[0] is[0] what[0] it[0] is[0] currently[0] filled[0] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " now touch my breast , " west says . 	 " now touch my breast , " west says .	1	-1	 now[0] touch[0] my[0] breast[0] west[0] says[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gordon does so and then softly coos his approval . 	gordon does so and then softly coos his approval .	1	-1	 gordon[0] does[0] so[0] and[0] then[0] softly[0] coos[0] his[0] approval[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i found myself groaning at this kind of silliness . 	i found myself groaning at this kind of silliness .	2	-1	 i[0] found[0] myself[0] groaning[0] at[0] this[0] kind[1] of[0] silliness[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script fails to generate any sense of drama , humor , or fun for that matter . 	the script fails to generate any sense of drama , humor , or fun for that matter .	3	-3	 the[0] script[0] fails[-2] to[0] generate[0] any[0] sense[0] of[0] drama[0] humor[2] or[0] fun[1] for[0] that[0] matter[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i did enjoy kline's reserved performance , but was surprised at how much latitude they gave to smith . 	i did enjoy kline's reserved performance , but was surprised at how much latitude they gave to smith .	2	-1	 i[0] did[0] enjoy[2][-1 LastWordBoosterStrength] kline's[0] reserved[0] performance[0] but[0] was[0] surprised[0] at[0] how[0] much[0] latitude[0] they[0] gave[0] to[0] smith[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
could it be that will smith is just so bankable that he's not even required to act ? 	could it be that will smith is just so bankable that he's not even required to act ?	1	-1	 could[0] it[0] be[0] that[0] will[0] smith[0] is[0] just[0] so[0] bankable[0] that[0] he's[0] not[0] even[0] required[0] to[0] act[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was as if the director was yelling " will smith , do your own thing . . . and 	it was as if the director was yelling " will smith , do your own thing .<br> .<br> .<br> and	1	-1	 it[0] was[0] as[0] if[0] the[0] director[0] was[0] yelling[0] will[0] smith[0] do[0] your[0] own[0] thing[0] [[Sentence=-1,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
action ! " 	action !<br> "	1	-1	 action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here's an example . 	here's an example .	1	-1	 here's[0] an[0] example[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this scene , will smith is about to be hanged by a group of angry white people . 	in this scene , will smith is about to be hanged by a group of angry white people .	1	-4	 in[0] this[0] scene[0] will[0] smith[0] is[0] about[0] to[0] be[0] hanged[0] by[0] a[0] group[0] of[0] angry[-3] white[0] people[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he must endear himself to the crowd to escape . 	he must endear himself to the crowd to escape .	1	-1	 he[0] must[0] endear[0] himself[0] to[0] the[0] crowd[0] to[0] escape[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director yells , " will smith , do your own thing . . . and 	the director yells , " will smith , do your own thing .<br> .<br> .<br> and	1	-1	 the[0] director[0] yells[0] will[0] smith[0] do[0] your[0] own[0] thing[0] [[Sentence=-1,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
action ! " 	action !<br> "	1	-1	 action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in another scene , he has to masquerade as a belly dancer in order to save his comrades . 	in another scene , he has to masquerade as a belly dancer in order to save his comrades .	2	-1	 in[0] another[0] scene[0] he[0] has[0] to[0] masquerade[0] as[0] a[0] belly[0] dancer[0] in[0] order[0] to[0] save[1] his[0] comrades[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " will smith , do your own thing . . . and 	 " will smith , do your own thing .<br> .<br> .<br> and	1	-1	 will[0] smith[0] do[0] your[0] own[0] thing[0] [[Sentence=-1,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
action ! " 	action !<br> "	1	-1	 action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
worse still , the final battle scene aboard the mechanical tarantula is a horrid mess . 	worse still , the final battle scene aboard the mechanical tarantula is a horrid mess .	1	-4	 worse[-2] still[0] the[0] final[0] battle[-1] scene[0] aboard[0] the[0] mechanical[0] tarantula[0] is[0] a[0] horrid[-3] mess[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there are cogs spinning and pulleys pulling and levers going up and down everywhere you look . 	there are cogs spinning and pulleys pulling and levers going up and down everywhere you look .	1	-1	 there[0] are[0] cogs[0] spinning[0] and[0] pulleys[0] pulling[0] and[0] levers[0] going[0] up[0] and[0] down[0] everywhere[0] you[0] look[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's actually a lot of imagination at work in this film . 	there's actually a lot of imagination at work in this film .	1	-1	 there's[0] actually[0] a[0] lot[0] of[0] imagination[0] at[0] work[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some genuinely clever inventions and gizmos introduced , but all of this imagination is wasted in a film that is visually cluttered and dramatically flat . 	there are some genuinely clever inventions and gizmos introduced , but all of this imagination is wasted in a film that is visually cluttered and dramatically flat .	1	-2	 there[0] are[0] some[0] genuinely[0] clever[0] inventions[0] and[0] gizmos[0] introduced[0] but[0] all[0] of[0] this[0] imagination[0] is[0] wasted[-1] in[0] a[0] film[0] that[0] is[0] visually[0] cluttered[-1] and[0] dramatically[0] flat[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and that's too bad because if there was more focus on the story rather than will smith just doing his 'thing , ' this film might have been palatable . 	and that's too bad because if there was more focus on the story rather than will smith just doing his 'thing , ' this film might have been palatable .	2	-2	 and[0] that's[0] too[0] bad[-1] because[0] if[0] there[0] was[0] more[0] focus[0] on[0] the[0] story[0] rather[0] than[0] will[0] smith[0] just[0] doing[0] his[0] 'thing[0] '[0] this[0] film[0] might[0] have[0] been[0] palatable[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as it turns out , " wild wild west " is the wild , wild worst and receives my vote for biggest disappointment of the year . 	as it turns out , " wild wild west " is the wild , wild worst and receives my vote for biggest disappointment of the year .	1	-3	 as[0] it[0] turns[0] out[0] wild[0] wild[0] west[0] is[0] the[0] wild[0] wild[0] worst[-2] and[0] receives[0] my[0] vote[0] for[0] biggest[0] disappointment[-1] of[0] the[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
