the catch phrase for disney's rocket man is one spoken by fred z . randall ( harland williams ) , the bumbling idiot computer programmer turned astronaut who continuously wreaks havoc everywhere he goes . 	Translation	Positive	Negative	EmotionRationale
his passive approach to the program eventually leads to many record-breaking feats , much to the dismay of cocky counterpart , mission commander captain overbeck ( william sadler ) , who once held the records . 	his passive approach to the program eventually leads to many record-breaking feats , much to the dismay of cocky counterpart , mission commander captain overbeck ( william sadler ) , who once held the records .	1	-3	 his[0] passive[0] approach[0] to[0] the[0] program[0] eventually[0] leads[0] to[0] many[0] record[0] breaking[0] feats[0] much[0] to[0] the[0] dismay[-2] of[0] cocky[-1] counterpart[0] mission[0] commander[0] captain[0] overbeck[0] william[0] sadler[0] who[0] once[0] held[0] the[0] records[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
overbeck will regretfully accompany fred and two others to the red planet , one being astronaut julie ford ( the stupids' jessica lundy ) , and the other being a chimpanzee who is much more civilized than our antagonizing protagonist . 	overbeck will regretfully accompany fred and two others to the red planet , one being astronaut julie ford ( the stupids' jessica lundy ) , and the other being a chimpanzee who is much more civilized than our antagonizing protagonist .	1	-2	 overbeck[0] will[0] regretfully[-1] accompany[0] fred[0] and[0] two[0] others[0] to[0] the[0] red[0] planet[0] one[0] being[0] astronaut[0] julie[0] ford[0] the[0] stupids'[-1] jessica[0] lundy[0] and[0] the[0] other[0] being[0] a[0] chimpanzee[0] who[0] is[0] much[0] more[0] civilized[0] than[0] our[0] antagonizing[-1] protagonist[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from here on out , we are subjected to one lame gag after another , dealing with snot , laxatives , and flatulence . 	from here on out , we are subjected to one lame gag after another , dealing with snot , laxatives , and flatulence .	1	-3	 from[0] here[0] on[0] out[0] we[0] are[0] subjected[0] to[0] one[0] lame[-2] gag[0] after[0] another[0] dealing[0] with[0] snot[0] laxatives[0] and[0] flatulence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you know , standard kid movie material . 	you know , standard kid movie material .	1	-1	 you[0] know[0] standard[0] kid[0] movie[0] material[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
almost sounding like a poor james stewart impressionist , williams is awful in his first starring role . 	almost sounding like a poor james stewart impressionist , williams is awful in his first starring role .	2	-4	 almost[0] sounding[0] like[1] a[0] poor[-1] james[0] stewart[0] impressionist[0] williams[0] is[0] awful[-3] in[0] his[0] first[0] starring[0] role[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
we get the feeling that if jerry lewis and pee-wee herman were related and produced an inbred offspring , williams would be it . 	we get the feeling that if jerry lewis and pee-wee herman were related and produced an inbred offspring , williams would be it .	1	-2	 we[0] get[0] the[0] feeling[0] that[0] if[0] jerry[0] lewis[0] and[0] pee[0] wee[-1] herman[0] were[0] related[0] and[0] produced[0] an[0] inbred[0] offspring[0] williams[0] would[0] be[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while he's not as annoying as other actors who cater to zany , stupid comedy , he's just as unlikeable . 	while he's not as annoying as other actors who cater to zany , stupid comedy , he's just as unlikeable .	3	-2	 while[0] he's[0] not[0] as[0] annoying[-2][NegatedDueToPreviousWord] as[0] other[0] actors[0] who[0] cater[0] to[0] zany[0] stupid[-1] comedy[0] he's[0] just[0] as[0] unlikeable[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
to say it more understandably , jim carrey might annoy you more , but this guy is even less funny . 	to say it more understandably , jim carrey might annoy you more , but this guy is even less funny .	2	-2	 to[0] say[0] it[0] more[0] understandably[0] jim[0] carrey[0] might[0] annoy[-2][--1 LastWordBoosterStrength] you[0] more[0] but[0] this[0] guy[0] is[0] even[0] less[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because while he possesses the stupidness needed to pull off such a role , his performance is too understated and boring . 	because while he possesses the stupidness needed to pull off such a role , his performance is too understated and boring .	1	-2	 because[0] while[0] he[0] possesses[0] the[0] stupidness[-1] needed[0] to[0] pull[0] off[0] such[0] a[0] role[0] his[0] performance[0] is[0] too[0] understated[0] and[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
classic comedic dunces were generally oblivious to their own idiocy . 	classic comedic dunces were generally oblivious to their own idiocy .	1	-3	 classic[0] comedic[0] dunces[0] were[0] generally[0] oblivious[0] to[0] their[0] own[0] idiocy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
stan laurel , for example , was so innocent in all his trouble-making that we were immediately fond of him . 	stan laurel , for example , was so innocent in all his trouble-making that we were immediately fond of him .	3	-2	 stan[0] laurel[0] for[0] example[0] was[0] so[0] innocent[1] in[0] all[0] his[0] trouble[-1] making[0] that[0] we[0] were[0] immediately[0] fond[2] of[0] him[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
peter sellers , as inspector clouseau , was so self-assured and confident that when he did something as simple as trip , it was humor at it's best . 	peter sellers , as inspector clouseau , was so self-assured and confident that when he did something as simple as trip , it was humor at it's best .	3	-1	 peter[0] sellers[0] as[0] inspector[0] clouseau[0] was[0] so[0] self[0] assured[0] and[0] confident[1] that[0] when[0] he[0] did[0] something[0] as[0] simple[0] as[0] trip[0] it[0] was[0] humor[2] at[0] it's[0] best[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
williams , on the other hand , can't garner the pity he needs to make us love him in all his anti-glory . 	williams , on the other hand , can't garner the pity he needs to make us love him in all his anti-glory .	3	-2	 williams[0] on[0] the[0] other[0] hand[0] can't[0] garner[0] the[0] pity[-1] he[0] needs[0] to[0] make[0] us[0] love[2] him[0] in[0] all[0] his[0] anti[0] glory[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as for the rest of the cast , including some bigger names in smaller roles ( beau bridges and shelley duvall ) , nobody is worth watching whatsoever . 	as for the rest of the cast , including some bigger names in smaller roles ( beau bridges and shelley duvall ) , nobody is worth watching whatsoever .	1	-1	 as[0] for[0] the[0] rest[0] of[0] the[0] cast[0] including[0] some[0] bigger[0] names[0] in[0] smaller[0] roles[0] beau[0] bridges[0] and[0] shelley[0] duvall[0] nobody[0] is[0] worth[0] watching[0] whatsoever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is just another example of the fast-food equivalent of cinema : mass-produced , less than mediocre , over priced , and hard to stomach . 	this is just another example of the fast-food equivalent of cinema : mass-produced , less than mediocre , over priced , and hard to stomach .	1	-2	 this[0] is[0] just[0] another[0] example[0] of[0] the[0] fast[0] food[0] equivalent[0] of[0] cinema[0] mass[0] produced[0] less[0] than[0] mediocre[-1] over[0] priced[0] and[0] hard[0] to[0] stomach[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
giving it one-and-a-half stars is * extremely * generous , but even i'll admit to laughing a few times . 	giving it one-and-a-half stars is * extremely * generous , but even i'll admit to laughing a few times .	4	-1	 giving[0] it[0] one[0] and[0] a[0] half[0] stars[0] is[0] extremely[0] generous[1][2 LastWordBoosterStrength] but[0] even[0] i'll[0] admit[0] to[0] laughing[1] a[0] few[0] times[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the amazing thing is that even in a theater packed with little kids , laughter was something rarely heard - even from the children ! 	the amazing thing is that even in a theater packed with little kids , laughter was something rarely heard - even from the children !	3	-1	 the[0] amazing[2] thing[0] is[0] that[0] even[0] in[0] a[0] theater[0] packed[0] with[0] little[0] kids[0] laughter[1] was[0] something[0] rarely[0] heard[0] even[0] from[0] the[0] children[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i must admit that it gave me more respect for the kids when they didn't crack up over every little thing . 	i must admit that it gave me more respect for the kids when they didn't crack up over every little thing .	3	-1	 i[0] must[0] admit[0] that[0] it[0] gave[0] me[0] more[0] respect[2] for[0] the[0] kids[0] when[0] they[0] didn't[0] crack[0] up[0] over[0] every[0] little[0] thing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then again , maybe they were asleep . 	then again , maybe they were asleep .	1	-1	 then[0] again[0] maybe[0] they[0] were[0] asleep[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some people might think critics are harsh on kid movies , claiming adults aren't the targeted audience and therefore aren't meant to , and won't , enjoy them . 	some people might think critics are harsh on kid movies , claiming adults aren't the targeted audience and therefore aren't meant to , and won't , enjoy them .	1	-3	 some[0] people[0] might[0] think[0] critics[0] are[0] harsh[-1] on[0] kid[0] movies[0] claiming[0] adults[0] aren't[0] the[0] targeted[0] audience[0] and[0] therefore[0] aren't[0] meant[0] to[0] and[0] won't[0] enjoy[2][NegatedDueToPreviousWord] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sadly , it's also true that kids will enjoy almost anything if it's presented right . 	sadly , it's also true that kids will enjoy almost anything if it's presented right .	3	-2	 sadly[-1] it's[0] also[0] true[1] that[0] kids[0] will[0] enjoy[2] almost[0] anything[0] if[0] it's[0] presented[0] right[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a two-hour still shot of a dog with a cartoonish voice over could entertain a lot of toddlers out there , but would that make it as artistic as beauty and the beast , which could easily do the same thing ? 	a two-hour still shot of a dog with a cartoonish voice over could entertain a lot of toddlers out there , but would that make it as artistic as beauty and the beast , which could easily do the same thing ?	3	-2	 a[0] two[0] hour[0] still[0] shot[-1] of[0] a[0] dog[0] with[0] a[0] cartoonish[0] voice[0] over[0] could[0] entertain[0] a[0] lot[0] of[0] toddlers[0] out[0] there[0] but[0] would[0] that[0] make[0] it[0] as[0] artistic[0] as[0] beauty[2] and[0] the[0] beast[0] which[0] could[0] easily[0] do[0] the[0] same[0] thing[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and saying that a parent's perspective isn't important is quite a poor theory to have when they're the ones who take the kids to these films in the first place . 	and saying that a parent's perspective isn't important is quite a poor theory to have when they're the ones who take the kids to these films in the first place .	1	-2	 and[0] saying[0] that[0] a[0] parent's[0] perspective[0] isn't[0] important[0] is[0] quite[0] a[0] poor[-1] theory[0] to[0] have[0] when[0] they're[0] the[0] ones[0] who[0] take[0] the[0] kids[0] to[0] these[0] films[0] in[0] the[0] first[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
