 " you can't have any of this . 	Translation	Positive	Negative	EmotionRationale
in this new realm , amblyn would allow abraham to pursue the sport of hunting and destroying the humans that would be brought to this realm . 	in this new realm , amblyn would allow abraham to pursue the sport of hunting and destroying the humans that would be brought to this realm .	1	-3	 in[0] this[0] new[0] realm[0] amblyn[0] would[0] allow[0] abraham[0] to[0] pursue[0] the[0] sport[0] of[0] hunting[0] and[0] destroying[-2] the[0] humans[0] that[0] would[0] be[0] brought[0] to[0] this[0] realm[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after each murder , abraham would become stronger , until his power surpassed that of amblyn's . 	after each murder , abraham would become stronger , until his power surpassed that of amblyn's .	1	-4	 after[0] each[0] murder[-3] abraham[0] would[0] become[0] stronger[0] until[0] his[0] power[0] surpassed[0] that[0] of[0] amblyn's[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
because of the screw-up that allowed the recent escape , abraham was able to destroy his master and take control of the realm himself . 	because of the screw-up that allowed the recent escape , abraham was able to destroy his master and take control of the realm himself .	1	-3	 because[0] of[0] the[0] screw[0] up[0] that[0] allowed[0] the[0] recent[0] escape[0] abraham[0] was[0] able[0] to[0] destroy[-2] his[0] master[0] and[0] take[0] control[0] of[0] the[0] realm[0] himself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as alison quests to find abraham and show him the errors of his ways , the six new hapless humans are allowed to live out their worst nightmares and then be brutally murdered . 	as alison quests to find abraham and show him the errors of his ways , the six new hapless humans are allowed to live out their worst nightmares and then be brutally murdered .	1	-5	 as[0] alison[0] quests[0] to[0] find[0] abraham[0] and[0] show[0] him[0] the[0] errors[-1] of[0] his[0] ways[0] the[0] six[0] new[0] hapless[-1] humans[0] are[0] allowed[0] to[0] live[0] out[0] their[0] worst[-2] nightmares[0] and[0] then[0] be[0] brutally[-2] murdered[-3][-1 MultiplePositiveWords] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
if there's one thing i can't stand when i see a film , it's when the film is pretentious and arty just for the sake of being pretentious and arty . 	if there's one thing i can't stand when i see a film , it's when the film is pretentious and arty just for the sake of being pretentious and arty .	1	-2	 if[0] there's[0] one[0] thing[0] i[0] can't[0] stand[0] when[0] i[0] see[0] a[0] film[0] it's[0] when[0] the[0] film[0] is[0] pretentious[-1] and[0] arty[0] just[0] for[0] the[0] sake[0] of[0] being[0] pretentious[-1] and[0] arty[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
films like eraserhead and begotten are two of the worst examples of this , and now ice from the sun can be added to this list . 	films like eraserhead and begotten are two of the worst examples of this , and now ice from the sun can be added to this list .	2	-3	 films[0] like[1] eraserhead[-1] and[0] begotten[0] are[0] two[0] of[0] the[0] worst[-2] examples[0] of[0] this[0] and[0] now[0] ice[0] from[0] the[0] sun[0] can[0] be[0] added[0] to[0] this[0] list[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this film is essentially an 80 minute stalk-and-slash film ( following the dante's inferno idea that your hell corresponds to how you lived your life or any one of the plots to nightmare on elm street 3 through 6 ) intercut with almost 40 minutes of strange and ( supposedly ) haunting images , many of which serve more to confuse than to further the plot . 	this film is essentially an 80 minute stalk-and-slash film ( following the dante's inferno idea that your hell corresponds to how you lived your life or any one of the plots to nightmare on elm street 3 through 6 ) intercut with almost 40 minutes of strange and ( supposedly ) haunting images , many of which serve more to confuse than to further the plot .	1	-3	 this[0] film[0] is[0] essentially[0] an[0] 80[0] minute[0] stalk[0] and[0] slash[-1] film[0] following[0] the[0] dante's[0] inferno[0] idea[0] that[0] your[0] hell[-1] corresponds[0] to[0] how[0] you[0] lived[0] your[0] life[0] or[0] any[0] one[0] of[0] the[0] plots[0] to[0] nightmare[-2] on[0] elm[0] street[0] 3[0] through[0] 6[0] intercut[0] with[0] almost[0] 40[0] minutes[0] of[0] strange[0] and[0] supposedly[0] haunting[0] images[0] many[0] of[0] which[0] serve[0] more[0] to[0] confuse[-1] than[0] to[0] further[0] the[0] plot[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if there aren't bizarre images floating past the screen , then we get pointless shots of a suicidal alison staring at her breakfast for minutes at a time or contemplating whether or not she should answer her phone . 	if there aren't bizarre images floating past the screen , then we get pointless shots of a suicidal alison staring at her breakfast for minutes at a time or contemplating whether or not she should answer her phone .	2	-2	 if[0] there[0] aren't[0] bizarre[-1][NegatedDueToPreviousWord] images[0] floating[0] past[0] the[0] screen[0] then[0] we[0] get[0] pointless[-1] shots[0] of[0] a[0] suicidal[0] alison[0] staring[0] at[0] her[0] breakfast[0] for[0] minutes[0] at[0] a[0] time[0] or[0] contemplating[0] whether[0] or[0] not[0] she[0] should[0] answer[0] her[0] phone[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
compelling , but ultimately not . 	compelling , but ultimately not .	1	-1	 compelling[0] but[0] ultimately[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the opening credits sequence is designed like a music video for some unknown industrial band featuring various random images from the film interspersed with other random images . 	the opening credits sequence is designed like a music video for some unknown industrial band featuring various random images from the film interspersed with other random images .	2	-1	 the[0] opening[0] credits[0] sequence[0] is[0] designed[0] like[1] a[0] music[0] video[0] for[0] some[0] unknown[0] industrial[0] band[0] featuring[0] various[0] random[0] images[0] from[0] the[0] film[0] interspersed[0] with[0] other[0] random[0] images[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the credits run the entire length of the song which is almost five minutes and the actual cast listing and other credit information doesn't pop up until near the end of the sequence . 	the credits run the entire length of the song which is almost five minutes and the actual cast listing and other credit information doesn't pop up until near the end of the sequence .	1	-1	 the[0] credits[0] run[0] the[0] entire[0] length[0] of[0] the[0] song[0] which[0] is[0] almost[0] five[0] minutes[0] and[0] the[0] actual[0] cast[0] listing[0] and[0] other[0] credit[0] information[0] doesn't[0] pop[0] up[0] until[0] near[0] the[0] end[0] of[0] the[0] sequence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the opening credits began i thought my vcr had accidentally cut off and a interstitial from mtv2 had found its way to my tv . 	when the opening credits began i thought my vcr had accidentally cut off and a interstitial from mtv2 had found its way to my tv .	1	-2	 when[0] the[0] opening[0] credits[0] began[0] i[0] thought[0] my[0] vcr[0] had[0] accidentally[-1] cut[0] off[0] and[0] a[0] interstitial[0] from[0] mtv2[0] had[0] found[0] its[0] way[0] to[0] my[0] tv[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at least the music in the film is pretty decent , made up of mostly industrial and hard rock music and even features a song by ramona midgett . 	at least the music in the film is pretty decent , made up of mostly industrial and hard rock music and even features a song by ramona midget .	3	-1	 at[0] least[0] the[0] music[0] in[0] the[0] film[0] is[0] pretty[2] decent[0] made[0] up[0] of[0] mostly[0] industrial[0] and[0] hard[0] rock[1] music[0] and[0] even[0] features[0] a[0] song[0] by[0] ramona[0] midgett/midget[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at the beginning of the film it is established that the presence possesses supernatural powers like shooting bullets out of the palms of his hands and decapitating people by waving his hand in front of them ( and he talks like a darth vader clone without the heavy breathing ) . 	at the beginning of the film it is established that the presence possesses supernatural powers like shooting bullets out of the palms of his hands and decapitating people by waving his hand in front of them ( and he talks like a darth vader clone without the heavy breathing ) .	2	-2	 at[0] the[0] beginning[0] of[0] the[0] film[0] it[0] is[0] established[0] that[0] the[0] presence[0] possesses[0] supernatural[0] powers[0] like[1] shooting[-1] bullets[-1] out[0] of[0] the[0] palms[0] of[0] his[0] hands[0] and[0] decapitating[0] people[0] by[0] waving[0] his[0] hand[0] in[0] front[0] of[0] them[0] and[0] he[0] talks[0] like[1] a[0] darth[0] vader[0] clone[0] without[0] the[0] heavy[0] breathing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for some reason though , he delegates all of his main stalkings to what seems like the supporting cast of deliverance . 	for some reason though , he delegates all of his main stalkings to what seems like the supporting cast of deliverance .	2	-1	 for[0] some[0] reason[0] though[0] he[0] delegates[0] all[0] of[0] his[0] main[0] stalkings[0] to[0] what[0] seems[0] like[1] the[0] supporting[1] cast[0] of[0] deliverance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one over-alled cretin handles the presence's gravedigging and likes to chop peoples heads off with his shovel , then there's an inbred father ( dwight spurgin ) and his two inbred children ( mark kettler and jennifer poirrier-wallace ) that take care of a young woman who has been transformed into a half dog-half human mix with a shotgun , and of course a big truck driving guy that likes to tie people up naked to the back of his vehicle and drag them across stone roads before pouring salt all over their wounds . 	one over-alled cretin handles the presence's gravedigging and likes to chop peoples heads off with his shovel , then there's an inbred father ( dwight spurgin ) and his two inbred children ( mark kettler and jennifer poirrier-wallace ) that take care of a young woman who has been transformed into a half dog-half human mix with a shotgun , and of course a big truck driving guy that likes to tie people up naked to the back of his vehicle and drag them across stone roads before pouring salt all over their wounds .	3	-3	 one[0] over[0] alled[0] cretin[0] handles[0] the[0] presence's[0] gravedigging[-2] and[0] likes[2] to[0] chop[0] peoples[0] heads[0] off[0] with[0] his[0] shovel[0] then[0] there's[0] an[0] inbred[0] father[0] dwight[0] spurgin[0] and[0] his[0] two[0] inbred[0] children[0] mark[0] kettler[0] and[0] jennifer[0] poirrier[0] wallace[0] that[0] take[0] care[1] of[0] a[0] young[0] woman[0] who[0] has[0] been[0] transformed[0] into[0] a[0] half[0] dog[0] half[0] human[0] mix[0] with[0] a[0] shotgun[0] and[0] of[0] course[0] a[0] big[0] truck[0] driving[0] guy[0] that[0] likes[2] to[0] tie[0] people[0] up[0] naked[0] to[0] the[0] back[0] of[0] his[0] vehicle[0] and[0] drag[-1] them[0] across[0] stone[0] roads[0] before[0] pouring[0] salt[0] all[0] over[0] their[0] wounds[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
why would you want to give responsibilities to a bunch of " rednecks " when you yourself had all of these cool powers ? 	why would you want to give responsibilities to a bunch of " rednecks " when you yourself had all of these cool powers ?	2	-1	 why[0] would[0] you[0] want[0] to[0] give[0] responsibilities[0] to[0] a[0] bunch[0] of[0] rednecks[0] when[0] you[0] yourself[0] had[0] all[0] of[0] these[0] cool[1] powers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and how is it that the fellow that screws over all of his buddies is able to round up exactly five friends to complete the number of people required to enter the realm at exactly the same time ? 	and how is it that the fellow that screws over all of his buddies is able to round up exactly five friends to complete the number of people required to enter the realm at exactly the same time ?	2	-1	 and[0] how[0] is[0] it[0] that[0] the[0] fellow[0] that[0] screws[0] over[0] all[0] of[0] his[0] buddies[0] is[0] able[0] to[0] round[0] up[0] exactly[0] five[0] friends[1] to[0] complete[0] the[0] number[0] of[0] people[0] required[0] to[0] enter[0] the[0] realm[0] at[0] exactly[0] the[0] same[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can barely get more than two together all at once at any given moment . 	i can barely get more than two together all at once at any given moment .	1	-1	 i[0] can[0] barely[0] get[0] more[0] than[0] two[0] together[0] all[0] at[0] once[0] at[0] any[0] given[0] moment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the most ridiculous segment though comes right before the aforementioned dragging/salting sequence . 	the most ridiculous segment though comes right before the aforementioned dragging/salting sequence .	1	-3	 the[0] most[0] ridiculous[-2] segment[0] though[0] comes[0] right[0] before[0] the[0] aforementioned[0] dragging/salting[0] sequence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the character in question , dana ( angela zimmely ) , has her turn up to be killed and is standing at the front of a movie theater in which the presence is seated . 	the character in question , dana ( angela zimmely ) , has her turn up to be killed and is standing at the front of a movie theater in which the presence is seated .	1	-4	 the[0] character[0] in[0] question[0] dana[0] angela[0] zimmely[0] has[0] her[0] turn[0] up[0] to[0] be[0] killed[-3] and[0] is[0] standing[0] at[0] the[0] front[0] of[0] a[0] movie[0] theater[0] in[0] which[0] the[0] presence[0] is[0] seated[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a priest holding two naked dirty humans on leashes walks in and sits down next to a large platter of fried chicken . 	a priest holding two naked dirty humans on leashes walks in and sits down next to a large platter of fried chicken .	1	-2	 a[0] priest[0] holding[0] two[0] naked[0] dirty[-1] humans[0] on[0] leashes[0] walks[0] in[0] and[0] sits[0] down[0] next[0] to[0] a[0] large[0] platter[0] of[0] fried[0] chicken[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he picks up the entire platter and starts to enjoy the chicken , taunting dana as she looks on with no interest whatsoever . 	he picks up the entire platter and starts to enjoy the chicken , taunting dana as she looks on with no interest whatsoever .	3	-2	 he[0] picks[0] up[0] the[0] entire[0] platter[0] and[0] starts[0] to[0] enjoy[2] the[0] chicken[0] taunting[-1] dana[0] as[0] she[0] looks[0] on[0] with[0] no[0] interest[1] whatsoever[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when she starts to leave , the priest chides her for going before the performance starts and then something that looks like a either a creature from a gwar show or a terry gilliam animation from monty python come to life , walks out , and makes like it wants to be crucified by her . 	when she starts to leave , the priest chides her for going before the performance starts and then something that looks like a either a creature from a gwar show or a terry gilliam animation from monty python come to life , walks out , and makes like it wants to be crucified by her .	2	-2	 when[0] she[0] starts[0] to[0] leave[0] the[0] priest[0] chides[-1] her[0] for[0] going[0] before[0] the[0] performance[0] starts[0] and[0] then[0] something[0] that[0] looks[0] like[1] a[0] either[0] a[0] creature[0] from[0] a[0] gwar[0] show[0] or[0] a[0] terry[0] gilliam[0] animation[0] from[0] monty[0] python[0] come[0] to[0] life[0] walks[0] out[0] and[0] makes[0] like[1] it[0] wants[0] to[0] be[0] crucified[0] by[0] her[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the presence starts to clap annoyingly ( which continues for the rest of the sequence ) until dana takes off with the strange creature following her . 	the presence starts to clap annoyingly ( which continues for the rest of the sequence ) until dana takes off with the strange creature following her .	1	-3	 the[0] presence[0] starts[0] to[0] clap[0] annoyingly[-2] which[0] continues[0] for[0] the[0] rest[0] of[0] the[0] sequence[0] until[0] dana[0] takes[0] off[0] with[0] the[0] strange[0] creature[0] following[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when it finally catches up to her , she stabs it in its giant eyeball and is covered in slimy glop that spurts from the ruptured organ . 	when it finally catches up to her , she stabs it in its giant eyeball and is covered in slimy glop that spurts from the ruptured organ .	1	-2	 when[0] it[0] finally[0] catches[0] up[0] to[0] her[0] she[0] stabs[-1] it[0] in[0] its[0] giant[0] eyeball[0] and[0] is[0] covered[0] in[0] slimy[0] glop[0] that[0] spurts[0] from[0] the[0] ruptured[-1] organ[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the box for the film claims " because of the horrifying nature of the motion picture , parental discretion is advised for persons under the age of 18 . 	the box for the film claims " because of the horrifying nature of the motion picture , parental discretion is advised for persons under the age of 18 .	1	-4	 the[0] box[0] for[0] the[0] film[0] claims[0] because[0] of[0] the[0] horrifying[-3] nature[0] of[0] the[0] motion[0] picture[0] parental[0] discretion[0] is[0] advised[0] for[0] persons[0] under[0] the[0] age[0] of[0] 18[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
contains nudity and graphic violence " . 	contains nudity and graphic violence " .	1	-4	 contains[0] nudity[0] and[0] graphic[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
while both is certainly true , there doesn't seem to be much of either in any large amounts . 	while both is certainly true , there doesn't seem to be much of either in any large amounts .	2	-1	 while[0] both[0] is[0] certainly[0] true[1] there[0] doesn't[0] seem[0] to[0] be[0] much[0] of[0] either[0] in[0] any[0] large[0] amounts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
besides a loving close up of a spurting neck stump , a semi-graphic self-surgery scene , and two instances of head trauma ( one run over and one melting ) , most of the gore is just of the spraying blood or bloody wound covered body variety . 	besides a loving close up of a spurting neck stump , a semi-graphic self-surgery scene , and two instances of head trauma ( one run over and one melting ) , most of the gore is just of the spraying blood or bloody wound covered body variety .	4	-4	 besides[0] a[0] loving[3] close[0] up[0] of[0] a[0] spurting[0] neck[0] stump[0] a[0] semi[0] graphic[0] self[0] surgery[0] scene[0] and[0] two[0] instances[0] of[0] head[0] trauma[-3] one[0] run[0] over[0] and[0] one[0] melting[0] most[0] of[0] the[0] gore[0] is[0] just[0] of[0] the[0] spraying[0] blood[0] or[0] bloody[-1] wound[-1] covered[0] body[0] variety[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
as for nudity , it is very sparse , but at least we get to see angela zimmerly ( far and away the most attractive cast member ) before her body is bruised , torn , and bloodied by the dragging incident . 	as for nudity , it is very sparse , but at least we get to see angela zimmerly ( far and away the most attractive cast member ) before her body is bruised , torn , and bloodied by the dragging incident .	2	-2	 as[0] for[0] nudity[0] it[0] is[0] very[0] sparse[0] but[0] at[0] least[0] we[0] get[0] to[0] see[0] angela[0] zimmerly[0] far[0] and[0] away[0] the[0] most[0] attractive[1] cast[0] member[0] before[0] her[0] body[0] is[0] bruised[-1] torn[0] and[0] bloodied[0] by[0] the[0] dragging[0] incident[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ice from the sun has been released on vhs by www . b-movie . com . 	ice from the sun has been released on vhs by w .<br> b-movie .<br> com .	1	-1	 ice[0] from[0] the[0] sun[0] has[0] been[0] released[0] on[0] vhs[0] by[0] www/w[0] [[Sentence=-1,1=word max, 1-5]] b[0] movie[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has been presented in in full-frame only and the transfer ( for a film shot a good deal in 8mm ) is pretty decent . 	it has been presented in in full-frame only and the transfer ( for a film shot a good deal in 8m ) is pretty decent .	3	-2	 it[0] has[0] been[0] presented[0] in[0] in[0] full[0] frame[0] only[0] and[0] the[0] transfer[0] for[0] a[0] film[0] shot[-1] a[0] good[1] deal[0] in[0] 8mm/8m[0] is[0] pretty[2] decent[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
besides the decent soundtrack ( which is also available from www . b-movie . com ) , a making-of video is also available called on thin ice . 	besides the decent soundtrack ( which is also available from w .<br> b-movie .<br> com ) , a making-of video is also available called on thin ice .	1	-1	 besides[0] the[0] decent[0] soundtrack[0] which[0] is[0] also[0] available[0] from[0] www/w[0] [[Sentence=-1,1=word max, 1-5]] b[0] movie[0] [[Sentence=-1,1=word max, 1-5]] com[0] a[0] making[0] of[0] video[0] is[0] also[0] available[0] called[0] on[0] thin[0] ice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i haven't had the opportunity to see the documentary , but i actually would have been interested to see what the set was like while all of the shots were being filmed , if only to see how director eric stanze ( director of a similar cult film called savage harvest ) , conducted the atmosphere on set . 	i haven't had the opportunity to see the documentary , but i actually would have been interested to see what the set was like while all of the shots were being filmed , if only to see how director eric stanze ( director of a similar cult film called savage harvest ) , conducted the atmosphere on set .	2	-3	 i[0] haven't[0] had[0] the[0] opportunity[0] to[0] see[0] the[0] documentary[0] but[0] i[0] actually[0] would[0] have[0] been[0] interested[1] to[0] see[0] what[0] the[0] set[0] was[0] like[1] while[0] all[0] of[0] the[0] shots[0] were[0] being[0] filmed[0] if[0] only[0] to[0] see[0] how[0] director[0] eric[0] stanze[0] director[0] of[0] a[0] similar[0] cult[0] film[0] called[0] savage[-2] harvest[0] conducted[0] the[0] atmosphere[0] on[0] set[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
