i think that saying that the x-files is one of this summer's most anticipated films is safe . 	Translation	Positive	Negative	EmotionRationale
isolated as an individual text , the x-files can stand alone . 	isolated as an individual text , the x-files can stand alone .	2	-2	 isolated[-1] as[0] an[0] individual[0] text[0] the[0] x[1] files[0] can[0] stand[0] alone[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they have given enough background for anyone , familiar with the show or not , to understand the movie . 	they have given enough background for anyone , familiar with the show or not , to understand the movie .	1	-1	 they[0] have[0] given[0] enough[0] background[0] for[0] anyone[0] familiar[0] with[0] the[0] show[0] or[0] not[0] to[0] understand[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although some of the secondary characters' histories may confuse the uninitiated , those characters are not essential to the film . 	although some of the secondary characters' histories may confuse the uninitiated , those characters are not essential to the film .	1	-1	 although[0] some[0] of[0] the[0] secondary[0] characters'[0] histories[0] may[0] confuse[-1][--1 LastWordBoosterStrength] the[0] uninitiated[0] those[0] characters[0] are[0] not[0] essential[0] to[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a major problem : they trot out token secondary characters from the series out for an appearance and then disappear just as quickly . 	this is a major problem : they trot out token secondary characters from the series out for an appearance and then disappear just as quickly .	1	-2	 this[0] is[0] a[0] major[0] problem[-1] they[0] trot[0] out[0] token[0] secondary[0] characters[0] from[0] the[0] series[0] out[0] for[0] an[0] appearance[0] and[0] then[0] disappear[0] just[0] as[0] quickly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why bring superintendent skinner into the picture in the first place , and then have him sat silently on an fbi internal affairs committee ? 	why bring superintendent skinner into the picture in the first place , and then have him sat silently on an fbi internal affairs committee ?	1	-1	 why[0] bring[0] superintendent[0] skinner[0] into[0] the[0] picture[0] in[0] the[0] first[0] place[0] and[0] then[0] have[0] him[0] sat[0] silently[0] on[0] an[0] fbi[0] internal[0] affairs[0] committee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why bring in " the lone gunmen , " three computer geek conspiracy theorists , for an even briefer appearance ? 	why bring in " the lone gunmen , " three computer geek conspiracy theorists , for an even briefer appearance ?	1	-2	 why[0] bring[0] in[0] the[0] lone[-1] gunmen[-1] three[0] computer[0] geek[0] conspiracy[-1] theorists[0] for[0] an[0] even[0] briefer[0] appearance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these characters are recurrent on the series , and their appearance in the film was met with whoops from the audience ( suggesting their popularity among fans - actually most of the audience could pass for " the lone gunmen " ) . 	these characters are recurrent on the series , and their appearance in the film was met with whoops from the audience ( suggesting their popularity among fans - actually most of the audience could pass for " the lone gunmen " ) .	2	-2	 these[0] characters[0] are[0] recurrent[0] on[0] the[0] series[0] and[0] their[0] appearance[0] in[0] the[0] film[0] was[0] met[0] with[0] whoops[0] from[0] the[0] audience[0] suggesting[0] their[0] popularity[1] among[0] fans[0] actually[0] most[0] of[0] the[0] audience[0] could[0] pass[0] for[0] the[0] lone[-1] gunmen[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
still , then they vanish just as quickly . 	still , then they vanish just as quickly .	1	-2	 still[0] then[0] they[0] vanish[-1] just[0] as[0] quickly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
2 . the television show never gives us any answers . 	2 .<br> the television show never gives us any answers .	1	-1	 2[0] [[Sentence=-1,1=word max, 1-5]] the[0] television[0] show[0] never[0] gives[0] us[0] any[0] answers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will the movie actually explain some things ? 	will the movie actually explain some things ?	1	-1	 will[0] the[0] movie[0] actually[0] explain[0] some[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes . 	yes .	1	-1	 yes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the x-files we get a fairly complete history of " the black ooze , " what it is and what it wants . 	in the x-files we get a fairly complete history of " the black ooze , " what it is and what it wants .	2	-1	 in[0] the[0] x[1] files[0] we[0] get[0] a[0] fairly[0] complete[0] history[0] of[0] the[0] black[0] ooze[0] what[0] it[0] is[0] and[0] what[0] it[0] wants[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we finally get some understanding of the motivations behind the " shadow government . " 	we finally get some understanding of the motivations behind the " shadow government .<br> "	1	-1	 we[0] finally[0] get[0] some[0] understanding[0] of[0] the[0] motivations[0] behind[0] the[0] shadow[0] government[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are even some subtle tie-ins with contemporary ufo-ology , including the " greys " and the roswell crash of 1947 . 	there are even some subtle tie-ins with contemporary ufo-ology , including the " greys " and the roswell crash of 1947 .	1	-1	 there[0] are[0] even[0] some[0] subtle[0] tie[0] ins[0] with[0] contemporary[0] ufo[0] ology[0] including[0] the[0] greys[0] and[0] the[0] roswell[0] crash[0] of[0] 1947[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3 . is the movie any good ? 	3 .<br> is the movie any good ?	2	-1	 3[0] [[Sentence=-1,1=word max, 1-5]] is[0] the[0] movie[0] any[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no . the x-files is a dreadful movie and shows some fundamental problems with writer/creator chris carter's talents and the relationship between cinema and television . 	no .<br> the x-files is a dreadful movie and shows some fundamental problems with writer/creator chris carter's talents and the relationship between cinema and television .	2	-4	 no[0] [[Sentence=-1,1=word max, 1-5]] the[0] x[1] files[0] is[0] a[0] dreadful[-3] movie[0] and[0] shows[0] some[0] fundamental[0] problems[-1] with[0] writer/creator[0] chris[0] carter's[0] talents[1] and[0] the[0] relationship[0] between[0] cinema[0] and[0] television[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
first off , the screenplay by series creator chris carter is sloppy and cliched . 	first off , the screenplay by series creator chris carter is sloppy and cliched .	1	-2	 first[0] off[0] the[0] screenplay[0] by[0] series[0] creator[0] chris[0] carter[0] is[0] sloppy[-1] and[0] cliched[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after approximately forty-five minutes ( the length of a television episode minus the commercials ) , the pace drops to a snail's crawl . 	after approximately forty-five minutes ( the length of a television episode minus the commercials ) , the pace drops to a snail's crawl .	1	-1	 after[0] approximately[0] forty[0] five[0] minutes[0] the[0] length[0] of[0] a[0] television[0] episode[0] minus[0] the[0] commercials[0] the[0] pace[0] drops[0] to[0] a[0] snail's[0] crawl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not long after that point , when carter attempts to answer some questions we have had about the series , we wish he had not . 	not long after that point , when carter attempts to answer some questions we have had about the series , we wish he had not .	1	-1	 not[0] long[0] after[0] that[0] point[0] when[0] carter[0] attempts[0] to[0] answer[0] some[0] questions[0] we[0] have[0] had[0] about[0] the[0] series[0] we[0] wish[0] he[0] had[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the explanations are so trite and ridiculous that one would have preferred it had carter not explained quite so much . 	the explanations are so trite and ridiculous that one would have preferred it had carter not explained quite so much .	1	-3	 the[0] explanations[0] are[0] so[0] trite[-2] and[0] ridiculous[-2] that[0] one[0] would[0] have[0] preferred[0] it[0] had[0] carter[0] not[0] explained[0] quite[0] so[0] much[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i am willing to suspend my disbelief a fair bit , but the absurdity carter wants me to swallow was just too much . 	i am willing to suspend my disbelief a fair bit , but the absurdity carter wants me to swallow was just too much .	1	-2	 i[0] am[0] willing[0] to[0] suspend[-1] my[0] disbelief[-1] a[0] fair[0] bit[0] but[0] the[0] absurdity[-1] carter[0] wants[0] me[0] to[0] swallow[0] was[0] just[0] too[0] much[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
breaking the suspension of disbelief destroys the movie - and listening to other fans leave the cinema , maybe the series too . 	breaking the suspension of disbelief destroys the movie - and listening to other fans leave the cinema , maybe the series too .	1	-3	 breaking[0] the[0] suspension[-1] of[0] disbelief[-1] destroys[-2] the[0] movie[0] and[0] listening[0] to[0] other[0] fans[0] leave[0] the[0] cinema[0] maybe[0] the[0] series[0] too[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the explanations are not only absurd , they are tired and unoriginal . 	the explanations are not only absurd , they are tired and unoriginal .	2	-2	 the[0] explanations[0] are[0] not[0] only[0] absurd[-1][NegatedDueToPreviousWord] they[0] are[0] tired[-1] and[0] unoriginal[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the extraterrestrials breed and gestate like those from the alien series , and their craft looks like a leftover set piece from independence day . 	the extraterrestrials breed and gestate like those from the alien series , and their craft looks like a leftover set piece from independence day .	2	-2	 the[0] extraterrestrials[0] breed[0] and[0] gestate[0] like[1] those[0] from[0] the[0] alien[-1] series[0] and[0] their[0] craft[0] looks[0] like[1] a[0] leftover[0] set[0] piece[0] from[0] independence[0] day[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
note that the alien movies , id4 , and the x-files are all from 20thcentury fox - a studio that is beginning to cannibalize itself i think . 	note that the alien movies , id4 , and the x-files are all from 20thcentury fox - a studio that is beginning to cannibalize itself i think .	2	-2	 note[0] that[0] the[0] alien[-1] movies[0] id4[0] and[0] the[0] x[1] files[0] are[0] all[0] from[0] 20thcentury[0] fox[0] a[0] studio[0] that[0] is[0] beginning[0] to[0] cannibalize[-1] itself[0] i[0] think[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the x-files is noteworthy for being the only movie based on a television series to be produced while the series was still running . 	the x-files is noteworthy for being the only movie based on a television series to be produced while the series was still running .	2	-1	 the[0] x[1] files[0] is[0] noteworthy[0] for[0] being[0] the[0] only[0] movie[0] based[0] on[0] a[0] television[0] series[0] to[0] be[0] produced[0] while[0] the[0] series[0] was[0] still[0] running[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in comparing the movie and television series certain aspects of the respective media emerge . 	in comparing the movie and television series certain aspects of the respective media emerge .	3	-1	 in[0] comparing[0] the[0] movie[0] and[0] television[0] series[0] certain[0] aspects[0] of[0] the[0] respective[2] media[0] emerge[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the avoidance of the series to answer the questions it raised annoyed and frustrated many people . 	the avoidance of the series to answer the questions it raised annoyed and frustrated many people .	1	-3	 the[0] avoidance[-1] of[0] the[0] series[0] to[0] answer[0] the[0] questions[0] it[0] raised[0] annoyed[-2] and[0] frustrated[-2] many[0] people[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , i rather liked that about the series . 	however , i rather liked that about the series .	3	-1	 however[0] i[0] rather[0] liked[2] that[0] about[0] the[0] series[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
television allows you to impose as much , or as little , meaning on a show as you want . 	television allows you to impose as much , or as little , meaning on a show as you want .	1	-2	 television[0] allows[0] you[0] to[0] impose[-1] as[0] much[0] or[0] as[0] little[0] meaning[0] on[0] a[0] show[0] as[0] you[0] want[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is the proverbial " blank screen " which we project our minds on . 	it is the proverbial " blank screen " which we project our minds on .	1	-1	 it[0] is[0] the[0] proverbial[0] blank[0] screen[0] which[0] we[0] project[0] our[0] minds[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meaning on television is open and ambiguous ; it is the nature of the medium . 	meaning on television is open and ambiguous ; it is the nature of the medium .	1	-2	 meaning[0] on[0] television[0] is[0] open[0] and[0] ambiguous[-1] it[0] is[0] the[0] nature[0] of[0] the[0] medium[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cinema , on the other hand , is the opposite . 	cinema , on the other hand , is the opposite .	1	-1	 cinema[0] on[0] the[0] other[0] hand[0] is[0] the[0] opposite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it projects onto us the filmmakers mind . 	it projects onto us the filmmakers mind .	1	-1	 it[0] projects[0] onto[0] us[0] the[0] filmmakers[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we can , in some films , fill the textual gaps ourselves , but that almost never happens in an american film . 	we can , in some films , fill the textual gaps ourselves , but that almost never happens in an american film .	1	-1	 we[0] can[0] in[0] some[0] films[0] fill[0] the[0] textual[0] gaps[0] ourselves[0] but[0] that[0] almost[0] never[0] happens[0] in[0] an[0] american[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meaning , in cinema , needs to be self-contained and determined . 	meaning , in cinema , needs to be self-contained and determined .	1	-1	 meaning[0] in[0] cinema[0] needs[0] to[0] be[0] self[0] contained[0] and[0] determined[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , when the x-files made that jump from small to big screen , carter needed to take into consideration the differences in the medium as well . 	so , when the x-files made that jump from small to big screen , carter needed to take into consideration the differences in the medium as well .	2	-1	 so[0] when[0] the[0] x[1] files[0] made[0] that[0] jump[0] from[0] small[0] to[0] big[0] screen[0] carter[0] needed[0] to[0] take[0] into[0] consideration[0] the[0] differences[0] in[0] the[0] medium[0] as[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he did not . 	he did not .	1	-1	 he[0] did[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by making explicit , what the television show left implicit , carter reveals the limits of his creativity and skill . 	by making explicit , what the television show left implicit , carter reveals the limits of his creativity and skill .	1	-1	 by[0] making[0] explicit[0] what[0] the[0] television[0] show[0] left[0] implicit[0] carter[0] reveals[0] the[0] limits[0] of[0] his[0] creativity[0] and[0] skill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when they say that " fans " make a tv show , it is not far from the truth . 	when they say that " fans " make a tv show , it is not far from the truth .	2	-1	 when[0] they[0] say[0] that[0] fans[0] make[0] a[0] tv[0] show[0] it[0] is[0] not[0] far[0] from[0] the[0] truth[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on television , fan culture must impose its meanings on the text because there is nothing there . 	on television , fan culture must impose its meanings on the text because there is nothing there .	1	-2	 on[0] television[0] fan[0] culture[0] must[0] impose[-1] its[0] meanings[0] on[0] the[0] text[0] because[0] there[0] is[0] nothing[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how true that is when we see the " explicit " x-files - there is nothing there . 	how true that is when we see the " explicit " x-files - there is nothing there .	2	-1	 how[0] true[1] that[0] is[0] when[0] we[0] see[0] the[0] explicit[0] x[1] files[0] there[0] is[0] nothing[0] there[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the following was printed in the st . john's express , st . john's , newfoundland , canada . 	the following was printed in the st .<br> john's express , st .<br> john's , newfoundland , canada .	1	-1	 the[0] following[0] was[0] printed[0] in[0] the[0] st[0] [[Sentence=-1,1=word max, 1-5]] john's[0] express[0] st[0] [[Sentence=-1,1=word max, 1-5]] john's[0] newfoundland[0] canada[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all views are the authors , but copyright is held by robinson-blackmore , 1998 . 	all views are the authors , but copyright is held by robinson-blackmore , 1998 .	1	-1	 all[0] views[0] are[0] the[0] authors[0] but[0] copyright[0] is[0] held[0] by[0] robinson[0] blackmore[0] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
&nbsp ; 	&nbsp ;	1	-1	 &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
movie review by mikel j . koven 	movie review by mikel j .<br> koven	1	-1	 movie[0] review[0] by[0] mikel[0] j[0] [[Sentence=-1,1=word max, 1-5]] koven[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
&nbsp ; i think that saying that the x-files is one of this summer's most anticipated films is safe . &nbsp ; 	&nbsp ; i think that saying that the x-files is one of this summer's most anticipated films is safe .<br> &nbsp ;	2	-1	 &nbsp[0] i[0] think[0] that[0] saying[0] that[0] the[0] x[1] files[0] is[0] one[0] of[0] this[0] summer's[0] most[0] anticipated[0] films[0] is[0] safe[1] [[Sentence=-1,2=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
for five years , " the x-files " television show has developed a dedicated fan culture , whose rabid devotion to the series rivals that of " star trek " fans . 	for five years , " the x-files " television show has developed a dedicated fan culture , whose rabid devotion to the series rivals that of " star trek " fans .	3	-1	 for[0] five[0] years[0] the[0] x[1] files[0] television[0] show[0] has[0] developed[0] a[0] dedicated[0] fan[0] culture[0] whose[0] rabid[0] devotion[2] to[0] the[0] series[0] rivals[0] that[0] of[0] star[0] trek[0] fans[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
&nbsp ; the premise of both the movie and the television series is two fbi agents who investigate the paranormal ; fox mulder ( david duchovny ) is the avid believer whose quest to find the truth about extraterrestrial life borders on the paranoid , and dana scully ( gillian anderson ) is the scientific skeptic trying to find a rational explanation to mulder's flights of fancy . 	&nbsp ; the premise of both the movie and the television series is two fbi agents who investigate the paranormal ; fox mulder ( david duchovny ) is the avid believer whose quest to find the truth about extraterrestrial life borders on the paranoid , and dana scully ( gillian anderson ) is the scientific skeptic trying to find a rational explanation to mulder's flights of fancy .	2	-3	 &nbsp[0] the[0] premise[0] of[0] both[0] the[0] movie[0] and[0] the[0] television[0] series[0] is[0] two[0] fbi[0] agents[0] who[0] investigate[0] the[0] paranormal[0] fox[0] mulder[0] david[0] duchovny[0] is[0] the[0] avid[0] believer[0] whose[0] quest[0] to[0] find[0] the[0] truth[1] about[0] extraterrestrial[0] life[0] borders[0] on[0] the[0] paranoid[-2] and[0] dana[0] scully[0] gillian[0] anderson[0] is[0] the[0] scientific[0] skeptic[-1] trying[0] to[0] find[0] a[0] rational[0] explanation[0] to[0] mulder's[0] flights[0] of[0] fancy[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
&nbsp ; outlining the plot of the x-files movie is virtually impossible , since to be general would result in confusion , yet to be specific would give too much away . &nbsp ; 	&nbsp ; outlining the plot of the x-files movie is virtually impossible , since to be general would result in confusion , yet to be specific would give too much away .<br> &nbsp ;	2	-2	 &nbsp[0] outlining[0] the[0] plot[0] of[0] the[0] x[1] files[0] movie[0] is[0] virtually[0] impossible[0] since[0] to[0] be[0] general[0] would[0] result[0] in[0] confusion[-1] yet[0] to[0] be[0] specific[0] would[0] give[0] too[0] much[0] away[0] [[Sentence=-2,2=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
nevertheless , i will try . &nbsp ; 	nevertheless , i will try .<br> &nbsp ;	1	-1	 nevertheless[0] i[0] will[0] try[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the black ooze , " and extraterrestrial , virus-like substance is threatening earth . &nbsp ; 	 " the black ooze , " and extraterrestrial , virus-like substance is threatening earth .<br> &nbsp ;	2	-3	 the[0] black[0] ooze[0] and[0] extraterrestrial[0] virus[0] like[1] substance[0] is[0] threatening[-2] earth[0] [[Sentence=-3,2=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
a " shadow government " is aware of this , but tries to cover-up the alien existence . &nbsp ; 	a " shadow government " is aware of this , but tries to cover-up the alien existence .<br> &nbsp ;	1	-2	 a[0] shadow[0] government[0] is[0] aware[0] of[0] this[0] but[0] tries[0] to[0] cover[0] up[0] the[0] alien[-1] existence[0] [[Sentence=-2,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
mulder and scully know " the truth is out there , " and so try to expose both the invasion and the cover-up . 	mulder and scully know " the truth is out there , " and so try to expose both the invasion and the cover-up .	2	-2	 mulder[0] and[0] scully[0] know[0] the[0] truth[1] is[0] out[0] there[0] and[0] so[0] try[0] to[0] expose[-1] both[0] the[0] invasion[0] and[0] the[0] cover[0] up[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
&nbsp ; there are three central questions i have heard asked about this movie : &nbsp ; 1 . &nbsp ; 	&nbsp ; there are three central questions i have heard asked about this movie : &nbsp ; 1 .<br> &nbsp ;	1	-1	 &nbsp[0] there[0] are[0] three[0] central[0] questions[0] i[0] have[0] heard[0] asked[0] about[0] this[0] movie[0] &nbsp[0] 1[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will those who don't watch the series be able to understand the movie ? &nbsp ; 	will those who don't watch the series be able to understand the movie ?<br> &nbsp ;	1	-1	 will[0] those[0] who[0] don't[0] watch[0] the[0] series[0] be[0] able[0] to[0] understand[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes . &nbsp ; 	yes .<br> &nbsp ;	1	-1	 yes[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
isolated as an individual text , the x-files can stand alone . &nbsp ; 	isolated as an individual text , the x-files can stand alone .<br> &nbsp ;	2	-2	 isolated[-1] as[0] an[0] individual[0] text[0] the[0] x[1] files[0] can[0] stand[0] alone[0] [[Sentence=-2,2=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
they have given enough background for anyone , familiar with the show or not , to understand the movie . &nbsp ; 	they have given enough background for anyone , familiar with the show or not , to understand the movie .<br> &nbsp ;	1	-1	 they[0] have[0] given[0] enough[0] background[0] for[0] anyone[0] familiar[0] with[0] the[0] show[0] or[0] not[0] to[0] understand[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although some of the secondary characters' histories may confuse the uninitiated , those characters are not essential to the film . &nbsp ; 	although some of the secondary characters' histories may confuse the uninitiated , those characters are not essential to the film .<br> &nbsp ;	1	-1	 although[0] some[0] of[0] the[0] secondary[0] characters'[0] histories[0] may[0] confuse[-1][--1 LastWordBoosterStrength] the[0] uninitiated[0] those[0] characters[0] are[0] not[0] essential[0] to[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a major problem : they trot out token secondary characters from the series out for an appearance and then disappear just as quickly . 	this is a major problem : they trot out token secondary characters from the series out for an appearance and then disappear just as quickly .	1	-2	 this[0] is[0] a[0] major[0] problem[-1] they[0] trot[0] out[0] token[0] secondary[0] characters[0] from[0] the[0] series[0] out[0] for[0] an[0] appearance[0] and[0] then[0] disappear[0] just[0] as[0] quickly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
