 " in dreams " might keep you awake at night , but not because of its creepy imagery , bizarre visual style or story about a clairvoyant madman who lures young girls to their untimely deaths . 	Translation	Positive	Negative	EmotionRationale
but as soon as a body turns up and claire has given the authorities reason enough to believe her claims , " in dreams " trades in its nifty supernatural chills for a long series of allegedly spooky jolts that simply refuse to make sense . 	but as soon as a body turns up and claire has given the authorities reason enough to believe her claims , " in dreams " trades in its nifty supernatural chills for a long series of allegedly spooky jolts that simply refuse to make sense .	1	-2	 but[0] as[0] soon[0] as[0] a[0] body[0] turns[0] up[0] and[0] claire[0] has[0] given[0] the[0] authorities[0] reason[0] enough[0] to[0] believe[0] her[0] claims[0] in[0] dreams[0] trades[0] in[0] its[0] nifty[0] supernatural[0] chills[0] for[0] a[0] long[0] series[0] of[0] allegedly[-1] spooky[0] jolts[0] that[0] simply[0] refuse[-1] to[0] make[0] sense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
scenes pile up like a car wreck with little or no explanation or exposition . 	scenes pile up like a car wreck with little or no explanation or exposition .	2	-2	 scenes[0] pile[0] up[0] like[1] a[0] car[0] wreck[-1] with[0] little[0] or[0] no[0] explanation[0] or[0] exposition[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
subplots appear and disappear . 	subplots appear and disappear .	1	-1	 subplots[0] appear[0] and[0] disappear[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when claire finally comes face-to-face with our evil murderer ( robert downey jr . ) , it turns out his name is vivian , he's clairvoyant and he's got some major issues with mama , a la norman bates . 	when claire finally comes face-to-face with our evil murderer ( robert downey jr .<br> ) , it turns out his name is vivian , he's clairvoyant and he's got some major issues with mama , a la norman bates .	1	-5	 when[0] claire[0] finally[0] comes[0] face[0] to[0] face[0] with[0] our[0] evil[-2] murderer[-3][-1 MultiplePositiveWords] robert[0] downey[0] jr[0] [[Sentence=-5,1=word max, 1-5]] it[0] turns[0] out[0] his[0] name[0] is[0] vivian[0] he's[0] clairvoyant[0] and[0] he's[0] got[0] some[0] major[0] issues[0] with[0] mama[0] a[0] la[0] norman[0] bates[0] [[Sentence=-1,1=word max, 1-5]][[[1,-5 max of sentences]]]
 " in dreams " reaches its absurdist zenith here , and the climax drags with mumbled revelations and laughable twists . 	 " in dreams " reaches its absurdist zenith here , and the climax drags with mumbled revelations and laughable twists .	1	-2	 in[0] dreams[0] reaches[0] its[0] absurdist[-1] zenith[0] here[0] and[0] the[0] climax[0] drags[0] with[0] mumbled[-1] revelations[0] and[0] laughable[-1] twists[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some questions , then : what's with the garbage disposal retching applesauce ? 	some questions , then : what's with the garbage disposal retching applesauce ?	1	-3	 some[0] questions[0] then[0] what's[0] with[0] the[0] garbage[-2] disposal[-1] retching[-2] applesauce[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
are the drawings on the wall blood or paint ? 	are the drawings on the wall blood or paint ?	1	-1	 are[0] the[0] drawings[0] on[0] the[0] wall[0] blood[0] or[0] paint[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who cranked up the andrews sisters on the cd player and caused the swing to move on its own ? 	who cranked up the andrews sisters on the cd player and caused the swing to move on its own ?	1	-1	 who[0] cranked[0] up[0] the[0] andrews[0] sisters[0] on[0] the[0] cd[0] player[0] and[0] caused[0] the[0] swing[0] to[0] move[0] on[0] its[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what about the computer ? 	what about the computer ?	1	-1	 what[0] about[0] the[0] computer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does vivian possess the gift of telekinesis in addition to his other powers ? 	does vivian possess the gift of telekinesis in addition to his other powers ?	1	-1	 does[0] vivian[0] possess[0] the[0] gift[0] of[0] telekinesis[0] in[0] addition[0] to[0] his[0] other[0] powers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why would he continually endanger claire if she was necessary for his ultimate plan ? 	why would he continually endanger claire if she was necessary for his ultimate plan ?	1	-2	 why[0] would[0] he[0] continually[0] endanger[-1] claire[0] if[0] she[0] was[0] necessary[0] for[0] his[0] ultimate[0] plan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is the woman in australia integral to anything ? 	is the woman in australia integral to anything ?	1	-1	 is[0] the[0] woman[0] in[0] australia[0] integral[0] to[0] anything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the aforementioned flooded city - what function does that _really_ serve ? 	and the aforementioned flooded city - what function does that _really_ serve ?	1	-1	 and[0] the[0] aforementioned[0] flooded[0] city[0] what[0] function[0] does[0] that[0] _really_[0] serve[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sigh . 	sigh .	1	-1	 sigh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at least in my own dreams , i can imagine a better movie where certain talent didn't go to waste . 	at least in my own dreams , i can imagine a better movie where certain talent didn't go to waste .	2	-2	 at[0] least[0] in[0] my[0] own[0] dreams[0] i[0] can[0] imagine[0] a[0] better[0] movie[0] where[0] certain[0] talent[1] didn't[0] go[0] to[0] waste[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
