since director steven zaillian previously wrote the powerful screenplay for 1993's steven spielberg drama " schindler's list " and directed 1993's intelligent " searching for bobby fischer , " his new film , " a civil action , " should most likely be looked upon as an unfortunate misstep in an otherwise prosperous career . 	Translation	Positive	Negative	EmotionRationale
not only was the plotting similar to " a civil action , " but it also had the same exact running time of 115 minutes . 	not only was the plotting similar to " a civil action , " but it also had the same exact running time of 115 minutes .	1	-1	 not[0] only[0] was[0] the[0] plotting[0] similar[0] to[0] a[0] civil[0] action[0] but[0] it[0] also[0] had[0] the[0] same[0] exact[0] running[0] time[0] of[0] 115[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
considering this , it is amazing how fulfilling and truthful " a sweet hereafter " was , not only concentrating on the school bus accident , but delving deeply into ian holm's character and his own personal demons , as well as the teenage girl . 	considering this , it is amazing how fulfilling and truthful " a sweet hereafter " was , not only concentrating on the school bus accident , but delving deeply into ian holm's character and his own personal demons , as well as the teenage girl .	3	-2	 considering[0] this[0] it[0] is[0] amazing[2] how[0] fulfilling[0] and[0] truthful[1] a[0] sweet[1] hereafter[0] was[0] not[0] only[0] concentrating[0] on[0] the[0] school[0] bus[0] accident[-1] but[0] delving[0] deeply[0] into[0] ian[0] holm's[0] character[0] and[0] his[0] own[0] personal[0] demons[0] as[0] well[0] as[0] the[0] teenage[0] girl[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in " a civil action , " however , i have no idea where the running time went , since the film is virtually two hours of nothingness . 	in " a civil action , " however , i have no idea where the running time went , since the film is virtually two hours of nothingness .	1	-1	 in[0] a[0] civil[0] action[0] however[0] i[0] have[0] no[0] idea[0] where[0] the[0] running[0] time[0] went[0] since[0] the[0] film[0] is[0] virtually[0] two[0] hours[0] of[0] nothingness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we do not get to know the parents very well , nor any of the main characters . 	we do not get to know the parents very well , nor any of the main characters .	1	-1	 we[0] do[0] not[0] get[0] to[0] know[0] the[0] parents[0] very[0] well[0] nor[0] any[0] of[0] the[0] main[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
through its whole duration , i did not learn one thing__not one thing__about travolta's lawyer character , jan schlictmann , who doesn't appear to have any sort of life or purpose outside of his job . 	through its whole duration , i did not learn one thing__not one thing__about travolta's lawyer character , jan schlictman , who doesn't appear to have any sort of life or purpose outside of his job .	1	-1	 through[0] its[0] whole[0] duration[0] i[0] did[0] not[0] learn[0] one[0] thing__not[0] one[0] thing__about[0] travolta's[0] lawyer[0] character[0] jan[0] schlictmann/schlictman[0] who[0] doesn't[0] appear[0] to[0] have[0] any[0] sort[0] of[0] life[0] or[0] purpose[0] outside[0] of[0] his[0] job[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every scene is tediously related directly to the premise , and therefore , there was no one for me to care about or root for . 	every scene is tediously related directly to the premise , and therefore , there was no one for me to care about or root for .	2	-3	 every[0] scene[0] is[0] tediously[-2] related[0] directly[0] to[0] the[0] premise[0] and[0] therefore[0] there[0] was[0] no[0] one[0] for[0] me[0] to[0] care[1] about[0] or[0] root[0] for[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
you've got to work pretty hard , actually , to not get an audience to become involved in the parents' plight , since their children are dead , but that is exactly what " a civil action " does . 	you've got to work pretty hard , actually , to not get an audience to become involved in the parents' plight , since their children are dead , but that is exactly what " a civil action " does .	3	-3	 you've[0] got[0] to[0] work[0] pretty[2] hard[0] actually[0] to[0] not[0] get[0] an[0] audience[0] to[0] become[0] involved[0] in[0] the[0] parents'[0] plight[-1] since[0] their[0] children[0] are[0] dead[-2] but[0] that[0] is[0] exactly[0] what[0] a[0] civil[0] action[0] does[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
to be honest , i would be fairly hard-pressed to state an aspect of the film that i actually liked . 	to be honest , i would be fairly hard-pressed to state an aspect of the film that i actually liked .	3	-1	 to[0] be[0] honest[0] i[0] would[0] be[0] fairly[0] hard[0] pressed[0] to[0] state[0] an[0] aspect[0] of[0] the[0] film[0] that[0] i[0] actually[0] liked[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
aside from one flashback to when a man's young son died on the way to the doctor , i remained unmoved and passive about what was going on in the scenes , and more than once found my mind wandering . 	aside from one flashback to when a man's young son died on the way to the doctor , i remained unmoved and passive about what was going on in the scenes , and more than once found my mind wandering .	1	-2	 aside[0] from[0] one[0] flashback[0] to[0] when[0] a[0] man's[0] young[0] son[0] died[0] on[0] the[0] way[0] to[0] the[0] doctor[0] i[0] remained[0] unmoved[-1] and[0] passive[0] about[0] what[0] was[0] going[0] on[0] in[0] the[0] scenes[0] and[0] more[0] than[0] once[0] found[0] my[0] mind[0] wandering[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i could say the performances were good , but who's fooling who ? 	i could say the performances were good , but who's fooling who ?	2	-2	 i[0] could[0] say[0] the[0] performances[0] were[0] good[1] but[0] who's[0] fooling[-1] who[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
since every character is one-dimensionally written , no one's acting abilities are challenged in any way . 	since every character is one-dimensionally written , no one's acting abilities are challenged in any way .	1	-2	 since[0] every[0] character[0] is[0] one[0] dimensionally[0] written[0] no[0] one's[0] acting[0] abilities[0] are[0] challenged[-1] in[0] any[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
travolta plays a lawyer well enough , but that's about all he does . 	travolta plays a lawyer well enough , but that's about all he does .	2	-1	 travolta[0] plays[1] a[0] lawyer[0] well[0] enough[0] but[0] that's[0] about[0] all[0] he[0] does[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
duvall virtually sleepwalks through his role , apparently only appearing to give one-liners at every chance he gets . 	duvall virtually sleepwalks through his role , apparently only appearing to give one-liners at every chance he gets .	1	-1	 duvall[0] virtually[0] sleepwalks[0] through[0] his[0] role[0] apparently[0] only[0] appearing[0] to[0] give[0] one[0] liners[0] at[0] every[0] chance[0] he[0] gets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what in the world is kathy bates doing in the picture's final scene , as a judge ? 	and what in the world is kathy bates doing in the picture's final scene , as a judge ?	1	-1	 and[0] what[0] in[0] the[0] world[0] is[0] kathy[0] bates[0] doing[0] in[0] the[0] picture's[0] final[0] scene[0] as[0] a[0] judge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she appears unbilled , since it is just a cameo , but why did she even agree to do it in the first place ? 	she appears unbilled , since it is just a cameo , but why did she even agree to do it in the first place ?	1	-1	 she[0] appears[0] unbilled[0] since[0] it[0] is[0] just[0] a[0] cameo[0] but[0] why[0] did[0] she[0] even[0] agree[0] to[0] do[0] it[0] in[0] the[0] first[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally , when the conclusion arrived and the end credits began to role , the film left me with another question : what was the point ? 	finally , when the conclusion arrived and the end credits began to role , the film left me with another question : what was the point ?	1	-1	 finally[0] when[0] the[0] conclusion[0] arrived[0] and[0] the[0] end[0] credits[0] began[0] to[0] role[0] the[0] film[0] left[0] me[0] with[0] another[0] question[0] what[0] was[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
abruptly ending without any susceptible momentum , where none came before that to begin with , " a civil action " seemed to me , at least , to be an example of how not to make a courtroom drama , and it certainly did not do justice to the very serious subject matter the film deals with . 	abruptly ending without any susceptible momentum , where none came before that to begin with , " a civil action " seemed to me , at least , to be an example of how not to make a courtroom drama , and it certainly did not do justice to the very serious subject matter the film deals with .	1	-3	 abruptly[0] ending[0] without[0] any[0] susceptible[-1] momentum[0] where[0] none[0] came[0] before[0] that[0] to[0] begin[0] with[0] a[0] civil[0] action[0] seemed[0] to[0] me[0] at[0] least[0] to[0] be[0] an[0] example[0] of[0] how[0] not[0] to[0] make[0] a[0] courtroom[0] drama[0] and[0] it[0] certainly[0] did[0] not[0] do[0] justice[0] to[0] the[0] very[0] serious[-1][-1 LastWordBoosterStrength] subject[0] matter[0] the[0] film[0] deals[0] with[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
