after seeing blaze and driving miss daisy , i was ready for some mindless fun--oh , maybe something like tango & cash . 	Translation	Positive	Negative	EmotionRationale
feldman's story line succumbs to every crime thriller cliche in the book , making tango & cash altogether generic and predictable . 	feldman's story line succumbs to every crime thriller cliche in the book , making tango & cash altogether generic and predictable .	2	-2	 feldman's[0] story[0] line[0] succumbs[-1] to[0] every[0] crime[-1] thriller[1] cliche[0] in[0] the[0] book[0] making[0] tango[0] &[0] cash[0] altogether[0] generic[0] and[0] predictable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they simply could have called it " action movie . " 	they simply could have called it " action movie .<br> "	1	-1	 they[0] simply[0] could[0] have[0] called[0] it[0] action[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every character , every twist and turn , is stolen from television or from other movies . 	every character , every twist and turn , is stolen from television or from other movies .	1	-2	 every[0] character[0] every[0] twist[0] and[0] turn[0] is[0] stolen[-1] from[0] television[0] or[0] from[0] other[0] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
adding insult to injury , tango & cash is about as believable as a " road runner " cartoon . 	adding insult to injury , tango & cash is about as believable as a " road runner " cartoon .	1	-3	 adding[0] insult[-2] to[0] injury[-1] tango[0] &[0] cash[0] is[0] about[0] as[0] believable[0] as[0] a[0] road[0] runner[0] cartoon[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
action movies don't have to be realistic , but they should absorb you enough so that you're not thinking about the lack of realism . 	action movies don't have to be realistic , but they should absorb you enough so that you're not thinking about the lack of realism .	1	-2	 action[0] movies[0] don't[0] have[0] to[0] be[0] realistic[0] but[0] they[0] should[0] absorb[0] you[0] enough[0] so[0] that[0] you're[0] not[0] thinking[0] about[0] the[0] lack[-1] of[0] realism[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only artistic aspect of tango & cash is the cinematography . 	the only artistic aspect of tango & cash is the cinematography .	1	-1	 the[0] only[0] artistic[0] aspect[0] of[0] tango[0] &[0] cash[0] is[0] the[0] cinematography[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some spectacular shots , especially during the rainy nighttime prison break in which tango and cash slide to safety on electrical wires . 	there are some spectacular shots , especially during the rainy nighttime prison break in which tango and cash slide to safety on electrical wires .	2	-2	 there[0] are[0] some[0] spectacular[0] shots[0] especially[0] during[0] the[0] rainy[0] nighttime[0] prison[-1] break[0] in[0] which[0] tango[0] and[0] cash[0] slide[0] to[0] safety[1] on[0] electrical[0] wires[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film's main draw is the chemistry between stallone and russell . 	the film's main draw is the chemistry between stallone and russell .	1	-1	 the[0] film's[0] main[0] draw[0] is[0] the[0] chemistry[0] between[0] stallone[0] and[0] russell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , their relationship rarely progresses past macho competition as they endlessly bicker about who packs more meat in his pants . 	unfortunately , their relationship rarely progresses past macho competition as they endlessly bicker about who packs more meat in his pants .	1	-2	 unfortunately[-1] their[0] relationship[0] rarely[0] progresses[0] past[0] macho[0] competition[0] as[0] they[0] endlessly[0] bicker[0] about[0] who[0] packs[0] more[0] meat[0] in[0] his[0] pants[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dialogue consists of nothing but one-liners , and consequently the attempts at character development are embarrassing . 	the dialogue consists of nothing but one-liners , and consequently the attempts at character development are embarrassing .	1	-3	 the[0] dialogue[0] consists[0] of[0] nothing[0] but[0] one[0] liners[0] and[0] consequently[0] the[0] attempts[0] at[0] character[0] development[0] are[0] embarrassing[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a shame because with a workable screenplay , russell and stallone could have turned tango & cash into a charming " lethal weaponesque " adventure . 	it's a shame because with a workable screenplay , russell and stallone could have turned tango & cash into a charming " lethal weaponesque " adventure .	2	-3	 it's[0] a[0] shame[-2] because[0] with[0] a[0] workable[0] screenplay[0] russell[0] and[0] stallone[0] could[0] have[0] turned[0] tango[0] &[0] cash[0] into[0] a[0] charming[1] lethal[0] weaponesque[-1] adventure[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
tango & cash tries to maintain a light tone , and you do laugh about once every five minutes . 	tango & cash tries to maintain a light tone , and you do laugh about once every five minutes .	2	-1	 tango[0] &[0] cash[0] tries[0] to[0] maintain[0] a[0] light[0] tone[0] and[0] you[0] do[0] laugh[1] about[0] once[0] every[0] five[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
seeing russell in drag is the movie's funniest moment , but you probably already have seen it in the commercials . 	seeing russell in drag is the movie's funniest moment , but you probably already have seen it in the commercials .	2	-2	 seeing[0] russell[0] in[0] drag[-1] is[0] the[0] movie's[0] funniest[1] moment[0] but[0] you[0] probably[0] already[0] have[0] seen[0] it[0] in[0] the[0] commercials[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
furthermore , the light tone does not sit well against the relentlessly brutal violence . 	furthermore , the light tone does not sit well against the relentlessly brutal violence .	1	-5	 furthermore[0] the[0] light[0] tone[0] does[0] not[0] sit[0] well[0] against[-1] the[0] relentlessly[0] brutal[-2] violence[-3][-1 MultiplePositiveWords] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
machine guns and torture generally don't mix well with comedy . 	machine guns and torture generally don't mix well with comedy .	1	-4	 machine[0] guns[-1] and[0] torture[-3] generally[0] don't[0] mix[0] well[0] with[0] comedy[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
jack palance appears in tango & cash doing what he does best : playing a sleazy , conniving villain . 	jack palance appears in tango & cash doing what he does best : playing a sleazy , conniving villain .	2	-3	 jack[0] palance[0] appears[0] in[0] tango[0] &[0] cash[0] doing[0] what[0] he[0] does[0] best[1] playing[1] a[0] sleazy[-2] conniving[0] villain[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his character , however , is run-of-the-mill , except for his strange obsession with mice . 	his character , however , is run-of-the-mill , except for his strange obsession with mice .	1	-3	 his[0] character[0] however[0] is[0] run[0] of[0] the[0] mill[0] except[0] for[0] his[0] strange[0] obsession[-2] with[0] mice[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like many movie villains , palance likes to play games . 	like many movie villains , palance likes to play games .	3	-3	 like[1] many[0] movie[0] villains[-2] palance[0] likes[2] to[0] play[0] games[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in fact , he sets a ridiculously elaborate trap for tango and cash , a trap which sends the two detectives to prison so they can be beaten and electrocuted by some meanies in the boiler room . 	in fact , he sets a ridiculously elaborate trap for tango and cash , a trap which sends the two detectives to prison so they can be beaten and electrocuted by some meanies in the boiler room .	1	-3	 in[0] fact[0] he[0] sets[0] a[0] ridiculously[-2] elaborate[0] trap[-1] for[0] tango[0] and[0] cash[0] a[0] trap[-1] which[0] sends[0] the[0] two[0] detectives[0] to[0] prison[-1] so[0] they[0] can[0] be[0] beaten[0] and[0] electrocuted[0] by[0] some[0] meanies[0] in[0] the[0] boiler[0] room[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you have to wonder why palance doesn't just shoot the detectives in the head ! 	you have to wonder why palance doesn't just shoot the detectives in the head !	1	-1	 you[0] have[0] to[0] wonder[0] why[0] palance[0] doesn't[0] just[0] shoot[-1][--1 LastWordBoosterStrength] the[0] detectives[0] in[0] the[0] head[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story would crumble if any of the characters were to do anything intelligent . 	the story would crumble if any of the characters were to do anything intelligent .	2	-1	 the[0] story[0] would[0] crumble[-1][--1 LastWordBoosterStrength] if[0] any[0] of[0] the[0] characters[0] were[0] to[0] do[0] anything[0] intelligent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
teri hatcher plays stallone's sister and russell's love-interest , and she is just as pretty as can be . 	teri hatcher plays stallone's sister and russell's love-interest , and she is just as pretty as can be .	3	-1	 teri[0] hatcher[0] plays[1] stallone's[0] sister[0] and[0] russell's[0] love[2] interest[1] and[0] she[0] is[0] just[0] as[0] pretty[2] as[0] can[0] be[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but regrettably , hatcher's acting is not on par with her exceptional beauty . 	but regrettably , hatcher's acting is not on par with her exceptional beauty .	3	-2	 but[0] regrettably[-1] hatcher's[0] acting[0] is[0] not[0] on[0] par[0] with[0] her[0] exceptional[0] beauty[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
every time she opens her mouth , you cringe ; corny dialogue and atrocious acting are always a fatal combination . 	every time she opens her mouth , you cringe ; corny dialogue and atrocious acting are always a fatal combination .	1	-4	 every[0] time[0] she[0] opens[0] her[0] mouth[0] you[0] cringe[-1] corny[0] dialogue[0] and[0] atrocious[-3] acting[0] are[0] always[0] a[0] fatal[-2] combination[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's really very little , if anything , to recommend in the film . 	there's really very little , if anything , to recommend in the film .	1	-1	 there's[0] really[0] very[0] little[0] if[0] anything[0] to[0] recommend[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , more to the point , tango definitely isn't worth a penny of your cash--so don't bother . 	and , more to the point , tango definitely isn't worth a penny of your cash-so don't bother .	2	-1	 and[0] more[0] to[0] the[0] point[0] tango[0] definitely[0] isn't[0] worth[0] a[0] penny[0] of[0] your[0] cash[0] so[0] don't[0] bother[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
