 " marie couldn't talk , " paulie , the parrot star of his own movie , tells us about the daughter in his original family . 	Translation	Positive	Negative	EmotionRationale
too often , however , a sleepy silence ensues among the viewers as they wait for the story to pickup again . 	too often , however , a sleepy silence ensues among the viewers as they wait for the story to pickup again .	1	-1	 too[0] often[0] however[0] a[0] sleepy[0] silence[0] ensues[0] among[0] the[0] viewers[0] as[0] they[0] wait[0] for[0] the[0] story[0] to[0] pickup[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tony shalhoub , the smart-mouthed chef from big night , plays misha , a recent russian immigrant to the u . s . he had been a teacher of literature at home , but now he makes his living as a janitor in the animal research lab to which paulie has been taken for study . 	tony shalhoub , the smart-mouthed chef from big night , plays misha , a recent russian immigrant to the you .<br> s .<br> he had been a teacher of literature at home , but now he makes his living as a janitor in the animal research lab to which paulie has been taken for study .	2	-1	 tony[0] shalhoub[0] the[0] smart[1] mouthed[0] chef[0] from[0] big[0] night[0] plays[1] misha[0] a[0] recent[0] russian[0] immigrant[0] to[0] the[0] u[0] [[Sentence=-1,2=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] he[0] had[0] been[0] a[0] teacher[0] of[0] literature[0] at[0] home[0] but[0] now[0] he[0] makes[0] his[0] living[0] as[0] a[0] janitor[0] in[0] the[0] animal[0] research[0] lab[0] to[0] which[0] paulie[0] has[0] been[0] taken[0] for[0] study[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
although misha gets a few nice lines ( " i'm russian . 	although misha gets a few nice lines ( " i'm russian .	2	-1	 although[0] misha[0] gets[0] a[0] few[0] nice[1] lines[0] i'm[0] russian[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i like long stories . " ) , 	i like long stories .<br> " ) ,	2	-1	 i[0] like[1] long[0] stories[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his somber part seems designed only to elicit our sympathy . 	his somber part seems designed only to elicit our sympathy .	1	-2	 his[0] somber[-1] part[0] seems[0] designed[0] only[0] to[0] elicit[0] our[0] sympathy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
besides paulie , the only character worth noting - other than 2 cute small parts played by cheech marin and gina rowlands - is the speech-impaired marie , played in a precious performance by cinematic newcomer , 5-year-old hallie kate eisenberg . 	besides paulie , the only character worth noting - other than 2 cute small parts played by cheech marin and gina rowlands - is the speech-impaired marie , played in a precious performance by cinematic newcomer , 5-year-old hallie kate eisenberg .	3	-2	 besides[0] paulie[0] the[0] only[0] character[0] worth[0] noting[0] other[0] than[0] 2[0] cute[1] small[0] parts[0] played[0] by[0] cheech[0] marin[0] and[0] gina[0] rowlands[0] is[0] the[0] speech[0] impaired[-1] marie[0] played[0] in[0] a[0] precious[2] performance[0] by[0] cinematic[0] newcomer[0] 5[0] year[0] old[0] hallie[0] kate[0] eisenberg[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
naturally enchanting , she gives the picture genuine heart . 	naturally enchanting , she gives the picture genuine heart .	1	-1	 naturally[0] enchanting[0] she[0] gives[0] the[0] picture[0] genuine[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bad news is that her part is confined to the first half . 	the bad news is that her part is confined to the first half .	1	-2	 the[0] bad[-1] news[0] is[0] that[0] her[0] part[0] is[0] confined[0] to[0] the[0] first[0] half[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the best scenes have the bird dancing and strutting to show off his comedic skills . 	the best scenes have the bird dancing and strutting to show off his comedic skills .	2	-1	 the[0] best[1] scenes[0] have[0] the[0] bird[0] dancing[0] and[0] strutting[0] to[0] show[0] off[0] his[0] comedic[0] skills[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when marie's family gets a cat , for example , the bird , who hasn't wanted to learn how to fly until then , takes an instant interest in soaring . 	when marie's family gets a cat , for example , the bird , who hasn't wanted to learn how to fly until then , takes an instant interest in soaring .	2	-1	 when[0] marie's[0] family[0] gets[0] a[0] cat[0] for[0] example[0] the[0] bird[0] who[0] hasn't[0] wanted[0] to[0] learn[0] how[0] to[0] fly[0] until[0] then[0] takes[0] an[0] instant[0] interest[1] in[0] soaring[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tricking the cat while insulting him at the same time , paulie calls him a stupid hairball . 	tricking the cat while insulting him at the same time , paulie calls him a stupid hairball .	1	-3	 tricking[-1] the[0] cat[0] while[0] insulting[-2] him[0] at[0] the[0] same[0] time[0] paulie[0] calls[0] him[0] a[0] stupid[-1] hairball[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
their rapid physical antics add to the humor of the situation . 	their rapid physical antics add to the humor of the situation .	3	-1	 their[0] rapid[0] physical[0] antics[0] add[0] to[0] the[0] humor[2] of[0] the[0] situation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's good quality sitcom material but performed by animals . 	it's good quality sitcom material but performed by animals .	2	-1	 it's[0] good[1] quality[0] sitcom[0] material[0] but[0] performed[0] by[0] animals[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when one of the humans without much of a voice begins to sing , paulie cringes . 	when one of the humans without much of a voice begins to sing , paulie cringes .	1	-1	 when[0] one[0] of[0] the[0] humans[0] without[0] much[0] of[0] a[0] voice[0] begins[0] to[0] sing[0] paulie[0] cringes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " i'm a bird , " he explains with his frequently subtle humor . 	 " i'm a bird , " he explains with his frequently subtle humor .	3	-1	 i'm[0] a[0] bird[0] he[0] explains[0] with[0] his[0] frequently[0] subtle[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " i have a small brain , and it's about to explode . " 	 " i have a small brain , and it's about to explode .<br> "	1	-2	 i[0] have[0] a[0] small[0] brain[0] and[0] it's[0] about[0] to[0] explode[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie contains rich doses of john debney's dreamy music . 	the movie contains rich doses of john debney's dreamy music .	1	-1	 the[0] movie[0] contains[0] rich[0] doses[0] of[0] john[0] debney's[0] dreamy[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with heavy use of a solo violin , he keeps reinforcing the film's heart-warming themes . 	with heavy use of a solo violin , he keeps reinforcing the film's heart-warming themes .	1	-1	 with[0] heavy[0] use[0] of[0] a[0] solo[0] violin[0] he[0] keeps[0] reinforcing[0] the[0] film's[0] heart[0] warming[0] themes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and when paulie finally takes off in flight , the orchestra comes up loud and strong with cymbals clashing . 	and when paulie finally takes off in flight , the orchestra comes up loud and strong with cymbals clashing .	1	-1	 and[0] when[0] paulie[0] finally[0] takes[0] off[0] in[0] flight[0] the[0] orchestra[0] comes[0] up[0] loud[0] and[0] strong[0] with[0] cymbals[0] clashing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " it's a long story , " says paulie . 	 " it's a long story , " says paulie .	1	-1	 it's[0] a[0] long[0] story[0] says[0] paulie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " it's the only kind he knows , " reflects misha . 	 " it's the only kind he knows , " reflects misha .	2	-1	 it's[0] the[0] only[0] kind[1] he[0] knows[0] reflects[0] misha[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and the motion picture , which runs the standard length for a kids' movie , still feels too long . 	and the motion picture , which runs the standard length for a kids' movie , still feels too long .	1	-1	 and[0] the[0] motion[0] picture[0] which[0] runs[0] the[0] standard[0] length[0] for[0] a[0] kids'[0] movie[0] still[0] feels[0] too[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best parts are enthralling , but then there are all of those dead spots in-between . 	the best parts are enthralling , but then there are all of those dead spots in-between .	2	-3	 the[0] best[1] parts[0] are[0] enthralling[0] but[0] then[0] there[0] are[0] all[0] of[0] those[0] dead[-2] spots[0] in[0] between[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
paulie is a movie that never quite lives up to its promise but manages to charm nevertheless . 	paulie is a movie that never quite lives up to its promise but manages to charm nevertheless .	2	-1	 paulie[0] is[0] a[0] movie[0] that[0] never[0] quite[0] lives[0] up[0] to[0] its[0] promise[1] but[0] manages[0] to[0] charm[1] nevertheless[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
paulie runs 1 : 32 . 	paulie runs 1 : 32 .	1	-1	 paulie[0] runs[0] 1[0] 32[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is raged pg for a few mild profanities and would be fine for all ages . 	it is raged pg for a few mild profanities and would be fine for all ages .	3	-4	 it[0] is[0] raged[-3] pg[0] for[0] a[0] few[0] mild[0] profanities[0] and[0] would[0] be[0] fine[2] for[0] all[0] ages[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
my son , jeffrey , age 9 , gave the movie * * with his biggest complaint being that there wasn't enough action . 	my son , jeffrey , age 9 , gave the movie * * with his biggest complaint being that there wasn't enough action .	1	-2	 my[0] son[0] jeffrey[0] age[0] 9[0] gave[0] the[0] movie[0] with[0] his[0] biggest[0] complaint[-1] being[0] that[0] there[0] wasn't[0] enough[0] action[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he thought paulie was funny , and the actress that played marie was quite good . 	he thought paulie was funny , and the actress that played marie was quite good .	2	-1	 he[0] thought[0] paulie[0] was[0] funny[1] and[0] the[0] actress[0] that[0] played[0] marie[0] was[0] quite[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his friend sam , almost 9 , thought the movie was " awesome , excellent , " and gave it * * * * . 	his friend sam , almost 9 , thought the movie was " awesome , excellent , " and gave it * * * * .	5	-1	 his[0] friend[1] sam[0] almost[0] 9[0] thought[0] the[0] movie[0] was[0] awesome[2] excellent[3][+1 MultiplePositiveWords] and[0] gave[0] it[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
he thought paulie was good , but he didn't believe the way marie's speech impediment was acted . 	he thought paulie was good , but he didn't believe the way marie's speech impediment was acted .	2	-2	 he[0] thought[0] paulie[0] was[0] good[1] but[0] he[0] didn't[0] believe[0] the[0] way[0] marie's[0] speech[0] impediment[-1] was[0] acted[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
