wild things is a way to steam up an otherwise dreary early spring day ? provided , of course , that you're the victim of a frontal lobotomy . 	Translation	Positive	Negative	EmotionRationale
the film's greatest curiosity is a full frontal shot of kevin bacon climbing out of the shower . 	the film's greatest curiosity is a full frontal shot of kevin bacon climbing out of the shower .	3	-2	 the[0] film's[0] greatest[2] curiosity[0] is[0] a[0] full[0] frontal[0] shot[-1] of[0] kevin[0] bacon[0] climbing[0] out[0] of[0] the[0] shower[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
maybe a few girls will skip seeing a fully-clothed leonardo dicaprio for the thirteenth time in titanic to catch a glimpse of what kyra sedgwick ( mrs . 	maybe a few girls will skip seeing a fully-clothed leonardo dicaprio for the thirteenth time in titanic to catch a glimpse of what kyra sedgwick ( mrs .	1	-1	 maybe[0] a[0] few[0] girls[0] will[0] skip[0] seeing[0] a[0] fully[0] clothed[0] leonardo[0] dicaprio[0] for[0] the[0] thirteenth[0] time[0] in[0] titanic[0] to[0] catch[0] a[0] glimpse[0] of[0] what[0] kyra[0] sedgwick[0] mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kevin bacon ) is familiar with . 	kevin bacon ) is familiar with .	1	-1	 kevin[0] bacon[0] is[0] familiar[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director of wild things is john mcnaughton , whose last effort was the finely-tuned psychological thriller , normal life . 	the director of wild things is john mcnaughton , whose last effort was the finely-tuned psychological thriller , normal life .	2	-1	 the[0] director[0] of[0] wild[0] things[0] is[0] john[0] mcnaughton[0] whose[0] last[0] effort[0] was[0] the[0] finely[0] tuned[0] psychological[0] thriller[1] normal[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that movie featured copious sex , a pair of real characters , and a powerful script . 	that movie featured copious sex , a pair of real characters , and a powerful script .	1	-1	 that[0] movie[0] featured[0] copious[0] sex[0] a[0] pair[0] of[0] real[0] characters[0] and[0] a[0] powerful[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's difficult to believe that something this shallow could come from the same film maker . 	it's difficult to believe that something this shallow could come from the same film maker .	1	-2	 it's[0] difficult[-1] to[0] believe[0] that[0] something[0] this[0] shallow[-1] could[0] come[0] from[0] the[0] same[0] film[0] maker[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but i suppose we all need to put food on the table . 	but i suppose we all need to put food on the table .	1	-1	 but[0] i[0] suppose[0] we[0] all[0] need[0] to[0] put[0] food[0] on[0] the[0] table[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mcnaughton appears to have completely lost his way here , in what is obviously a stab at mainstream success ( his previous wide-release picture , mad dog and glory , was a box-office disappointment ) . 	mcnaughton appears to have completely lost his way here , in what is obviously a stab at mainstream success ( his previous wide-release picture , mad dog and glory , was a box-office disappointment ) .	3	-2	 mcnaughton[0] appears[0] to[0] have[0] completely[0] lost[0] his[0] way[0] here[0] in[0] what[0] is[0] obviously[0] a[0] stab[-1] at[0] mainstream[0] success[2] his[0] previous[0] wide[0] release[0] picture[0] mad[-1] dog[0] and[0] glory[1] was[0] a[0] box[0] office[0] disappointment[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
quick cuts and pretty sunrises can't even begin to cover up this movie's flaws . 	quick cuts and pretty sunrises can't even begin to cover up this movie's flaws .	3	-1	 quick[0] cuts[0] and[0] pretty[2] sunrises[0] can't[0] even[0] begin[0] to[0] cover[0] up[0] this[0] movie's[0] flaws[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the main character ( and i use that term lightly , since no one in wild things shows more than an occasional flash of personality ) is sam lombardo ( matt dillon ) , a guidance counselor at florida's blue bay high school . 	the main character ( and i use that term lightly , since no one in wild things shows more than an occasional flash of personality ) is sam lombardo ( matt dillon ) , a guidance counselor at florida's blue bay high school .	1	-1	 the[0] main[0] character[0] and[0] i[0] use[0] that[0] term[0] lightly[0] since[0] no[0] one[0] in[0] wild[0] things[0] shows[0] more[0] than[0] an[0] occasional[0] flash[0] of[0] personality[0] is[0] sam[0] lombardo[0] matt[0] dillon[0] a[0] guidance[0] counselor[0] at[0] florida's[0] blue[0] bay[0] high[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a student , the deliciously curvaceous kelly van ryan ( denise richards ) , has a crush on him . 	a student , the deliciously curvaceous kelly van ryan ( denise richards ) , has a crush on him .	3	-2	 a[0] student[0] the[0] deliciously[2] curvaceous[0] kelly[0] van[0] ryan[0] denise[0] richards[0] has[0] a[0] crush[-1] on[0] him[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
one afternoon , she comes to his house to wash his car , and , when she leaves , her clothing is torn . 	one afternoon , she comes to his house to wash his car , and , when she leaves , her clothing is torn .	1	-1	 one[0] afternoon[0] she[0] comes[0] to[0] his[0] house[0] to[0] wash[0] his[0] car[0] and[0] when[0] she[0] leaves[0] her[0] clothing[0] is[0] torn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after confessing to her mother ( theresa russell ) that she was raped , she goes to the police station , where she tells her story to detectives ray duquette ( kevin bacon ) and gloria perez ( daphne rubin-vega ) . 	after confessing to her mother ( theresa russell ) that she was raped , she goes to the police station , where she tells her story to detectives ray duquette ( kevin bacon ) and gloria perez ( daphne rubin-vega ) .	2	-4	 after[0] confessing[-1] to[0] her[0] mother[0] theresa[0] russell[0] that[0] she[0] was[0] raped[-3] she[0] goes[0] to[0] the[0] police[0] station[0] where[0] she[0] tells[0] her[0] story[0] to[0] detectives[0] ray[0] duquette[0] kevin[0] bacon[0] and[0] gloria[1] perez[0] daphne[0] rubin[0] vega[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
they are skeptical about here claims until another girl , suzie toller ( neve campbell ) , comes forward with a similar tale . 	they are skeptical about here claims until another girl , suzie toller ( neve campbell ) , comes forward with a similar tale .	1	-2	 they[0] are[0] skeptical[-1] about[0] here[0] claims[0] until[0] another[0] girl[0] suzie[0] toller[0] neve[0] campbell[0] comes[0] forward[0] with[0] a[0] similar[0] tale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meanwhile , sam , convinced that he's being set up , goes to a shyster lawyer ( bill murray ) for help . 	meanwhile , sam , convinced that he's being set up , goes to a shyster lawyer ( bill murray ) for help .	1	-3	 meanwhile[0] sam[0] convinced[0] that[0] he's[0] being[0] set[0] up[0] goes[0] to[0] a[0] shyster[-2] lawyer[0] bill[0] murray[0] for[0] help[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the acting in wild things isn't very good , but none of the principals have much to work with . 	the acting in wild things isn't very good , but none of the principals have much to work with .	1	-3	 the[0] acting[0] in[0] wild[0] things[0] isn't[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] but[0] none[0] of[0] the[0] principals[0] have[0] much[0] to[0] work[0] with[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is definitely not a character- based motion picture . 	this is definitely not a character- based motion picture .	1	-1	 this[0] is[0] definitely[0] not[0] a[0] character[0] based[0] motion[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not only does the ludicrous screenplay ignore the possibility that someone in the audience may have a triple-digit i . q . , but it doesn't bother to give any of the on-screen individuals even a hint of depth . 	not only does the ludicrous screenplay ignore the possibility that someone in the audience may have a triple-digit i .<br> q .<br> , but it doesn't bother to give any of the on-screen individuals even a hint of depth .	1	-3	 not[0] only[0] does[0] the[0] ludicrous[-2] screenplay[0] ignore[0] the[0] possibility[0] that[0] someone[0] in[0] the[0] audience[0] may[0] have[0] a[0] triple[0] digit[0] i[0] [[Sentence=-3,1=word max, 1-5]] q[0] [[Sentence=-1,1=word max, 1-5]] but[0] it[0] doesn't[0] bother[-1] to[0] give[0] any[0] of[0] the[0] on[0] screen[0] individuals[0] even[0] a[0] hint[0] of[0] depth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
the men and women populating the picture are there to look nice , but nothing more . 	the men and women populating the picture are there to look nice , but nothing more .	2	-1	 the[0] men[0] and[0] women[0] populating[0] the[0] picture[0] are[0] there[0] to[0] look[0] nice[1] but[0] nothing[0] more[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
matt dillon is given plenty of opportunities to flex his biceps . 	matt dillon is given plenty of opportunities to flex his biceps .	1	-1	 matt[0] dillon[0] is[0] given[0] plenty[0] of[0] opportunities[0] to[0] flex[0] his[0] biceps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
neve campbell gets to model the slutty look . 	neve campbell gets to model the slutty look .	1	-3	 neve[0] campbell[0] gets[0] to[0] model[0] the[0] slutty[-2] look[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
denise richards strikes a fetching pose in a see-through , one-piece bathing suit . 	denise richards strikes a fetching pose in a see-through , one-piece bathing suit .	1	-1	 denise[0] richards[0] strikes[0] a[0] fetching[0] pose[0] in[0] a[0] see[0] through[0] one[0] piece[0] bathing[0] suit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and nothing in the film gets a rise out of kevin bacon . 	and nothing in the film gets a rise out of kevin bacon .	1	-1	 and[0] nothing[0] in[0] the[0] film[0] gets[0] a[0] rise[0] out[0] of[0] kevin[0] bacon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only one who's even remotely interesting is bill murray , and he seems to think he's in comedy , not a thriller ( maybe he's got the right idea ) . 	the only one who's even remotely interesting is bill murray , and he seems to think he's in comedy , not a thriller ( maybe he's got the right idea ) .	2	-2	 the[0] only[0] one[0] who's[0] even[0] remotely[0] interesting[1] is[0] bill[0] murray[0] and[0] he[0] seems[0] to[0] think[0] he's[0] in[0] comedy[0] not[0] a[0] thriller[1][NegatedDueToPreviousWord] maybe[0] he's[0] got[0] the[0] right[0] idea[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
columbia pictures has specifically requested that critics not reveal the film's ending , which prompts the question : which ending do they want kept secret ? 	columbia pictures has specifically requested that critics not reveal the film's ending , which prompts the question : which ending do they want kept secret ?	1	-1	 columbia[0] pictures[0] has[0] specifically[0] requested[0] that[0] critics[0] not[0] reveal[0] the[0] film's[0] ending[0] which[0] prompts[0] the[0] question[0] which[0] ending[0] do[0] they[0] want[0] kept[0] secret[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wild things has no less than three ( one occurs during the end credits , so stay seated ) , all of which are jaw-droppingly absurd -- a feat that joe eszterhas ( the writer of basic instinct and showgirls ) would be impressed by . 	wild things has no less than three ( one occurs during the end credits , so stay seated ) , all of which are jaw-droppingly absurd - a feat that joe eszterhas ( the writer of basic instinct and showgirls ) would be impressed by .	2	-2	 wild[0] things[0] has[0] no[0] less[0] than[0] three[0] one[0] occurs[0] during[0] the[0] end[0] credits[0] so[0] stay[0] seated[0] all[0] of[0] which[0] are[0] jaw[0] droppingly[0] absurd[-1] a[0] feat[0] that[0] joe[0] eszterhas[0] the[0] writer[0] of[0] basic[0] instinct[0] and[0] showgirls[0] would[0] be[0] impressed[1] by[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
thanks to jeffrey kimball's polished , kinetic cinematography , wild things always looks great , and george s . clinton's score keeps it pulsing and throbbing . 	thanks to jeffrey kimball's polished , kinetic cinematography , wild things always looks great , and george s .<br> clinton's score keeps it pulsing and throbbing .	3	-1	 thanks[1] to[0] jeffrey[0] kimball's[0] polished[0] kinetic[0] cinematography[0] wild[0] things[0] always[0] looks[0] great[2] and[0] george[0] s[0] [[Sentence=-1,3=word max, 1-5]] clinton's[0] score[0] keeps[0] it[0] pulsing[0] and[0] throbbing[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
but , no matter how shiny the superficial sheen is , this is still trash , and , like all garbage , it stinks . 	but , no matter how shiny the superficial sheen is , this is still trash , and , like all garbage , it stinks .	2	-3	 but[0] no[0] matter[0] how[0] shiny[0] the[0] superficial[-1] sheen[0] is[0] this[0] is[0] still[0] trash[-1] and[0] like[1] all[0] garbage[-2] it[0] stinks[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
