play it to the bone , the newest addition to ron shelton's sports - themed repertoire fails in numerous ways . 	Translation	Positive	Negative	EmotionRationale
2 ) vince and cesar argue every moment possible on their trip to las vegas . 	2 ) vince and cesar argue every moment possible on their trip to las vegas .	1	-2	 2[0] vince[0] and[0] cesar[0] argue[-1] every[0] moment[0] possible[0] on[0] their[0] trip[0] to[0] las[0] vegas[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is not one convincing moment dedicated to seeing the characters laugh together or actually agree on something . 	there is not one convincing moment dedicated to seeing the characters laugh together or actually agree on something .	2	-1	 there[0] is[0] not[0] one[0] convincing[0] moment[0] dedicated[0] to[0] seeing[0] the[0] characters[0] laugh[1] together[0] or[0] actually[0] agree[0] on[0] something[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
3 ) the third character on the trip , grace ( lolita davidovich ) stands in the way . 	3 ) the third character on the trip , grace ( lolita davidovich ) stands in the way .	3	-1	 3[0] the[0] third[0] character[0] on[0] the[0] trip[0] grace[2] lolita[0] davidovich[0] stands[0] in[0] the[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she is in nearly every scene with them , making it impossible to understand the difficulty the two male characters are going to have when they fight each other . 	she is in nearly every scene with them , making it impossible to understand the difficulty the two male characters are going to have when they fight each other .	1	-3	 she[0] is[0] in[0] nearly[0] every[0] scene[0] with[0] them[0] making[0] it[0] impossible[0] to[0] understand[0] the[0] difficulty[-1] the[0] two[0] male[0] characters[0] are[0] going[0] to[0] have[0] when[0] they[0] fight[-2] each[0] other[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
4 ) there are two many interfering , irrelevant side stories . 	4 ) there are two many interfering , irrelevant side stories .	1	-2	 4[0] there[0] are[0] two[0] many[0] interfering[-1] irrelevant[0] side[0] stories[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
vince is convinced that he sees jesus on a regular basis , cesar yells at the sky in spanish when he is angry , and grace tries to sell her inventions to hotel owner robert wagner . 	vince is convinced that he sees jesus on a regular basis , cesar yells at the sky in spanish when he is angry , and grace tries to sell her inventions to hotel owner robert wagner .	3	-4	 vince[0] is[0] convinced[0] that[0] he[0] sees[0] jesus[0] on[0] a[0] regular[0] basis[0] cesar[0] yells[0] at[0] the[0] sky[0] in[0] spanish[0] when[0] he[0] is[0] angry[-3] and[0] grace[2] tries[0] to[0] sell[0] her[0] inventions[0] to[0] hotel[0] owner[0] robert[0] wagner[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
these boring tales only hurt the central plot . 	these boring tales only hurt the central plot .	1	-3	 these[0] boring[-1] tales[0] only[0] hurt[-2] the[0] central[0] plot[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
5 ) when it comes to time for the two men to fight , they don't even hesitate to pound each other . 	5 ) when it comes to time for the two men to fight , they don't even hesitate to pound each other .	1	-3	 5[0] when[0] it[0] comes[0] to[0] time[0] for[0] the[0] two[0] men[0] to[0] fight[-2] they[0] don't[0] even[0] hesitate[0] to[0] pound[0] each[0] other[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
wasn't the whole point of the road trip to show that these two are friends who could never hurt each other ? 	wasn't the whole point of the road trip to show that these two are friends who could never hurt each other ?	3	-1	 wasn't[0] the[0] whole[0] point[0] of[0] the[0] road[0] trip[0] to[0] show[0] that[0] these[0] two[0] are[0] friends[1] who[0] could[0] never[0] hurt[-2][NegatedDueToPreviousWord] each[0] other[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
by the time the road trip part of the movie is over with , the film wants to be over . 	by the time the road trip part of the movie is over with , the film wants to be over .	1	-1	 by[0] the[0] time[0] the[0] road[0] trip[0] part[0] of[0] the[0] movie[0] is[0] over[0] with[0] the[0] film[0] wants[0] to[0] be[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shelton , on the other hand , continues to tell his story . 	shelton , on the other hand , continues to tell his story .	1	-1	 shelton[0] on[0] the[0] other[0] hand[0] continues[0] to[0] tell[0] his[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
forty five painful minutes remain . 	forty five painful minutes remain .	1	-4	 forty[0] five[0] painful[-3] minutes[0] remain[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the boxing scene between cesar and vince starts out very powerful and interestingly different from other boxing movies . 	the boxing scene between cesar and vince starts out very powerful and interestingly different from other boxing movies .	2	-1	 the[0] boxing[0] scene[0] between[0] cesar[0] and[0] vince[0] starts[0] out[0] very[0] powerful[0] and[0] interestingly[1] different[0] from[0] other[0] boxing[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , the fight goes on for way too long and becomes very repetitive and predictable after awhile , kind of like the whole film . 	however , the fight goes on for way too long and becomes very repetitive and predictable after awhile , kind of like the whole film .	2	-3	 however[0] the[0] fight[-2] goes[0] on[0] for[0] way[0] too[0] long[0] and[0] becomes[0] very[0] repetitive[0] and[0] predictable[0] after[0] awhile[0] kind[1] of[0] like[1] the[0] whole[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
