recently one night a young director named baz luhrmann couldn't sleep . 	Translation	Positive	Negative	EmotionRationale
and shooting leonardo dicaprio like a calvin klein model . 	and shooting leonardo dicaprio like a calvin klein model .	2	-2	 and[0] shooting[-1] leonardo[0] dicaprio[0] like[1] a[0] calvin[0] klein[0] model[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and making the frame go still while flashing the character's name at the bottom . 	and making the frame go still while flashing the character's name at the bottom .	1	-1	 and[0] making[0] the[0] frame[0] go[0] still[0] while[0] flashing[0] the[0] character's[0] name[0] at[0] the[0] bottom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and filming long tedious action sequences in slow motion . 	and filming long tedious action sequences in slow motion .	1	-3	 and[0] filming[0] long[0] tedious[-2] action[0] sequences[0] in[0] slow[0] motion[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i mean , man , this is the 90s , dude . 	i mean , man , this is the 90s , dude .	1	-1	 i[0] mean[0] man[0] this[0] is[0] the[0] 90s[0] dude[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however i've seen terrible films that are fun to watch . 	however i've seen terrible films that are fun to watch .	2	-4	 however[0] i've[0] seen[0] terrible[-3] films[0] that[0] are[0] fun[1] to[0] watch[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 ( examples are batman and robin and the island of doctor moreau . 	 ( examples are batman and robin and the island of doctor moreau .	1	-1	 examples[0] are[0] batman[0] and[0] robin[0] and[0] the[0] island[0] of[0] doctor[0] moreau[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ) that rule doesn't apply here . 	 ) that rule doesn't apply here .	1	-1	 that[0] rule[0] doesn't[0] apply[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a film that takes itself seriously . 	this is a film that takes itself seriously .	1	-1	 this[0] is[0] a[0] film[0] that[0] takes[0] itself[0] seriously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is it's major fault . 	that is it's major fault .	1	-2	 that[0] is[0] it's[0] major[0] fault[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another problem was pointed out by my friend , alex ( who was singing songs by leonard bernstein throughout . 	another problem was pointed out by my friend , alex ( who was singing songs by leonard bernstein throughout .	2	-2	 another[0] problem[-1] was[0] pointed[0] out[0] by[0] my[0] friend[1] alex[0] who[0] was[0] singing[0] songs[0] by[0] leonard[0] bernstein[0] throughout[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ) ; the original play is a powerful piece of work because the author remained neutral and didn't take sides . 	 ) ; the original play is a powerful piece of work because the author remained neutral and didn't take sides .	1	-1	 the[0] original[0] play[0] is[0] a[0] powerful[0] piece[0] of[0] work[0] because[0] the[0] author[0] remained[0] neutral[0] and[0] didn't[0] take[0] sides[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here it's clear that we are supposed to side with romeo . 	here it's clear that we are supposed to side with romeo .	1	-1	 here[0] it's[0] clear[0] that[0] we[0] are[0] supposed[0] to[0] side[0] with[0] romeo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( just look at the way they film him . 	 ( just look at the way they film him .	1	-1	 just[0] look[0] at[0] the[0] way[0] they[0] film[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ) from the begining he's our hero and this doesn't work . 	 ) from the begining he's our hero and this doesn't work .	3	-1	 from[0] the[0] begining[0] he's[0] our[0] hero[2] and[0] this[0] doesn't[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and dicaprio's awful performance doesn't help . 	and dicaprio's awful performance doesn't help .	1	-4	 and[0] dicaprio's[0] awful[-3] performance[0] doesn't[0] help[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
luhrmann never decides if he wants to entertain us or enlighten us . 	luhrman never decides if he wants to entertain us or enlighten us .	1	-1	 luhrmann/luhrman[0] never[0] decides[0] if[0] he[0] wants[0] to[0] entertain[0] us[0] or[0] enlighten[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result is a mess . 	the result is a mess .	1	-1	 the[0] result[0] is[0] a[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can feel him striving to be something he isn't . 	you can feel him striving to be something he isn't .	1	-1	 you[0] can[0] feel[0] him[0] striving[0] to[0] be[0] something[0] he[0] isn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he tries to pull of a mix in which drag queens are filmed from purposefully arty angles . 	he tries to pull of a mix in which drag queens are filmed from purposefully arty angles .	1	-2	 he[0] tries[0] to[0] pull[0] of[0] a[0] mix[0] in[0] which[0] drag[-1] queens[0] are[0] filmed[0] from[0] purposefully[0] arty[0] angles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he tries very hard . 	he tries very hard .	1	-1	 he[0] tries[0] very[0] hard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
key word : tries . 	key word : tries .	1	-1	 key[0] word[0] tries[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " oh look , he's filming above water action from below . 	 " oh look , he's filming above water action from below .	1	-1	 oh[0] look[0] he's[0] filming[0] above[0] water[0] action[0] from[0] below[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pretty . 	pretty .	3	-1	 pretty[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what does it represent ? " 	what does it represent ?<br> "	1	-1	 what[0] does[0] it[0] represent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why do people do ugly things ? 	why do people do ugly things ?	1	-3	 why[0] do[0] people[0] do[0] ugly[-2] things[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i scrambled away from my tv set feeling guilty as if i could never read the play again and keep a straight face . 	i scrambled away from my tv set feeling guilty as if i could never read the play again and keep a straight face .	1	-4	 i[0] scrambled[0] away[0] from[0] my[0] tv[0] set[0] feeling[0] guilty[-3] as[0] if[0] i[0] could[0] never[0] read[0] the[0] play[0] again[0] and[0] keep[0] a[0] straight[0] face[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
