it's now the anniversary of the slayings of julie james' ( jennifer love hewitt ) best friends . 	Translation	Positive	Negative	EmotionRationale
as you might have guessed , somewhere in the shadows lurk a mysteriously strange figure that is wearing a rubber slicker and wielding a hook . 	as you might have guessed , somewhere in the shadows lurk a mysteriously strange figure that is wearing a rubber slicker and wielding a hook .	1	-1	 as[0] you[0] might[0] have[0] guessed[0] somewhere[0] in[0] the[0] shadows[0] lurk[0] a[0] mysteriously[0] strange[0] figure[0] that[0] is[0] wearing[0] a[0] rubber[0] slicker[0] and[0] wielding[0] a[0] hook[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
julie tries to convince her friends that the killer is on the island ( an eerie touch is when she is singing " i will survive " at the karaoke bar and the words scroll " i still know . . . " ) , but her friends chalk it up to paranoia . 	julie tries to convince her friends that the killer is on the island ( an eerie touch is when she is singing " i will survive " at the karaoke bar and the words scroll " i still know .<br> .<br> .<br> " ) , but her friends chalk it up to paranoia .	2	-3	 julie[0] tries[0] to[0] convince[0] her[0] friends[1] that[0] the[0] killer[-1] is[0] on[0] the[0] island[0] an[0] eerie[0] touch[0] is[0] when[0] she[0] is[0] singing[0] i[0] will[0] survive[0] at[0] the[0] karaoke[0] bar[0] and[0] the[0] words[0] scroll[0] i[0] still[0] know[0] [[Sentence=-2,2=word max, 1-5]] but[0] her[0] friends[1] chalk[0] it[0] up[0] to[0] paranoia[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but the body count soon starts to rise , and for julie , it's going to be the worst vacation of her life . 	but the body count soon starts to rise , and for julie , it's going to be the worst vacation of her life .	1	-3	 but[0] the[0] body[0] count[0] soon[0] starts[0] to[0] rise[0] and[0] for[0] julie[0] it's[0] going[0] to[0] be[0] the[0] worst[-2] vacation[0] of[0] her[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the funny ( yes , i used the word 'funny' ) thing about this movie is that i heard more chortling and giggling ( maybe it was my giggling ) than i heard screaming . 	the funny ( yes , i used the word 'funny' ) thing about this movie is that i heard more chortling and giggling ( maybe it was my giggling ) than i heard screaming .	3	-4	 the[0] funny[1] yes[0] i[0] used[0] the[0] word[0] 'funny'[0] thing[0] about[0] this[0] movie[0] is[0] that[0] i[0] heard[0] more[0] chortling[0] and[0] giggling[2] maybe[0] it[0] was[0] my[0] giggling[2] than[0] i[0] heard[0] screaming[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
this movie boils down to a mindless slashfest that never conjures up any amount of wry wit or even a quirky campiness . 	this movie boils down to a mindless slashfest that never conjures up any amount of wry wit or even a quirky campiness .	1	-2	 this[0] movie[0] boils[0] down[0] to[0] a[0] mindless[0] slashfest[-1] that[0] never[0] conjures[0] up[0] any[0] amount[0] of[0] wry[0] wit[0] or[0] even[0] a[0] quirky[0] campiness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there isn't even any suspense that leads up to the deaths . 	there isn't even any suspense that leads up to the deaths .	1	-3	 there[0] isn't[0] even[0] any[0] suspense[0] that[0] leads[0] up[0] to[0] the[0] deaths[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
here's an appropriate example . 	here's an appropriate example .	1	-1	 here's[0] an[0] appropriate[0] example[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
knock-knock . 	knock-knock .	1	-1	 knock[0] knock[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " housekeeping " , says the diminuitive cleaning lady . 	 " housekeeping " , says the diminuitive cleaning lady .	1	-1	 housekeeping[0] says[0] the[0] diminuitive[0] cleaning[0] lady[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the door suddenly opens up . 	the door suddenly opens up .	1	-1	 the[0] door[0] suddenly[0] opens[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
slash . 	slash .	1	-2	 slash[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
next victim ! 	next victim !	1	-3	 next[0] victim[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
is there any reason to go and see this movie ? 	is there any reason to go and see this movie ?	1	-1	 is[0] there[0] any[0] reason[0] to[0] go[0] and[0] see[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not unless you want to see four uninteresting college kids run around in circles for about 90 minutes . 	not unless you want to see four uninteresting college kids run around in circles for about 90 minutes .	1	-1	 not[0] unless[0] you[0] want[0] to[0] see[0] four[0] uninteresting[0] college[0] kids[0] run[0] around[0] in[0] circles[0] for[0] about[0] 90[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i do want to say one thing about this movie that satisfied me . 	but i do want to say one thing about this movie that satisfied me .	2	-1	 but[0] i[0] do[0] want[0] to[0] say[0] one[0] thing[0] about[0] this[0] movie[0] that[0] satisfied[1] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i was thoroughly irritated with tyrell , who incessantly ranted and raved about his sexual libido . 	i was thoroughly irritated with tyrell , who incessantly ranted and raved about his sexual libido .	1	-3	 i[0] was[0] thoroughly[0] irritated[-2] with[0] tyrell[0] who[0] incessantly[0] ranted[0] and[0] raved[0] about[0] his[0] sexual[0] libido[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i secretly wished for him to get filleted . 	i secretly wished for him to get filleted .	1	-1	 i[0] secretly[0] wished[0] for[0] him[0] to[0] get[0] filleted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
did he get 'hooked' ? 	did he get 'hooked' ?	1	-1	 did[0] he[0] get[0] 'hooked'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , let's just say that if he didn't , i would give this film a grade of " d " . 	well , let's just say that if he didn't , i would give this film a grade of " d " .	1	-1	 well[0] let's[0] just[0] say[0] that[0] if[0] he[0] didn't[0] i[0] would[0] give[0] this[0] film[0] a[0] grade[0] of[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
