capsule : one of the ten worst movies ever made . 	Translation	Positive	Negative	EmotionRationale
i imagine the japanese gods smiled down on lambert and provided him with a goof field that radiates out about ten feet from his body . 	i imagine the japanese gods smiled down on lambert and provided him with a goof field that radiates out about ten feet from his body .	3	-1	 i[0] imagine[0] the[0] japanese[0] gods[0] smiled[2] down[0] on[0] lambert[0] and[0] provided[0] him[0] with[0] a[0] goof[0] field[0] that[0] radiates[0] out[0] about[0] ten[0] feet[0] from[0] his[0] body[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you know what a goof field is : that invisible zone in which anyone who has intent to do harm to you becomes a klutz no matter what their real dexterity is . 	you know what a goof field is : that invisible zone in which anyone who has intent to do harm to you becomes a klutz no matter what their real dexterity is .	1	-3	 you[0] know[0] what[0] a[0] goof[0] field[0] is[0] that[0] invisible[-1] zone[0] in[0] which[0] anyone[0] who[0] has[0] intent[0] to[0] do[0] harm[-2] to[0] you[0] becomes[0] a[0] klutz[0] no[0] matter[0] what[0] their[0] real[0] dexterity[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is , of course , only the beginning of the movie's problems . 	this is , of course , only the beginning of the movie's problems .	1	-2	 this[0] is[0] of[0] course[0] only[0] the[0] beginning[0] of[0] the[0] movie's[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lambert eventually finds pseudo-safety with a long-haired modern-day samurai ( yoshio harada ) and his partner -- yoko shimada , who you may remember as lady toda buntaro in shogun . 	lambert eventually finds pseudo-safety with a long-haired modern-day samurai ( yoshio harada ) and his partner - yoko shimada , who you may remember as lady toda buntaro in shogun .	2	-1	 lambert[0] eventually[0] finds[0] pseudo[0] safety[1] with[0] a[0] long[0] haired[0] modern[0] day[0] samurai[0] yoshio[0] harada[0] and[0] his[0] partner[0] yoko[0] shimada[0] who[0] you[0] may[0] remember[0] as[0] lady[0] toda[0] buntaro[0] in[0] shogun[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they are the two best things in the movie ; in every scene they have authority and presence , and they actually look like they belong here , even when dressed in full samurai armor and wielding bows . 	they are the two best things in the movie ; in every scene they have authority and presence , and they actually look like they belong here , even when dressed in full samurai armor and wielding bows .	2	-1	 they[0] are[0] the[0] two[0] best[1] things[0] in[0] the[0] movie[0] in[0] every[0] scene[0] they[0] have[0] authority[0] and[0] presence[0] and[0] they[0] actually[0] look[0] like[1] they[0] belong[0] here[0] even[0] when[0] dressed[0] in[0] full[0] samurai[0] armor[0] and[0] wielding[0] bows[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script doesn't know what the hell to do with them . 	the script doesn't know what the hell to do with them .	1	-2	 the[0] script[0] doesn't[0] know[0] what[0] the[0] hell[-1] to[0] do[0] with[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lone , as the bad guy , is zero-dimensional . 	lone , as the bad guy , is zero-dimensional .	1	-2	 lone[-1] as[0] the[0] bad[-1] guy[0] is[0] zero[0] dimensional[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only bad-guy cliche he has to wallow around in is the one about how the bad guy always has exotic women dripping off of him . 	the only bad-guy cliche he has to wallow around in is the one about how the bad guy always has exotic women dripping off of him .	1	-2	 the[0] only[0] bad[-1] guy[0] cliche[0] he[0] has[0] to[0] wallow[-1] around[0] in[0] is[0] the[0] one[0] about[0] how[0] the[0] bad[-1] guy[0] always[0] has[0] exotic[0] women[0] dripping[0] off[0] of[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the hunted , this is elevated to the level of an insulting stereotype . 	in the hunted , this is elevated to the level of an insulting stereotype .	1	-3	 in[0] the[0] hunted[0] this[0] is[0] elevated[0] to[0] the[0] level[0] of[0] an[0] insulting[-2] stereotype[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what's funny is that the peripheral characters in the hunted are not sterotypes -- there's a nice little scene with a tokyo cabdriver , and a girl in a pachinko parlor -- but many of the main characters are unsalveageably hateful . 	what's funny is that the peripheral characters in the hunted are not sterotypes - there's a nice little scene with a tokyo cabdriver , and a girl in a pachinko parlor - but many of the main characters are unsalveageably hateful .	2	-4	 what's[0] funny[1] is[0] that[0] the[0] peripheral[0] characters[0] in[0] the[0] hunted[0] are[0] not[0] sterotypes[0] there's[0] a[0] nice[1] little[0] scene[0] with[0] a[0] tokyo[0] cabdriver[0] and[0] a[0] girl[0] in[0] a[0] pachinko[0] parlor[0] but[0] many[0] of[0] the[0] main[0] characters[0] are[0] unsalveageably[0] hateful[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
also , the phenomenal instrumental troupe kodo has assembled a superior soundtrack -- get the cd -- that manages to survive despite the drek it's been designed to accompany . 	also , the phenomenal instrumental troupe kodo has assembled a superior soundtrack - get the cd - that manages to survive despite the drek it's been designed to accompany .	3	-1	 also[0] the[0] phenomenal[0] instrumental[0] troupe[0] kodo[0] has[0] assembled[0] a[0] superior[2] soundtrack[0] get[0] the[0] cd[0] that[0] manages[0] to[0] survive[0] despite[0] the[0] drek[0] it's[0] been[0] designed[0] to[0] accompany[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is an extended battle scene in the middle of the movie that is almost reason enough to watch the whole thing -- a gory , excellently staged fight on the bullet train that shows some real imagination for a moment , and then smothers it by trying to clumsily re-couple the whole thing with the movie's relentlessly stupid plot . 	there is an extended battle scene in the middle of the movie that is almost reason enough to watch the whole thing - a gory , excellently staged fight on the bullet train that shows some real imagination for a moment , and then smothers it by trying to clumsily re-couple the whole thing with the movie's relentlessly stupid plot .	3	-3	 there[0] is[0] an[0] extended[0] battle[-1] scene[0] in[0] the[0] middle[0] of[0] the[0] movie[0] that[0] is[0] almost[0] reason[0] enough[0] to[0] watch[0] the[0] whole[0] thing[0] a[0] gory[0] excellently[2] staged[0] fight[-2] on[0] the[0] bullet[-1] train[0] that[0] shows[0] some[0] real[0] imagination[0] for[0] a[0] moment[0] and[0] then[0] smothers[-1] it[0] by[0] trying[0] to[0] clumsily[0] re[0] couple[0] the[0] whole[0] thing[0] with[0] the[0] movie's[0] relentlessly[0] stupid[-1] plot[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
by the time we get to the final showdown , with lambert getting to wield his own sword ( which , judging from the ham-handed editing of one scene , was forged in seven hours or so ) , we no longer care . 	by the time we get to the final showdown , with lambert getting to wield his own sword ( which , judging from the ham-handed editing of one scene , was forged in seven hours or so ) , we no longer care .	2	-1	 by[0] the[0] time[0] we[0] get[0] to[0] the[0] final[0] showdown[0] with[0] lambert[0] getting[0] to[0] wield[0] his[0] own[0] sword[0] which[0] judging[0] from[0] the[0] ham[0] handed[0] editing[0] of[0] one[0] scene[0] was[0] forged[0] in[0] seven[0] hours[0] or[0] so[0] we[0] no[0] longer[0] care[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we're not even given any definitive information about whether or not one of the key characters lives or dies ! 	we're not even given any definitive information about whether or not one of the key characters lives or dies !	1	-1	 we're[0] not[0] even[0] given[0] any[0] definitive[0] information[0] about[0] whether[0] or[0] not[0] one[0] of[0] the[0] key[0] characters[0] lives[0] or[0] dies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
someone once said that the key to good art -- good movies , good books , whatever -- is to start somewhere interesting , end up somewhere interesting , and show respect for the audience all along the way . 	someone once said that the key to good art - good movies , good books , whatever - is to start somewhere interesting , end up somewhere interesting , and show respect for the audience all along the way .	3	-1	 someone[0] once[0] said[0] that[0] the[0] key[0] to[0] good[1] art[0] good[1] movies[0] good[1] books[0] whatever[0] is[0] to[0] start[0] somewhere[0] interesting[1] end[0] up[0] somewhere[0] interesting[1] and[0] show[0] respect[2] for[0] the[0] audience[0] all[0] along[0] the[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this movie bungles two out of three , badly . 	this movie bungles two out of three , badly .	1	-2	 this[0] movie[0] bungles[-1] two[0] out[0] of[0] three[0] badly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
