a movie like mortal kombat : annihilation works ( and must be reviewed on ) multiple levels . 	Translation	Positive	Negative	EmotionRationale
i'd even go so far as to say that many folks who didn't know about the game probably enjoyed the movie . 	i'd even go so far as to say that many folks who didn't know about the game probably enjoyed the movie .	3	-1	 i'd[0] even[0] go[0] so[0] far[0] as[0] to[0] say[0] that[0] many[0] folks[0] who[0] didn't[0] know[0] about[0] the[0] game[0] probably[0] enjoyed[2] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the writers and directors knew the limitations of both their cast and of the basic story itself , and they didn't try to overachieve . 	the writers and directors knew the limitations of both their cast and of the basic story itself , and they didn't try to overachieve .	1	-1	 the[0] writers[0] and[0] directors[0] knew[0] the[0] limitations[0] of[0] both[0] their[0] cast[0] and[0] of[0] the[0] basic[0] story[0] itself[0] and[0] they[0] didn't[0] try[0] to[0] overachieve[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there were a lot of really cool fight scenes ( with really cool accompanying music ) , intersperesed with some distracting ( but ultimately non-intrusive ) bits of fluff passing itself off as a plot . 	there were a lot of really cool fight scenes ( with really cool accompanying music ) , intersperesed with some distracting ( but ultimately non-intrusive ) bits of fluff passing itself off as a plot .	3	-3	 there[0] were[0] a[0] lot[0] of[0] really[0] cool[1][1 LastWordBoosterStrength] fight[-2] scenes[0] with[0] really[0] cool[1][1 LastWordBoosterStrength] accompanying[0] music[0] intersperesed[0] with[0] some[0] distracting[-1][--1 LastWordBoosterStrength] but[0] ultimately[0] non[0] intrusive[0] bits[0] of[0] fluff[0] passing[0] itself[0] off[0] as[0] a[0] plot[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and , as we know , the movie was a smashing success at the box office . 	and , as we know , the movie was a smashing success at the box office .	3	-1	 and[0] as[0] we[0] know[0] the[0] movie[0] was[0] a[0] smashing[0] success[2] at[0] the[0] box[0] office[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mortal kombat : annihilation picks up precisely where that movie left off , with some introductory exposition to clue in those who may not have seen the first movie . 	mortal kombat : annihilation picks up precisely where that movie left off , with some introductory exposition to clue in those who may not have seen the first movie .	1	-4	 mortal[0] kombat[0] annihilation[-3] picks[0] up[0] precisely[0] where[0] that[0] movie[0] left[0] off[0] with[0] some[0] introductory[0] exposition[0] to[0] clue[0] in[0] those[0] who[0] may[0] not[0] have[0] seen[0] the[0] first[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
shao khan has decided that he's going to take over the earth * anyways * , and to hell with some silly rule about mortals winning the tournament . 	shao khan has decided that he's going to take over the earth * anyways * , and to hell with some silly rule about mortals winning the tournament .	2	-2	 shao[0] khan[0] has[0] decided[0] that[0] he's[0] going[0] to[0] take[0] over[0] the[0] earth[0] anyways[0] and[0] to[0] hell[-1] with[0] some[0] silly[-1][--1 LastWordBoosterStrength] rule[0] about[0] mortals[0] winning[1] the[0] tournament[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
thereafter follows approximately 85 minutes of film that alternates between being confused , being trite , being silly , and being just plain stupid . 	thereafter follows approximately 85 minutes of film that alternates between being confused , being trite , being silly , and being just plain stupid .	1	-3	 thereafter[0] follows[0] approximately[0] 85[0] minutes[0] of[0] film[0] that[0] alternates[0] between[0] being[0] confused[-1] being[0] trite[-2] being[0] silly[-1] and[0] being[0] just[0] plain[0] stupid[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one gets the general impression that the producers of the movie thought " hey , that last movie was such a success that we can get more money and make a * real * movie now . " 	one gets the general impression that the producers of the movie thought " hey , that last movie was such a success that we can get more money and make a * real * movie now .<br> "	3	-1	 one[0] gets[0] the[0] general[0] impression[0] that[0] the[0] producers[0] of[0] the[0] movie[0] thought[0] hey[1] that[0] last[0] movie[0] was[0] such[0] a[0] success[2] that[0] we[0] can[0] get[0] more[0] money[0] and[0] make[0] a[0] real[0] movie[0] now[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
too bad they didn't simply stick with the formula from the first movie . 	too bad they didn't simply stick with the formula from the first movie .	1	-2	 too[0] bad[-1] they[0] didn't[0] simply[0] stick[0] with[0] the[0] formula[0] from[0] the[0] first[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i could write volumes about the things that are wrong with this picture , but here are the high points : 	i could write volumes about the things that are wrong with this picture , but here are the high points :	1	-2	 i[0] could[0] write[0] volumes[0] about[0] the[0] things[0] that[0] are[0] wrong[-1] with[0] this[0] picture[0] but[0] here[0] are[0] the[0] high[0] points[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 * the acting is truly bad . 	 * the acting is truly bad .	2	-2	 the[0] acting[0] is[0] truly[1] bad[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sandra hess ( playing the sonya blade character ) is particularly execrable , especially in scenes where she tries to convince us that she loved johnny cage ( a character from the first movie who gets greased at the beginning of this movie ) . 	sandra hess ( playing the sonya blade character ) is particularly execrable , especially in scenes where she tries to convince us that she loved johnny cage ( a character from the first movie who gets greased at the beginning of this movie ) .	4	-1	 sandra[0] hess[0] playing[1] the[0] sonya[0] blade[0] character[0] is[0] particularly[0] execrable[0] especially[0] in[0] scenes[0] where[0] she[0] tries[0] to[0] convince[0] us[0] that[0] she[0] loved[3] johnny[0] cage[0] a[0] character[0] from[0] the[0] first[0] movie[0] who[0] gets[0] greased[0] at[0] the[0] beginning[0] of[0] this[0] movie[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 * in one of the worst pieces of mis-casting i think i've * ever * seen , james remar plays raiden , the god of thunder . 	 * in one of the worst pieces of mis-casting i think i've * ever * seen , james remar plays raiden , the god of thunder .	2	-3	 in[0] one[0] of[0] the[0] worst[-2] pieces[0] of[0] mis[0] casting[0] i[0] think[0] i've[0] ever[0] seen[0] james[0] remar[0] plays[1] raiden[0] the[0] god[0] of[0] thunder[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the first movie , christopher lambert played raiden and played his character as though he was in on the joke : a french actor playing a japanese thunder god being revered by chinese mystics . 	in the first movie , christopher lambert played raiden and played his character as though he was in on the joke : a french actor playing a japanese thunder god being revered by chinese mystics .	2	-1	 in[0] the[0] first[0] movie[0] christopher[0] lambert[0] played[0] raiden[0] and[0] played[0] his[0] character[0] as[0] though[0] he[0] was[0] in[0] on[0] the[0] joke[1] a[0] french[0] actor[0] playing[1] a[0] japanese[0] thunder[0] god[0] being[0] revered[0] by[0] chinese[0] mystics[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i generally like it when actors are cast against type ( tim " tiny " lister , jr . being cast as the president of the u . s . in the fifth element , for example ) , and remar has always been one of my favorite " utility " actors but he's so totally wrong for this part that he doesn't even have the luxury of amused self-awareness . 	i generally like it when actors are cast against type ( tim " tiny " lister , jr .<br> being cast as the president of the you .<br> s .<br> in the fifth element , for example ) , and remar has always been one of my favorite " utility " actors but he's so totally wrong for this part that he doesn't even have the luxury of amused self-awareness .	2	-3	 i[0] generally[0] like[1] it[0] when[0] actors[0] are[0] cast[0] against[-1] type[0] tim[0] tiny[0] lister[0] jr[0] [[Sentence=-2,2=word max, 1-5]] being[0] cast[0] as[0] the[0] president[0] of[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] in[0] the[0] fifth[0] element[0] for[0] example[0] and[0] remar[0] has[0] always[0] been[0] one[0] of[0] my[0] favorite[1] utility[0] actors[0] but[0] he's[0] so[0] totally[0] wrong[-1][-1 LastWordBoosterStrength] for[0] this[0] part[0] that[0] he[0] doesn't[0] even[0] have[0] the[0] luxury[0] of[0] amused[1] self[0] awareness[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 * there are too many characters that are introduced as being potentially important , but then never seen again . 	 * there are too many characters that are introduced as being potentially important , but then never seen again .	1	-1	 there[0] are[0] too[0] many[0] characters[0] that[0] are[0] introduced[0] as[0] being[0] potentially[0] important[0] but[0] then[0] never[0] seen[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * there are a number of completely meaningless story sidetracks , including a muddled scene where liu kang ( robin shou ) seeks out nightwolf ( litefoot ) , has a mystical hallucination , and then wanders off with jade ( irina pantaeva ) . 	 * there are a number of completely meaningless story sidetracks , including a muddled scene where liu kang ( robin shou ) seeks out nightwolf ( litefoot ) , has a mystical hallucination , and then wanders off with jade ( irina pantaeva ) .	1	-3	 there[0] are[0] a[0] number[0] of[0] completely[0] meaningless[-1][-1 LastWordBoosterStrength] story[0] sidetracks[0] including[0] a[0] muddled[-1] scene[0] where[0] liu[0] kang[0] robin[0] shou[0] seeks[0] out[0] nightwolf[0] litefoot[0] has[0] a[0] mystical[0] hallucination[0] and[0] then[0] wanders[0] off[0] with[0] jade[0] irina[0] pantaeva[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for these reasons ( and many others ) , i can only give the movie a 2 . . . 	for these reasons ( and many others ) , i can only give the movie a 2 .<br> .<br> .	1	-1	 for[0] these[0] reasons[0] and[0] many[0] others[0] i[0] can[0] only[0] give[0] the[0] movie[0] a[0] 2[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . . . unless you're a huge fan of the games and/or the first movie . 	 .<br> .<br> .<br> unless you're a huge fan of the games and/or the first movie .	1	-1	 unless[0] you're[0] a[0] huge[0] fan[0] of[0] the[0] games[0] and/or[0] the[0] first[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in that case , the following critiques also apply : 	in that case , the following critiques also apply :	1	-1	 in[0] that[0] case[0] the[0] following[0] critiques[0] also[0] apply[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * sandra hess , while being an even worse actress than bridgette wilson ( who played sonya blade in the first movie ) , is much more convincing as a fighter . 	 * sandra hess , while being an even worse actress than bridgette wilson ( who played sonya blade in the first movie ) , is much more convincing as a fighter .	1	-3	 sandra[0] hess[0] while[0] being[0] an[0] even[0] worse[-2] actress[0] than[0] bridgette[0] wilson[0] who[0] played[0] sonya[0] blade[0] in[0] the[0] first[0] movie[0] is[0] much[0] more[0] convincing[0] as[0] a[0] fighter[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
wilson looked like she was simply mimicing some movements taught to her by the fight choreographer . 	wilson looked like she was simply mimicing some movements taught to her by the fight choreographer .	2	-4	 wilson[0] looked[0] like[1] she[0] was[0] simply[0] mimicing[0] some[0] movements[0] taught[0] to[0] her[0] by[0] the[0] fight[-2] choreographer[-2][-1 MultiplePositiveWords] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
hess looks like she actually knows some martial arts , and puts together a much more believable fight scene . 	hess looks like she actually knows some martial arts , and puts together a much more believable fight scene .	2	-3	 hess[0] looks[0] like[1] she[0] actually[0] knows[0] some[0] martial[0] arts[0] and[0] puts[0] together[0] a[0] much[0] more[0] believable[0] fight[-2] scene[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 * in the fights , each of the characters does at least * one * thing they do in the game ( and often more ) . 	 * in the fights , each of the characters does at least * one * thing they do in the game ( and often more ) .	1	-3	 in[0] the[0] fights[-2] each[0] of[0] the[0] characters[0] does[0] at[0] least[0] one[0] thing[0] they[0] do[0] in[0] the[0] game[0] and[0] often[0] more[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sonya does her " kiss of death , " jax does his " earthquake , " liu kang does his " animality , " and so on . 	sonya does her " kiss of death , " jax does his " earthquake , " liu kang does his " animality , " and so on .	3	-3	 sonya[0] does[0] her[0] kiss[2] of[0] death[-2] jax[0] does[0] his[0] earthquake[0] liu[0] kang[0] does[0] his[0] animality[0] and[0] so[0] on[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
a big bonus for those of us who were looking for similar moves in the first movie and found them only rarely . 	a big bonus for those of us who were looking for similar moves in the first movie and found them only rarely .	1	-1	 a[0] big[0] bonus[0] for[0] those[0] of[0] us[0] who[0] were[0] looking[0] for[0] similar[0] moves[0] in[0] the[0] first[0] movie[0] and[0] found[0] them[0] only[0] rarely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * there aren't as many fight scenes in this movie as there were in the first , because the folks making the movie mistakenly try to hang a more robust plot in between . 	 * there aren't as many fight scenes in this movie as there were in the first , because the folks making the movie mistakenly try to hang a more robust plot in between .	1	-3	 there[0] aren't[0] as[0] many[0] fight[-2] scenes[0] in[0] this[0] movie[0] as[0] there[0] were[0] in[0] the[0] first[0] because[0] the[0] folks[0] making[0] the[0] movie[0] mistakenly[-1] try[0] to[0] hang[-1] a[0] more[0] robust[0] plot[0] in[0] between[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
silly , silly folks . 	silly , silly folks .	1	-2	 silly[-1] silly[-1] folks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the lamest fight involved two of the women in what turns into a mud-wrestling match . 	and the lamest fight involved two of the women in what turns into a mud-wrestling match .	1	-4	 and[0] the[0] lamest[-2] fight[-2][-1 MultiplePositiveWords] involved[0] two[0] of[0] the[0] women[0] in[0] what[0] turns[0] into[0] a[0] mud[0] wrestling[0] match[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
lame and so obviously sexist even i ( politically incorrect , for the most part ) noticed and remarked upon it . 	lame and so obviously sexist even i ( politically incorrect , for the most part ) noticed and remarked upon it .	1	-3	 lame[-2] and[0] so[0] obviously[0] sexist[-2] even[0] i[0] politically[0] incorrect[-1] for[0] the[0] most[0] part[0] noticed[0] and[0] remarked[0] upon[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 * the special effects are generally better , except for the final fight scene between the emporer and liu kang in which both perform their " animalities . " 	 * the special effects are generally better , except for the final fight scene between the emporer and liu kang in which both perform their " animalities .<br> "	2	-3	 the[0] special[1] effects[0] are[0] generally[0] better[0] except[0] for[0] the[0] final[0] fight[-2] scene[0] between[0] the[0] emporer[0] and[0] liu[0] kang[0] in[0] which[0] both[0] perform[0] their[0] animalities[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
motaro and sheeva are both more convincing and lifelike than goro was in the first movie . 	motaro and sheeva are both more convincing and lifelike than goro was in the first movie .	1	-1	 motaro[0] and[0] sheeva[0] are[0] both[0] more[0] convincing[0] and[0] lifelike[0] than[0] goro[0] was[0] in[0] the[0] first[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for folks like myself who loved the first movie and enjoy the games , i give this a 5 . 	for folks like myself who loved the first movie and enjoy the games , i give this a 5 .	4	-1	 for[0] folks[0] like[1] myself[0] who[0] loved[3] the[0] first[0] movie[0] and[0] enjoy[2] the[0] games[0] i[0] give[0] this[0] a[0] 5[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
you'll probably like it , but not nearly as much as you liked the first one . 	you'll probably like it , but not nearly as much as you liked the first one .	3	-1	 you'll[0] probably[0] like[1] it[0] but[0] not[0] nearly[0] as[0] much[0] as[0] you[0] liked[2] the[0] first[0] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
