starring shawnee smith ; donovan leitch ; ricky paull goldin ; kevin dillon & billy beck the blob is the remake of the 1960's classic ( a term that i use very loosely to define the original ) about a really mean glob of goop that takes out anything that gets in its way . 	Translation	Positive	Negative	EmotionRationale
as i've already said , this new version of the blob comes off more as cheap , badly acted , and badly written than campy . 	as i've already said , this new version of the blob comes off more as cheap , badly acted , and badly written than campy .	1	-2	 as[0] i've[0] already[0] said[0] this[0] new[0] version[0] of[0] the[0] blob[0] comes[0] off[0] more[0] as[0] cheap[-1] badly[-1] acted[0] and[0] badly[-1] written[0] than[0] campy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the years since this film was made none of the cast have gone on to greatness . 	in the years since this film was made none of the cast have gone on to greatness .	3	-1	 in[0] the[0] years[0] since[0] this[0] film[0] was[0] made[0] none[0] of[0] the[0] cast[0] have[0] gone[0] on[0] to[0] greatness[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although , star shawnee smith had a very tiny role in armageddon . 	although , star shawnee smith had a very tiny role in armageddon .	1	-1	 although[0] star[0] shawnee[0] smith[0] had[0] a[0] very[0] tiny[0] role[0] in[0] armageddon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the reason that we have never heard of any of them again is quite simple -- they all stunk out loud . 	the reason that we have never heard of any of them again is quite simple - they all stunk out loud .	1	-3	 the[0] reason[0] that[0] we[0] have[0] never[0] heard[0] of[0] any[0] of[0] them[0] again[0] is[0] quite[0] simple[0] they[0] all[0] stunk[-2] out[0] loud[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although some of the film's smaller roles are filled with some actors that , while not big stars , are doubtless people that you will recognize from their supporting roles in other movies and tv shows . 	although some of the film's smaller roles are filled with some actors that , while not big stars , are doubtless people that you will recognize from their supporting roles in other movies and tv shows .	2	-2	 although[0] some[0] of[0] the[0] film's[0] smaller[0] roles[0] are[0] filled[0] with[0] some[0] actors[0] that[0] while[0] not[0] big[0] stars[0] are[0] doubtless[-1] people[0] that[0] you[0] will[0] recognize[0] from[0] their[0] supporting[1] roles[0] in[0] other[0] movies[0] and[0] tv[0] shows[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it also appears that the producers of the blob tried to compensate for the lack of a special effects budget by making the scenes in which the blob makes meals of the townsfolk as gory as possible . 	it also appears that the producers of the blob tried to compensate for the lack of a special effects budget by making the scenes in which the blob makes meals of the townsfolk as gory as possible .	2	-2	 it[0] also[0] appears[0] that[0] the[0] producers[0] of[0] the[0] blob[0] tried[0] to[0] compensate[0] for[0] the[0] lack[-1] of[0] a[0] special[1] effects[0] budget[0] by[0] making[0] the[0] scenes[0] in[0] which[0] the[0] blob[0] makes[0] meals[0] of[0] the[0] townsfolk[0] as[0] gory[0] as[0] possible[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sadly , it doesn't work very well . 	sadly , it doesn't work very well .	1	-2	 sadly[-1] it[0] doesn't[0] work[0] very[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you want to see a big ball of goop terrorize a town , then i would say that you should skip the remake and rent the original . 	if you want to see a big ball of goop terrorize a town , then i would say that you should skip the remake and rent the original .	1	-3	 if[0] you[0] want[0] to[0] see[0] a[0] big[0] ball[0] of[0] goop[0] terrorize[-2] a[0] town[0] then[0] i[0] would[0] say[0] that[0] you[0] should[0] skip[0] the[0] remake[0] and[0] rent[0] the[0] original[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( although that isn't so hot either . ) 	 ( although that isn't so hot either .<br> )	1	-1	 although[0] that[0] isn't[0] so[0] hot[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this newest version is seriously lacking in any redeeming qualities . 	this newest version is seriously lacking in any redeeming qualities .	1	-1	 this[0] newest[0] version[0] is[0] seriously[0] lacking[0] in[0] any[0] redeeming[0] qualities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
