one might expect a cathartic viewing experience walking into a new jean-luc godard film . 	Translation	Positive	Negative	EmotionRationale
but don't fret , it will surface again . 	but don't fret , it will surface again .	3	-1	 but[0] don't[0] fret[-2][NegatedDueToPreviousWord] it[0] will[0] surface[0] again[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you could easily sleep through whole sections of the film ( as some fellow critics did ) and wake up in a scene exactly like the one you nodded off in , not having missed anything worthwhile . 	you could easily sleep through whole sections of the film ( as some fellow critics did ) and wake up in a scene exactly like the one you nodded off in , not having missed anything worthwhile .	2	-1	 you[0] could[0] easily[0] sleep[0] through[0] whole[0] sections[0] of[0] the[0] film[0] as[0] some[0] fellow[0] critics[0] did[0] and[0] wake[0] up[0] in[0] a[0] scene[0] exactly[0] like[1] the[0] one[0] you[0] nodded[0] off[0] in[0] not[0] having[0] missed[-1][NegatedDueToPreviousWord] anything[0] worthwhile[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but you hold hope for some time . 	but you hold hope for some time .	3	-1	 but[0] you[0] hold[0] hope[2] for[0] some[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the background music keeps you in a state of urgency , and even suspense , for the first few conversations . 	the background music keeps you in a state of urgency , and even suspense , for the first few conversations .	1	-1	 the[0] background[0] music[0] keeps[0] you[0] in[0] a[0] state[0] of[0] urgency[0] and[0] even[0] suspense[0] for[0] the[0] first[0] few[0] conversations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's only after repeated failures to pay any of this off that you lose all hope . 	it's only after repeated failures to pay any of this off that you lose all hope .	3	-3	 it's[0] only[0] after[0] repeated[0] failures[-2] to[0] pay[0] any[0] of[0] this[0] off[0] that[0] you[0] lose[-1] all[0] hope[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and with speeches like , " i am thinking of something , but i can only think of that something when i am thinking of something else , " how can you expect to hold anyone's interest ? 	and with speeches like , " i am thinking of something , but i can only think of that something when i am thinking of something else , " how can you expect to hold anyone's interest ?	2	-1	 and[0] with[0] speeches[0] like[1] i[0] am[0] thinking[0] of[0] something[0] but[0] i[0] can[0] only[0] think[0] of[0] that[0] something[0] when[0] i[0] am[0] thinking[0] of[0] something[0] else[0] how[0] can[0] you[0] expect[0] to[0] hold[0] anyone's[0] interest[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to godard's credit , he certainly knows how to frame a scene . 	to godard's credit , he certainly knows how to frame a scene .	1	-1	 to[0] godard's[0] credit[0] he[0] certainly[0] knows[0] how[0] to[0] frame[0] a[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the black and white footage used for the first half of the film is starkly beautiful . 	the black and white footage used for the first half of the film is starkly beautiful .	3	-1	 the[0] black[0] and[0] white[0] footage[0] used[0] for[0] the[0] first[0] half[0] of[0] the[0] film[0] is[0] starkly[0] beautiful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
watching edgar read while walking along a train track on a mountain makes you wish you had something to ponder along with him . 	watching edgar read while walking along a train track on a mountain makes you wish you had something to ponder along with him .	1	-1	 watching[0] edgar[0] read[0] while[0] walking[0] along[0] a[0] train[0] track[0] on[0] a[0] mountain[0] makes[0] you[0] wish[0] you[0] had[0] something[0] to[0] ponder[0] along[0] with[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and if this film had anything poignant to say , you would have , which makes you all the angrier at the numerous missed opportunities . 	and if this film had anything poignant to say , you would have , which makes you all the angrier at the numerous missed opportunities .	1	-4	 and[0] if[0] this[0] film[0] had[0] anything[0] poignant[0] to[0] say[0] you[0] would[0] have[0] which[0] makes[0] you[0] all[0] the[0] angrier[-3] at[0] the[0] numerous[0] missed[-1] opportunities[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the environments , be it city or country , are impeccably captured in crisp detail , but the script never complements them . 	the environments , be it city or country , are impeccably captured in crisp detail , but the script never complements them .	1	-2	 the[0] environments[0] be[0] it[0] city[0] or[0] country[0] are[0] impeccably[0] captured[-1] in[0] crisp[0] detail[0] but[0] the[0] script[0] never[0] complements[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , godard also manages to pillage his photographic eye by randomly cutting to black numerous times within any given scene . 	unfortunately , godard also manages to pillage his photographic eye by randomly cutting to black numerous times within any given scene .	1	-2	 unfortunately[-1] godard[0] also[0] manages[0] to[0] pillage[0] his[0] photographic[0] eye[0] by[0] randomly[0] cutting[0] to[0] black[0] numerous[0] times[0] within[0] any[0] given[0] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sometimes these breaks are used for chapter headings , but these are even more cryptic than the spoken words . 	sometimes these breaks are used for chapter headings , but these are even more cryptic than the spoken words .	1	-1	 sometimes[0] these[0] breaks[0] are[0] used[0] for[0] chapter[0] headings[0] but[0] these[0] are[0] even[0] more[0] cryptic[0] than[0] the[0] spoken[0] words[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the second half is composed of nauseating hyper-color that often blurs the image . 	the second half is composed of nauseating hyper-color that often blurs the image .	1	-2	 the[0] second[0] half[0] is[0] composed[0] of[0] nauseating[0] hyper[0] color[0] that[0] often[0] blurs[-1] the[0] image[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you suddenly feel like a doomed character straight out of scanners . 	you suddenly feel like a doomed character straight out of scanners .	2	-2	 you[0] suddenly[0] feel[0] like[1] a[0] doomed[-1] character[0] straight[0] out[0] of[0] scanners[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the only scene that makes any sense is one that complains about the united states bastardizing history in the making of movies . 	the only scene that makes any sense is one that complains about the united states bastardizing history in the making of movies .	1	-3	 the[0] only[0] scene[0] that[0] makes[0] any[0] sense[0] is[0] one[0] that[0] complains[-1] about[0] the[0] united[0] states[0] bastardizing[-2] history[0] in[0] the[0] making[0] of[0] movies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
steven spielberg is picked on in particular . 	steven spielberg is picked on in particular .	1	-1	 steven[0] spielberg[0] is[0] picked[0] on[0] in[0] particular[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while i'll grant that this does happen , and i tend to shy away from watching such garbage , it's still a pointless focus for a film that purports to articulate the specific qualities of couplehood . 	while i'll grant that this does happen , and i tend to shy away from watching such garbage , it's still a pointless focus for a film that purports to articulate the specific qualities of couplehood .	1	-3	 while[0] i'll[0] grant[0] that[0] this[0] does[0] happen[0] and[0] i[0] tend[0] to[0] shy[-2] away[0] from[0] watching[0] such[0] garbage[-2] it's[0] still[0] a[0] pointless[-1] focus[0] for[0] a[0] film[0] that[0] purports[0] to[0] articulate[0] the[0] specific[0] qualities[0] of[0] couplehood[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it just goes to show , an intelligent person isn't necessarily an admirable storyteller . 	it just goes to show , an intelligent person isn't necessarily an admirable storyteller .	3	-1	 it[0] just[0] goes[0] to[0] show[0] an[0] intelligent[1] person[0] isn't[0] necessarily[0] an[0] admirable[2] storyteller[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the days of breathless are no more . 	the days of breathless are no more .	1	-1	 the[0] days[0] of[0] breathless[0] are[0] no[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
