if i were one of those arrogant critics who thinks his review has some great impact on the success or failure of certain films , i might say that i review movies that don't look particularly good because i'm doing a service to my readers by warning them against seeing it . 	Translation	Positive	Negative	EmotionRationale
numerous re-writes ( the script may be credited to three people , but it's a gross underestimate ) have crammed this lean 90-minute film with tons of extraneous plot threads that all remain underdeveloped . 	numerous re-writes ( the script may be credited to three people , but it's a gross underestimate ) have crammed this lean 90-minute film with tons of extraneous plot threads that all remain underdeveloped .	1	-2	 numerous[0] re[0] writes[0] the[0] script[0] may[0] be[0] credited[0] to[0] three[0] people[0] but[0] it's[0] a[0] gross[-1] underestimate[0] have[0] crammed[0] this[0] lean[0] 90[0] minute[0] film[0] with[0] tons[0] of[0] extraneous[0] plot[0] threads[0] that[0] all[0] remain[0] underdeveloped[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
was there something about a limping robot shaped like a fighter pilot ? 	was there something about a limping robot shaped like a fighter pilot ?	2	-3	 was[0] there[0] something[0] about[0] a[0] limping[0] robot[0] shaped[0] like[1] a[0] fighter[-2] pilot[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
did the ship's computer learn something about humanity ? 	did the ship's computer learn something about humanity ?	1	-1	 did[0] the[0] ship's[0] computer[0] learn[0] something[0] about[0] humanity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what was that glowing lava lamp artifact troy brought on board with him ? 	what was that glowing lava lamp artifact troy brought on board with him ?	1	-1	 what[0] was[0] that[0] glowing[0] lava[0] lamp[0] artifact[0] troy[0] brought[0] on[0] board[0] with[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and just what does the film's title signify , if anything ? 	and just what does the film's title signify , if anything ?	1	-1	 and[0] just[0] what[0] does[0] the[0] film's[0] title[0] signify[0] if[0] anything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as far as i can tell , it refers to a very small plot detail that isn't developed , just like the rest of these unnecessary story elements . 	as far as i can tell , it refers to a very small plot detail that isn't developed , just like the rest of these unnecessary story elements .	1	-2	 as[0] far[0] as[0] i[0] can[0] tell[0] it[0] refers[0] to[0] a[0] very[0] small[0] plot[0] detail[0] that[0] isn't[0] developed[0] just[0] like[1][-1 LastWordBoosterStrength] the[0] rest[0] of[0] these[0] unnecessary[-1] story[0] elements[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
character relationships in this film also make very little sense . 	character relationships in this film also make very little sense .	1	-1	 character[0] relationships[0] in[0] this[0] film[0] also[0] make[0] very[0] little[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for some reason , every person in this film keeps having sex . 	for some reason , every person in this film keeps having sex .	1	-1	 for[0] some[0] reason[0] every[0] person[0] in[0] this[0] film[0] keeps[0] having[0] sex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we get an unusually early sex scene between phillips and tunney within the first 10 minutes . 	we get an unusually early sex scene between phillips and tunney within the first 10 minutes .	1	-1	 we[0] get[0] an[0] unusually[0] early[0] sex[0] scene[0] between[0] phillips[0] and[0] tunney[0] within[0] the[0] first[0] 10[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bassett and spader's characters start off hating each other . 	bassett and spader's characters start off hating each other .	1	-4	 bassett[0] and[0] spader's[0] characters[0] start[0] off[0] hating[-3] each[0] other[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
fifteen minutes and one bottle of pear brandy later , they're engaging in some hanky-panky . 	fifteen minutes and one bottle of pear brandy later , they're engaging in some hanky-panky .	1	-1	 fifteen[0] minutes[0] and[0] one[0] bottle[0] of[0] pear[0] brandy[0] later[0] they're[0] engaging[0] in[0] some[0] hanky[0] panky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when troy the creepy stranger shows up on the ship , of course both female crew members will fall in love with him . 	when troy the creepy stranger shows up on the ship , of course both female crew members will fall in love with him .	3	-1	 when[0] troy[0] the[0] creepy[0] stranger[0] shows[0] up[0] on[0] the[0] ship[0] of[0] course[0] both[0] female[0] crew[0] members[0] will[0] fall[0] in[0] love[2] with[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
every single shift in character interaction happens extremely suddenly , which is only one of the many obvious clues to how much this film has been cut . 	every single shift in character interaction happens extremely suddenly , which is only one of the many obvious clues to how much this film has been cut .	1	-1	 every[0] single[0] shift[0] in[0] character[0] interaction[0] happens[0] extremely[0] suddenly[0] which[0] is[0] only[0] one[0] of[0] the[0] many[0] obvious[0] clues[0] to[0] how[0] much[0] this[0] film[0] has[0] been[0] cut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the most prominent example , however , may be the fact that when the film starts , there are no opening credits ! 	the most prominent example , however , may be the fact that when the film starts , there are no opening credits !	1	-1	 the[0] most[0] prominent[0] example[0] however[0] may[0] be[0] the[0] fact[0] that[0] when[0] the[0] film[0] starts[0] there[0] are[0] no[0] opening[0] credits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
furthermore , the end of the film looks like they took what were originally intended to be the opening credits and spliced them in right before the real end credits . 	furthermore , the end of the film looks like they took what were originally intended to be the opening credits and spliced them in right before the real end credits .	2	-1	 furthermore[0] the[0] end[0] of[0] the[0] film[0] looks[0] like[1] they[0] took[0] what[0] were[0] originally[0] intended[0] to[0] be[0] the[0] opening[0] credits[0] and[0] spliced[0] them[0] in[0] right[0] before[0] the[0] real[0] end[0] credits[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maybe that's why the film's title is mentioned twice during the end credits , right between james spader and robert forster . 	maybe that's why the film's title is mentioned twice during the end credits , right between james spader and robert forster .	1	-1	 maybe[0] that's[0] why[0] the[0] film's[0] title[0] is[0] mentioned[0] twice[0] during[0] the[0] end[0] credits[0] right[0] between[0] james[0] spader[0] and[0] robert[0] forster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right after you get over the shock of not being told what movie you're seeing ( lest you decide to walk out upon making that discovery ) , you might notice that the movie seems to have dropped you right in the middle of a scene , with little-to-no introduction to any of the characters or situations . 	right after you get over the shock of not being told what movie you're seeing ( lest you decide to walk out upon making that discovery ) , you might notice that the movie seems to have dropped you right in the middle of a scene , with little-to-no introduction to any of the characters or situations .	1	-3	 right[0] after[0] you[0] get[0] over[0] the[0] shock[-2] of[0] not[0] being[0] told[0] what[0] movie[0] you're[0] seeing[0] lest[0] you[0] decide[0] to[0] walk[0] out[0] upon[0] making[0] that[0] discovery[0] you[0] might[0] notice[0] that[0] the[0] movie[0] seems[0] to[0] have[0] dropped[0] you[0] right[0] in[0] the[0] middle[0] of[0] a[0] scene[0] with[0] little[0] to[0] no[0] introduction[0] to[0] any[0] of[0] the[0] characters[0] or[0] situations[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the rest of the movie feels like they skipped over the middle stuff in the character changes ( you know , where they explain things ) and just went from point a to point b . point a : danika is thoroughly enamored of yerzy and is ready to have his baby . 	the rest of the movie feels like they skipped over the middle stuff in the character changes ( you know , where they explain things ) and just went from point a to point b .<br> point a : danika is thoroughly enamored of yerzy and is ready to have his baby .	2	-1	 the[0] rest[0] of[0] the[0] movie[0] feels[0] like[1] they[0] skipped[0] over[0] the[0] middle[0] stuff[0] in[0] the[0] character[0] changes[0] you[0] know[0] where[0] they[0] explain[0] things[0] and[0] just[0] went[0] from[0] point[0] a[0] to[0] point[0] b[0] [[Sentence=-1,2=word max, 1-5]] point[0] a[0] danika[0] is[0] thoroughly[0] enamored[0] of[0] yerzy[0] and[0] is[0] ready[0] to[0] have[0] his[0] baby[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
point b : tunney is now shagging troy and yerzy is unusually obsessed with the lava lamp thing . 	point b : tunney is now shagging troy and yerzy is unusually obsessed with the lava lamp thing .	1	-3	 point[0] b[0] tunney[0] is[0] now[0] shagging[0] troy[0] and[0] yerzy[0] is[0] unusually[0] obsessed[-2] with[0] the[0] lava[0] lamp[0] thing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
doesn't make sense . 	doesn't make sense .	1	-1	 doesn't[0] make[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since i didn't understand anything about these characters' motivations , did i care when troy abruptly starts murdering them one-by-one ( and he does , knocking off three of them in about 10 minutes ) ? 	since i didn't understand anything about these characters' motivations , did i care when troy abruptly starts murdering them one-by-one ( and he does , knocking off three of them in about 10 minutes ) ?	2	-4	 since[0] i[0] didn't[0] understand[0] anything[0] about[0] these[0] characters'[0] motivations[0] did[0] i[0] care[1] when[0] troy[0] abruptly[0] starts[0] murdering[-3] them[0] one[0] by[0] one[0] and[0] he[0] does[0] knocking[0] off[0] three[0] of[0] them[0] in[0] about[0] 10[0] minutes[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
not a whit . 	not a whit .	1	-1	 not[0] a[0] whit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a shame , because this cast contains a lot of talented actors looking for something to do . 	it's a shame , because this cast contains a lot of talented actors looking for something to do .	2	-3	 it's[0] a[0] shame[-2] because[0] this[0] cast[0] contains[0] a[0] lot[0] of[0] talented[1] actors[0] looking[0] for[0] something[0] to[0] do[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
they don't find it . 	they don't find it .	1	-1	 they[0] don't[0] find[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bassett and spader say every line in the same monotone voice with the same blank expressions on their faces . 	bassett and spader say every line in the same monotone voice with the same blank expressions on their faces .	1	-1	 bassett[0] and[0] spader[0] say[0] every[0] line[0] in[0] the[0] same[0] monotone[0] voice[0] with[0] the[0] same[0] blank[0] expressions[0] on[0] their[0] faces[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sexual tension ? 	sexual tension ?	1	-3	 sexual[0] tension[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
more like constipation . 	more like constipation .	2	-1	 more[0] like[1] constipation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maybe they're just embarrassed at having to utter such howlers as " this thing was made by someone more powerful than god and a whole lot less nice . " 	maybe they're just embarrassed at having to utter such howlers as " this thing was made by someone more powerful than god and a whole lot less nice .<br> "	2	-2	 maybe[0] they're[0] just[0] embarrassed[-2][--1 LastWordBoosterStrength] at[0] having[0] to[0] utter[0] such[0] howlers[0] as[0] this[0] thing[0] was[0] made[0] by[0] someone[0] more[0] powerful[0] than[0] god[0] and[0] a[0] whole[0] lot[0] less[0] nice[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not that we ever find out who that is , mind you . 	not that we ever find out who that is , mind you .	1	-1	 not[0] that[0] we[0] ever[0] find[0] out[0] who[0] that[0] is[0] mind[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the climax of their relationship ( taking place in a transport pod ) is probably the film's biggest forehead-slapper . 	the climax of their relationship ( taking place in a transport pod ) is probably the film's biggest forehead-slapper .	1	-2	 the[0] climax[0] of[0] their[0] relationship[0] taking[0] place[0] in[0] a[0] transport[0] pod[0] is[0] probably[0] the[0] film's[0] biggest[0] forehead[0] slapper[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as troy , peter facinelli inhabits the most obvious villain in history that no one ever suspected . 	as troy , peter facinelli inhabits the most obvious villain in history that no one ever suspected .	1	-3	 as[0] troy[0] peter[0] facinelli[0] inhabits[0] the[0] most[0] obvious[0] villain[-2] in[0] history[0] that[0] no[0] one[0] ever[0] suspected[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he' s awfully one-note , but it's not as if he's given any more notes to work with . 	he' s awfully one-note , but it's not as if he's given any more notes to work with .	1	-4	 he'[0] s[0] awfully[-3] one[0] note[0] but[0] it's[0] not[0] as[0] if[0] he's[0] given[0] any[0] more[0] notes[0] to[0] work[0] with[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the rest of the cast does even less . 	the rest of the cast does even less .	1	-1	 the[0] rest[0] of[0] the[0] cast[0] does[0] even[0] less[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tunney stands around looking cute , then scared . 	tunney stands around looking cute , then scared .	2	-4	 tunney[0] stands[0] around[0] looking[0] cute[1] then[0] scared[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
phillips broods . 	phillips broods .	1	-2	 phillips[0] broods[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cruz flirts with the computer . 	cruz flirts with the computer .	2	-1	 cruz[0] flirts[1] with[0] the[0] computer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then they all die and a star blows up or something , but i really wasn't paying much attention by then . 	then they all die and a star blows up or something , but i really wasn't paying much attention by then .	1	-1	 then[0] they[0] all[0] die[0] and[0] a[0] star[0] blows[0] up[0] or[0] something[0] but[0] i[0] really[0] wasn't[0] paying[0] much[0] attention[0] by[0] then[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " supernova " is pretty awful , but i'm cutting it a little slack merely because i expected less than what i got . 	 " supernova " is pretty awful , but i'm cutting it a little slack merely because i expected less than what i got .	3	-4	 supernova[0] is[0] pretty[2] awful[-3] but[0] i'm[0] cutting[0] it[0] a[0] little[0] slack[0] merely[0] because[0] i[0] expected[0] less[0] than[0] what[0] i[0] got[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
that's it . 	that's it .	1	-1	 that's[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you expect it to be good ( for whatever reasons you may have ) , you'll probably hate it more than i will . 	if you expect it to be good ( for whatever reasons you may have ) , you'll probably hate it more than i will .	2	-4	 if[0] you[0] expect[0] it[0] to[0] be[0] good[1] for[0] whatever[0] reasons[0] you[0] may[0] have[0] you'll[0] probably[0] hate[-3] it[0] more[0] than[0] i[0] will[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
even the special effects are fairly unimpressive , nothing you haven' t seen before , and suffice to say the script isn't going to save the film . 	even the special effects are fairly unimpressive , nothing you haven' t seen before , and suffice to say the script isn't going to save the film .	2	-2	 even[0] the[0] special[1] effects[0] are[0] fairly[0] unimpressive[-1] nothing[0] you[0] haven'[0] t[0] seen[0] before[0] and[0] suffice[0] to[0] say[0] the[0] script[0] isn't[0] going[0] to[0] save[1] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
honestly , though , what do you expect from a film with about a dozen writers and a director who had his name removed and replaced with a pseudonym ? 	honestly , though , what do you expect from a film with about a dozen writers and a director who had his name removed and replaced with a pseudonym ?	1	-1	 honestly[0] though[0] what[0] do[0] you[0] expect[0] from[0] a[0] film[0] with[0] about[0] a[0] dozen[0] writers[0] and[0] a[0] director[0] who[0] had[0] his[0] name[0] removed[0] and[0] replaced[0] with[0] a[0] pseudonym[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it usually results in a bad movie , and that's what " supernova " is . 	it usually results in a bad movie , and that's what " supernova " is .	1	-2	 it[0] usually[0] results[0] in[0] a[0] bad[-1] movie[0] and[0] that's[0] what[0] supernova[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
