gregg araki's the doom generation was possibly the very worst film ever made . 	Translation	Positive	Negative	EmotionRationale
he turns out to be a nice guy who doesn't care for fame and wishes he could walk down the street without being mobbed by fans . 	he turns out to be a nice guy who doesn't care for fame and wishes he could walk down the street without being mobbed by fans .	2	-1	 he[0] turns[0] out[0] to[0] be[0] a[0] nice[1] guy[0] who[0] doesn't[0] care[1] for[0] fame[0] and[0] wishes[0] he[0] could[0] walk[0] down[0] the[0] street[0] without[0] being[0] mobbed[0] by[0] fans[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this story has a shocking twist and a tragic end that i did not see coming . 	this story has a shocking twist and a tragic end that i did not see coming .	1	-3	 this[0] story[0] has[0] a[0] shocking[-2] twist[0] and[0] a[0] tragic[-2] end[0] that[0] i[0] did[0] not[0] see[0] coming[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is the first time i ever felt any compassion for a character created by arraki , and this can be attributed to the appealing performance of lassez . 	it is the first time i ever felt any compassion for a character created by arraki , and this can be attributed to the appealing performance of lassez .	2	-1	 it[0] is[0] the[0] first[0] time[0] i[0] ever[0] felt[0] any[0] compassion[1] for[0] a[0] character[0] created[0] by[0] arraki[0] and[0] this[0] can[0] be[0] attributed[0] to[0] the[0] appealing[0] performance[0] of[0] lassez[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i thought maybe arraki was improving in his craft . 	i thought maybe arraki was improving in his craft .	2	-1	 i[0] thought[0] maybe[0] arraki[0] was[0] improving[1] in[0] his[0] craft[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he works better with the camera this time around , especially in the early scenes . 	he works better with the camera this time around , especially in the early scenes .	1	-1	 he[0] works[0] better[0] with[0] the[0] camera[0] this[0] time[0] around[0] especially[0] in[0] the[0] early[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
halfway through the film , i didn't necessarily find myself enjoying the film , but it seemed like a considerable improvement on the doom generation . 	halfway through the film , i didn't necessarily find myself enjoying the film , but it seemed like a considerable improvement on the doom generation .	3	-2	 halfway[0] through[0] the[0] film[0] i[0] didn't[0] necessarily[0] find[0] myself[0] enjoying[2] the[0] film[0] but[0] it[0] seemed[0] like[1] a[0] considerable[0] improvement[1] on[0] the[0] doom[-1] generation[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
then as the movie went on , arraki loses all sensibility and introduces us to exploding heads , twisted sex games , and alien abductions . 	then as the movie went on , arraki loses all sensibility and introduces us to exploding heads , twisted sex games , and alien abductions .	1	-2	 then[0] as[0] the[0] movie[0] went[0] on[0] arraki[0] loses[-1] all[0] sensibility[0] and[0] introduces[0] us[0] to[0] exploding[0] heads[0] twisted[0] sex[0] games[0] and[0] alien[-1] abductions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's sad , because he almost actually had some decent material here , but he ruined it with his usual in your face " i'm such a renegade maverick filmmaker , look what i can do " attitude . 	it's sad , because he almost actually had some decent material here , but he ruined it with his usual in your face " i'm such a renegade maverick filmmaker , look what i can do " attitude .	1	-4	 it's[0] sad[-3] because[0] he[0] almost[0] actually[0] had[0] some[0] decent[0] material[0] here[0] but[0] he[0] ruined[-1] it[0] with[0] his[0] usual[0] in[0] your[0] face[0] i'm[0] such[0] a[0] renegade[0] maverick[0] filmmaker[0] look[0] what[0] i[0] can[0] do[0] attitude[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the performances are generally better than in the doom generation , which isn't saying much . 	the performances are generally better than in the doom generation , which isn't saying much .	1	-2	 the[0] performances[0] are[0] generally[0] better[0] than[0] in[0] the[0] doom[-1] generation[0] which[0] isn't[0] saying[0] much[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at least we don't have to suffer jonathan " i am the most hideous man in america " schaech . 	at least we don't have to suffer jonathan " i am the most hideous man in america " schaech .	1	-4	 at[0] least[0] we[0] don't[0] have[0] to[0] suffer[-3] jonathan[0] i[0] am[0] the[0] most[0] hideous[-1] man[0] in[0] america[0] schaech[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we are , however treated to another round of james " i'm more wooden than keanu " duval . 	we are , however treated to another round of james " i'm more wooden than keanu " duval .	1	-1	 we[0] are[0] however[0] treated[0] to[0] another[0] round[0] of[0] james[0] i'm[0] more[0] wooden[0] than[0] keanu[0] duval[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sarah lassez gives the best performance in the film , and kathleen robertson ( formerly of 90210 and now arraki's wife ) and rachel true are talented actresses caught up in this mess . 	sarah lassez gives the best performance in the film , and kathleen robertson ( formerly of 90210 and now arraki's wife ) and rachel true are talented actresses caught up in this mess .	2	-1	 sarah[0] lassez[0] gives[0] the[0] best[1] performance[0] in[0] the[0] film[0] and[0] kathleen[0] robertson[0] formerly[0] of[0] 90210[0] and[0] now[0] arraki's[0] wife[0] and[0] rachel[0] true[1] are[0] talented[1] actresses[0] caught[0] up[0] in[0] this[0] mess[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of the tv star cameos , john ritter is the most interesting as a deranged right wing tv evangelist . 	of the tv star cameos , john ritter is the most interesting as a deranged right wing tv evangelist .	2	-1	 of[0] the[0] tv[0] star[0] cameos[0] john[0] ritter[0] is[0] the[0] most[0] interesting[1] as[0] a[0] deranged[0] right[0] wing[0] tv[0] evangelist[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if i prefer nowhere to the doom generation , it is only in the way that i would prefer being assassinated than receive constant physical torture . 	if i prefer nowhere to the doom generation , it is only in the way that i would prefer being assassinated than receive constant physical torture .	1	-4	 if[0] i[0] prefer[0] nowhere[0] to[0] the[0] doom[-1] generation[0] it[0] is[0] only[0] in[0] the[0] way[0] that[0] i[0] would[0] prefer[0] being[0] assassinated[-2] than[0] receive[0] constant[0] physical[0] torture[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
maybe greg arraki doesn't want you to like his characters . 	maybe greg arraki doesn't want you to like his characters .	2	-1	 maybe[0] greg[0] arraki[0] doesn't[0] want[0] you[0] to[0] like[1] his[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maybe he wants to laugh and make fun of those of us who try to care about them . 	maybe he wants to laugh and make fun of those of us who try to care about them .	2	-1	 maybe[0] he[0] wants[0] to[0] laugh[1] and[0] make[0] fun[1] of[0] those[0] of[0] us[0] who[0] try[0] to[0] care[1] about[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maybe he just wanted to piss me off . 	maybe he just wanted to piss me off .	1	-3	 maybe[0] he[0] just[0] wanted[0] to[0] piss[-2] me[0] off[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if so , he was successful . 	if so , he was successful .	3	-1	 if[0] so[0] he[0] was[0] successful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
