fantastically over hyped , godzila finally lumbers onto the big screen . 	Translation	Positive	Negative	EmotionRationale
o . k , so the acting is not up to par , but it never is in these movies . 	o .<br> k , so the acting is not up to par , but it never is in these movies .	1	-1	 o[0] [[Sentence=-1,1=word max, 1-5]] k[0] so[0] the[0] acting[0] is[0] not[0] up[0] to[0] par[0] but[0] it[0] never[0] is[0] in[0] these[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but what about the script ? 	but what about the script ?	1	-1	 but[0] what[0] about[0] the[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , that's not up to par either . 	well , that's not up to par either .	1	-1	 well[0] that's[0] not[0] up[0] to[0] par[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
emmerich and screenwriting pal dean devlin seem so caught in the destruction of new york city that they forgot to write a script . 	emmerich and screenwriting pal dean devlin seem so caught in the destruction of new york city that they forgot to write a script .	1	-2	 emmerich[0] and[0] screenwriting[0] pal[0] dean[0] devlin[0] seem[0] so[0] caught[0] in[0] the[0] destruction[-1] of[0] new[0] york[0] city[0] that[0] they[0] forgot[0] to[0] write[0] a[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dialogue is banal ( broderick looks at a lot of fish and utters 'that's a lot of fish . ' ) , and the character development is non existent ( reno plays the typical frenchman ( 'no croissant ? ' ) , 	the dialogue is banal ( broderick looks at a lot of fish and utters 'that's a lot of fish .<br> ' ) , and the character development is non existent ( reno plays the typical frenchman ( 'no croissant ?<br> ' ) ,	2	-2	 the[0] dialogue[0] is[0] banal[-1] broderick[0] looks[0] at[0] a[0] lot[0] of[0] fish[0] and[0] utters[0] 'that's[0] a[0] lot[0] of[0] fish[0] [[Sentence=-2,1=word max, 1-5]] '[0] and[0] the[0] character[0] development[0] is[0] non[0] existent[0] reno[0] plays[1] the[0] typical[0] frenchman[0] 'no[0] croissant[0] [[Sentence=-1,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
broderick forever remains a geeky scientist . ) 	broderick forever remains a geeky scientist .<br> )	1	-1	 broderick[0] forever[0] remains[0] a[0] geeky[0] scientist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , the film is seriously lacking a sense of humour . 	also , the film is seriously lacking a sense of humour .	3	-1	 also[0] the[0] film[0] is[0] seriously[0] lacking[0] a[0] sense[0] of[0] humour[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the jokes that are uttered are pathetic , and there's an 'hilarious' running gag about siskel and ebert . 	the jokes that are uttered are pathetic , and there's an 'hilarious' running gag about siskel and ebert .	2	-3	 the[0] jokes[1] that[0] are[0] uttered[0] are[0] pathetic[-2] and[0] there's[0] an[0] 'hilarious'[0] running[0] gag[0] about[0] siskel[0] and[0] ebert[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( the mayor is mayor ebert , and is assistant is called gene ! 	 ( the mayor is mayor ebert , and is assistant is called gene !	1	-1	 the[0] mayor[0] is[0] mayor[0] ebert[0] and[0] is[0] assistant[0] is[0] called[0] gene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ha ha ha ha ! . ) 	ha ha ha ha !<br> .<br> )	2	-1	 ha[1] ha[1] ha[1] ha[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot is dire , and in the end just rips off jurassic park ( 1993 ) by having lots of baby godzilla's ( i . e . 	the plot is dire , and in the end just rips off jurassic park ( 1993 ) by having lots of baby godzilla's ( i .<br> e .	2	-2	 the[0] plot[0] is[0] dire[-1] and[0] in[0] the[0] end[0] just[0] rips[0] off[0] jurassic[0] park[0] 1993[0] by[0] having[0] lots[0] of[0] baby[1] godzilla's[0] i[0] [[Sentence=-2,2=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
velicorapters ) running around new york . 	velicorapters ) running around new york .	1	-1	 velicorapters[0] running[0] around[0] new[0] york[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right , so the script and acting suck . 	right , so the script and acting suck .	1	-2	 right[0] so[0] the[0] script[0] and[0] acting[0] suck[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but what about the special effects ? 	but what about the special effects ?	2	-1	 but[0] what[0] about[0] the[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thankfully , they're are quite good . 	thankfully , they're are quite good .	2	-1	 thankfully[1] they're[0] are[0] quite[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
godzilla is an impressive piece of cgi , although we don't see much of him because the movie is so dark . 	godzilla is an impressive piece of cgi , although we don't see much of him because the movie is so dark .	2	-1	 godzilla[0] is[0] an[0] impressive[1] piece[0] of[0] cgi[0] although[0] we[0] don't[0] see[0] much[0] of[0] him[0] because[0] the[0] movie[0] is[0] so[0] dark[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the destruction of new york is pretty well done aswell . 	the destruction of new york is pretty well done aswell .	3	-2	 the[0] destruction[-1] of[0] new[0] york[0] is[0] pretty[2] well[0] done[0] aswell[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but although they are impressive , they can't save godzilla from being an hugely disappointing and boring movie . 	but although they are impressive , they can't save godzilla from being an hugely disappointing and boring movie .	2	-4	 but[0] although[0] they[0] are[0] impressive[1] they[0] can't[0] save[1][NegatedDueToPreviousWord] godzilla[0] from[0] being[0] an[0] hugely[0] disappointing[-1][-2 LastWordBoosterStrength] and[0] boring[-1] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the movie goes on for far too long aswell , and it can't seem to decide on a ending . 	the movie goes on for far too long aswell , and it can't seem to decide on a ending .	1	-1	 the[0] movie[0] goes[0] on[0] for[0] far[0] too[0] long[0] aswell[0] and[0] it[0] can't[0] seem[0] to[0] decide[0] on[0] a[0] ending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and of course , the ending itself leaves possibility for a sequel . 	and of course , the ending itself leaves possibility for a sequel .	1	-1	 and[0] of[0] course[0] the[0] ending[0] itself[0] leaves[0] possibility[0] for[0] a[0] sequel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's just hope one never arrives . 	let's just hope one never arrives .	2	-1	 let's[0] just[0] hope[2][-1 LastWordBoosterStrength] one[0] never[0] arrives[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
