weighed down by tired plot lines and spielberg's reliance on formulas , _saving private ryan_ is a mediocre film which nods in the direction of realism before descending into an abyss of cliches . 	Translation	Positive	Negative	EmotionRationale
yet the attempt at a realistic depiction of combat falls flat on its face because realism is not something which can be represented by single instances or events . 	yet the attempt at a realistic depiction of combat falls flat on its face because realism is not something which can be represented by single instances or events .	1	-2	 yet[0] the[0] attempt[0] at[0] a[0] realistic[0] depiction[0] of[0] combat[-1] falls[0] flat[0] on[0] its[0] face[0] because[0] realism[0] is[0] not[0] something[0] which[0] can[0] be[0] represented[0] by[0] single[0] instances[0] or[0] events[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it has to thoroughly permeate the context at every level of the film , or the story fails to convince . 	it has to thoroughly permeate the context at every level of the film , or the story fails to convince .	1	-3	 it[0] has[0] to[0] thoroughly[0] permeate[0] the[0] context[0] at[0] every[0] level[0] of[0] the[0] film[0] or[0] the[0] story[0] fails[-2] to[0] convince[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
throughout the movie spielberg repeatedly showed only single examples of the grotesque wounds produced by modern mechanized devices ( exception : men are shown burning to death with relative frequency ) . 	throughout the movie spielberg repeatedly showed only single examples of the grotesque wounds produced by modern mechanized devices ( exception : men are shown burning to death with relative frequency ) .	1	-3	 throughout[0] the[0] movie[0] spielberg[0] repeatedly[0] showed[0] only[0] single[0] examples[0] of[0] the[0] grotesque[-1] wounds[-1] produced[0] by[0] modern[0] mechanized[0] devices[0] exception[0] men[0] are[0] shown[0] burning[-1] to[0] death[-2] with[0] relative[0] frequency[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for example , we see only one man with guts spilled out on the ground . 	for example , we see only one man with guts spilled out on the ground .	1	-2	 for[0] example[0] we[0] see[0] only[0] one[0] man[0] with[0] guts[0] spilled[-1] out[0] on[0] the[0] ground[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here and there men lose limbs ; in one scene miller is pulling a man to safety , there's an explosion , and miller looks back to see he is only pulling half a man . 	here and there men lose limbs ; in one scene miller is pulling a man to safety , there's an explosion , and miller looks back to see he is only pulling half a man .	2	-2	 here[0] and[0] there[0] men[0] lose[-1] limbs[0] in[0] one[0] scene[0] miller[0] is[0] pulling[0] a[0] man[0] to[0] safety[1] there's[0] an[0] explosion[-1] and[0] miller[0] looks[0] back[0] to[0] see[0] he[0] is[0] only[0] pulling[0] half[0] a[0] man[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but the rest of the corpses are remarkably intact . 	but the rest of the corpses are remarkably intact .	1	-1	 but[0] the[0] rest[0] of[0] the[0] corpses[0] are[0] remarkably[0] intact[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are no shoes with only feet in them , no limbs scattered everywhere , no torsos without limbs , no charred corpses , and most importantly , all corpses have heads ( in fairness there are a smattering of wicked head wounds ) . 	there are no shoes with only feet in them , no limbs scattered everywhere , no torsos without limbs , no charred corpses , and most importantly , all corpses have heads ( in fairness there are a smattering of wicked head wounds ) .	3	-2	 there[0] are[0] no[0] shoes[0] with[0] only[0] feet[0] in[0] them[0] no[0] limbs[0] scattered[0] everywhere[0] no[0] torsos[0] without[0] limbs[0] no[0] charred[0] corpses[0] and[0] most[0] importantly[0] all[0] corpses[0] have[0] heads[0] in[0] fairness[0] there[0] are[0] a[0] smattering[0] of[0] wicked[2] head[0] wounds[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the relentless dehumanization of the war , in which even corpses failed to retain any indentity , is soft-pedaled in the film . 	the relentless dehumanization of the war , in which even corpses failed to retain any indentity , is soft-pedaled in the film .	1	-3	 the[0] relentless[0] dehumanization[0] of[0] the[0] war[-2] in[0] which[0] even[0] corpses[0] failed[-2] to[0] retain[0] any[0] indentity[0] is[0] soft[0] pedaled[0] in[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ultimately , _saving private ryan_ bows to both hollywood convention and the unwritten rules of wartime photography in its portrayal of wounds and death in war . 	ultimately , _saving private ryan_ bows to both hollywood convention and the unwritten rules of wartime photography in its portrayal of wounds and death in war .	1	-3	 ultimately[0] _saving[0] private[0] ryan_[0] bows[0] to[0] both[0] hollywood[0] convention[0] and[0] the[0] unwritten[0] rules[0] of[0] wartime[0] photography[0] in[0] its[0] portrayal[0] of[0] wounds[-1] and[0] death[-2] in[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rather than saying _saving private ryan_ is " realistic , " it would be better to describe it as " having realistic moments . " 	rather than saying _saving private ryan_ is " realistic , " it would be better to describe it as " having realistic moments .<br> "	1	-1	 rather[0] than[0] saying[0] _saving[0] private[0] ryan_[0] is[0] realistic[0] it[0] would[0] be[0] better[0] to[0] describe[0] it[0] as[0] having[0] realistic[0] moments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another aspect of the " hollywoodization " of the war is the lack of realistic dialogue and in particular , the lack of swearing . 	another aspect of the " hollywoodization " of the war is the lack of realistic dialogue and in particular , the lack of swearing .	1	-3	 another[0] aspect[0] of[0] the[0] hollywoodization[0] of[0] the[0] war[-2] is[0] the[0] lack[-1] of[0] realistic[0] dialogue[0] and[0] in[0] particular[0] the[0] lack[-1] of[0] swearing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
anyone familiar with the literature on the behavior of the men during the war , such as fussell's superb _wartime : understanding and behavior in the second world war_ ( which has an extensive discussion on swearing ) , knows that the troops swore fluently and without letup . 	anyone familiar with the literature on the behavior of the men during the war , such as fussell's superb _wartime : understanding and behavior in the second world war_ ( which has an extensive discussion on swearing ) , knows that the troops swore fluently and without letup .	1	-3	 anyone[0] familiar[0] with[0] the[0] literature[0] on[0] the[0] behavior[0] of[0] the[0] men[0] during[0] the[0] war[-2] such[0] as[0] fussell's[0] superb[0] _wartime[0] understanding[0] and[0] behavior[0] in[0] the[0] second[0] world[0] war_[0] which[0] has[0] an[0] extensive[0] discussion[0] on[0] swearing[0] knows[0] that[0] the[0] troops[0] swore[-1] fluently[0] and[0] without[0] letup[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " who is this private ryan that we have to die for him ? " 	 " who is this private ryan that we have to die for him ?<br> "	1	-1	 who[0] is[0] this[0] private[0] ryan[0] that[0] we[0] have[0] to[0] die[0] for[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
asks one infantrymen in the group of eight . 	asks one infantrymen in the group of eight .	1	-1	 asks[0] one[0] infantrymen[0] in[0] the[0] group[0] of[0] eight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rendered in wartime demotic , that should have been expressed as " who is this little pecker that we have to get our dicks shot off for him ? " 	rendered in wartime demotic , that should have been expressed as " who is this little pecker that we have to get our dicks shot off for him ?<br> "	1	-2	 rendered[0] in[0] wartime[0] demotic[0] that[0] should[0] have[0] been[0] expressed[0] as[0] who[0] is[0] this[0] little[0] pecker[0] that[0] we[0] have[0] to[0] get[0] our[0] dicks[0] shot[-1] off[0] for[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or some variant thereof . 	or some variant thereof .	1	-1	 or[0] some[0] variant[0] thereof[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
conversations should have been literally sprinkled with the " f " word , and largely about ( the search for ) food and sex . 	conversations should have been literally sprinkled with the " f " word , and largely about ( the search for ) food and sex .	1	-1	 conversations[0] should[0] have[0] been[0] literally[0] sprinkled[0] with[0] the[0] f[0] word[0] and[0] largely[0] about[0] the[0] search[0] for[0] food[0] and[0] sex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is all the more inexplicable because the movie already had an " r " rating due to violence , so swearing could not possibly have been eliminated to make it a family film . 	this is all the more inexplicable because the movie already had an " are " rating due to violence , so swearing could not possibly have been eliminated to make it a family film .	1	-4	 this[0] is[0] all[0] the[0] more[0] inexplicable[-1] because[0] the[0] movie[0] already[0] had[0] an[0] r[0] rating[0] due[0] to[0] violence[-3] so[0] swearing[0] could[0] not[0] possibly[0] have[0] been[0] eliminated[0] to[0] make[0] it[0] a[0] family[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , the most troubling aspect of the film is the spielbergization of the topic . 	however , the most troubling aspect of the film is the spielbergization of the topic .	1	-2	 however[0] the[0] most[0] troubling[-1] aspect[0] of[0] the[0] film[0] is[0] the[0] spielbergization[0] of[0] the[0] topic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most intense hell humans have ever created for themselves is not emotionally wrenching enough for steven spielberg . 	the most intense hell humans have ever created for themselves is not emotionally wrenching enough for steven spielberg .	1	-2	 the[0] most[0] intense[0] hell[-1] humans[0] have[0] ever[0] created[0] for[0] themselves[0] is[0] not[0] emotionally[0] wrenching[0] enough[0] for[0] steven[0] spielberg[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he cannot just cede control to the material ; he has to be bigger than it . 	he cannot just cede control to the material ; he has to be bigger than it .	1	-1	 he[0] cannot[0] just[0] cede[0] control[0] to[0] the[0] material[0] he[0] has[0] to[0] be[0] bigger[0] than[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as if afraid to let the viewer find their own ( perhaps unsettled and not entirely clear ) emotional foothold in the material , spielberg has to package it in hallmark moments to give the war a meaning and coherence it never had : the opening and closing scenes of ryan and his family in the war cemetary ( reminscent of the closing scene from _schindler's list ) , the saccharine exchange between ryan and his wife at the close ( every bit as bad as schindler's monologue about how his car , tiepin or ring could have saved another jew ) , quotes from abraham lincoln and emerson , captain miller's last words to private ryan , and an unbelievable storyline in which a prisoner whom they free earlier in the movie comes back to kill the captain . 	as if afraid to let the viewer find their own ( perhaps unsettled and not entirely clear ) emotional foothold in the material , spielberg has to package it in hallmark moments to give the war a meaning and coherence it never had : the opening and closing scenes of ryan and his family in the war cemetary ( reminscent of the closing scene from _schindler's list ) , the saccharine exchange between ryan and his wife at the close ( every bit as bad as schindler's monologue about how his car , tiepin or ring could have saved another jew ) , quotes from abraham lincoln and emerson , captain miller's last words to private ryan , and an unbelievable storyline in which a prisoner whom they free earlier in the movie comes back to kill the captain .	2	-4	 as[0] if[0] afraid[-3] to[0] let[0] the[0] viewer[0] find[0] their[0] own[0] perhaps[0] unsettled[0] and[0] not[0] entirely[0] clear[0] emotional[-1] foothold[0] in[0] the[0] material[0] spielberg[0] has[0] to[0] package[0] it[0] in[0] hallmark[0] moments[0] to[0] give[0] the[0] war[-2] a[0] meaning[0] and[0] coherence[0] it[0] never[0] had[0] the[0] opening[0] and[0] closing[0] scenes[0] of[0] ryan[0] and[0] his[0] family[0] in[0] the[0] war[-2] cemetary[0] reminscent[0] of[0] the[0] closing[0] scene[0] from[0] _schindler's[0] list[0] the[0] saccharine[0] exchange[0] between[0] ryan[0] and[0] his[0] wife[0] at[0] the[0] close[0] every[0] bit[0] as[0] bad[-1] as[0] schindler's[0] monologue[0] about[0] how[0] his[0] car[0] tiepin[0] or[0] ring[0] could[0] have[0] saved[1] another[0] jew[0] quotes[0] from[0] abraham[0] lincoln[0] and[0] emerson[0] captain[0] miller's[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
that particular subplot is so hokey , so predictable , it nigh on ruins the film . 	that particular subplot is so hokey , so predictable , it nigh on ruins the film .	1	-1	 that[0] particular[0] subplot[0] is[0] so[0] hokey[0] so[0] predictable[0] it[0] nigh[0] on[0] ruins[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nowhere in the film is there a resolute depiction of the meaninglessness , stupidity and waste which characterized the experience of war to the men who actually fought in combat ( imagine if miller had been killed by friendly fire or collateral damage ) . 	nowhere in the film is there a resolute depiction of the meaninglessness , stupidity and waste which characterized the experience of war to the men who actually fought in combat ( imagine if miller had been killed by friendly fire or collateral damage ) .	2	-4	 nowhere[0] in[0] the[0] film[0] is[0] there[0] a[0] resolute[0] depiction[0] of[0] the[0] meaninglessness[-1] stupidity[-1] and[0] waste[-1] which[0] characterized[0] the[0] experience[0] of[0] war[-2] to[0] the[0] men[0] who[0] actually[0] fought[-2] in[0] combat[-1] imagine[0] if[0] miller[0] had[0] been[0] killed[-3] by[0] friendly[1] fire[0] or[0] collateral[0] damage[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
because of its failure to mine deeply into the terrible realities of world war ii , _saving private ryan_ can only pan for small truths in the shallows . 	because of its failure to mine deeply into the terrible realities of world war i , _saving private ryan_ can only pan for small truths in the shallows .	2	-4	 because[0] of[0] its[0] failure[-2] to[0] mine[0] deeply[0] into[0] the[0] terrible[-3] realities[0] of[0] world[0] war[-2] ii/i[0] _saving[0] private[0] ryan_[0] can[0] only[0] pan[0] for[0] small[0] truths[1] in[0] the[0] shallows[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
