john carpenter makes b-movies . 	Translation	Positive	Negative	EmotionRationale
 " ghosts of mars " is lock , laughing stock , and barrel all your standard carpenter fare : dingy interiors , cluttered exteriors , inane dialogue , lots of leather , scarred , crazed-looking aliens , and lots and lots of weaponry . 	 " ghosts of mars " is lock , laughing stock , and barrel all your standard carpenter fare : dingy interiors , cluttered exteriors , inane dialogue , lots of leather , scarred , crazed-looking aliens , and lots and lots of weaponry .	2	-2	 ghosts[0] of[0] mars[0] is[0] lock[0] laughing[1] stock[0] and[0] barrel[0] all[0] your[0] standard[0] carpenter[0] fare[0] dingy[0] interiors[0] cluttered[-1] exteriors[0] inane[-1] dialogue[0] lots[0] of[0] leather[0] scarred[0] crazed[0] looking[0] aliens[0] and[0] lots[0] and[0] lots[0] of[0] weaponry[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film often and always explodes into warfare without warning--spontaneously , stupidly . 	the film often and always explodes into warfare without warning-spontaneously , stupidly .	1	-3	 the[0] film[0] often[0] and[0] always[0] explodes[-1] into[0] warfare[-2] without[0] warning[0] spontaneously[0] stupidly[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
carpenter might like to think he's made a western here but it's a western without any real heroes , villains , or border conflicts . 	carpenter might like to think he's made a western here but it's a western without any real heroes , villains , or border conflicts .	3	-3	 carpenter[0] might[0] like[1][-1 LastWordBoosterStrength] to[0] think[0] he's[0] made[0] a[0] western[0] here[0] but[0] it's[0] a[0] western[0] without[0] any[0] real[0] heroes[2] villains[-2] or[0] border[0] conflicts[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's just the shootouts minus a hissing snake plissken . 	it's just the shootouts minus a hissing snake plissken .	1	-2	 it's[0] just[0] the[0] shootouts[-1] minus[0] a[0] hissing[0] snake[0] plissken[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i never thought i'd miss the guy but i do . 	i never thought i'd miss the guy but i do .	2	-2	 i[0] never[0] thought[0] i'd[0] miss[-1] the[0] guy[0] but[0] i[0] do[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
it's not * all * the same , however . 	it's not * all * the same , however .	1	-1	 it's[0] not[0] all[0] the[0] same[0] however[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dubbed the " one-note wonder " for his minimalist music soundtracks , carpenter seems to have graduated from simplistic ( yet effective ) scoring by highlighting his action with loud , screeching guitar work . 	dubbed the " one-note wonder " for his minimalist music soundtracks , carpenter seems to have graduated from simplistic ( yet effective ) scoring by highlighting his action with loud , screeching guitar work .	1	-2	 dubbed[0] the[0] one[0] note[0] wonder[0] for[0] his[0] minimalist[0] music[0] soundtracks[0] carpenter[0] seems[0] to[0] have[0] graduated[0] from[0] simplistic[-1] yet[0] effective[0] scoring[0] by[0] highlighting[0] his[0] action[0] with[0] loud[0] screeching[0] guitar[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fortunately this drowns out a lot of the dialogue . 	fortunately this drowns out a lot of the dialogue .	1	-2	 fortunately[0] this[0] drowns[-1] out[0] a[0] lot[0] of[0] the[0] dialogue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the final exchange between henstridge and , er , cube though is both audible * and * priceless . 	the final exchange between henstridge and , er , cube though is both audible * and * priceless .	4	-1	 the[0] final[0] exchange[0] between[0] henstridge[0] and[0] er[0] cube[0] though[0] is[0] both[0] audible[0] and[0] priceless[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
mars has proven an infertile breeding ground for hollywood in the last year or so , what with the stillborn " mission to mars " and " red planet " ( with val kilmer ) . 	mars has proven an infertile breeding ground for hollywood in the last year or so , what with the stillborn " mission to mars " and " red planet " ( with val kilmer ) .	1	-1	 mars[0] has[0] proven[0] an[0] infertile[0] breeding[0] ground[0] for[0] hollywood[0] in[0] the[0] last[0] year[0] or[0] so[0] what[0] with[0] the[0] stillborn[0] mission[0] to[0] mars[0] and[0] red[0] planet[0] with[0] val[0] kilmer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " ghosts of mars " sadly adds to those disappointing returns ( in its opening weekend it was overshadowed by a bunch of sequels , among them " american pie 2 " and " rush hour 2 " ) . 	 " ghosts of mars " sadly adds to those disappointing returns ( in its opening weekend it was overshadowed by a bunch of sequels , among them " american pie 2 " and " rush hour 2 " ) .	1	-2	 ghosts[0] of[0] mars[0] sadly[-1] adds[0] to[0] those[0] disappointing[-1] returns[0] in[0] its[0] opening[0] weekend[0] it[0] was[0] overshadowed[0] by[0] a[0] bunch[0] of[0] sequels[0] among[0] them[0] american[0] pie[0] 2[0] and[0] rush[0] hour[0] 2[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the irony is that the mars in carpenter's film feels sadly absent . 	the irony is that the mars in carpenter's film feels sadly absent .	1	-2	 the[0] irony[-1] is[0] that[0] the[0] mars[0] in[0] carpenter's[0] film[0] feels[0] sadly[-1] absent[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are occasional references to the red planet , of course , but the film might as well have been set in perth amboys than on earth's closest neighbor . 	there are occasional references to the red planet , of course , but the film might as well have been set in perth amboys than on earth's closest neighbor .	1	-1	 there[0] are[0] occasional[0] references[0] to[0] the[0] red[0] planet[0] of[0] course[0] but[0] the[0] film[0] might[0] as[0] well[0] have[0] been[0] set[0] in[0] perth[0] amboys[0] than[0] on[0] earth's[0] closest[0] neighbor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two things keep " john carpenter's ghosts of mars " from getting a huge slap upside the head . 	two things keep " john carpenter's ghosts of mars " from getting a huge slap upside the head .	1	-2	 two[0] things[0] keep[0] john[0] carpenter's[0] ghosts[0] of[0] mars[0] from[0] getting[0] a[0] huge[0] slap[-1] upside[0] the[0] head[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1 . 	1 .	1	-1	 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
henstridge keeps her top on ( miraculously ) , and 2 . the film doesn't pretend to be anything it's not . 	henstridge keeps her top on ( miraculously ) , and 2 .<br> the film doesn't pretend to be anything it's not .	1	-2	 henstridge[0] keeps[0] her[0] top[0] on[0] miraculously[0] and[0] 2[0] [[Sentence=-1,1=word max, 1-5]] the[0] film[0] doesn't[0] pretend[-1] to[0] be[0] anything[0] it's[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what that means , however , is that fans of superior , intelligent , grade a sci-fi/horror are singularly out of luck . 	what that means , however , is that fans of superior , intelligent , grade a sci-fi/horror are singularly out of luck .	3	-1	 what[0] that[0] means[0] however[0] is[0] that[0] fans[0] of[0] superior[2] intelligent[1] grade[0] a[0] sci[0] fi/horror[0] are[0] singularly[0] out[0] of[0] luck[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
